 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.0033103272821664864 0.00011308145153738762 0.0006588143669228415 0.0022573345027470893 0.0027502476424553445 0.0008444665283833738 -5.461139702079177e-06 1.5769902736052693e-05 -1.4761957758024985e-06 5.3803089178062085e-06 -4.5106842559229844e-08 -2.959459003518489e-06 2.4506331838336626e-06 2.301073323886334e-06 -3.2160132752991455e-06 -4.358118339189497e-06 -3.6714213494209025e-06 -1.813810072496579e-06 -6.502640671653481e-06 2.093922893954259e-06 -8.131812837875742e-07 4.2407353153738916e-06 9.877220860091454e-07 -5.896474962355103e-07 -8.833477597541841e-07 6.822497757763234e-07 2.0479936950104157e-05 -2.632645126637733e-05 7.443099284163056e-05 -4.736002465191794e-05
AGE 0.00011308145153738714 6.276492835981141e-06 9.213770611681134e-06 4.406316496539411e-06 1.3459411876367229e-08 -6.727212994269529e-07 -2.2347228858972606e-07 7.40110298706073e-07 -6.54671773962585e-08 2.870079639742422e-07 2.608451668733189e-07 -4.377089114602466e-08 -1.41099230180222e-07 8.450577982500903e-08 -1.547139163440855e-07 4.076846278305776e-08 -7.915207712853212e-09 -1.3535412006892632e-07 -3.6582314462119723e-07 1.3597276571636627e-07 6.425551901600972e-08 5.287670400369288e-08 5.5398600014832086e-08 -2.2008598470935843e-07 -4.207797022082972e-08 -2.423502096786869e-07 1.40975705497422e-06 -3.2264356554314832e-06 7.827812537801175e-06 -1.154488761543156e-06
sex 0.0006588143669226011 9.21377061168134e-06 0.010577457865082398 0.008156010760957764 0.0029061376744128294 6.79506985240817e-05 -2.046357482230679e-06 4.521456278102711e-06 -4.605080414190755e-06 -2.782537270359925e-06 7.010715768271194e-06 -2.076599678585736e-06 4.184708774815178e-06 1.432050020786428e-06 1.6079296427431283e-06 -1.198328801786352e-06 5.0523527091830925e-06 5.1608618480219455e-06 -2.820094623729423e-06 3.899633403615699e-06 -2.152648524745056e-06 -3.747249971845489e-06 -1.7648291592509764e-08 6.081770164389974e-06 9.183764891616872e-06 4.258060795603514e-06 -5.804198048647881e-05 4.8963856505208126e-05 2.0176596754614234e-05 4.626734142100661e-05
age_sex 0.0022573345027469627 4.406316496541305e-06 0.008156010760959174 0.01850886099204703 0.01781909795699463 0.004680738965092815 2.3430432739197273e-07 4.797603254110098e-06 3.96093130045926e-07 -3.445253337204741e-06 -1.5678329917620497e-06 1.7329487051418297e-06 5.592037845930016e-06 -2.9421382263327032e-06 7.208591347731494e-07 -6.2934227934376e-07 7.72168957038425e-07 1.2058756386973352e-06 -4.460502168666982e-06 2.174919455390588e-06 1.8933373203501308e-06 -2.7189514689752537e-06 5.133842383743782e-07 9.101640565731448e-06 6.72413558063371e-06 -1.5411408104406665e-06 -0.0001129905765928371 0.00011785912288099345 0.00012063992115580048 -0.00010029355650201778
age2_sex 0.0027502476424554083 1.3459411878919875e-08 0.0029061376744148955 0.017819097956996096 0.022946476318825265 0.007097235848816062 -6.031583043646635e-07 3.7359655130162495e-06 3.842924290756032e-06 -3.70204747817928e-06 -5.233188901825877e-06 4.513180367148669e-06 6.23553563859997e-06 -2.635517585264623e-06 -1.3164498958710534e-06 -7.765790867410472e-06 4.673328271577281e-06 -2.0010315546230244e-06 -5.332241371322027e-06 7.873516495881235e-07 4.539972553393783e-06 1.0941875637055286e-06 2.705920646466546e-06 8.084271187013605e-06 1.3487077870902773e-06 -2.096901712447882e-06 -0.00010133441357699999 0.00015046533144334495 0.0002529323250766625 -0.000279045780393413
age3_sex 0.0008444665283834222 -6.727212994261881e-07 6.795069852475601e-05 0.004680738965093458 0.007097235848816309 0.0023882363893384245 -5.078983727146241e-07 1.1785335250897353e-06 1.4263281147445669e-06 -1.063339041907742e-06 -1.8723719562937434e-06 1.5629893200242896e-06 1.8924923997989348e-06 -3.283437095160347e-07 -1.0226427197618102e-06 -3.922079502628272e-06 2.464281626816424e-06 -9.351650291112314e-07 -1.880307468492499e-06 1.8262807583015457e-07 1.5866731570624178e-06 1.2335929259482242e-06 1.0336609549496713e-06 2.029444148684857e-06 -5.350957697860756e-07 -1.830021519163994e-07 -2.2239710101093884e-05 3.4239294540149935e-05 0.00011895381332254478 -0.0001255815188547326
PC.PC1 -5.461139702079026e-06 -2.234722885897245e-07 -2.046357482230725e-06 2.3430432739240824e-07 -6.031583043639888e-07 -5.078983727144009e-07 2.1331407024404224e-06 9.307706926681213e-08 -2.1511550016387632e-08 -2.679522808062792e-07 1.3347819056200183e-07 -1.003298773242634e-07 -1.7696265985370095e-07 1.6767038797038794e-07 7.882243346733743e-08 -4.923977512930343e-08 -1.641606423136838e-08 1.9536823361289004e-07 -2.2859241673470443e-07 -1.0951503353245702e-07 2.0640055289080625e-07 -2.1861554406184735e-07 5.8150723587875055e-08 3.326889172998279e-08 2.486901520274065e-07 -3.601916217877028e-07 1.1489723240053179e-07 -2.2765126375841564e-06 -1.8763336557252327e-06 7.544327378635813e-06
PC.PC2 1.5769902736052415e-05 7.401102987060695e-07 4.521456278102853e-06 4.797603254109365e-06 3.7359655130149934e-06 1.1785335250893025e-06 9.307706926681264e-08 3.331011674501449e-06 -2.3768212053015256e-07 2.2095274542353628e-07 1.87945878616718e-07 -6.491783387847177e-07 -1.9219635548960942e-07 -9.319473487068635e-08 -8.134541993558365e-08 2.7075597606341578e-08 -6.804388651439415e-07 -2.512719219523287e-07 2.436895279510281e-07 -2.1593370449957976e-07 -5.336679491755993e-08 -8.904562782377142e-08 -1.2735678466895274e-07 -1.0103006770972491e-07 -3.326473275118739e-08 6.860723925011031e-08 -2.6573607136482786e-06 2.202791188076705e-06 -8.447464766863132e-07 -4.576126766456849e-06
PC.PC3 -1.4761957758022772e-06 -6.546717739626281e-08 -4.60508041418934e-06 3.9609313004879976e-07 3.8429242907588855e-06 1.4263281147453478e-06 -2.151155001638613e-08 -2.3768212053015232e-07 3.8052275015602277e-06 1.7762085438329765e-07 2.517939670856376e-07 3.4100339309245166e-07 9.360549495630543e-08 -1.7044962551533853e-07 3.896672126461322e-08 3.7948403350449015e-07 3.258872927097928e-07 -2.9921088664842355e-07 1.4511068574119623e-08 1.7535715010591635e-07 7.144578313149792e-08 -1.1694896630282776e-07 1.2848812059387578e-07 1.3408601070883726e-07 -1.314565698117823e-07 -9.859988029868348e-08 3.6740563223224246e-06 -5.641500357579674e-06 9.398985666368292e-06 9.205445795283049e-06
PC.PC4 5.380308917806125e-06 2.8700796397423956e-07 -2.782537270359966e-06 -3.445253337204845e-06 -3.7020474781793465e-06 -1.0633390419077516e-06 -2.679522808062782e-07 2.209527454235364e-07 1.7762085438329834e-07 4.768640624124239e-06 2.905915307239646e-07 -2.747230544806071e-07 2.1957869178922705e-07 7.244317914167514e-08 1.052533774673751e-08 -2.1044783389961168e-07 -2.289613448952522e-07 -2.366801402223132e-08 1.1559457352110267e-07 3.636016941770282e-08 -1.65484617581287e-07 2.4904899532569675e-07 -1.0118516728721769e-07 -5.271369096284782e-07 -1.7786764793326895e-07 2.321691208952347e-07 -9.189584056432153e-07 6.0353834178848895e-06 -4.5615200465141796e-08 -1.3262547895068388e-06
