 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
PC10 -7.115225065511189e-07 1.2089538155160284e-07 -4.5281151416211025e-09 -5.875083746690234e-09 1.5738582742143506e-07 -1.3369841389564946e-07 3.9474843196630454e-08 -1.1700969450109669e-07 1.0666967415823394e-07 -4.389112335965497e-08 5.9901734950534545e-06 -1.2723617669539006e-07 1.2325617187142248e-07 -2.262987628989728e-07 -4.03214317551234e-08 -1.0691817675226633e-07 -2.731939628781198e-07 1.2764492862289327e-07 1.535161097338204e-07 1.7699425595576368e-07 -4.9714087180697786e-08 -8.667205263416834e-07 2.683500191474071e-06 -2.1186852149840842e-06 -1.3208870828787199e-06
PC11 1.9730716116205236e-08 -7.631620458125421e-08 -2.3222010947402508e-08 1.333270420547109e-07 -2.8964628181839914e-08 -4.5596744114069033e-07 -1.5243696972495736e-07 3.997136749829435e-07 -1.988971920452774e-07 -1.2532072866382854e-07 -1.2723617669539e-07 6.0116279175818e-06 -1.7289776823825567e-07 6.884106930630838e-08 -1.9586252506532348e-07 1.6717945148491793e-07 1.4644158014692773e-07 1.3143681987941038e-07 2.4942492309587092e-08 1.8944825604088836e-07 1.884792760016196e-07 1.598671520490985e-07 1.922491417714968e-06 -4.229856831080488e-06 -9.291119235620421e-07
PC12 -2.8544373166848044e-07 2.718535882907746e-07 -7.360785924536506e-08 1.3037437249210452e-07 -4.013464023698494e-07 2.813588468770634e-07 1.0675811885105203e-07 7.600541874602811e-08 2.6164409119643025e-07 -1.0028972098732463e-07 1.2325617187142264e-07 -1.7289776823825562e-07 5.6304301106959685e-06 -6.732237616425365e-08 -6.756260904055283e-08 -1.8851003069194173e-07 2.3969908304155717e-08 -5.014367390952213e-08 -6.855150201654721e-08 8.307028805095204e-08 -7.798502832226602e-08 1.0914793339759208e-06 -1.493797353518176e-06 -2.0591997527839656e-07 1.1826853429390196e-06
PC13 6.193545629346996e-07 -7.120197255948682e-08 2.1112347444242575e-07 -3.443866252279383e-07 -1.4766253162877456e-07 -4.037957592633554e-07 -1.752353656307397e-07 1.8384899009574888e-07 -2.3976486490312134e-08 5.55403010905787e-09 -2.2629876289897284e-07 6.884106930630837e-08 -6.73223761642537e-08 5.610560705040495e-06 -1.8231686083987253e-07 3.5976283060136537e-07 1.502522736579355e-07 3.4384269357067436e-08 3.619167971784811e-08 -9.554017788138425e-09 4.736660503871665e-08 -4.967380939227097e-07 -1.5672384572867374e-06 1.3773683326444496e-06 -6.082309610642721e-08
PC14 6.384933449148555e-07 -1.1247051674370499e-07 -3.215908196174403e-07 -4.828914086175649e-08 -1.0606791094801925e-09 1.9573150917113807e-07 -6.671149340988717e-08 4.299652688348007e-08 -5.7875385679272044e-08 -1.7303683285581167e-07 -4.032143175512333e-08 -1.958625250653236e-07 -6.756260904055285e-08 -1.8231686083987274e-07 5.846396871664657e-06 -3.516065943991742e-09 -9.113110989929564e-08 6.588525432794859e-09 1.8992724625952507e-07 7.822808149244807e-08 5.188412324551345e-09 -4.4659896220305935e-07 5.680030926527119e-07 -1.053008868422377e-06 -2.137843108441866e-07
PC15 -7.312255334890982e-07 -2.5220656736964353e-07 2.7011006221659796e-07 -1.662231639007793e-08 -1.1742880628228127e-09 -4.530812237265821e-08 4.361105942776792e-08 -2.6400204561546503e-07 -1.8052100885170167e-07 1.5273077306270377e-07 -1.0691817675226629e-07 1.671794514849179e-07 -1.8851003069194157e-07 3.5976283060136537e-07 -3.5160659439919124e-09 5.5484365583213626e-06 1.3453468386224182e-07 -1.6587882533849943e-07 -1.1250928132317531e-08 1.0811571049028173e-08 5.270611950011632e-08 -3.4868655947469864e-07 8.894222836246587e-07 -2.8832246373115464e-06 -7.316646388536375e-08
PC16 -7.410734610586152e-08 -1.8867020105074614e-07 -1.0392373731847012e-07 -3.1744739925040162e-09 8.797949461529874e-09 -5.749191283808868e-08 -4.641069988755185e-09 8.347686294683517e-09 9.711206636925133e-08 2.8743341297803466e-07 -2.7319396287811985e-07 1.4644158014692776e-07 2.3969908304155713e-08 1.502522736579356e-07 -9.113110989929572e-08 1.3453468386224187e-07 5.601301587464445e-06 4.850570110285623e-08 -1.5352147832660018e-07 -2.46408986834756e-07 -1.1722763222397938e-07 1.0259675398595134e-06 1.0277737474597758e-07 -2.1918448953240268e-06 -6.369901794674313e-07
PC17 -3.1297403391538374e-07 -2.3845098928895506e-08 5.622397642295979e-07 -1.019699441150707e-07 6.707956753338072e-08 2.8286318927677295e-07 2.2104949855637848e-07 -2.58021333665553e-08 3.3185023272458715e-08 2.2271794753006087e-07 1.2764492862289327e-07 1.3143681987941027e-07 -5.01436739095221e-08 3.4384269357067316e-08 6.5885254327949605e-09 -1.6587882533849943e-07 4.8505701102856255e-08 5.367635761483559e-06 1.6594094951174418e-07 -1.0096391599978308e-07 5.35269054617297e-08 1.271427223888885e-07 1.3943195603454035e-06 -6.078430800408574e-07 2.239557401732529e-06
PC18 6.300608304300986e-07 -1.852192817183307e-08 1.0009985523442613e-07 -2.7224172271337476e-07 -8.467025848686196e-08 -7.109558734776094e-08 -9.244199074597266e-08 5.52019905467993e-08 -1.191592015345088e-07 -2.2591659897575156e-07 1.5351610973382054e-07 2.4942492309587e-08 -6.855150201654724e-08 3.619167971784807e-08 1.8992724625952483e-07 -1.1250928132317614e-08 -1.5352147832660016e-07 1.65940949511744e-07 5.229555661689823e-06 -1.230149250538424e-07 5.8786843411710795e-08 -4.979508852475764e-07 -2.214280559039746e-06 6.86135044811778e-08 3.6334008436274613e-06
PC19 1.0981056577542187e-06 6.607262250821122e-08 -1.7459928332895936e-07 1.4862708712812667e-07 -1.2641496699658934e-07 1.74104828171143e-07 -2.0439039206876485e-09 -9.09386091305642e-09 -1.98422008430053e-07 -1.484293819246325e-07 1.7699425595576387e-07 1.8944825604088818e-07 8.307028805095187e-08 -9.55401778813842e-09 7.822808149244817e-08 1.0811571049028067e-08 -2.46408986834756e-07 -1.0096391599978322e-07 -1.2301492505384235e-07 5.290428440262405e-06 9.923755840866571e-08 9.134600756330785e-07 1.9581236033419e-06 1.3033778242137728e-06 -4.3448753143617124e-06
PC20 3.8521008484692e-07 1.809289590101483e-08 1.0931584254912379e-07 5.437776043685116e-08 2.038298257344716e-08 5.6883210983809526e-08 -2.140817374199421e-07 -1.4076888226708365e-07 9.043504413695873e-08 -1.4259520086697057e-07 -4.971408718069784e-08 1.8847927600161966e-07 -7.798502832226605e-08 4.7366605038716645e-08 5.188412324551228e-09 5.270611950011623e-08 -1.1722763222397952e-07 5.352690546172968e-08 5.8786843411710735e-08 9.923755840866579e-08 4.902159323037691e-06 -8.133172310826805e-07 -1.2970160823928885e-06 4.906477716553175e-07 3.7544896442864097e-06
proband 7.927386251839388e-06 -1.9186567845607797e-06 7.963444115026631e-07 -3.7969080814983854e-07 -3.671867249313546e-07 -1.9165847151878052e-08 3.799751615569843e-07 6.00952096118896e-07 1.1725604590538406e-07 -4.1083282877071345e-07 -8.667205263416822e-07 1.5986715204909848e-07 1.0914793339759206e-06 -4.967380939227087e-07 -4.465989622030603e-07 -3.486865594746992e-07 1.0259675398595132e-06 1.2714272238888758e-07 -4.979508852475757e-07 9.134600756330799e-07 -8.133172310826796e-07 0.0003211779335886254 -0.00015429471954755248 -8.60963647398523e-06 7.908630762540631e-07
maternal 5.2693165906940325e-05 1.5043626893486104e-06 5.487605116826875e-07 9.274927062053661e-07 -2.3455031768341232e-06 -4.926850697950239e-06 -2.1588841696091813e-06 7.300825248076327e-07 1.5273803400235118e-06 2.4223149319983907e-06 2.683500191474072e-06 1.9224914177149664e-06 -1.4937973535181746e-06 -1.567238457286739e-06 5.680030926527119e-07 8.894222836246622e-07 1.0277737474597688e-07 1.3943195603454e-06 -2.2142805590397394e-06 1.958123603341894e-06 -1.2970160823928868e-06 -0.0001542947195475525 0.0019989374800269254 -0.001544845600775007 -0.0013381567423679857
gpm -5.160584868565335e-05 -5.22486474566491e-06 -2.4470148071891756e-06 -2.939423361358616e-06 -8.128536076976362e-07 7.77651762267495e-06 2.738868468648196e-06 3.6184768515426404e-06 -2.3037337716861177e-07 -8.826871358633482e-07 -2.1186852149840804e-06 -4.229856831080485e-06 -2.0591997527839918e-07 1.3773683326444483e-06 -1.0530088684223746e-06 -2.8832246373115418e-06 -2.1918448953240225e-06 -6.078430800408495e-07 6.861350448116627e-08 1.3033778242137828e-06 4.906477716553118e-07 -8.60963647398524e-06 -0.0015448456007750035 0.0035545018393536346 -0.000515639018768178
gmm -7.249995330412763e-05 -2.35670532358498e-06 3.0150829193034107e-06 -1.7585606542165632e-06 3.7495951556396708e-06 1.8611635699159047e-06 -8.109645014450682e-07 -6.604811531621849e-06 -2.268687813988145e-06 -2.0661020192447826e-06 -1.3208870828787258e-06 -9.291119235620432e-07 1.1826853429390206e-06 -6.082309610642587e-08 -2.1378431084418688e-07 -7.316646388537123e-08 -6.369901794674341e-07 2.2395574017325286e-06 3.633400843627462e-06 -4.344875314361713e-06 3.754489644286411e-06 7.908630762542289e-07 -0.0013381567423679892 -0.0005156390187681719 0.003115557557249555
