 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
PC10 8.312399916122072e-07 2.6300888470013324e-07 6.027945655322933e-07 1.9372569807688964e-07 6.292427679698025e-07 -6.996591637813403e-07 -6.999660681152709e-07 1.5774076331562356e-07 1.3174788155048964e-06 -1.5440103759206924e-06 2.2632182802633002e-05 -7.221607823384499e-08 1.7940758537271444e-06 -7.243395930465946e-07 -4.9814189881229e-07 -2.9611897415263512e-08 -8.649070404662104e-07 -1.2630261948288658e-07 3.702004391151414e-07 1.0435784846430582e-06 3.3459918315162837e-07 2.371991445931764e-06 -1.150484324863055e-06 1.4408575886994552e-05 -1.1132485913023805e-05
PC11 7.266923338543535e-06 -1.5224735276937898e-07 -4.2491002149714696e-07 -3.866714255702094e-07 3.336840549514255e-07 -1.686275669225238e-06 -8.42940824301196e-08 2.130108193248125e-06 -1.4270414006111975e-06 2.8034096990689716e-07 -7.221607823384554e-08 1.9083258557376342e-05 -3.985396109729408e-07 2.236856196055741e-07 -1.0150678079987662e-06 1.2593066448837996e-06 4.0851928192900964e-07 5.3412379697165575e-08 8.41348525684061e-08 7.170682613015827e-07 4.080061967483291e-07 1.6122536290670234e-06 4.9140145586618e-06 -2.2323811445352822e-05 7.907440270202493e-07
PC12 -2.5300400728221675e-06 1.130413171204017e-06 6.790869190672634e-08 2.673503620446782e-07 -1.6316433330655815e-06 3.9943967377654595e-07 3.733065863828784e-07 1.0544693517508167e-06 2.68108989307022e-07 -1.882874830804389e-07 1.794075853727144e-06 -3.985396109729407e-07 1.8444543944469926e-05 7.449194947058943e-07 -9.681932552752958e-08 -6.277001426277971e-07 4.400757852908202e-07 3.132263794264821e-07 5.023367989341058e-07 1.063211980738974e-08 4.3636778663869323e-07 7.043833209954643e-06 -1.0831027693168205e-05 4.201795585358165e-06 4.643441901097749e-06
PC13 4.379566795403961e-06 -2.6905312330503265e-07 1.4000946164865553e-06 -1.7467598929940746e-06 -4.6755802992089897e-07 -2.271148891896581e-06 -3.954246655413215e-07 7.861748840682645e-07 1.5007432552816569e-07 -2.3944071524805675e-07 -7.243395930465946e-07 2.2368561960557374e-07 7.449194947058938e-07 1.881676008499655e-05 4.0776226331438903e-07 1.9150343775646296e-06 3.6892183930705214e-07 4.209928885625742e-07 -3.0861381209591935e-07 -8.634278065964741e-07 7.126636845625554e-07 -8.477545911023023e-06 9.611528246873062e-07 9.33634974060478e-06 -9.567380686986817e-06
PC14 -1.5224869774796709e-06 -3.876526610923029e-07 1.1685748177599424e-06 -2.7106588696297255e-07 -6.04867475241773e-08 5.260599023311437e-07 5.581056986877155e-07 -1.8636229466079512e-07 7.376921863725351e-08 -3.9320306669732337e-07 -4.981418988122898e-07 -1.0150678079987656e-06 -9.681932552753039e-08 4.0776226331438824e-07 1.816944434016054e-05 -1.2693458489679517e-07 -2.9284777474032395e-07 1.7208785009007222e-07 3.7497890230712867e-07 3.49452949020625e-07 -6.858140874102024e-07 -2.6219815696096837e-06 3.085909873861974e-06 -1.3306226083386026e-05 -5.919618963889649e-07
PC15 1.50289377336447e-06 -9.76321816277641e-07 -2.0340221009543293e-07 2.1605953220577673e-10 1.1659143787438645e-07 -6.857205684668157e-07 1.1646808270794011e-06 -1.101366072332095e-06 -8.69666866808084e-07 2.1550721035282463e-07 -2.9611897415264054e-08 1.2593066448837983e-06 -6.277001426277971e-07 1.9150343775646287e-06 -1.269345848967957e-07 1.8818658200085525e-05 1.0396175423849914e-06 -5.406319085039042e-07 -4.6881326439452477e-07 -1.0023379398449486e-06 -5.413388805100931e-07 5.335725940669799e-07 8.379574206497665e-06 -2.447017335780346e-05 1.9240758674588498e-06
PC16 2.358003767927419e-06 -8.713409951388212e-07 -1.662734515036342e-06 3.941971427495034e-07 -3.5708125273171143e-07 -2.766813790855032e-07 -8.893903978841245e-07 -8.722809106118843e-08 2.2788636158643992e-07 9.034791773301011e-07 -8.64907040466211e-07 4.085192819290097e-07 4.400757852908204e-07 3.68921839307052e-07 -2.928477747403239e-07 1.0396175423849912e-06 1.865331978056817e-05 2.6338268411200115e-08 -3.7663707853975105e-07 -1.205607887381508e-06 -4.112095045971997e-07 7.861848610448332e-06 -1.2629164315791548e-05 2.559064765689479e-06 -5.624154297145585e-06
PC17 1.2455137754672984e-06 5.054280145429206e-08 2.5663659481341974e-06 -7.070759507027287e-07 4.7106285148442265e-07 1.6980031098442401e-06 8.796657181498708e-07 7.717200031981675e-07 -6.947473876517377e-07 8.169741006597478e-07 -1.263026194828864e-07 5.3412379697166045e-08 3.1322637942648194e-07 4.2099288856257383e-07 1.72087850090072e-07 -5.406319085039047e-07 2.633826841120004e-08 1.8356019872402933e-05 5.092828178155952e-07 -1.6752611105765996e-07 -8.612119904171324e-07 3.538997944739557e-06 2.340503199983101e-06 -9.78775154361863e-06 1.086542957173558e-05
PC18 5.006553226213817e-06 -3.1263977704494575e-07 1.32284014364855e-06 -9.132034214892795e-07 -8.489754741813216e-07 -3.1578988149830105e-07 -8.595846021564951e-07 1.8171264290112548e-07 -2.089256174801974e-06 -4.0431472685205203e-07 3.702004391151413e-07 8.413485256840616e-08 5.023367989341057e-07 -3.0861381209591994e-07 3.7497890230712893e-07 -4.6881326439452493e-07 -3.766370785397506e-07 5.092828178155956e-07 1.7504230604763608e-05 2.593989063066935e-07 4.5282433506684456e-07 1.4394170336320236e-06 -1.3435631689257926e-05 -1.182929166395872e-05 3.533357335251188e-05
PC19 4.288373307125992e-06 2.0524202055880158e-07 -3.1016716462330723e-06 5.259872809150882e-07 -1.5087251679185904e-07 1.3261641348280046e-06 -8.841929030075142e-07 -5.279480112615781e-07 -1.3354922336445857e-07 -6.349365351294977e-07 1.0435784846430589e-06 7.170682613015827e-07 1.0632119807389243e-08 -8.634278065964742e-07 3.494529490206245e-07 -1.0023379398449478e-06 -1.205607887381508e-06 -1.675261110576603e-07 2.593989063066942e-07 1.8772347330238642e-05 8.729811052287833e-07 5.308754848698472e-06 9.167949221285804e-06 2.2602086916831544e-06 -1.270950395140086e-05
PC20 -2.624572870431791e-07 3.316631261163982e-07 -4.110166497294805e-07 6.229344721854382e-07 1.1724963859793237e-07 6.940618977925148e-07 -6.828594313193566e-07 -2.710956041334073e-07 9.98847869160263e-07 -1.2326208547258692e-06 3.3459918315162884e-07 4.080061967483292e-07 4.3636778663869333e-07 7.126636845625567e-07 -6.858140874102026e-07 -5.41338880510093e-07 -4.11209504597199e-07 -8.612119904171324e-07 4.52824335066845e-07 8.729811052287829e-07 1.655198315003838e-05 -4.120242529325349e-06 -2.1755773609785445e-07 6.285487200467168e-06 -3.307513456664243e-06
proband -2.1525050512492523e-05 -5.2441985462579615e-06 6.69966436261801e-06 -2.3534731196124523e-06 -3.6872003614442353e-06 -2.701805633673911e-07 -1.5701502143130825e-06 7.63044498564122e-06 6.796669706717392e-07 3.740965816884631e-06 2.371991445931762e-06 1.6122536290670217e-06 7.043833209954649e-06 -8.477545911023023e-06 -2.6219815696096833e-06 5.335725940669807e-07 7.86184861044833e-06 3.5389979447395572e-06 1.4394170336320176e-06 5.308754848698467e-06 -4.120242529325352e-06 0.0011800950017265299 -0.0006382225212371767 -4.631963762435366e-05 0.00011257534022311751
maternal 8.984665479837127e-05 4.4646623491595195e-06 3.1255142189624523e-06 1.5372854552134527e-06 -6.717852697619678e-06 -1.1083885636425367e-05 -2.6815937690950803e-06 8.097887602016338e-06 2.1744341221355398e-05 1.0903672875374812e-05 -1.15048432486305e-06 4.914014558661798e-06 -1.0831027693168214e-05 9.611528246873014e-07 3.0859098738619556e-06 8.379574206497656e-06 -1.2629164315791517e-05 2.3405031999830983e-06 -1.343563168925791e-05 9.167949221285807e-06 -2.175577360978122e-07 -0.0006382225212371762 0.004411534116808682 -0.0034218002723501034 -0.0026316799654144906
gpm -8.357746239739756e-05 -1.5037487358055881e-05 -1.200383817412638e-06 -8.802836389723823e-06 -1.6636860502193392e-06 1.6749801646394196e-05 4.191937742004674e-06 1.4438197982664747e-05 -6.858682646761837e-06 -1.2427599071980594e-05 1.4408575886994553e-05 -2.232381144535283e-05 4.201795585358182e-06 9.336349740604767e-06 -1.3306226083385995e-05 -2.447017335780347e-05 2.559064765689454e-06 -9.787751543618635e-06 -1.182929166395873e-05 2.260208691683163e-06 6.2854872004671306e-06 -4.631963762435301e-05 -0.0034218002723501065 0.008714594130100345 -0.0019205521346638559
gmm -0.00010181426231074798 -2.122596839596249e-06 -5.2638433377469275e-06 -4.5895042937624085e-06 1.8065355544410645e-05 3.199723499408754e-06 -2.923414602365531e-06 -2.9963370633073753e-05 -2.720958288225585e-05 -1.2753512585817668e-05 -1.1132485913023806e-05 7.907440270202658e-07 4.643441901097746e-06 -9.567380686986807e-06 -5.919618963889788e-07 1.9240758674588747e-06 -5.624154297145601e-06 1.0865429571735585e-05 3.5333573352511866e-05 -1.2709503951400866e-05 -3.307513456664273e-06 0.00011257534022311666 -0.0026316799654144876 -0.0019205521346638606 0.006959234737726187
