 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
PC10 -8.277121491454328e-07 1.4050090116160953e-07 2.5314436000416353e-06 3.587662792635739e-07 2.667091845599366e-07 -2.237652714796701e-07 -6.136395890541567e-07 -6.132993047234059e-07 1.45895829279658e-06 -2.3412990561050493e-06 2.5942249077068527e-05 -1.0198495295023936e-06 5.870308742360799e-07 -9.642629331811947e-07 -1.5231693778335773e-06 9.064185709815416e-07 -1.3187625052193619e-06 -1.1042319963390416e-07 4.6709147960634695e-07 1.1630803371662807e-06 1.0405930330596199e-07 2.4510523550927283e-06 2.8521095644629253e-06 5.625431780950155e-06 2.545770966312205e-07
PC11 1.1073167706796752e-05 -3.7176159673328564e-07 2.9676923644484345e-07 -4.6482786282158346e-08 1.1589404304062245e-06 -1.9390830898061807e-06 -1.9483799381635102e-07 1.8180503540866726e-06 -1.985826715778024e-06 5.972892516208711e-07 -1.0198495295023936e-06 2.2125900086508787e-05 -2.787977683784261e-07 -3.1800132647126553e-07 -5.419032493833466e-07 8.006510277198839e-07 4.213612994267502e-07 -2.8914576639069545e-08 2.5671033278332486e-07 2.166451756946219e-07 1.1699149657001799e-06 -4.532174980055914e-06 2.8554798372049865e-05 -4.404558085725463e-05 6.261553871537714e-07
PC12 -6.8701817782044395e-06 1.2930735750522733e-06 7.224368269948595e-07 4.792645944319536e-07 -1.9584622474455973e-06 4.3464319982487916e-07 1.9006398319650097e-07 1.174644805448605e-06 -3.680243579414211e-07 -8.943620357632915e-07 5.870308742360802e-07 -2.787977683784254e-07 2.0970722868129596e-05 5.555018925090423e-07 -1.1527838406735397e-06 -1.5918962828949615e-06 -5.418629543049761e-07 5.699639769859658e-07 1.8557121067972396e-08 2.449896729072848e-07 9.457878850743365e-07 7.230863093967258e-07 1.3523303538715981e-05 -6.084406323627206e-06 -1.2121940902473782e-05
PC13 6.214668569112056e-06 3.503509632847037e-07 -7.489718847100516e-07 -1.613982426644679e-06 -6.029664985491729e-07 -3.0596150755766766e-06 -7.956085660439821e-07 1.4994370972457048e-06 7.870474707614136e-07 -7.8973266052046e-07 -9.642629331811957e-07 -3.180013264712657e-07 5.555018925090416e-07 2.129749159622469e-05 2.5517823105533505e-07 2.0679081513012754e-06 -2.66815018869877e-07 5.433516885582871e-09 -1.7219304227395032e-06 -1.1177485415474617e-06 3.5069478294740197e-07 -3.0749309348723005e-06 -1.000366892433628e-06 -2.6640317841107267e-05 -9.69783221768591e-06
PC14 -3.5231784898207684e-06 -9.539706193140912e-07 3.4601512507370943e-06 5.615407591163044e-07 1.2249517589359452e-07 9.117389256239422e-07 2.7541388917701377e-07 -2.0908354109772158e-07 -5.05739471136238e-07 -6.983630400680479e-07 -1.5231693778335766e-06 -5.419032493833462e-07 -1.1527838406735399e-06 2.551782310553354e-07 2.2091240728201864e-05 -3.241415405508368e-08 -6.871840501815647e-07 -5.717150784316893e-07 2.2969749990367375e-07 1.8983469362055725e-07 -6.789648196603519e-07 -4.802922429764316e-06 2.4622079485645986e-05 -4.126800563204554e-05 2.7735612574723415e-06
PC15 -4.388177824221356e-06 -1.4153344381244895e-06 -3.2529664194747545e-08 -1.089558968901691e-06 7.128359074135655e-07 -2.9781663556175254e-07 4.008907607355455e-07 -3.6066783700116674e-07 -1.0539448498324506e-06 1.885275638784329e-07 9.064185709815428e-07 8.006510277198834e-07 -1.591896282894961e-06 2.0679081513012737e-06 -3.241415405508363e-08 2.272369219340834e-05 1.4215209573744775e-06 -1.1871355932018739e-06 -3.2619649612454824e-07 -1.3479153122143846e-06 -8.741617700550272e-07 -3.4372742791506487e-06 6.089962487793053e-06 2.2135949963262486e-06 7.355605899163642e-06
PC16 2.0102247536688047e-06 -1.2438756882459432e-06 -3.5394509836785724e-06 3.6470914501516715e-08 4.493192485226141e-07 -7.285045359529981e-07 -1.2694268778044416e-06 -1.1886896186288917e-06 -3.0832380224102923e-07 7.95120413992356e-07 -1.3187625052193631e-06 4.213612994267506e-07 -5.418629543049767e-07 -2.668150188698766e-07 -6.871840501815644e-07 1.4215209573744785e-06 2.210330674464921e-05 -1.1237078786467231e-06 4.5043529197562866e-07 -1.9064425089895773e-06 9.697301321073789e-08 -9.383954796888454e-07 -1.4176516048928783e-05 1.8633665477681244e-05 1.2408504509318291e-05
PC17 3.565946593745938e-06 1.3670022922660647e-07 2.101539371315019e-06 -8.288941937104195e-07 -2.2268934789193483e-07 1.9203259658060824e-06 1.0243718771952388e-06 -3.4714595511145844e-07 -6.82413061992735e-07 8.290072515398163e-07 -1.1042319963390419e-07 -2.8914576639068874e-08 5.699639769859671e-07 5.43351688558321e-09 -5.717150784316894e-07 -1.1871355932018745e-06 -1.1237078786467244e-06 2.064913492002057e-05 2.908629147235951e-07 3.408947789937895e-07 -1.1221943930806775e-06 7.84676196852864e-06 7.218770756762051e-06 -1.4334151884936964e-05 4.870584240369411e-06
PC18 2.431974535267256e-06 -2.823706979827969e-07 5.940113470043835e-07 -3.048938721044341e-07 -2.8193915392879396e-07 -5.588866346312529e-07 -1.0513243814487875e-06 6.210599084535363e-07 -3.046472999563924e-06 -7.190126357114883e-07 4.670914796063467e-07 2.5671033278332486e-07 1.855712106797206e-08 -1.7219304227395036e-06 2.2969749990367336e-07 -3.2619649612454793e-07 4.5043529197562935e-07 2.908629147235949e-07 2.0773498894388924e-05 2.4090591138798487e-07 7.089340190763849e-07 -2.555225221300726e-06 -3.7374948794038335e-07 3.613142717950962e-05 -4.854748454295394e-06
PC19 1.0771691866025622e-05 2.7598102428382626e-07 -3.058170378267516e-06 1.1169232239597573e-06 3.8688053864631164e-08 1.0581648558986151e-06 -1.1879588228370151e-06 -2.0221378098102542e-07 -8.532987450875122e-08 -1.092721367578041e-06 1.163080337166281e-06 2.1664517569462098e-07 2.4498967290728457e-07 -1.1177485415474608e-06 1.8983469362055746e-07 -1.3479153122143844e-06 -1.9064425089895781e-06 3.4089477899378966e-07 2.40905911387985e-07 2.192269646939813e-05 1.8178467656304226e-06 1.112064556456607e-05 5.256364155541289e-06 -1.2796425500936529e-05 7.5972872086737235e-06
PC20 -1.6668143621365105e-06 4.736846946441351e-07 -1.3202286014736515e-06 8.427311216373672e-07 -2.548026914752298e-07 8.490928505860785e-08 -5.235222483646922e-07 -3.7463233802759916e-07 1.2400127133893976e-06 -8.126592406140892e-07 1.0405930330596199e-07 1.1699149657001797e-06 9.457878850743358e-07 3.506947829474026e-07 -6.789648196603515e-07 -8.741617700550266e-07 9.697301321073776e-08 -1.1221943930806777e-06 7.089340190763852e-07 1.8178467656304234e-06 2.0005608212096097e-05 1.5227722063021875e-06 -1.4018029994737702e-05 -1.0651338024188093e-05 2.6892967517133805e-05
proband -5.2682531446943834e-05 -2.7455801358212692e-06 7.597322607742262e-06 -8.15928306124642e-08 -4.896122734554859e-06 1.789266621120719e-06 5.303423814930185e-06 2.3529993397273057e-06 8.992373139794255e-06 -3.11541994898858e-07 2.4510523550927274e-06 -4.5321749800559184e-06 7.230863093967229e-07 -3.0749309348722933e-06 -4.8029224297643195e-06 -3.4372742791506517e-06 -9.383954796888493e-07 7.846761968528642e-06 -2.555225221300731e-06 1.1120645564566073e-05 1.5227722063022008e-06 0.0013574060036230585 -0.0007361430714343656 6.152643167566988e-05 -4.036421016494433e-05
paternal 0.00017226261282827666 -5.394055197493087e-06 1.8621857162985346e-05 -5.013252559356453e-06 1.4612322702857749e-05 -8.558055516098471e-06 -1.9261537762913366e-05 2.6635143633138557e-05 -6.471531136531599e-06 -1.1460309751309714e-05 2.852109564462918e-06 2.855479837204987e-05 1.3523303538715985e-05 -1.0003668924336607e-06 2.462207948564599e-05 6.089962487793039e-06 -1.4176516048928771e-05 7.218770756762024e-06 -3.7374948794035413e-07 5.2563641555413225e-06 -1.4018029994737712e-05 -0.0007361430714343644 0.005292974441496349 -0.0039007014101770866 -0.003008478298151998
gpp -0.0003795337750649875 -6.2748569944111205e-06 2.6761595429437513e-05 1.2691536485266038e-05 1.135788174096439e-05 2.1322393014039576e-05 -1.8422707050217622e-06 -1.7540805694132303e-05 -7.549477724691515e-06 2.2030128363331755e-05 5.625431780950147e-06 -4.404558085725464e-05 -6.084406323627201e-06 -2.6640317841107226e-05 -4.126800563204554e-05 2.2135949963262605e-06 1.8633665477681244e-05 -1.433415188493694e-05 3.61314271795096e-05 -1.2796425500936584e-05 -1.0651338024188091e-05 6.152643167566951e-05 -0.0039007014101770866 0.00892075420567855 -0.0013195621967799105
gmp 3.1152347215547075e-05 -2.504799203729007e-06 -4.100701285857386e-05 -1.2429805141424132e-05 -2.455015211355917e-05 -1.050189854541912e-05 1.0966580706970055e-05 -3.133396211652128e-05 -1.4094486722577348e-05 7.167160559986743e-06 2.545770966312388e-07 6.261553871537671e-07 -1.2121940902473779e-05 -9.69783221768591e-06 2.7735612574723335e-06 7.355605899163664e-06 1.2408504509318288e-05 4.87058424036944e-06 -4.8547484542954e-06 7.597287208673729e-06 2.6892967517133802e-05 -4.036421016494587e-05 -0.003008478298151997 -0.0013195621967799103 0.0069244216481291615
