(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal gpp gmp
(Intercept) 0.0141279374143828 36.6417387535251 -2.07612777426141 2.06367505173028 -73.0969247692822 36.4626670286798 0.000277735513811371 -1.35258349312118e-05 -0.000392995054512457 0.000222622977170648 -0.000430777642099453 0.000243528363299248 1.18580596535394e-05 -0.000250014904146055 -8.43831982011887e-05 0.00012864757182124 -0.000266599577294249 -0.000300249577260802 6.26013475108202e-05 -0.000166836915574163 -0.000192442447076103 -0.000143247846470568 0.000208432154365554 -2.83668981218555e-05 0.000168662805504943 0.000142208164126818 -0.000554398304478037 0.000465818173733347 -0.000211489001549581 -0.000294904692393293
covarSEX 36.6417387535251 2881207.45147984 35655.2079500363 -35503.5795997623 -5745032.21237834 2864367.48304121 -1.67635561777835 0.428811479479855 0.881323689502189 1.02805555710826 -2.63821431694604 0.379203555244782 1.41306225207304 -0.418156855109785 -0.994415019706063 0.770915923702743 1.72082194579659 -1.00851762277039 1.06114455806749 1.00350445149729 0.557767541651376 -3.18683122767649 -0.893626078536098 -1.22300753945439 -1.15523278860134 0.783916545880346 -1.98772179906271 4.02258269516229 -2.36402678867031 -2.44282786862931
covarYOB -2.07612777426141 35655.2079500363 1212.31161464806 -1207.15945551302 -71062.0440942174 35413.6028526853 -0.0453667844059217 0.0221063331568696 0.0520778897175235 -0.0677902790956157 0.0406891035288556 -0.00770927149406273 -0.00493332295330062 0.0572837504454808 -0.000290149533935715 -0.0302914695776909 0.103635774272125 0.0540478629933465 -0.00385591396019167 0.0372525065497868 -0.0019894523123443 -0.065722641639464 -0.0354944562559212 -0.0200509533451772 -0.0251018792373294 -0.0256665901269195 0.0529050639642507 0.199513066462507 -0.212048771888508 -0.0654174750880195
covarYOBsq 2.06367505173028 -35503.5795997623 -1207.15945551302 1202.04251727774 70760.619459762 -35263.7748102315 0.0447537518643872 -0.0216393183771865 -0.0514583677322144 0.0675721998529056 -0.0403474171374129 0.00742989809351367 0.00515993367612693 -0.0568891310015389 0.000426922245778102 0.0303319892053957 -0.103056733497583 -0.0538584735920819 0.00411859995955813 -0.0372364001019344 0.00231296434867493 0.0655844483194045 0.0352017177752959 0.0198630553081898 0.0248436304071344 0.0256007116329164 -0.0526714047149134 -0.198730297474579 0.21106051179855 0.065267800116157
covarSEX_YOB -73.0969247692822 -5745032.21237834 -71062.0440942174 70760.619459762 11455528.3931554 -5711577.91899982 3.33706650391295 -0.853472603413307 -1.74333572886576 -2.051872700261 5.26360500101537 -0.761648115089612 -2.78791660811181 0.82170402729298 1.99383602165552 -1.53870250198621 -3.43511834254366 2.01775693382244 -2.09812912721562 -2.00671264237002 -1.10037246364969 6.34070484157396 1.77449169160724 2.43219585487953 2.29999348064587 -1.56389182660574 3.95413844515521 -8.0189747295435 4.72104881942027 4.88018485044928
covarSEX_YOBsq 36.4626670286798 2864367.48304121 35413.6028526853 -35263.7748102315 -5711577.91899982 2847749.55847327 -1.66116756523579 0.424752104360274 0.862212045813006 1.02403724965511 -2.62594124742004 0.382543248949409 1.37525305875962 -0.40361996265801 -0.999605603632341 0.767920962349328 1.71465956931238 -1.00940558394309 1.0372412954791 1.00336278962896 0.542780580167452 -3.15443968963216 -0.880961829034757 -1.20934287693672 -1.14497861334433 0.780045435535791 -1.96690329579788 3.99714373190846 -2.3573757047544 -2.43762593413351
covarPC1 0.000277735513811371 -1.67635561777835 -0.0453667844059217 0.0447537518643872 3.33706650391295 -1.66116756523579 0.00396112231198631 -0.000730812349539776 0.000255649982852779 -0.000122006704463721 -0.000217799597148688 2.51690500579428e-05 4.41722891318877e-05 2.11770302059146e-05 2.27087046375954e-05 -4.38287786178809e-05 -9.93016952329786e-05 0.000450994602362726 8.04283808241904e-05 -0.000289571984670827 -0.000512956343832338 -0.000456246426651355 0.000125634785891086 -5.27845443677934e-06 9.69186837493552e-05 -2.73252805696051e-05 -0.000340801775058039 -0.000122162865869716 -0.000233143988520753 -0.000229945770324249
covarPC2 -1.35258349312118e-05 0.428811479479855 0.0221063331568696 -0.0216393183771865 -0.853472603413307 0.424752104360274 -0.000730812349539776 0.00345544207382878 0.000176329832410696 0.000296686862330964 -0.000190382642108987 -8.28266382465358e-05 -1.83707879806191e-05 0.000227920421068582 -3.90676967263388e-05 8.66547710484318e-05 3.61314328330149e-06 -8.53306082258222e-05 -2.11104744673213e-05 -0.00011169736521883 -2.42800966320871e-05 -6.94700507674146e-06 5.8483245561277e-05 -4.74069289799653e-05 -9.08293075453382e-05 -4.53717442926184e-05 2.28402988712116e-06 2.62569038709483e-06 0.000444839484648902 -9.2012972690901e-05
covarPC3 -0.000392995054512457 0.881323689502189 0.0520778897175235 -0.0514583677322144 -1.74333572886576 0.862212045813006 0.000255649982852779 0.000176329832410696 0.0038825105348321 7.1290770928645e-05 0.000529515678218 4.13375072311306e-05 0.000244023719052119 -4.07784474282828e-05 -0.000520255843448923 0.000141723931317462 0.000194368253314296 2.6357536374505e-05 -0.000212522078833268 0.000159793791738397 9.13159381118483e-06 1.72048026684314e-05 -0.00021247366148344 -0.00022465672484683 0.000189464071888867 7.13489968833677e-05 -5.67922036900262e-05 5.61064695195647e-05 0.000207799052086221 -0.000385106540210461
covarPC4 0.000222622977170648 1.02805555710826 -0.0677902790956157 0.0675721998529056 -2.051872700261 1.02403724965511 -0.000122006704463721 0.000296686862330964 7.1290770928645e-05 0.00409088295085583 0.000791202332595621 -4.08276774535373e-05 6.04397611010967e-05 -0.000354508977862004 0.000217574590786259 0.000111320899099775 0.000130986674955279 -0.000305998929225242 -3.98422332979752e-05 -7.80370254783253e-05 -7.31043737226259e-05 0.000108883381220679 -6.72751053741602e-05 -0.000189842238593808 -4.68914691206656e-05 -2.85075414168326e-05 -0.000126982177305871 0.000340256984297173 0.000199009521793577 -0.000760697326675696
