 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 1.4604314941897451e-07 -3.875976147735318e-08 5.311716256468387e-08 1.3406182827592623e-07 1.009950073664285e-07 -2.987762091649819e-07 -1.4338307950360074e-07 3.610863531083737e-07 -2.281471330118448e-07 -1.4707922152569837e-07 -2.0859450111442326e-07 4.2687927900612845e-06 -5.722399235822289e-08 -5.02978815957567e-08 -1.0813574025014953e-07 8.787348881343196e-08 1.5189147715083837e-08 1.6988890368360065e-07 -1.3041092374668228e-08 8.034722649153574e-08 1.548236572654564e-07 -1.7260301404518606e-07
PC12 1.548460468365284e-08 2.263819762152837e-07 -1.556460357293237e-07 6.716538155963273e-08 -2.0969327208774402e-07 1.7224253573677546e-07 2.4553912096928926e-08 6.089802172235725e-08 8.476392231595295e-08 -4.1755897243560265e-08 1.3834895963165642e-07 -5.722399235822286e-08 4.122024279735585e-06 2.9826026887576596e-08 -2.019304107082188e-08 -8.644579192861476e-08 -9.185293045411328e-08 -2.375485220504109e-08 4.993476614266548e-08 -8.012253721444698e-08 -8.297598185423582e-08 7.956489993635222e-08
PC13 1.1711024651133829e-07 5.139679342331894e-09 5.8245942286836126e-08 -1.7128912425025307e-07 6.537602487017233e-09 -2.609231894609589e-07 -1.5169179014103372e-07 2.709260946740268e-07 -5.764991137689615e-08 -1.3281776374282199e-07 -2.0127813360529074e-07 -5.02978815957568e-08 2.982602688757659e-08 3.949388119577823e-06 -7.934839537538468e-08 1.9525897312698082e-07 6.945514974446313e-08 1.744857741102991e-08 -1.2174557944159689e-07 5.1581414728402214e-08 1.8569657699159567e-08 -8.755117215320136e-07
PC14 1.1934170673014105e-07 -9.771118903747167e-08 -1.9235695603718557e-07 -6.138920807511041e-09 -9.605165367682621e-08 3.193325181225604e-08 -2.7505503877480316e-08 -2.6416812018678457e-08 5.510584416498443e-08 -5.7501897103832195e-08 -1.0991616812550427e-07 -1.0813574025014957e-07 -2.0193041070821746e-08 -7.934839537538471e-08 4.292256355168101e-06 -3.40331978486408e-08 -7.910713753143258e-08 -2.296078445872668e-08 7.971304291213636e-08 1.0819257316715325e-07 -2.1757982263157996e-08 -4.861039819401189e-07
PC15 -4.78189149135093e-07 -1.84237013756672e-07 1.0784988600805261e-07 -2.8432138907810735e-09 -3.9243566713543325e-08 6.338514353848314e-08 -2.2728950256380364e-08 -1.6671718947745208e-07 -1.0414713078750756e-07 3.1246544494587106e-08 -7.200780033645257e-08 8.7873488813432e-08 -8.64457919286148e-08 1.9525897312698085e-07 -3.403319784864087e-08 4.026272821113644e-06 1.407142832758312e-07 -1.6973909974067202e-07 -1.0208198029050498e-07 9.620130243905079e-08 7.770760401907157e-08 -3.857401689678279e-08
PC16 -2.597979883090222e-07 -1.6483837845576638e-07 -1.6509231049361106e-07 7.011111410951034e-09 6.159753655461972e-08 -4.209883474190343e-08 -1.9892080237939935e-08 -1.1423399244659407e-07 4.1947893403687216e-08 1.0574195158359778e-07 -1.6245577609706658e-07 1.5189147715083854e-08 -9.18529304541133e-08 6.945514974446318e-08 -7.910713753143258e-08 1.407142832758312e-07 4.169368585450293e-06 -2.083857407679802e-08 -5.378485364357391e-08 -1.1149161799577706e-07 -6.62661646032767e-08 1.4210667174945132e-07
PC17 2.445194863912111e-07 2.5421180963886378e-08 1.5995193105655964e-07 -1.1045875304982625e-07 1.2021790342864194e-08 2.4439076354261327e-07 2.3424088438030119e-07 -3.9999552486413544e-08 7.353640260930192e-08 1.3652394623020847e-07 2.661828671758706e-08 1.698889036836006e-07 -2.3754852205041122e-08 1.744857741102993e-08 -2.2960784458726608e-08 -1.6973909974067192e-07 -2.083857407679794e-08 3.8010891230856998e-06 -2.4002109630517304e-08 -3.381341655269449e-08 -8.365754637643876e-09 7.263098761023579e-07
PC18 -1.9501038108697194e-07 5.0152728546159187e-08 -1.291752134769006e-09 -1.431385879480498e-07 -8.97303158534923e-08 -1.1141024116650279e-07 -5.7612928387777994e-08 6.86682465991589e-08 -4.65559169934652e-08 -1.552259009821266e-07 1.686857666411991e-07 -1.304109237466825e-08 4.993476614266552e-08 -1.2174557944159689e-07 7.97130429121363e-08 -1.0208198029050495e-07 -5.3784853643573904e-08 -2.40021096305173e-08 3.827624149254883e-06 9.021159529283464e-09 4.270051768055556e-08 1.299509971200751e-07
PC19 6.599088579469835e-07 1.7093091366903967e-08 -1.4034162069616386e-08 1.165402619644054e-07 -6.699391853980388e-08 8.980624806980241e-08 -2.609568313107852e-08 -3.061184929348399e-08 -5.114769897895166e-08 -7.632583280480648e-08 1.4132457166601746e-07 8.034722649153568e-08 -8.012253721444694e-08 5.158141472840222e-08 1.0819257316715321e-07 9.620130243905087e-08 -1.1149161799577712e-07 -3.381341655269456e-08 9.02115952928345e-09 3.865117816489477e-06 1.091221842385155e-07 1.2246716387246235e-06
PC20 1.700232008482323e-07 1.8005635452128067e-08 -1.733296116085353e-08 4.610950208402508e-08 -1.7662183019688095e-08 6.199165974522805e-08 -9.751605070455133e-08 -1.1646342980137722e-07 8.615002206880671e-08 -9.03905094568942e-08 5.57464352139525e-08 1.5482365726545643e-07 -8.297598185423584e-08 1.8569657699159543e-08 -2.175798226315799e-08 7.770760401907162e-08 -6.62661646032767e-08 -8.365754637643929e-09 4.2700517680555564e-08 1.0912218423851549e-07 3.571654151522263e-06 -1.2563536809296775e-07
proband 2.8109285108666826e-07 -1.9513829623089717e-06 -1.9810948910370782e-07 -5.528336805196865e-07 -5.380185657639974e-07 -3.440661754403127e-07 -2.0658162343238144e-07 2.3752330289458277e-07 -5.350811219880153e-07 3.191801443059615e-09 -4.3059434019434833e-07 -1.7260301404518616e-07 7.956489993635199e-08 -8.755117215320141e-07 -4.861039819401189e-07 -3.8574016896782604e-08 1.4210667174945164e-07 7.263098761023575e-07 1.29950997120075e-07 1.2246716387246237e-06 -1.256353680929677e-07 0.0002073983585780465
