 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
PC10 -9.925867859788e-08 2.988678509284557e-08 2.5266637717783873e-07 1.7526130474250573e-07 1.692707682710781e-07 -1.5397288212191964e-07 1.432496530660526e-07 -1.6137249632070835e-07 7.472381329260996e-08 -2.2665165918350068e-07 8.638764052377555e-06 -2.515800677106296e-07 1.1480486462370111e-07 -2.393798198550043e-07 -1.7779456742309047e-07 1.7080014076246568e-07 -3.10392867411383e-08 -1.6691853136367291e-07 2.668875312750794e-07 2.5728112313051775e-07 -5.774583233423469e-08 -4.426039226282782e-07 -1.2055351673069145e-06 3.2905190699107808e-06 -3.299272205294592e-06
PC11 7.923892953993067e-07 -1.1432521038256172e-07 -1.8681373980293885e-08 2.453708618217383e-07 2.430509575002173e-07 -7.264354182680241e-07 -3.036306522675938e-07 5.53359487559019e-07 -6.200411501124068e-07 -1.0069804051084075e-07 -2.5158006771063e-07 8.119192397307353e-06 -1.1789735194054347e-07 -4.993147289650875e-08 -9.439453011898142e-08 1.131167883205956e-07 3.866066495540795e-08 1.389854458238507e-07 -3.829539204334659e-08 1.652400166946836e-07 3.3983257187534434e-07 -5.7084906985376596e-08 3.747948134492661e-06 -6.70442091946407e-06 3.864234733756202e-07
PC12 -1.9092670680834654e-06 4.553062947833341e-07 -3.7099492336376416e-07 5.6560898614335943e-08 -5.440748233890839e-07 4.7624502681545096e-07 -5.825221058603989e-08 6.542992783179368e-08 1.9613923624450475e-08 -1.3516529193657857e-07 1.1480486462370106e-07 -1.1789735194054356e-07 7.678759945033964e-06 6.777773831694382e-08 -5.2554493321017384e-08 -4.02370886687708e-07 -1.917058717217312e-07 1.1297535064374279e-07 -1.0899044214319742e-07 1.386106316349534e-07 -4.812636226887074e-08 3.30490004231151e-07 4.1344313173066985e-06 -3.954960482077724e-06 -1.52155863501162e-06
PC13 1.4424744903783158e-06 1.7422379851735125e-08 9.126187618156462e-08 -2.800705225715972e-07 -9.508242965233062e-08 -8.203606321439944e-07 -2.598266048199736e-07 4.750074124202751e-07 1.3514554630292546e-07 -1.9772851915282786e-07 -2.393798198550044e-07 -4.993147289650861e-08 6.777773831694394e-08 7.201397796652408e-06 -3.195201836233571e-07 5.482373231659136e-07 8.928708056466345e-08 5.15993653118946e-08 -2.1910448200056841e-07 1.0100451947726875e-08 8.495398035837362e-08 -7.263775380942584e-08 -1.48198623035427e-06 -4.035315027411891e-06 -2.6764510402489218e-06
PC14 -1.392947110226686e-06 -2.480763707436842e-07 -1.51861286887589e-07 1.8242988984679024e-07 -1.0055125472810955e-07 3.4155623146642386e-07 -1.4131011348186188e-07 -1.0997820209227302e-07 -5.480008273794006e-08 -3.5850281680434766e-07 -1.7779456742309063e-07 -9.439453011898142e-08 -5.255449332101742e-08 -3.19520183623357e-07 7.854796943885765e-06 5.1478152871607545e-08 1.0241686814119374e-07 -3.5218285214308156e-08 7.822483531784023e-08 1.038310911715351e-07 -2.8929106731974352e-08 -8.129962133252399e-07 1.6620436309120156e-06 -5.704376352575459e-06 2.9164926294665536e-06
PC15 -1.2857522408573028e-06 -4.1868103144875135e-07 2.2063077968062669e-07 -1.4420981769042533e-07 -8.900003033284016e-08 -5.913557683353212e-08 -4.7937062495131085e-08 -1.6905115517435633e-07 -1.658071621434608e-07 -1.0332990293335362e-08 1.70800140762466e-07 1.1311678832059582e-07 -4.023708866877082e-07 5.482373231659135e-07 5.1478152871607545e-08 7.76799532107839e-06 2.365735590104543e-07 -5.060556777868164e-07 -8.896899074026766e-08 -3.7272337545800386e-08 2.053830346544189e-07 -4.954675399226962e-07 2.396149080777963e-06 -4.349907035375688e-06 -4.80814752515825e-07
PC16 -3.5091488033292236e-07 -3.8912919337294763e-07 -9.194911198230624e-08 -2.0047566423904914e-08 2.0443832116524757e-07 -1.001805098946112e-07 -9.248212097065692e-08 -2.6652079630385413e-07 9.131967169193612e-08 2.83731859571945e-07 -3.1039286741138333e-08 3.866066495540791e-08 -1.9170587172173117e-07 8.928708056466343e-08 1.0241686814119386e-07 2.365735590104544e-07 7.875169079294422e-06 -2.5297157127600606e-07 9.019468551873428e-08 -4.948665730637168e-07 5.898391029296907e-08 -5.234669804626821e-07 2.786710787290414e-06 6.124709727882675e-07 -2.0046394503969997e-06
PC17 5.251279000243938e-08 8.368386476481468e-08 2.8013499365832085e-07 -1.446851111904816e-07 -7.529238199062068e-08 5.341922985701522e-07 3.6346145905168044e-07 -2.0757831867394203e-07 5.562035183534125e-08 1.847152208259963e-07 -1.6691853136367294e-07 1.3898544582385068e-07 1.1297535064374283e-07 5.159936531189471e-08 -3.521828521430799e-08 -5.060556777868161e-07 -2.5297157127600595e-07 7.156095038741233e-06 1.248030844297731e-07 -1.2310102604064511e-07 2.3593727208440642e-08 2.1272854134893223e-06 -1.4197752253704934e-06 2.336688302555497e-07 1.6847632582793759e-06
PC18 -4.414410839832064e-07 -1.2814727102534715e-09 1.8276060795222692e-08 -1.957842217985843e-07 -1.6526503594149262e-07 -2.132993132430975e-07 -2.755484691237233e-07 1.355108195282435e-07 -2.702265570884999e-07 -4.657000876704978e-07 2.668875312750797e-07 -3.829539204334694e-08 -1.0899044214319756e-07 -2.1910448200056855e-07 7.822483531784035e-08 -8.896899074026743e-08 9.019468551873424e-08 1.2480308442977316e-07 7.289400814472148e-06 -1.4438373480994552e-07 1.7471052821327878e-07 -3.080524058736291e-07 -3.364659769477282e-06 9.108996776024725e-06 7.479450335498348e-07
PC19 1.7050760644547322e-06 9.76969030596668e-08 -1.1354033109446178e-07 1.9981154948058867e-07 -1.1982230728278386e-07 2.51568978651901e-08 -9.432308744267647e-08 1.2524511448631913e-08 -2.76977842482766e-07 -2.535611284620256e-07 2.5728112313051765e-07 1.6524001669468348e-07 1.3861063163495348e-07 1.0100451947726746e-08 1.0383109117153505e-07 -3.7272337545800525e-08 -4.948665730637169e-07 -1.231010260406452e-07 -1.4438373480994558e-07 7.1635957385901794e-06 3.605327286843266e-07 1.1854983111932754e-06 2.1146972371721928e-06 -4.824507654442506e-06 4.309660034248825e-06
PC20 1.4481862147112099e-06 -3.059372428083142e-08 -1.0432920667430497e-07 1.0811914354591994e-07 -7.629068685679837e-08 -5.8267018362912835e-08 -2.840671328365907e-07 -1.1978805646941142e-07 2.352353772388046e-07 -2.9311735727150817e-07 -5.7745832334234713e-08 3.398325718753442e-07 -4.812636226887058e-08 8.495398035837353e-08 -2.892910673197447e-08 2.0538303465441882e-07 5.898391029296892e-08 2.3593727208440586e-08 1.747105282132791e-07 3.605327286843265e-07 6.563778258922162e-06 -1.1967811404597935e-06 2.570276082278965e-07 -1.5437883959606117e-06 4.67276528876478e-06
proband -8.363975875830544e-06 -1.9330172691941046e-06 5.151961684915006e-07 -9.325871037967976e-07 -8.014549574372503e-07 6.335079025002356e-07 1.1832090739557254e-06 -9.50144251617394e-07 -1.2324018915460724e-07 8.793999455596356e-07 -4.4260392262827816e-07 -5.7084906985377106e-08 3.30490004231151e-07 -7.26377538094264e-08 -8.129962133252412e-07 -4.954675399226976e-07 -5.234669804626821e-07 2.127285413489321e-06 -3.0805240587362893e-07 1.185498311193276e-06 -1.196781140459793e-06 0.0004657061503837999 -0.0002408741121914084 -8.916444326098896e-06 1.3237409302669982e-05
paternal 8.100658832266141e-05 -2.0159170581225207e-06 2.9842823257250036e-06 -4.6220932418944505e-07 3.4920183173948627e-06 -2.779582870203223e-06 -2.4414973966218303e-06 6.060468303882529e-06 -5.493934350778826e-07 -5.391227771037248e-06 -1.2055351673069176e-06 3.7479481344926615e-06 4.134431317306696e-06 -1.4819862303542715e-06 1.6620436309120273e-06 2.3961490807779697e-06 2.786710787290411e-06 -1.4197752253704985e-06 -3.3646597694772834e-06 2.114697237172191e-06 2.5702760822790303e-07 -0.00024087411219140832 0.0020664329094379117 -0.0015125347249827768 -0.0012343311691851802
gpp -0.00012052197810609017 -2.0284312469890744e-06 1.095030506006989e-05 4.938902905349035e-06 3.554822064475058e-06 6.8784002002779835e-06 1.2771119018478149e-06 -3.376288782355739e-07 -5.763135939333753e-07 7.716660935954872e-06 3.29051906991079e-06 -6.704420919464069e-06 -3.954960482077716e-06 -4.03531502741188e-06 -5.7043763525754654e-06 -4.349907035375693e-06 6.124709727882674e-07 2.3366883025555227e-07 9.108996776024714e-06 -4.824507654442496e-06 -1.543788395960615e-06 -8.916444326099062e-06 -0.001512534724982775 0.0035586262161665084 -0.0005598015801351692
gmp -2.2251614528563244e-05 -1.273032574255405e-06 -6.058439519582995e-06 -5.245177436686601e-06 -8.613315886598441e-06 -4.479342246155945e-06 -3.817258568904605e-06 -9.424557758559331e-06 -1.6385297045303579e-06 1.0918354719418002e-06 -3.2992722052945936e-06 3.8642347337561865e-07 -1.5215586350116225e-06 -2.676451040248927e-06 2.9164926294665434e-06 -4.808147525158294e-07 -2.0046394503969967e-06 1.6847632582793795e-06 7.479450335498432e-07 4.309660034248816e-06 4.672765288764774e-06 1.323740930266983e-05 -0.0012343311691851812 -0.0005598015801351664 0.0028762054322595356
