 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
intercept 0.03013854077671748 0.011189576913100316 -0.00036092414659118525 3.6987741605837335e-06 0.052463639773107466 -0.005379893199064164 0.0001745751389801422 -1.8051075800991135e-06 5.877739451118632e-06 1.8861405190119787e-06 1.4210067747422042e-06 -6.957699889984236e-06 3.336193745051583e-06 -1.2969229052422126e-05 4.235674664661737e-06 1.8843129676774815e-06 -3.078091032904333e-06 -2.277615606681467e-06 -2.2707551303240372e-05 -7.827551977514843e-06 -2.8118385244205365e-06 -9.06959677510447e-08 5.456594258280254e-07 1.6128369749102094e-07 6.907576748293079e-06 -8.049335745188021e-07 1.72765882517745e-05 -1.0096061930621668e-05 7.113759977159474e-06 1.0353161263659533e-05 0.00018118423204088705 -5.282032738154889e-05 5.350445023532714e-05 -9.510432308358612e-05 -2.4461874089148794e-05
age 0.011189576913143219 0.00861664748402987 -0.00025986376753132337 2.4807165075337693e-06 0.08515110761969708 -0.008175389802985301 0.0002462926815196041 -2.349490370218085e-06 4.541781260223912e-06 -2.225177786033774e-06 -6.075697854925513e-06 4.419994353370478e-07 1.0176789382980784e-06 7.542840770176332e-08 1.8405555180868584e-06 4.6572180384006694e-07 3.632570742201435e-07 -3.7276668496698923e-06 -5.226278994032086e-06 9.58364433342671e-07 -3.409970943737495e-07 -1.823557495683874e-06 4.390123322367367e-07 8.82079516729017e-07 1.221544919546693e-06 -3.019234707878395e-06 2.9672060688453572e-06 -2.71463883646059e-07 1.616663856997637e-05 8.698731627835709e-05 0.00011970055291584825 -9.745855300834307e-05 -4.2401611703041494e-05 -0.00014346179895046384 3.772897704551317e-05
age2 -0.00036092414659301175 -0.0002598637675319912 7.924139740345784e-06 -7.64456010485743e-08 -0.002541596037147552 0.0002466933879332196 -7.513283835860384e-06 7.242297656383261e-08 -1.5477406717391676e-07 9.295124733021167e-08 1.6961357935214398e-07 -2.9310182270054836e-09 -2.8712605220428853e-08 -2.2421798506612047e-10 -3.823303182093588e-08 -1.0752374635061076e-09 -1.0627931014579302e-08 9.439240002086115e-08 1.967249773819712e-07 -2.7372567684195903e-08 1.1593336165190666e-09 4.134326120339402e-08 -8.170020662006903e-09 -4.129535073830747e-09 -5.081133161379175e-08 8.292996258725616e-08 -1.1298565394950698e-07 3.0812252147814786e-08 -3.5788791567945303e-07 -2.690170033501791e-06 -3.571136535696622e-06 3.3950291956590855e-06 8.850641368443441e-07 3.959950907907259e-06 -9.93136229431019e-07
age3 3.6987741605988073e-06 2.480716507537327e-06 -7.644560104851286e-08 7.453958304067041e-10 2.4062543574462915e-05 -2.358360166963641e-06 7.257520545400566e-08 -7.069936718256533e-10 1.635854815821999e-09 -1.0428569723558658e-09 -1.5054556594680734e-09 -9.421034001409873e-11 2.2486332096796628e-10 -5.868532521099754e-11 2.203277027125272e-10 -5.2480063188897685e-11 1.0903958011856544e-10 -7.157364484091045e-10 -2.2536714447924085e-09 2.231651717090985e-10 6.181136514452762e-11 -3.2708229411037646e-10 2.7724037487447273e-11 -1.4084962067722928e-10 6.49258081459989e-10 -7.120581252117949e-10 1.357078576772126e-09 -4.809190354614966e-10 1.7471432474816712e-09 2.6056256390895125e-08 3.43554445094887e-08 -3.426224952925992e-08 -5.618225277076636e-09 -3.3504274601755944e-08 6.814361480873138e-09
sex 0.05246363977479743 0.08515110762046493 -0.002541596037171125 2.40625435746931e-05 1.7881936766604336 -0.16812640525899913 0.004953810178222156 -4.6147073117670336e-05 7.000559270881076e-05 -4.915170894764975e-05 -5.856845808644416e-05 2.4428076562721312e-05 -5.7166310135420005e-05 0.00012640127017194734 -2.0347393996151263e-05 1.6249712345492678e-05 1.211196360915699e-05 2.064036524442985e-05 3.004063833734404e-05 7.079029772211662e-05 1.5960046996300196e-05 -3.694543376176854e-05 -4.869246407769361e-05 -6.353166384431211e-05 5.800955936170296e-07 -1.5227506092065313e-05 2.7810461241651104e-05 5.89552520829385e-05 -0.0005406512295797107 0.0013926723898655784 0.0025181794730915166 -0.0004782125287360891 -0.00038797151347495833 -0.0016187302676583895 -0.0007263739536433409
agesex -0.005379893199236172 -0.008175389803072869 0.00024669338793587817 -2.358360166989202e-06 -0.16812640525897213 0.01600935290919747 -0.00047709695302593696 4.489488486076717e-06 -6.98124840339618e-06 5.213247809342415e-06 6.12279307516682e-06 -2.4066626682409265e-06 5.207717411835359e-06 -1.237757608924709e-05 2.6275323160398323e-06 -1.1231215267769095e-06 -1.927522508938561e-06 -2.225339308400684e-06 -1.768883921771186e-06 -6.995154343765738e-06 -2.2889642244728657e-06 3.1966907622164525e-06 4.143873473018352e-06 6.94753817165945e-06 -9.941596174668546e-07 1.475682197482011e-06 -2.6871968088588314e-06 -5.342236762000686e-06 5.214444784983819e-05 -0.000141954829922146 -0.00024107892365722293 7.023733981704141e-05 2.689791550070637e-05 0.00017066433575285077 6.175218695726799e-05
age2sex 0.00017457513898514872 0.0002462926815220504 -7.513283835934923e-06 7.25752054547253e-08 0.004953810178220384 -0.00047709695302584475 1.4380552048806207e-05 -1.3679903541127425e-07 2.195883841689979e-07 -1.771251502922194e-07 -1.968005292327487e-07 7.522804689915913e-08 -1.5413066973632189e-07 3.7649487632124345e-07 -9.604590169902696e-08 2.0124740261397573e-08 8.011192359393603e-08 7.83269528390632e-08 1.0304727375495866e-08 2.1460716092692227e-07 8.874920097933022e-08 -8.61911877600284e-08 -1.1550010491923475e-07 -2.2894843630115935e-07 5.5234826681583407e-08 -4.742108656189004e-08 8.269665089701024e-08 1.491375243153957e-07 -1.6666496343612641e-06 4.549634847763505e-06 7.100012045005266e-06 -2.6378649956934167e-06 -5.508533325195006e-07 -4.966456682005999e-06 -1.7143478036834877e-06
age3sex -1.8051075801501909e-06 -2.3494903702446656e-06 7.242297656463546e-08 -7.069936718333229e-10 -4.614707311764306e-05 4.4894884860748395e-06 -1.367990354112441e-07 1.3158800747514335e-09 -2.219346717637395e-09 1.898826961326929e-09 1.989262384114728e-09 -7.19780816332942e-10 1.4670994817051797e-09 -3.578417974612062e-09 1.0806881895919978e-09 -7.490296982629659e-11 -9.399935412376006e-10 -8.640376682442945e-10 3.265038343351324e-10 -2.0622056963195057e-09 -1.013881706359348e-09 7.889841836361109e-10 9.757285307564697e-10 2.2919965516923355e-09 -7.776572195594922e-10 4.6465906265474966e-10 -8.911837102171008e-10 -1.3152877136629467e-09 1.7207935080171496e-08 -4.6269800244429746e-08 -6.516479807051553e-08 2.927718552071017e-08 3.27543868531067e-09 4.220683014763304e-08 1.5835378761319758e-08
pcs.V3 5.877739451168804e-06 4.5417812602268994e-06 -1.5477406717406266e-07 1.6358548158240333e-09 7.000559270858846e-05 -6.981248403376114e-06 2.1958838416843987e-07 -2.2193467176325856e-09 3.7767446872412115e-06 1.240959765333971e-07 -4.7402005653638155e-08 -5.5519718645158744e-08 1.3692569056419618e-07 9.233785330055606e-08 1.3972314587392396e-08 7.935700031559659e-08 -8.405140207100917e-08 1.2538001670968513e-07 -1.1205756542589427e-07 -2.1613621933038604e-08 4.2347820584202765e-08 -2.3339215539742553e-08 -1.5731488946635829e-07 4.0397044745397896e-08 5.609778308771093e-08 -3.283429307736109e-08 1.1717305438819006e-07 7.414837801632168e-08 5.131315070695122e-07 -2.376035009044868e-06 -3.3971855463940128e-06 4.705130076793206e-07 4.493397884995929e-06 1.137315500790099e-06 6.1813810512028294e-06
pcs.V4 1.8861405189545473e-06 -2.2251777860640793e-06 9.295124733114126e-08 -1.0428569723649263e-09 -4.915170894777774e-05 5.213247809355566e-06 -1.7712515029264515e-07 1.8988269613312995e-09 1.2409597653338448e-07 3.618329478084337e-06 2.5949555111770144e-08 4.7371929795120855e-08 8.421878332243328e-08 -4.8138259046135056e-08 -1.0114646663380432e-07 1.9787210418950236e-08 8.229475611846052e-08 -6.798690147929794e-08 2.6506029103647645e-08 -9.006615202359763e-08 -2.1343347305983327e-07 9.072040059601912e-08 1.2307549455735872e-07 8.711044050190027e-08 1.055597514167085e-07 5.332811596668285e-08 -5.257702765666021e-08 3.7454595947845254e-08 -1.149800020134548e-06 -4.410890164745424e-06 -5.260548719058608e-07 1.57148132512859e-06 2.7654465330257595e-06 -5.242278315900648e-06 1.8753100636581449e-06
