 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.0001007099318736007 6.283472056237634e-06 -1.8293161145353548e-07 1.835535554532036e-09 -2.987487302143203e-05 2.3592485251330803e-06 -6.066916411353198e-08 5.218664992568561e-10 2.1537861856117834e-07 2.8619518649835053e-07 -1.9262836792992455e-07 -1.2477880260273867e-07 -7.327538828499499e-08 6.646158791041994e-08 -6.81658576654694e-08 7.209494759053021e-08 -2.2771044865889684e-08 -1.0328885336775137e-07 -1.0857859963213075e-07 -4.7842650242580477e-08 -3.190225519992289e-08 4.209039272854739e-08 -3.656632193354705e-08 -3.565519914872181e-08 2.2729195948191287e-08 5.1114858195767185e-09 3.5524880641547926e-08 -1.5510645333279207e-08 -3.148351618967907e-07 2.1256040529526693e-06 -2.0803679096159014e-08
age 6.283472056341813e-06 0.0002706173087718669 -6.21173394474544e-06 4.429419100374552e-08 0.0034068749312457253 -0.0002570201425349724 5.885447188399345e-06 -4.1840281233081666e-08 -1.3945995078599312e-07 2.530225284607192e-07 -7.459088357276615e-08 2.18504030098058e-07 1.4389542990762492e-09 4.205164144814686e-08 7.996377060037599e-08 6.067996517799901e-08 7.943645818680163e-08 -3.3053594153221726e-07 -7.642228752889992e-08 -2.7593535381828865e-09 -1.2536639710026037e-07 -1.674487332563675e-07 -1.7475621908584635e-07 1.7017565260785084e-07 1.7600782656624976e-07 -3.095737710426548e-07 1.3996006876754232e-07 2.983408656347264e-07 8.716931410395418e-08 -8.400163407096645e-07 -9.162756312497691e-07
age2 -1.8293161145192316e-07 -6.2117339447478645e-06 1.4532282176458794e-07 -1.0538088937269236e-09 -7.644154046880224e-05 5.892441430167704e-06 -1.3755223481723273e-07 9.945821286914365e-10 5.34487706384973e-09 -5.472885808340636e-09 1.0335703944370264e-09 -5.39921526126861e-09 -9.89386910582369e-11 -1.8627126205645786e-09 -1.2435906222412226e-09 -5.614200152280634e-10 -1.7935972092730574e-09 7.355077509676318e-09 2.1633799188851637e-09 3.3947967792058765e-10 2.6622133095911243e-09 2.8026445762506644e-09 3.06544454125087e-09 -3.10519692190755e-09 -4.5856704393222246e-09 6.67270586446935e-09 -3.6054520738432504e-09 -6.988213207049459e-09 -4.917388175946248e-09 1.0927740917374693e-08 2.6811409145574992e-08
age3 1.8355355545267696e-09 4.429419100374405e-08 -1.0538088937265286e-09 7.765577283829973e-12 5.347633045362054e-07 -4.193823852694002e-08 9.957831170285523e-10 -7.317637587933332e-12 -5.029727066623085e-11 3.995582353349815e-11 -6.615237485866221e-12 3.989836398284252e-11 -8.171675852327503e-13 1.84342989454531e-11 5.839492805417845e-12 4.784210785263188e-13 1.4145957416560048e-11 -5.060191832589048e-11 -2.046821934210761e-11 -4.537650913159129e-12 -1.8826434985075382e-11 -1.3097026816530568e-11 -1.7192930324724838e-11 1.6829844463317285e-11 3.598098215959374e-11 -4.513465762056704e-11 2.8166353445022933e-11 4.989846989867335e-11 5.7776216299520536e-11 -3.184863991657708e-11 -1.938528388555886e-10
sex -2.9874873018166025e-05 0.0034068749312427754 -7.644154046873266e-05 5.347633045357086e-07 0.11603836207542875 -0.008665324208673083 0.00019749456896342102 -1.4031204112446894e-06 -2.2323158964688987e-06 -4.337808258415898e-07 1.9714056703369344e-06 1.4780729633928396e-06 -3.3605576848780177e-06 -7.03478880899564e-07 2.793954685893871e-06 -4.624223017450326e-08 -1.9953141438109014e-06 -2.016478470411366e-06 -1.6354193879395594e-06 2.013401387479227e-06 1.43652626650072e-06 -1.3302526421098258e-06 -3.4560175349459112e-06 1.4962312545229046e-06 1.153385272283388e-06 -3.990978549249452e-06 2.7075631641837574e-06 7.800986075740103e-07 -1.5903172059518224e-05 -1.0433603590567503e-05 5.95872222514235e-05
agesex 2.3592485252055765e-06 -0.0002570201425348548 5.8924414301650124e-06 -4.193823852692092e-08 -0.008665324208673194 0.0006647257932252514 -1.5464984345114387e-05 1.1169720704820942e-07 2.2763698809742935e-07 4.098760977118219e-08 -1.4352066458167513e-07 -8.303571686352778e-08 2.1759351375774844e-07 -5.01281453807864e-09 -1.3152890747786967e-07 3.5356224554663837e-08 1.5062362840170878e-07 1.6466424515367305e-07 1.1026487888890708e-07 -1.2862275139983727e-07 -1.545508778589322e-07 6.389767013954738e-08 2.300593649462486e-07 -5.573639358915629e-08 -1.5829795023713813e-07 3.088621052825179e-07 -2.3625453639921344e-07 -7.931348738413956e-08 1.3581347888709618e-06 6.980000726929038e-07 -4.14212742213251e-06
age2sex -6.066916411498894e-08 5.885447188392127e-06 -1.3755223481707245e-07 9.957831170274463e-10 0.00019749456896342386 -1.5464984345114424e-05 3.665797727500804e-07 -2.6915732178605816e-09 -6.5176168981028525e-09 -1.2593192009783562e-09 3.203597857022635e-09 1.7696353926546615e-09 -4.578419186153791e-09 9.617859121641431e-10 1.9522021907222846e-09 -1.6044928674122516e-09 -3.0780856771557434e-09 -3.5963570755659194e-09 -2.7446572944400173e-09 2.4925051420107697e-09 4.385348086881963e-09 -3.2711591879849873e-10 -5.117805204870758e-09 -2.110722530471331e-10 4.581819864690581e-09 -7.586923798579608e-09 5.9517549250188615e-09 1.7268753279760406e-09 -3.191527185141616e-08 -1.5266725362043576e-08 9.328306964562803e-08
age3sex 5.21866499267697e-10 -4.184028123303647e-08 9.945821286904013e-10 -7.317637587925984e-12 -1.403120411244704e-06 1.1169720704820914e-07 -2.691573217860567e-09 2.0073398505967163e-11 5.231114993250443e-11 1.2814370878093198e-11 -2.1422564800035985e-11 -1.4185784270332818e-11 3.285716376019257e-11 -1.0038657198356021e-11 -9.446432564132409e-12 1.4604055131202595e-11 1.8623698951608395e-11 2.3026118110700843e-11 2.0997112375672633e-11 -1.5116856961529232e-11 -3.530252745524448e-11 -4.632687449541437e-12 3.6701402120477274e-11 1.285179031504982e-11 -3.705641927964005e-11 5.806608570296113e-11 -4.5778468945556954e-11 -1.1677667429820937e-11 2.5783367876354265e-10 9.686734066650254e-11 -6.710714498692611e-10
pcs.V3 2.1537861856115163e-07 -1.394599507858546e-07 5.34487706384669e-09 -5.02972706662104e-11 -2.2323158964689956e-06 2.276369880974579e-07 -6.517616898104065e-09 5.2311149932517135e-11 1.107124517802354e-06 9.323125968811114e-08 -2.40046433145218e-08 -9.339549671716777e-09 8.766708504774083e-09 1.4715377278834841e-08 -7.3024238214196336e-09 1.1274470832349282e-08 7.986080403743269e-09 1.9930433480089264e-09 -3.785079275523279e-09 7.033224157944166e-09 -1.0775224596059626e-09 -1.504471648741882e-08 -9.207239746202924e-09 -7.069037662746247e-09 4.706182927892857e-10 -9.539318060638335e-09 8.724633387278006e-09 1.721400731490519e-09 4.476600496833286e-08 4.70627731404722e-07 5.844100893818117e-07
pcs.V4 2.8619518649833216e-07 2.5302252846075483e-07 -5.472885808341801e-09 3.9955823533508757e-11 -4.3378082584147936e-07 4.098760977114678e-08 -1.2593192009769341e-09 1.2814370878078854e-11 9.323125968811091e-08 1.2023793827384195e-06 4.1022063218145605e-08 4.468240175318896e-09 1.5684228203231573e-08 -2.7995374004838203e-08 -2.6197247586198895e-09 2.857092574667461e-08 -4.05921700671242e-09 -3.6292843353168756e-09 7.675409072675634e-09 -5.219623154651324e-09 -9.799196210715895e-09 1.4952208532261588e-08 1.688269797407107e-08 5.739336293905664e-09 9.544348906830735e-09 1.7589779697853836e-09 -7.196342626519524e-09 -5.1315637026693565e-09 -1.7895442037889945e-07 -7.376281931547852e-07 -7.02198504055601e-07
