 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
intercept 0.010332285486277782 0.0037855493426695733 -0.00011974232471878759 1.2021173679726809e-06 0.011014646530875569 -0.001067421415829238 3.246535535386604e-05 -3.1373021130476464e-07 -4.246095963793961e-07 2.414172913032429e-06 2.1291026908562058e-06 -7.634679731487127e-07 1.1418955996904532e-06 -9.136315682494617e-06 -3.0187010908764825e-06 -2.133663412070857e-06 -1.6107636177764712e-06 -4.0981079329115914e-06 -1.021569518206872e-05 -4.1197127921407205e-06 -7.713358758009908e-07 2.705509333124958e-06 3.617444912049212e-06 -1.0856058332367319e-06 -5.376802527068828e-07 -3.678076440139677e-06 6.8807957449752755e-06 -4.3457298819328366e-06 -2.810233690342538e-05 -3.876762697145857e-06 -2.1332162780461228e-05 6.631942372600798e-05
age 0.003785549342713092 0.004223158850620998 -0.000122534029774134 1.1187935556741368e-06 0.04280357013555327 -0.003972315909267472 0.00011500649535268055 -1.048161445872876e-06 -9.332504573538865e-08 -2.018404114614951e-08 -2.773171640950474e-06 1.058335687159361e-06 -1.931450232667937e-07 -1.4506968200031663e-06 1.3851299175503795e-07 -1.0424575428400419e-06 -1.0275734462398553e-06 -3.6001190951606313e-06 -1.9671533338285655e-06 8.681996531962346e-07 -1.469466531620121e-07 2.5660983228413693e-07 1.2620586425074266e-06 5.878669661009051e-07 -2.338654880706556e-06 -2.5986853548929652e-06 2.93284049788765e-07 5.217291154740625e-07 -2.196198035495111e-06 -1.4325994545482552e-05 -1.975412433193901e-05 5.9153741027398454e-05
age2 -0.00011974232472002315 -0.0001225340297741017 3.59858148479413e-06 -3.3239375057472987e-08 -0.001224955772161578 0.00011504154010211582 -3.370396954261864e-06 3.106986952355842e-08 -4.419045612494375e-09 1.6565060561850975e-08 7.200275259281333e-08 -2.980432470942554e-08 2.5121217677421593e-09 4.786207275854062e-08 1.201669511948014e-08 4.3625610250389574e-08 2.9039717050160255e-08 1.0599875155539054e-07 7.437991155059893e-08 -2.2232136478818507e-08 -2.3578904132911142e-09 -1.7754526037928303e-08 -3.951233203808039e-08 -5.255631123843659e-09 5.7658585610561324e-08 7.38808136856128e-08 -2.114807861874716e-08 4.792092217979492e-11 1.3551965301406204e-07 2.4859011045951035e-07 8.94341059874291e-07 -1.7759720423799307e-06
age3 1.2021173679846308e-06 1.118793555674889e-06 -3.323937505750133e-08 3.1072016512631306e-10 1.105000928210912e-05 -1.0487798838422275e-06 3.107799691813327e-08 -2.89897060150076e-10 1.093063982131514e-10 -2.41407332899137e-10 -5.784294118290095e-10 2.499776030560626e-10 -3.7550670792802986e-12 -5.177361386064508e-10 -2.5954130917385725e-10 -5.023286419070767e-10 -2.438208366187156e-10 -9.736530845986392e-10 -8.469302668356835e-10 1.7169799686054362e-10 8.024486769203028e-11 2.291595269507087e-10 3.843219502022199e-10 -6.176462620171625e-11 -4.1590622763626964e-10 -6.790043620838894e-10 3.234428658238198e-10 -1.266428924004992e-10 -2.161108657859322e-09 -9.016876057494847e-10 -9.633594776274935e-09 1.5982108744895562e-08
sex 0.011014646532155498 0.04280357013646007 -0.0012249557721880995 1.1050009282352597e-05 0.955749292510202 -0.08752866436252038 0.0025031746706740683 -2.2544614874931105e-05 2.327273291557879e-05 -2.654607489425442e-07 -1.967958822069407e-05 2.2391615187969796e-05 -2.868085432435308e-05 4.456504111652051e-05 -9.20678143421663e-06 -1.8248669315308515e-05 -9.741389196694846e-06 -8.791464622491244e-06 2.440597346600186e-05 5.4402920843894326e-05 4.214710191740458e-06 -7.378839543898866e-06 -1.988052138790675e-05 -2.068638857812154e-05 -1.895211895939663e-05 -2.39249256035975e-05 2.005993520499972e-06 3.1301688830587246e-05 -0.00019240015920190512 -0.000374165560343912 0.0012026676295938499 -3.427822991133643e-05
agesex -0.0010674214159371541 -0.003972315909330869 0.00011504154010398415 -1.0487798838596321e-06 -0.08752866436251869 0.008130944674342062 -0.00023549711528121555 2.1450079781943057e-06 -2.0592209644388087e-06 4.1178707312320225e-07 1.9871742480727275e-06 -2.1298694537597235e-06 2.4779429398264746e-06 -4.270375280877291e-06 1.2782007418328756e-06 2.061361154712819e-06 5.125983440244428e-07 9.676832552811974e-07 -2.053756321653444e-06 -5.093656294794487e-06 -8.44441135943964e-07 3.2780873940753296e-07 1.7905267389274543e-06 2.452566519364061e-06 1.1147817950066069e-06 2.2557364956622648e-06 -6.707462202722618e-08 -2.7790226201036136e-06 1.9748305105412622e-05 2.6341636457630628e-05 -9.537605074725952e-05 -1.8673248252058684e-06
age2sex 3.246535535712963e-05 0.0001150064953547843 -3.3703969543238932e-06 3.1077996918708214e-08 0.0025031746706739343 -0.0002354971152812077 6.907925924571017e-06 -6.369216269168917e-08 5.7980166869197285e-08 -2.4061693662337554e-08 -6.114254671930282e-08 6.386690178435709e-08 -6.880932810503076e-08 1.2647258004248445e-07 -4.8330917155296114e-08 -7.124344495901101e-08 -2.362214257361581e-09 -3.0388819355274053e-08 4.9738875014758453e-08 1.4884623791746998e-07 3.773949708762632e-08 -1.2220927877385369e-09 -5.162968248934166e-08 -8.617502492835213e-08 -1.5492232576051416e-08 -6.790833387937238e-08 -2.1541804860138923e-09 7.57216333099691e-08 -6.471351762086749e-07 -5.218854225282334e-07 2.370399139680456e-06 1.7027890241149713e-07
age3sex -3.1373021133303447e-07 -1.0481614458905514e-06 3.1069869524080594e-08 -2.8989706015492926e-10 -2.2544614874928645e-05 2.1450079781941185e-06 -6.369216269168583e-08 5.947157232834059e-10 -5.452289070990739e-10 3.3895028532540053e-10 5.868887534561268e-10 -5.888542878272239e-10 6.066862478341684e-10 -1.166688564678448e-09 5.554621127625452e-10 7.534535180473997e-10 -9.2604287326132e-11 2.842015562702237e-10 -3.578690788855083e-10 -1.374673817082393e-09 -4.755416463069933e-10 -2.4909429970202184e-11 4.389256950557988e-10 9.085668876304191e-10 -2.9543012894506855e-11 6.421283200301693e-10 2.5368720989373195e-11 -6.496570475381649e-10 6.801666614839598e-09 2.5029019631122875e-09 -1.834404747551759e-08 -2.4947886053535892e-09
pcs.V3 -4.2460959634940004e-07 -9.33250457007735e-08 -4.419045613510418e-09 1.0930639822251673e-10 2.327273291597898e-05 -2.0592209644760723e-06 5.798016687028041e-08 -5.452289071089867e-10 2.914915814376919e-06 1.2291942801145e-07 -1.211347148914113e-08 -3.610123544486457e-08 6.575770719637615e-08 3.251018131554802e-08 -1.1435320084619985e-08 5.299931747095791e-08 -7.920927749186503e-08 9.587797069391028e-08 -5.511811237994282e-08 -2.029186744513109e-09 -1.0631104685747926e-08 1.8467222798426366e-08 -7.729852917793648e-08 2.712842667834226e-08 1.2731280937896933e-08 -7.99974090609034e-09 7.464930449971328e-08 2.655959885586565e-08 6.214690629415085e-07 -2.1207802567382024e-06 7.630999838141917e-07 3.3544856973113074e-06
pcs.V4 2.414172913027014e-06 -2.0184041145579695e-08 1.656506056183477e-08 -2.4140733289899507e-10 -2.6546074883865146e-07 4.117870731134639e-07 -2.4061693662053e-08 3.3895028532278886e-10 1.2291942801145451e-07 2.8097226159777775e-06 4.309155090316218e-08 1.983220134108905e-08 3.826219017571051e-08 -5.055135186758764e-08 -5.8285416778187614e-08 3.903585827494514e-08 7.676303619715814e-08 -4.694007124882855e-08 3.6967573210255425e-08 -2.834596686288295e-08 -1.2627479192498927e-07 6.222541370374171e-08 9.307126206395488e-08 3.5390972167730675e-08 3.9064164694232145e-08 2.7493712482346894e-08 5.048886186507365e-09 4.2108922164378494e-08 -1.7943846363128022e-06 -2.9122169888399974e-07 -8.958894288610875e-07 -1.28891377248127e-07
