 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
intercept 0.0027762320424029848 0.0009782670112513175 -2.979800530407221e-05 2.877378570204749e-07 -0.0038258133302913025 0.00038846963150864205 -1.2316662982706427e-05 1.2253602956333332e-07 -2.389940608773717e-06 2.411361786607985e-06 7.109622852594343e-07 9.2146321343747e-07 1.4505650976049523e-06 -8.630362403123048e-07 2.4449245106783724e-06 -4.448088837047302e-08 -1.1270625709867375e-07 -1.5902331434771384e-07 1.561787623001451e-09 -1.6572190209282219e-06 -1.0599973245804002e-07 1.5267810791321363e-06 1.2550856958484536e-06 5.288303892785391e-07 -1.941467289363977e-06 -3.734104774893815e-07 -1.3512515500688063e-06 -2.247148341401765e-06 5.945081213557689e-06 1.3105447714612282e-05 2.010422465252933e-05 -2.269437614716642e-05
age 0.0009782670112524828 0.002042798257000692 -5.616300711617987e-05 4.825080829398422e-07 0.021794278965668358 -0.001936726265478766 5.319042664532013e-05 -4.564801040564412e-07 -1.622279349269811e-06 8.242288052451815e-07 -9.209970471374648e-07 1.7027278272796529e-06 1.3955093883689845e-07 -1.0198365250063397e-07 1.477749773996793e-06 9.055054585550796e-07 3.5882257832888597e-07 -1.96504988249228e-06 7.941705207535605e-07 5.088860224026522e-07 -5.855605761370221e-07 1.7266356562202026e-07 5.278690463066733e-07 1.0227430072447603e-06 -1.6350256770630958e-06 1.5346532212215772e-07 -1.2585305035363458e-06 3.3777297944482644e-07 -5.653627405124237e-06 1.1750972573036937e-05 -1.5971577070696645e-05 1.290446394304733e-05
age2 -2.9798005304063654e-05 -5.616300711607597e-05 1.564024201109897e-06 -1.359725243390603e-08 -0.0005899687703807156 5.3128804177568975e-05 -1.4779536847057364e-06 1.2834667984350418e-08 4.559181796830057e-08 -1.7752238428852227e-08 2.100385074192279e-08 -4.7212316408580465e-08 -5.91530912761512e-09 1.520597326440794e-09 -3.9797663946286056e-08 -2.072342162436054e-08 -1.10718806633601e-08 4.807261314936761e-08 -2.307928494521357e-08 -1.2376216998387637e-08 1.2782163467978468e-08 -1.1940658564876152e-08 -1.7086961331415455e-08 -1.949087496067697e-08 4.711552879637809e-08 -5.391724865554582e-09 3.855397828943083e-08 -5.489808306512518e-09 1.01686822703235e-07 -2.872935767561546e-07 3.8651950950655896e-07 -3.668219897287553e-07
age3 2.8773785702061553e-07 4.825080829390492e-07 -1.3597252433907007e-08 1.196371484871411e-10 5.0020007450385165e-06 -4.555411370160972e-07 1.2823465853701362e-08 -1.1269777109873841e-10 -3.92802351758611e-10 1.3357121494446846e-10 -1.463440678459315e-10 4.077979278062404e-10 6.723979493621667e-11 -1.3399230014972063e-11 3.349131831250815e-10 1.51878856440568e-10 1.0883821240819466e-10 -3.570652519051446e-10 1.974332109793004e-10 8.303465000534865e-11 -9.131786942777358e-11 1.529686578199412e-10 1.6122450612243541e-10 1.0642743424812676e-10 -4.21574212419401e-10 5.358501431019393e-11 -3.553231638714696e-10 1.3912963847710148e-11 -3.532139694812689e-10 2.3219549996668937e-09 -2.328744068005026e-09 2.5883805843434603e-09
sex -0.00382581333028825 0.021794278965667917 -0.0005899687703807993 5.002000745040037e-06 0.6436825110840875 -0.056994340844721374 0.0015659857219973647 -1.349147169167617e-05 -2.892952721166918e-06 1.8016262026401723e-07 6.079807331873298e-06 1.2840063161345243e-05 -2.5354118049772436e-05 2.65982009895718e-05 -1.6156019928394285e-05 8.962854474302846e-06 -7.538687049867088e-06 -1.712756488845891e-05 1.4669363055090617e-05 2.6960123055057056e-05 -8.435673396769914e-07 3.106354801770877e-06 -1.424300610790713e-05 -6.032835879944247e-06 4.454057898611243e-06 1.3951942576735492e-05 4.6794616848896025e-06 2.6154181627583295e-05 -0.0001130686710022981 0.0006215346050976366 -0.00033732013254103165 -0.0001103641810687317
agesex 0.0003884696315073886 -0.0019367262654791612 5.3128804177585604e-05 -4.555411370162986e-07 -0.05699434084471604 0.005125183090439118 -0.00014268716195440256 1.2431372839320357e-06 2.780482470048406e-07 -3.410693651839419e-08 -5.372270029320124e-07 -1.0772554355262654e-06 2.1630851278880654e-06 -2.615976698105987e-06 1.844716076251014e-06 -7.018711715433546e-07 5.219583944613886e-07 1.3331126375377158e-06 -1.3676608312361123e-06 -2.5187060239153576e-06 -4.928921077676102e-08 -3.830866358011768e-07 1.016102334659333e-06 1.0532809748702156e-06 -5.4707347370847e-07 -1.4195435595521703e-06 -3.597466380411612e-07 -2.465819597623338e-06 9.382210882824548e-06 -5.4053961105317544e-05 3.5276983997434084e-05 5.850984384987517e-06
age2sex -1.2316662982665258e-05 5.319042664526222e-05 -1.477953684704472e-06 1.2823465853693613e-08 0.0015659857219970622 -0.00014268716195438877 4.023663252974088e-06 -3.5472529947443086e-08 -6.313447955242549e-09 5.973033328863553e-11 1.4446519621452009e-08 3.032287818514424e-08 -5.87762065179041e-08 7.589414781134248e-08 -6.055822264549234e-08 1.6933798791351268e-08 -8.48842642867611e-09 -2.9395657793823526e-08 3.6024200317055076e-08 7.21870954224975e-08 2.118849004642722e-09 1.3548801433931227e-08 -2.504466127700276e-08 -4.1598829761979195e-08 1.7456236405532624e-08 4.329072527743427e-08 8.080054679598802e-09 7.105164909154298e-08 -1.979000911275743e-07 1.397946649380996e-06 -9.514197898218857e-07 -8.548255914175906e-08
age3sex 1.2253602956293506e-07 -4.564801040558287e-07 1.2834667984336067e-08 -1.1269777109864075e-10 -1.3491471691672178e-05 1.2431372839317932e-06 -3.547252994743969e-08 3.1645282817554983e-10 2.1658534456850847e-11 2.5281029772567077e-11 -1.2126138635530761e-10 -2.730374241206097e-10 5.047398640336342e-10 -6.582875788066301e-10 6.066305788472003e-10 -1.403021200742491e-10 1.958834018763673e-11 1.8580492716930252e-10 -2.8942831311584965e-10 -6.37558789071575e-10 -9.51754661268517e-12 -1.1504314013033602e-10 1.9864869239147977e-10 4.478230597899469e-10 -1.680077633617486e-10 -4.074191241748045e-10 -6.506487477158458e-11 -6.486475216541217e-10 9.633446200408201e-10 -1.091664746762664e-08 7.12794343994328e-09 4.3587130691515875e-10
pcs.V3 -2.3899406087737257e-06 -1.6222793492700064e-06 4.559181796830616e-08 -3.928023517586638e-10 -2.8929527211819126e-06 2.7804824700614874e-07 -6.313447955278195e-09 2.165853445715721e-11 2.390247136150788e-06 1.1217339808270747e-07 -7.495793535948396e-08 7.402459512313836e-09 5.0618960898366835e-08 5.195221804768697e-08 4.7556632058628426e-08 6.410575593645182e-08 -1.840223205802833e-08 2.7003297410335234e-08 -3.720061343437528e-08 -1.3785294170411629e-08 2.4171620737526937e-08 -1.1384027309898219e-08 -5.025779284108949e-08 2.953823989712216e-08 1.2152512295002838e-08 -1.8647897330752694e-08 4.5493675511385616e-08 7.689125240889249e-09 4.349951144081371e-07 1.9784149209729827e-07 9.407329966319998e-08 1.0916436404627042e-06
pcs.V4 2.4113617866078863e-06 8.242288052449849e-07 -1.7752238428846556e-08 1.3357121494441834e-10 1.8016262026135058e-07 -3.410693651814434e-08 5.973033328159145e-11 2.5281029772628104e-11 1.1217339808270765e-07 2.4392793215703902e-06 4.7148560550128913e-08 2.6797164701723645e-08 2.3056902893470246e-08 -3.349827165585731e-08 -5.7745801694706565e-08 3.8265718269532365e-08 -1.3865603738386067e-08 -2.9658960853262125e-08 4.5987726829097044e-08 -6.611638713295137e-08 -6.940031508733271e-08 5.10694628759398e-08 6.266700103929954e-08 7.382565103346893e-09 5.1676312939756035e-08 -3.15820390491267e-09 -2.9103437324230577e-08 3.3323518880504895e-09 -1.6419972573040552e-06 3.394139526287269e-07 -1.852427933043427e-06 -6.912920196750766e-07
