 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 0.00013318582791175805 5.9876838388602165e-06 -1.6329857726962931e-07 1.61701799697176e-09 -3.0561472875514144e-05 2.681046782522938e-06 -7.041250027453957e-08 5.86030399542252e-10 1.6835720237189135e-07 2.4034509128671026e-07 -1.0086779617635148e-07 2.2074038459712063e-08 -1.1675319301490496e-07 7.299968585180663e-08 -3.690437539474605e-08 7.766830659702539e-08 -5.817716700206709e-08 -4.837176528355451e-08 -2.734428213413726e-08 -7.972077247279273e-08 5.0740906377830144e-08 5.510136519351899e-08 -3.178275586526115e-08 -4.13175206372127e-08 6.94764205096812e-09 -3.737958023521938e-08 1.777306053447577e-08 -2.7541074383898915e-08 1.2421041272162698e-07
age 5.987683839018595e-06 0.00020916530390292448 -4.799910286389817e-06 3.423159263956396e-08 0.00247942023961334 -0.00018671317332539283 4.259525428128267e-06 -3.014196636653928e-08 -4.122598222302525e-08 2.4219028405688324e-07 -1.6830214990764142e-07 1.6670514530267662e-07 1.4916942423539364e-07 1.1400025595924746e-07 1.072443195105257e-07 5.744727557255914e-09 7.535514599088251e-08 -2.8121166917120657e-07 3.6733048460457093e-08 2.2065402115815435e-08 -7.211021789329477e-08 -2.5125722736516267e-07 -1.4754531052907137e-07 1.9838456973086615e-07 1.6088303380411883e-07 -1.113266388588624e-07 1.1516859981078099e-07 2.893937431466692e-07 -7.615164817691198e-07
age2 -1.6329857726844434e-07 -4.799910286389329e-06 1.1221111403898749e-07 -8.135365806132784e-10 -5.554313673932409e-05 4.273931961538004e-06 -9.940259337257847e-08 7.154679828166058e-10 2.352772690989017e-09 -4.953792214071645e-09 3.350224952697623e-09 -3.853032327058064e-09 -3.6867921167674602e-09 -3.2145254742451537e-09 -1.962003435622334e-09 2.6790974551056923e-10 -1.6239205182732083e-09 6.6042248207987266e-09 -6.237968363081082e-10 -3.7747971771912387e-10 1.4682980768859538e-09 5.204750363185941e-09 2.353367907345582e-09 -4.160151295259187e-09 -4.058250245183807e-09 2.253642875271327e-09 -3.1075744343448517e-09 -6.742776598385511e-09 1.4895043081820837e-08
age3 1.617017996959808e-09 3.423159263955987e-08 -8.135365806132419e-10 5.992897983891048e-12 3.8758394311013465e-07 -3.0343528360599434e-08 7.179238540132818e-10 -5.252667520929425e-12 -2.4247350138316498e-11 3.404996965418728e-11 -2.3691021799555138e-11 2.723822460649925e-11 2.6283722425388753e-11 2.6602221766580046e-11 1.1520405508785321e-11 -2.681410785411782e-12 1.2568751664275775e-11 -4.752659924890798e-11 1.6413060149612484e-12 4.4680558180754373e-13 -9.95417687776445e-12 -3.2969398114205646e-11 -1.1669457033476757e-11 2.7453610040201187e-11 3.133660536111277e-11 -1.4630309115528797e-11 2.4734365101452436e-11 4.823527419751889e-11 -7.995154226431434e-11
sex -3.0561472877373795e-05 0.002479420239616109 -5.554313673938922e-05 3.8758394311060666e-07 0.08819589378671376 -0.0065920280317208445 0.0001502379775051164 -1.0672320918570406e-06 -2.923921081605779e-07 -2.04685302225696e-07 1.2262533776865483e-06 2.0465704778970307e-06 -1.5538555863604478e-06 -7.380174581983553e-07 1.3011227199566147e-06 -1.4896461837465876e-06 -2.4792016617262646e-06 -2.3984061639843114e-06 8.262682909750552e-07 2.34541028401282e-06 1.252357107793151e-06 -1.8366107029475328e-06 -3.27261433300642e-06 1.3443510695050244e-06 1.1290609880455857e-06 -1.1801230286144132e-06 3.3175365953720896e-06 6.608107163958137e-07 -8.274459013061343e-06
agesex 2.6810467825155105e-06 -0.00018671317332565876 4.273931961544182e-06 -3.034352836064407e-08 -0.006592028031721051 0.0005060236501564059 -1.1769351997337235e-05 8.497282373983693e-08 5.985602666124312e-08 3.3810193394742376e-08 -8.665326167328237e-08 -1.3168440517258703e-07 1.0228624983940065e-07 2.8982631242192578e-08 -4.065981224354229e-08 1.2722631690044707e-07 1.8131737244519515e-07 1.9168940723656255e-07 -7.583296909295082e-08 -1.751932864377262e-07 -1.199451015311222e-07 1.3219881674375337e-07 2.0145788441650508e-07 -6.320705750007463e-08 -1.61502505120675e-07 8.464674320481499e-08 -2.8568329484183586e-07 -5.923205642049991e-08 8.496647376923551e-07
age2sex -7.041250027599823e-08 4.2595254281320854e-06 -9.940259337267099e-08 7.179238540139716e-10 0.00015023797750512654 -1.1769351997337628e-05 2.7883213444952835e-07 -2.0460989191378192e-09 -2.240715600162136e-09 -1.1931917918744736e-09 1.6599768602206409e-09 3.011852869628764e-09 -2.225172135087292e-09 -1.1014641410636643e-10 1.10175970289147e-10 -3.3337699827174187e-09 -3.7090068084212094e-09 -4.387523081586133e-09 1.5566204643497484e-09 3.766809297926016e-09 3.242646747529752e-09 -2.5440982927192896e-09 -4.105906165741013e-09 5.369315542833615e-10 5.090239535705175e-09 -2.115761320876877e-09 7.017305038986338e-09 1.0886724896690616e-09 -2.050653008256839e-08
age3sex 5.860303994619464e-10 -3.014196636658233e-08 7.154679828175849e-10 -5.252667520936538e-12 -1.0672320918571522e-06 8.497282373984266e-08 -2.046098919137885e-09 1.524784079110197e-11 1.9486259658379662e-11 1.272897673144062e-11 -8.203979466880764e-12 -2.3886323036399367e-11 1.7489596343443592e-11 -1.8751500907016678e-12 2.518459878815304e-12 2.4477131331892557e-11 2.258605046907931e-11 3.010829771349621e-11 -9.48438254599074e-12 -2.4806280939546075e-11 -2.5044619908114945e-11 1.4642158421952197e-11 2.741618750175626e-11 3.1613850410610873e-12 -4.4171444095726136e-11 1.707220865374895e-11 -5.346788529046917e-11 -6.064579611095628e-12 1.5974723676698575e-10
pcs.V3 1.6835720237179875e-07 -4.12259822229438e-08 2.352772690987114e-09 -2.4247350138302966e-11 -2.923921081564631e-07 5.985602666092052e-08 -2.240715600154469e-09 1.9486259658323156e-11 1.3329683567443505e-06 6.217271820684856e-08 -2.87679663144533e-08 -2.0870451419827255e-09 8.224823808204743e-09 1.788727674522985e-08 -4.078757932584669e-09 6.920091380851194e-09 6.398482296322497e-09 1.0565823733578383e-08 -8.080738594726117e-09 6.975123996630093e-09 -4.039397335835135e-09 -1.1109890332284839e-08 -8.566399966143672e-09 -1.7123161844266838e-08 -1.7489341002430847e-09 -6.3687955001609354e-09 1.150773182399931e-08 -7.44694590605342e-11 4.599353350029644e-07
pcs.V4 2.4034509128664446e-07 2.421902840563186e-07 -4.95379221405861e-09 3.404996965409385e-11 -2.0468530224459627e-07 3.3810193396205254e-08 -1.1931917919088034e-09 1.2728976731690601e-11 6.217271820684888e-08 1.3808619111871102e-06 2.0950215428946747e-08 1.8258039254264063e-09 1.9171734021470974e-08 -1.6659179695037525e-08 2.2665429246889727e-09 1.9962408511394512e-08 -5.754683851988831e-09 -5.177881584373817e-09 1.0952369874482014e-08 -1.4429204790346735e-08 1.4468843351602175e-09 1.3322664427935355e-08 1.3137434205101087e-08 4.693339967036943e-09 8.099106233446182e-09 -8.520415485366266e-09 -1.5218466261198445e-08 -2.136690855808989e-09 -6.83851484444343e-07
