 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.00012663714081507748 7.104355146160397e-06 -2.0576751980106547e-07 2.080174732163238e-09 -3.895514095243362e-05 3.074524622357544e-06 -7.793584962927372e-08 6.531093555491237e-10 2.3036218408303328e-07 3.3055603524179e-07 -1.9604151625874688e-07 -1.1171517101774978e-07 -9.914370833596046e-08 7.620852653158526e-08 -6.468586236251029e-08 8.350384302467054e-08 -3.6856243739439094e-08 -1.1424282034376249e-07 -1.1343126289478249e-07 -6.68339204090314e-08 -2.258621043666067e-08 4.361648392619587e-08 -4.5427136893371695e-08 -4.345955573686946e-08 1.0243418330797534e-08 4.267218046425265e-09 3.792985675135414e-08 -3.063257951018864e-08 -4.1841544313936217e-07 2.243941324248565e-06 -1.308347885726348e-07
age 7.104355146052823e-06 0.00030109657336686364 -6.9096466796898155e-06 4.9267142481469686e-08 0.0037097226059067934 -0.0002795246456130063 6.392523641902826e-06 -4.538755326323706e-08 -1.6712717486788159e-07 2.9736988260596066e-07 -1.098700822792286e-07 2.5195499057022155e-07 3.5895793457423463e-08 6.062337391357132e-08 1.0476416827266034e-07 5.5871297967133415e-08 9.744439654057618e-08 -3.7173680644159335e-07 -8.263259097625359e-08 -7.252420488251365e-09 -1.3758486391852902e-07 -2.0575220373906232e-07 -1.958332797459112e-07 1.9726746560018696e-07 1.7576421214967987e-07 -3.04351855842464e-07 1.4264243741420206e-07 3.320889378959877e-07 -7.411196927751256e-08 -8.0816784108473e-07 -1.2025090952234109e-06
age2 -2.057675198043545e-07 -6.909646679689256e-06 1.616052563980455e-07 -1.1717618825285091e-09 -8.315618029346434e-05 6.402589066061212e-06 -1.492716175097844e-07 1.077961287328854e-09 6.109540553897409e-09 -6.351501184715627e-09 1.7187762385140767e-09 -6.196222803981392e-09 -1.015683044261233e-09 -2.4423003634383223e-09 -1.7455882675038126e-09 -3.5435333844872e-10 -2.183146803280381e-09 8.37759583268625e-09 2.3394844325289165e-09 5.184333694395819e-10 2.977851412041283e-09 3.63861626811034e-09 3.391605806703805e-09 -3.7257881083421264e-09 -4.709639411283907e-09 6.3994355183263335e-09 -3.739062563711445e-09 -7.750399442579175e-09 -1.3061228349356244e-09 8.432939609188568e-09 3.54631009675501e-08
age3 2.0801747321828776e-09 4.9267142481451085e-08 -1.1717618825281805e-09 8.633875256438615e-12 5.812173919925344e-07 -4.553074419638349e-08 1.079746071836753e-09 -7.924851438126318e-12 -5.6151996922311285e-11 4.554959983055749e-11 -1.1122911370097167e-11 4.563573642747159e-11 6.44024408576573e-12 2.354463432869385e-11 9.085061782993757e-12 -1.2911394750578235e-12 1.691533438892613e-11 -5.853869791404025e-11 -2.204723734204058e-11 -6.499013638943211e-12 -2.1360880335586036e-11 -1.897127604490132e-11 -1.8763703333569865e-11 2.1409039860832906e-11 3.763501470042092e-11 -4.226672174339062e-11 2.960207230062496e-11 5.508704049200578e-11 3.285682470368447e-11 -6.395700608956607e-12 -2.634331211540159e-10
sex -3.8955140949152885e-05 0.003709722605915666 -8.315618029367462e-05 5.812173919940875e-07 0.1269897148305243 -0.009480671905492361 0.00021603074769564742 -1.534685372014862e-06 -2.1046035827526263e-06 -4.384434838041426e-07 2.289250452432325e-06 1.8735538699242281e-06 -3.581551017747988e-06 -6.724774832342945e-07 2.9406170723826225e-06 -7.854735470260132e-07 -2.0040184680524617e-06 -2.199718204482531e-06 -1.4154795538433313e-06 2.2371543925320986e-06 1.7700545892326477e-06 -1.6313770686097854e-06 -4.243973052114799e-06 1.5554075072869995e-06 1.423315258883191e-06 -3.856705550108327e-06 3.219376311666994e-06 1.1534007881636564e-06 -2.2882877920141287e-05 -8.4742762798942e-06 6.316995170885641e-05
agesex 3.074524621719979e-06 -0.0002795246456136189 6.402589066075634e-06 -4.553074419649045e-08 -0.00948067190549208 0.0007271177094206167 -1.691296495857116e-05 1.221445318496942e-07 2.1976532392523382e-07 4.3154689362502614e-08 -1.6587050440513588e-07 -1.1365477395037738e-07 2.319368487458462e-07 -1.2566191460344926e-08 -1.364000960275841e-07 9.075308280312996e-08 1.480334368596195e-07 1.805434765723992e-07 9.366286756289211e-08 -1.4410735265224897e-07 -1.817857065090893e-07 8.811877092831066e-08 2.7671053300572824e-07 -6.139566342958479e-08 -1.9297403453342187e-07 2.9391276375489147e-07 -2.758367927410035e-07 -1.0461931146987088e-07 1.8977843004838725e-06 5.661863479118064e-07 -4.346057236550364e-06
age2sex -7.793584961829304e-08 6.392523641915132e-06 -1.4927161751008075e-07 1.0797460718389865e-09 0.00021603074769563553 -1.691296495857074e-05 4.008098031234706e-07 -2.942573883935656e-09 -6.363097894645239e-09 -1.4187956767652464e-09 3.6463176837497097e-09 2.5562742324251545e-09 -4.865414505169411e-09 1.2602892480229392e-09 1.974465592545502e-09 -2.8649021841483336e-09 -2.9085802036964596e-09 -3.9850201000349645e-09 -2.4253545295644516e-09 2.7774884945247253e-09 5.044339816087853e-09 -9.155383251109006e-10 -6.009577822100191e-09 -1.1903813539167788e-10 5.6751864560381424e-09 -7.2040380108689564e-09 6.8721135654609404e-09 2.1775294606334017e-09 -4.4191959493812796e-08 -1.2406620578994031e-08 9.681496727617545e-08
age3sex 6.531093555190869e-10 -4.5387553263366355e-08 1.0779612873318725e-09 -7.924851438148256e-12 -1.5346853720147468e-06 1.2214453184968893e-07 -2.9425738839356038e-09 2.1942222493741882e-11 5.090148319856512e-11 1.517036710847361e-11 -2.4029454987971077e-11 -2.0784759465867063e-11 3.4785189768630997e-11 -1.2959865666936316e-11 -9.185136715035723e-12 2.3277802118898176e-11 1.6599389544623566e-11 2.5905044738844705e-11 1.910420072529867e-11 -1.6622532173335576e-11 -3.982457239858793e-11 -1.4586532690770686e-13 4.22029155246332e-11 1.2682410431626815e-11 -4.661186456327621e-11 5.521584655695333e-11 -5.264195456092593e-11 -1.4101270111870198e-11 3.4542536786034294e-10 7.53217414684821e-11 -6.873070726088678e-10
pcs.V3 2.3036218408312838e-07 -1.671271748682524e-07 6.109540553906258e-09 -5.615199692237629e-11 -2.1046035827556065e-06 2.197653239254806e-07 -6.363097894651356e-09 5.0901483198611574e-11 1.3664208830344166e-06 1.011992938469777e-07 -2.8257389382436717e-08 -1.0436035655685559e-08 9.176643503768913e-09 1.6426813428273333e-08 -8.353159396619414e-09 1.2178839762712359e-08 7.480566596363701e-09 2.9797978309953837e-09 -6.443346391399717e-09 6.4311112235022515e-09 -1.0575549345479174e-09 -1.690860684887101e-08 -9.5749619932991e-09 -9.493391465358387e-09 7.755948838097129e-10 -8.774411550298646e-09 1.0658867157164007e-08 9.209687335333678e-10 6.715394814966165e-08 5.687691150451076e-07 6.955788615006623e-07
pcs.V4 3.30556035241818e-07 2.9736988260537976e-07 -6.351501184702108e-09 4.554959983046001e-11 -4.384434838218718e-07 4.315468936388641e-08 -1.4187956767979467e-09 1.517036710871299e-11 1.0119929384697822e-07 1.47409735261835e-06 4.3366465290751615e-08 6.226098886467826e-09 1.814103565809781e-08 -2.998828342997109e-08 -1.7739311520900652e-09 3.275471705937394e-08 -5.813595365502221e-09 -5.1990743808769306e-09 7.854037639306899e-09 -6.85321250609992e-09 -9.74714228657125e-09 1.8955865006862778e-08 2.0184616818542688e-08 5.4726148880941695e-09 1.0685577076083786e-08 -1.109329169026612e-09 -9.662856916792474e-09 -7.158126047224619e-09 -1.991195012605834e-07 -8.955053029958897e-07 -8.85611351185389e-07
pcs.V5 -1.9604151625875315e-07 -1.09870082278593e-07 1.7187762384992412e-09 -1.1122911369989834e-11 2.289250452448498e-06 -1.65870504406397e-07 3.6463176837794845e-09 -2.4029454988188813e-11 -2.8257389382437094e-08 4.33664652907518e-08 1.4644704138787838e-06 4.318804721475576e-09 1.3070166967058943e-09 -2.7072199246926422e-08 5.846093524597591e-09 -6.584631868633373e-09 2.4211075933482296e-08 1.164967931526856e-08 1.0896213595366858e-08 7.800277054849522e-09 1.56282598379471e-08 1.2928763999769803e-08 -1.1366181866218519e-08 -7.415717409042102e-09 1.2569450198080848e-08 1.381986233325245e-08 1.6682477128256986e-09 -8.963692066260052e-11 -1.599113053092339e-07 1.651692158722398e-08 1.4366770389643603e-07
pcs.V6 -1.1171517101783596e-07 2.5195499057041875e-07 -6.196222803986196e-09 4.563573642750739e-11 1.8735538699271013e-06 -1.1365477395061607e-07 2.556274232431101e-09 -2.0784759465912552e-11 -1.0436035655685635e-08 6.2260988864680125e-09 4.318804721475421e-09 1.4484577372478813e-06 1.2363016008949895e-08 -4.030984465648656e-09 1.0466003494485237e-08 -1.3173142493703277e-08 2.83894560079533e-08 7.376585654836782e-10 -1.47872643963425e-08 -1.1660998880163012e-08 -9.719614830535767e-10 7.465203277529855e-09 2.6611063808402196e-09 1.3133408189820234e-09 2.180792631463509e-09 6.598999818408913e-09 -3.282447387331544e-08 -1.3645328694713043e-08 -9.939263606489675e-08 -3.704316585417947e-07 4.0281707521368094e-08
pcs.V7 -9.914370833599614e-08 3.58957934570034e-08 -1.015683044251484e-09 6.440244085695425e-12 -3.581551017755232e-06 2.3193684874640676e-07 -4.8654145051825494e-09 3.478518976872611e-11 9.176643503769039e-09 1.814103565809744e-08 1.307016696706139e-09 1.2363016008949862e-08 1.6191004735998874e-06 1.05738792561717e-08 -4.854076070077257e-09 -3.038151729433616e-08 3.464320518424955e-09 -8.846789453651792e-09 1.3580747848938131e-08 -1.908991233116258e-09 -1.4779369178018582e-10 -6.705623274712258e-09 -1.5826349032521216e-08 1.088741051039521e-08 6.7340932869625475e-09 -2.7566813666856745e-08 -1.381482304185631e-08 6.2395843052783964e-09 -1.3282714924759275e-07 -1.6150143174066217e-07 1.991499399855256e-07
pcs.V8 7.620852653161378e-08 6.062337391342539e-08 -2.4423003634350037e-09 2.3544634328670474e-11 -6.724774832390112e-07 -1.256619145998053e-08 1.260289248014406e-09 -1.2959865666874337e-11 1.642681342827349e-08 -2.998828342997099e-08 -2.707219924692655e-08 -4.030984465648803e-09 1.0573879256171783e-08 1.6026999800411595e-06 1.6802280598887585e-08 -9.48678660924307e-09 -1.3013666746319234e-09 4.0083222597048623e-08 5.624130067541175e-09 -3.661560810995191e-08 6.737531069897632e-10 1.5974854906111016e-08 -8.592360291600668e-09 1.3742112206619904e-08 3.10135751365687e-08 1.1620800126993484e-08 8.651343692090904e-09 5.95779375273441e-09 2.5636778654670467e-09 -3.126589484107527e-08 -4.385097732815436e-08
