 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
intercept 0.021242353404421214 0.007881700756284056 -0.0002542841452982536 2.608102069099036e-06 0.03664438319457573 -0.0037683936604344936 0.00012275051613355568 -1.2753479564134577e-06 3.867466774104782e-06 2.8087337434167055e-06 1.067793384862844e-06 -4.5426411282210015e-06 2.3992833424404486e-06 -1.035330829162214e-05 2.6221846297928517e-06 -4.3203856459691896e-08 -1.947914994860869e-06 -2.571586770230876e-06 -1.6073146818608273e-05 -4.556235153887789e-06 -3.269442198140402e-06 -3.8353879291925253e-07 -3.2688210232408823e-07 -1.066696628634949e-07 5.179831417587099e-06 -6.086554020442607e-07 1.317327557788254e-05 -7.0469829777654976e-06 -9.416379023776208e-05 1.880405321951541e-05 -0.00014727294698950756 7.643336606304418e-05 -6.223852017297741e-05 0.00023604032373873194 -3.168587294440289e-05
age 0.00788170075633092 0.006077704438336361 -0.00018332248593312927 1.7509392771729246e-06 0.06052520827738107 -0.005813480537714203 0.0001752481608738648 -1.6733135857304414e-06 3.4405048747771777e-06 -7.820174430622294e-07 -4.023270385088591e-06 3.2008141022662157e-07 4.514576506851971e-07 -5.146346490925167e-07 1.4093739831582977e-06 1.492777432028002e-08 -4.1065012893932145e-07 -2.811561332143975e-06 -3.7422512310200856e-06 1.1977888830055087e-06 -4.632336168749737e-07 -1.0472418753532437e-06 2.3180276297386444e-07 2.9785644029898775e-07 7.350681327296241e-07 -2.1379339785699356e-06 2.1896163142146808e-06 -5.498961840164837e-07 -1.5012830032623873e-06 -3.5069401036212514e-06 -7.305851891526844e-05 7.858813981470177e-05 -6.951217871145989e-05 0.00013756040097504852 -5.808554567387956e-05
age2 -0.00025428414529976237 -0.00018332248593321934 5.590787008577465e-06 -5.396156002991297e-08 -0.0018063228895825153 0.0001753914782926555 -5.344813915911889e-06 5.1565380963357683e-08 -1.1558707965022487e-07 4.145452903877233e-08 1.1224298866103117e-07 -3.526621793354352e-09 -1.2191201235535437e-08 1.674340511320887e-08 -3.000013090787252e-08 9.01234796433409e-09 1.0291189946031816e-08 7.240814204948377e-08 1.406473907329669e-07 -3.4604195488662376e-08 8.28490778481938e-09 2.336085700719995e-08 -1.4316225139535346e-09 6.9743698549902315e-09 -3.213394200238733e-08 5.934669505988737e-08 -8.313134948729766e-08 3.223959363497029e-08 1.789816917546698e-07 2.0993299970775678e-07 2.084032157551885e-06 -2.3875926611883147e-06 1.7955283425013087e-06 -4.164601955079216e-06 1.8248430163795667e-06
age3 2.6081020691148986e-06 1.7509392771754532e-06 -5.3961560029960914e-08 5.264117006637353e-10 1.709847357661206e-05 -1.6764074088587732e-06 5.161783356824392e-08 -5.032671998685548e-10 1.2090507968376063e-09 -5.00084360407527e-10 -9.958944011120053e-10 -4.014664050577629e-11 8.4280799420082e-11 -1.993095693985387e-10 1.7459606683553973e-10 -1.3118141025652345e-10 -7.275055775830151e-11 -5.624835852648972e-10 -1.6111865398160026e-09 3.0308513325166193e-10 -3.462995243392984e-11 -1.9180097659302128e-10 -4.0727866448954165e-11 -2.000226508250306e-10 4.333826894928472e-10 -5.154467121327319e-10 9.972454121214175e-10 -4.3592990362861995e-10 -2.6714351445546267e-09 -2.82416399633428e-09 -1.9973854272157487e-08 2.249969673582876e-08 -1.4844410778633677e-08 3.959281164116466e-08 -1.708143398608343e-08
sex 0.03664438319589822 0.06052520827788901 -0.0018063228895986438 1.709847357677416e-05 1.2737638630861317 -0.11981636749594314 0.0035319571273107644 -3.2916487152671855e-05 5.550570465192957e-05 -2.532836733122735e-05 -4.0658972600926564e-05 1.5651927848942436e-05 -5.039240499837272e-05 8.087615508262823e-05 -9.480928112026053e-06 1.3088597316042142e-05 1.2945081759931452e-06 1.4540942535048532e-05 1.5652961611886556e-05 5.5717071258099026e-05 1.2038313242336076e-05 -2.0929109790173483e-05 -2.3656956903357803e-05 -5.091184420082109e-05 2.013535962047996e-06 -1.4260874612431946e-05 1.5450819566740526e-05 2.9084191772044518e-05 0.0010390646222045337 -0.0012973717740743353 0.0009181577564750497 0.0007720782589168477 0.0008333266537111351 -0.00017694775476497868 -0.0023613253545552763
agesex -0.0037683936605786717 -0.0058134805377860164 0.00017539147829484313 -1.6764074088798488e-06 -0.11981636749592482 0.011413142468913971 -0.00034023858081188614 3.2027236846991908e-06 -5.46619524060367e-06 2.8428660244914954e-06 4.236748763669061e-06 -1.578620866760498e-06 4.63579658168797e-06 -8.03019796785035e-06 1.4037995682008863e-06 -9.172243572494034e-07 -6.66554762864148e-07 -1.5945115370897692e-06 -7.165502598461959e-07 -5.499134117628206e-06 -1.714711737884986e-06 1.761115015576535e-06 2.047558562962168e-06 5.50956889350138e-06 -7.994160589037396e-07 1.4056249572429192e-06 -1.4283491603603752e-06 -2.5448197986075757e-06 -9.625434519985774e-05 0.0001203400408839806 -8.047218870731645e-05 -9.097767006859975e-05 -5.732560431915927e-05 9.672882485552795e-06 0.00021609862073275628
age2sex 0.000122750516138117 0.00017524816087636998 -5.344813915987287e-06 5.1617833568960206e-08 0.003531957127309583 -0.0003402385808118253 1.025754451014159e-05 -9.759824292475375e-08 1.703755521287475e-07 -1.0045485395486124e-07 -1.363447222494358e-07 5.0808658608678384e-08 -1.3709335171753312e-07 2.474810406134075e-07 -5.5827948882285855e-08 1.907531017456948e-08 3.575095535415375e-08 5.693247727712433e-08 -8.663053325465424e-09 1.6851174144997048e-07 6.670277237251784e-08 -4.681128733337879e-08 -5.9239450597105047e-08 -1.8059221709289715e-07 4.1131439913162593e-08 -4.4578925427358295e-08 4.332567267712618e-08 6.83589166970685e-08 2.7987142484220363e-06 -3.4512907054996016e-06 2.099025407784724e-06 2.9704249376433094e-06 1.310192724950825e-06 -6.841345201870624e-08 -6.076628178186005e-06
age3sex -1.2753479564602413e-06 -1.673313585758016e-06 5.156538096417945e-08 -5.032671998762771e-10 -3.2916487152653586e-05 3.2027236846979376e-06 -9.759824292473345e-08 9.388823782834423e-10 -1.7101194281422971e-09 1.1063888607443337e-09 1.3801387238116074e-09 -5.017656886969001e-10 1.293805087877088e-09 -2.3850251019210307e-09 6.710383209013145e-10 -1.2177906355265842e-10 -4.664222096049418e-10 -6.39339861751363e-10 3.791507842865332e-10 -1.6167955470355709e-09 -7.675664541754055e-10 4.3950028181324767e-10 5.190291844926402e-10 1.812216836596688e-09 -5.715391824190936e-10 4.330447114855567e-10 -4.844890722498365e-10 -5.863374556744655e-10 -2.568826721687437e-08 3.115079696324107e-08 -1.5420177489659452e-08 -2.867004313625088e-08 -1.0293006160056898e-08 -1.7430864622835733e-09 5.2766080276525926e-08
pcs.V3 3.8674667741861285e-06 3.440504874824368e-06 -1.1558707965161606e-07 1.2090507968505232e-09 5.5505704651773175e-05 -5.466195240589497e-06 1.703755521283509e-07 -1.7101194281388633e-09 2.5876067571106325e-06 1.0120821054321803e-07 -3.1667586539059976e-08 -3.4922510883987556e-08 7.687590362077125e-08 6.514389938569381e-08 1.0428201260414488e-08 6.531202064994318e-08 -5.8660466836740756e-08 9.377820358427576e-08 -6.10475848525885e-08 -2.101035866282509e-08 2.458307750930352e-08 -7.161859778228964e-09 -1.0487954276225726e-07 4.068133205702235e-08 3.021707665123405e-08 -2.5187195830122082e-08 9.086591799233402e-08 4.3602472205186784e-08 -7.579197110003058e-08 -3.021384872392816e-06 -1.9246287311805378e-06 1.2106140305114825e-06 5.656106058167213e-06 3.4447394473808797e-06 1.777407334258719e-06
pcs.V4 2.808733743365292e-06 -7.820174430958858e-07 4.145452903977527e-08 -5.000843604169578e-10 -2.53283673312994e-05 2.8428660244989366e-06 -1.0045485395510308e-07 1.1063888607468308e-09 1.0120821054321015e-07 2.4391627594430397e-06 4.2039899757167525e-08 3.702788189529516e-08 6.156945496141641e-08 -1.4237541166557788e-08 -7.193926980765514e-08 1.5363631157267376e-08 7.360604913736154e-08 -3.519493088487226e-08 1.9233122141786943e-08 -7.398725880700034e-08 -1.4282958521090807e-07 6.242230850807147e-08 7.749336267879468e-08 4.502463481169527e-08 9.079232562825577e-08 5.334818390422827e-08 -2.8768584308813056e-08 2.5112903786291904e-08 -9.319073071094488e-07 -1.2908148636322318e-06 -2.703085216188539e-07 1.4247444859325017e-06 4.479618615397772e-07 1.3517512909425571e-06 -1.7529688764373317e-06
pcs.V5 1.0677933848147361e-06 -4.023270385099391e-06 1.1224298866134972e-07 -9.958944011149465e-10 -4.065897260041576e-05 4.236748763620709e-06 -1.3634472224800716e-07 1.3801387237983282e-09 -3.166758653904252e-08 4.203989975715027e-08 2.221277903582624e-06 4.3435338200077547e-08 1.8028388409026376e-08 -4.128106765832663e-09 -2.10557919547429e-08 -5.771304258725938e-08 2.2408182752274954e-08 7.078895434144335e-08 -2.394117769096266e-08 -2.9330018858588612e-08 -1.5848356283801104e-08 -4.400043736525043e-08 -8.582997854383617e-08 -1.2083969217584728e-07 7.472388729334445e-08 8.484925160012699e-08 5.698903854704528e-08 3.135111391221679e-08 -3.370577032778809e-07 -2.9488497209861755e-06 -8.905012156317719e-07 2.5623130926582823e-06 2.3657795711064566e-07 4.059832941727077e-07 4.583393950703079e-07
pcs.V6 -4.5426411281902415e-06 3.200814102483404e-07 -3.5266217940064893e-09 -4.014664049959061e-11 1.565192784906851e-05 -1.5786208667728592e-06 5.080865860905877e-08 -5.017656887006119e-10 -3.492251088397908e-08 3.702788189529284e-08 4.343533820006445e-08 2.135741159448954e-06 2.751575779377561e-08 6.21672058016704e-08 -2.1203920025994463e-09 -7.419820263837944e-08 7.685956414959934e-08 -4.658221461872004e-08 -3.125262815807589e-08 -3.7263519897287476e-08 2.3657006553568943e-08 4.182921312289725e-08 -6.348351290373675e-08 2.1986096075120904e-08 -2.5274406216712505e-08 3.099143993409123e-09 -7.849704244959078e-08 3.653949220375029e-08 -2.324060112754895e-07 8.171757198760776e-07 7.938549139248039e-07 -1.897135085290104e-06 -2.051163051875325e-06 -1.325909587469246e-06 -7.14645815430736e-07
pcs.V7 2.399283342354793e-06 4.5145765061249915e-07 -1.2191201233337338e-08 8.428079939907232e-11 -5.039240499916769e-05 4.635796581764906e-06 -1.370933517198663e-07 1.2938050878994652e-09 7.687590362072832e-08 6.15694549614355e-08 1.802838840907747e-08 2.751575779376807e-08 2.586062586548746e-06 3.8872599830384165e-08 -2.971508928845664e-08 -1.0146782721681451e-07 1.2099371907148925e-09 -7.988617751609738e-08 -5.825444093617545e-08 -8.739072526616465e-08 5.2535608862275876e-08 -5.032179744872582e-08 -8.851048561960836e-08 -3.704985416307569e-08 2.1107978373751762e-08 1.4450044256156239e-08 -3.1610729243064985e-08 -1.346777281488299e-08 -3.5127098856456237e-07 3.0940052608481497e-06 -6.380325380939752e-07 -2.8349253193990946e-06 -2.0492860314167273e-06 -2.9120975414780467e-06 2.868884109846253e-06
pcs.V8 -1.035330829148958e-05 -5.146346489952958e-07 1.6743405110233278e-08 -1.9930956936968124e-10 8.087615508373237e-05 -8.030197967957634e-06 2.4748104061667477e-07 -2.3850251019525107e-09 6.514389938575693e-08 -1.4237541166583909e-08 -4.128106765913699e-09 6.216720580167926e-08 3.8872599830397605e-08 2.4960161317445577e-06 6.59832821865249e-08 4.737553896184441e-08 6.855101752017764e-08 1.7416156535101356e-07 -4.621406865230576e-08 -1.5864963231035795e-07 -5.059475373118833e-08 -4.387993496594244e-08 3.8732304744982315e-08 6.642920784859976e-08 7.75562104973849e-08 6.50873474636644e-08 -1.8103491541105714e-08 -4.44953478096279e-08 -4.7998033756586754e-08 7.092195103951206e-07 -3.3225828390583705e-07 1.8010062433380742e-06 -1.4874270910623914e-06 1.3036950557658004e-06 -1.4183590056763491e-06
pcs.V9 2.622184629757141e-06 1.409373983125623e-06 -3.000013090688054e-08 1.7459606682600854e-10 -9.480928112449842e-06 1.40379956824199e-06 -5.5827948883534607e-08 6.710383209133098e-10 1.042820126039203e-08 -7.193926980764358e-08 -2.1055791954717847e-08 -2.1203920026046877e-09 -2.971508928845133e-08 6.598328218650992e-08 2.45959273262321e-06 3.409620898454415e-08 2.4898237998223996e-08 -4.080660629340246e-08 -2.7873168372062536e-08 -1.179793649696264e-07 -1.5518311942769346e-08 -1.4328988058206109e-08 4.105871388751456e-08 -4.670362570800351e-08 -1.1873859486316159e-07 -8.239936700534558e-08 2.780553627182292e-09 -3.4453348362356576e-09 4.998106249081782e-07 6.611856116803542e-07 1.4586362577831205e-06 -1.8824324280164027e-06 1.2630688797282073e-06 -1.3347187965137358e-06 -1.272356784056423e-06
pcs.V10 -4.3203856445480006e-08 1.4927774333764535e-08 9.012347963928126e-09 -1.3118141025266039e-10 1.3088597316205594e-05 -9.172243572651613e-07 1.9075310175045255e-08 -1.2177906355719858e-10 6.531202064995149e-08 1.5363631157263296e-08 -5.771304258726867e-08 -7.419820263837758e-08 -1.0146782721681607e-07 4.7375538961849704e-08 3.409620898454402e-08 2.5799113806463326e-06 -9.585159980420088e-09 2.2823549006770498e-08 2.969882123141841e-08 7.3150844972713505e-09 -4.9235228146239355e-08 -9.444449415095344e-09 1.297321315732827e-07 2.2514845954465392e-08 5.601146999994274e-09 1.9246810592210684e-08 3.0773790842026004e-08 -1.9931310146031052e-08 9.93198305103304e-08 -2.042819214786677e-06 5.5638984570770333e-08 4.555918124467591e-07 1.8319807282993511e-06 -1.045656800014778e-06 -6.155828490416042e-07
pcs.V11 -1.9479149948415183e-06 -4.1065012892371466e-07 1.0291189945557648e-08 -7.275055775373989e-11 1.2945081761752707e-06 -6.66554762881757e-07 3.5750955354687466e-08 -4.664222096100596e-10 -5.866046683673083e-08 7.360604913735732e-08 2.240818275226282e-08 7.685956414960118e-08 1.2099371907149808e-09 6.855101752017999e-08 2.4898237998226328e-08 -9.585159980420343e-09 2.5592829671954617e-06 7.583697110756291e-08 2.3358536483764774e-08 -5.7248215323551634e-08 5.267599321941347e-08 -1.1868786181557373e-07 -3.4561212526371515e-08 8.635548800024277e-08 -8.703596719771303e-08 6.767553411349272e-08 -5.590536455681156e-08 8.325952734771161e-08 -8.900798852805347e-07 8.21890317008535e-08 1.377615420601557e-06 -1.5116748152334057e-06 3.1866294218625565e-06 -2.7030190763564916e-06 3.1910768216984e-07
pcs.V12 -2.5715867701854995e-06 -2.811561332091573e-06 7.240814204789591e-08 -5.624835852496699e-10 1.454094253593741e-05 -1.594511537175002e-06 5.6932477279683026e-08 -6.393398617756301e-10 9.377820358431831e-08 -3.519493088489487e-08 7.078895434140248e-08 -4.658221461870806e-08 -7.988617751612086e-08 1.7416156535106165e-07 -4.080660629340795e-08 2.282354900677398e-08 7.58369711075678e-08 2.4863103878438666e-06 -1.3444722718702153e-07 -1.708639025217547e-08 2.677689472817364e-08 -6.174940536801633e-08 -3.9345677557811205e-08 -7.94708565652881e-08 -8.010977955756253e-08 -1.8372582640800298e-08 -3.499066003468223e-08 3.8169771333819146e-08 7.484599999056552e-07 -1.8387606320684578e-06 -1.7244687674690435e-06 4.3830748223241757e-07 6.902820315692896e-07 2.852902402127073e-06 1.8705697258244734e-06
