 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
intercept 0.011079324933503035 0.004027524364533983 -0.00012778596329549526 1.2858121770280273e-06 0.012195961299650771 -0.00119251127423879 3.660066532395971e-05 -3.573394244256218e-07 -2.098619685582201e-06 2.2933234374838688e-06 3.3290730984443845e-06 -6.550553102969772e-07 1.0342412474153532e-06 -9.454429970258968e-06 -3.0808935844253635e-06 -1.8457916095992205e-06 -1.9021267702345081e-06 -4.214085092834143e-06 -7.992222136685644e-06 -3.4089627678150393e-06 -1.057574166189081e-06 2.959721492425816e-06 5.482574426745546e-06 -1.7724409929613694e-07 -4.441104103571121e-07 -2.483230175169942e-06 5.430634576725599e-06 -5.54627122085384e-06 -2.2707920187816235e-05 9.702057434935292e-05 6.4045989198673e-05 -0.00016121580744221374
age 0.004027524364547901 0.004360665222513456 -0.00012637124966500445 1.1516678913524178e-06 0.040981713000342146 -0.003790377567965719 0.00010930581988145759 -9.920718710782816e-07 -9.690948080197903e-07 -2.6161030075089026e-07 -3.856929896967818e-06 1.400580428365975e-06 -3.530175706735122e-07 -1.0936455045086593e-06 6.762287671335808e-07 -6.889563198716194e-07 -6.194295621930288e-07 -3.3331561768246403e-06 -2.3593355332687145e-06 4.994184974640814e-07 -6.847545985179981e-07 3.1310509775783003e-07 1.903913500914647e-06 1.2866307142501141e-06 -2.418021959597719e-06 -2.7113443795315732e-06 2.974802687251726e-07 -1.6422422989321375e-07 -1.8618461759558597e-06 3.850796172293948e-05 0.00010290569498305807 -0.00013244541968533862
age2 -0.00012778596329607135 -0.00012637124966522698 3.7084355490969235e-06 -3.4203547300556166e-08 -0.0011696895244603651 0.00010949499874656477 -3.1958348784343793e-06 2.9345531646738513e-08 1.8601925092639397e-08 2.7462852549629454e-08 1.0230684758262577e-07 -3.6834410077621374e-08 6.862555485986591e-09 3.999160192752357e-08 -1.6732787659382352e-09 3.2052736175847624e-08 1.834777142646573e-08 1.0075347639720497e-07 8.334264039229154e-08 -1.4537353872296906e-08 1.4867873873316957e-08 -2.1820317320784554e-08 -6.244937752071087e-08 -2.7205398965053177e-08 5.81354846079021e-08 7.434162523459131e-08 -2.214243621196853e-08 2.3309323227946242e-08 1.0586547416953777e-07 -9.331299588302799e-07 -2.9686196349926656e-06 3.394789371048741e-06
age3 1.2858121770330712e-06 1.1516678913536172e-06 -3.4203547300534997e-08 3.1938228286774064e-10 1.0520276547543187e-05 -9.954172065247214e-07 2.939175378376388e-08 -2.7316883223283826e-10 -8.607636296926435e-11 -3.6354204807361883e-10 -8.460939176231696e-10 2.9406616241833273e-10 -4.2355473773847393e-11 -4.763237609806193e-10 -1.4774238159456132e-10 -3.7840528979925055e-10 -1.513814006949648e-10 -9.475273014815532e-10 -8.988168789632197e-10 1.3562860573226455e-10 -8.850671349891852e-11 2.89257254353052e-10 6.319433186785546e-10 1.5211184709047148e-10 -4.1137813346789886e-10 -6.5919055467271e-10 3.323341316366748e-10 -3.6998253408027134e-10 -1.4875762415247844e-09 7.593828775150315e-09 2.6416121095065947e-08 -2.7708739719707656e-08
sex 0.012195961300109099 0.040981713000638235 -0.0011696895244688124 1.0520276547619524e-05 0.9017115180887234 -0.08216390207948499 0.002336325239073639 -2.0913282717809265e-05 2.0491316546386008e-05 -5.659632331179024e-06 -3.5345591362045644e-05 2.8053328877342745e-05 -3.990343378616874e-05 4.2175448969390415e-05 -4.574154872047788e-06 -1.353254329356714e-05 -2.7495308534167916e-06 -4.325376340255088e-06 3.817696611392271e-06 5.43296922931933e-05 3.4582412728651243e-06 -4.140903491798086e-06 -1.62349197581527e-05 -9.228061801031815e-06 -1.7551331501902336e-05 -2.7294273190071923e-05 1.3929405472205197e-05 2.6837938416826282e-05 0.00037555329865690833 -0.0004989618749702542 0.0006502471923182983 0.0004264537424348311
agesex -0.0011925112742789535 -0.0037903775679907254 0.00010949499874728148 -9.954172065312307e-07 -0.08216390207949294 0.007595463336964578 -0.0002187644843662854 1.9806979446512583e-06 -1.8302907011837078e-06 9.247368206857787e-07 3.5276217742781367e-06 -2.613900216253585e-06 3.497762019333438e-06 -3.957774713277328e-06 7.72259610694442e-07 1.446639220070549e-06 -1.4869681458095953e-07 5.208598864145859e-07 -1.307395505021604e-07 -5.0551622436796514e-06 -6.799020573721957e-07 1.0653931344769085e-09 1.2853385436805185e-06 1.307692481730687e-06 1.0218671963421172e-06 2.5701955162960603e-06 -1.2875909694378533e-06 -2.2245007685478095e-06 -3.314461152509078e-05 4.89878491624507e-05 -6.51259686141852e-05 -3.9175810242850356e-05
age2sex 3.660066532557677e-05 0.00010930581988275953 -3.195834878471321e-06 2.9391753784093658e-08 0.002336325239074101 -0.00021876448436630697 6.382563601972218e-06 -5.8507647370690576e-08 5.217583524198632e-08 -3.94253174391317e-08 -1.1088181351179074e-07 7.656067054988325e-08 -9.722127927541443e-08 1.1549367958959577e-07 -3.1885369011968025e-08 -4.822796679891333e-08 1.7713161853747906e-08 -1.7907128759253636e-08 -6.01625641181848e-09 1.4747999092173385e-07 3.035510430500983e-08 1.0156466438860876e-08 -3.1572474634781094e-08 -5.0836327914644945e-08 -1.4021717822640584e-08 -7.748899142143508e-08 3.598269809060749e-08 5.499623880463665e-08 8.978483580619976e-07 -1.465184506716979e-06 1.8838269246778332e-06 1.2752120364598314e-06
age3sex -3.573394244337274e-07 -9.920718710820973e-07 2.9345531646852267e-08 -2.731688322339132e-10 -2.0913282717815404e-05 1.980697944651634e-06 -5.850764737069578e-08 5.432595204365455e-10 -5.001605623994466e-10 4.762489901622977e-10 1.098863674429379e-09 -6.943276024906729e-10 8.50654678108224e-10 -1.0455784004328261e-09 3.8736914963654606e-10 4.928304283744057e-10 -2.8997520362205897e-10 1.831954781674271e-10 1.5142406773854178e-10 -1.374243648219891e-09 -3.822615797373783e-10 -1.594571608558953e-10 2.0883726145022814e-10 5.793048744442053e-10 -2.8408857102553976e-11 7.381607248741941e-10 -3.4705102362507297e-10 -4.172601153808474e-10 -7.385182086816044e-09 1.3641808568163406e-08 -1.613886184510718e-08 -1.4010670488758478e-08
pcs.V3 -2.0986196855651428e-06 -9.690948079986498e-07 1.8601925092020057e-08 -8.607636296356615e-11 2.0491316546642218e-05 -1.8302907012077212e-06 5.217583524268775e-08 -5.001605624058894e-10 3.8684245021944816e-06 7.928764070862042e-08 -5.8314720512510215e-08 -7.72894836444074e-08 5.1074154777438544e-08 2.740077474836578e-08 -4.6290817693441725e-08 5.254294113227913e-08 -1.0328428145867014e-07 1.2065186479485955e-07 -9.686133062032658e-08 -2.1416109455740567e-09 -2.377368602139174e-08 1.1481195006762884e-08 -7.534420626272718e-08 8.466151925080412e-09 2.8992164377166816e-08 -5.683199263876253e-09 8.202885212353445e-08 3.3379571781281655e-08 5.59413269448665e-07 -2.984505063212993e-06 -7.495416348252148e-07 6.9039461748610785e-06
pcs.V4 2.293323437473929e-06 -2.61610300759822e-07 2.7462852549891945e-08 -3.635420480760539e-10 -5.659632331283844e-06 9.247368206954223e-07 -3.942531743940832e-08 4.762489901647955e-10 7.928764070862385e-08 3.6324075777947964e-06 2.1337424332727496e-08 3.324248786283189e-08 4.814380122418398e-08 -3.167797058247647e-08 -6.467109759823877e-08 4.421023634566802e-08 8.877324521552545e-08 -6.349422644006973e-08 5.995248834685686e-08 -6.560292725359834e-08 -1.0830390197605126e-07 5.454867619769681e-08 8.886563970631859e-08 2.3479274202229612e-08 5.41217719034652e-08 3.071826893569193e-08 1.4305628914492853e-08 5.4418317276499046e-08 -6.875145805246618e-07 -1.681311329939941e-06 8.017212124952955e-07 1.1811564943924435e-06
