 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 0.00011236122999553673 6.859222312877838e-06 -1.899522020598178e-07 1.860253263201169e-09 -1.5499621425017613e-05 1.413734186979234e-06 -3.965868236262975e-08 3.716430337924486e-10 1.9946714616441468e-07 2.3576778706420006e-07 -1.5013947487417801e-07 -5.101349026300269e-08 -7.327705012436889e-08 7.02999306648014e-08 -5.43821192600968e-08 5.743245319004857e-08 -3.616274759239691e-08 -8.036075234417702e-08 -8.345082155066895e-08 -5.6411601655926695e-08 3.354097200514443e-08 4.561471541126795e-08 -2.3369246313512124e-08 -3.603769772752151e-08 1.0600208065740987e-08 -1.5151316872671304e-08 4.3928881445954986e-08 -3.6514839731012507e-08 1.0242122050328198e-06
age 6.859222312782666e-06 0.00024223804590080527 -5.577700532910148e-06 3.988827629110061e-08 0.0029474769199392173 -0.00022308873403836205 5.118576334598526e-06 -3.643977588333485e-08 -6.82057850754842e-08 2.1460724284369128e-07 -1.151561498498241e-07 1.9841103772154906e-07 1.058871625396412e-07 9.048761205209767e-08 1.0986652484440145e-07 6.641451007019506e-08 6.854487909367157e-08 -3.5914896278344574e-07 -3.104311696705514e-08 5.3062295351787587e-08 -1.529111515710638e-07 -2.4447310335447503e-07 -2.0438761255203542e-07 2.2912694012294218e-07 1.7374832794409117e-07 -1.5940413316434276e-07 1.1935459091136126e-07 3.0054556749586197e-07 -4.934728699230023e-07
age2 -1.8995220205959647e-07 -5.5777005329092736e-06 1.3087739731791928e-07 -9.517189516883329e-10 -6.629906555816505e-05 5.12693279083982e-06 -1.1992010981935636e-07 8.683338124471842e-10 3.4210000066933144e-09 -4.563261386116766e-09 1.9953524734062162e-09 -4.815282962714069e-09 -2.673338829369437e-09 -2.8887897411667846e-09 -1.998045991266457e-09 -9.443141933878601e-10 -1.4860846028333125e-09 8.24560571154207e-09 1.1831700953294254e-09 -1.1034269204520295e-09 3.2733671296683495e-09 4.864424008878748e-09 3.5870531328785943e-09 -4.694697605987069e-09 -4.5052171911327225e-09 3.3326907107361325e-09 -3.2266140963822114e-09 -6.985136096363001e-09 1.6029487510487306e-08
age3 1.8602532631923438e-09 3.988827629109916e-08 -9.517189516884408e-10 7.0328149829073525e-12 4.647173042976337e-07 -3.6560725142729837e-08 8.698838299708088e-10 -6.402139694188262e-12 -3.511714694987003e-11 3.344295195999673e-11 -1.3506217562166762e-11 3.5098626005505904e-11 1.8693140714287664e-11 2.5474782787806416e-11 1.160186596187121e-11 4.5627011845151396e-12 1.181124966255591e-11 -5.881491073188599e-11 -1.3536557762606314e-11 5.956118688826193e-12 -2.2951350179046048e-11 -2.921229578927352e-11 -1.9921986770546038e-11 2.972896361455989e-11 3.515632784074879e-11 -2.1773412155032938e-11 2.593047459634376e-11 4.9616806684375024e-11 -1.4128361380761457e-10
sex -1.5499621424055306e-05 0.0029474769199483203 -6.629906555838123e-05 4.647173042992265e-07 0.10243967576209605 -0.007671769930695 0.00017522178771904517 -1.2471313510887835e-06 -8.564591546126496e-07 -7.385081576325736e-07 2.987990081506596e-07 1.1592707991202813e-06 -1.8266622687062209e-06 -5.071144165164314e-07 1.89500192822482e-06 -3.406726718760679e-07 -2.1885338676803136e-06 -3.0697217324464555e-06 -2.9640294907329523e-07 3.011969858761681e-06 -1.3963186005118073e-07 -2.5415339495907084e-06 -4.50893524035079e-06 1.9605139350634486e-06 1.6148748154597072e-07 -2.0499027556988013e-06 3.0988693454568423e-06 3.6942333168223755e-07 1.0577508353230745e-05
agesex 1.4137341872680842e-06 -0.00022308873403902645 5.126932790855857e-06 -3.656072514284854e-08 -0.0076717699306946266 0.0005900936909821691 -1.3755957241260273e-05 9.95225350896986e-08 1.1678066038055641e-07 6.850426461198772e-08 -2.1745755040649736e-08 -6.098141853852376e-08 1.075333569103074e-07 -7.0527530686735074e-09 -7.206832767355398e-08 3.9757108376164855e-08 1.5882197454837313e-07 2.3592947777082693e-07 7.438564752328313e-09 -2.1938081884577275e-07 -2.3518454279305033e-08 1.7669308608781995e-07 2.953418571149077e-07 -9.633925349783712e-08 -8.597557243920712e-08 1.5837881612153738e-07 -2.7043679217598516e-07 -4.4853996627806114e-08 -2.904045886141489e-07
age2sex -3.965868235702424e-08 5.118576334613296e-06 -1.199201098197097e-07 8.698838299734367e-10 0.0001752217877190293 -1.3755957241259716e-05 3.266938985127543e-07 -2.402667317268468e-09 -3.947469441043296e-09 -1.8214362109953735e-09 3.156384669608853e-10 1.34581301878202e-09 -2.1859679796982294e-09 9.925822213784573e-10 6.786247856545202e-10 -1.389458950705988e-09 -3.1416777823340906e-09 -5.2546035184859075e-09 -3.9752810439760464e-10 4.680092733285774e-09 1.0987465325614154e-09 -3.353187068156398e-09 -6.3425570542331724e-09 1.011744546909567e-09 3.0812007575792648e-09 -4.018731450191081e-09 6.7706353663096255e-09 8.689032635048645e-10 -5.227002844225641e-09
age3sex 3.7164303378647615e-10 -3.643977588344741e-08 8.683338124498861e-10 -6.4021396942083134e-12 -1.2471313510886206e-06 9.95225350896911e-08 -2.4026673172683895e-09 1.7947606614837825e-11 3.435928764567656e-11 1.6101162810801406e-11 3.1301174923593704e-13 -1.190242123137827e-11 1.6848955861213802e-11 -1.0794369442142984e-11 -8.489415541046701e-13 1.1285864257042237e-11 1.806791944412008e-11 3.5735886714161246e-11 4.758015250108202e-12 -3.051059418481779e-11 -9.654396231525587e-12 1.9407829841986933e-11 4.3915814216701994e-11 1.6234516512602307e-12 -2.773127528258757e-11 3.18143944634372e-11 -5.2097461542792655e-11 -5.227588887257922e-12 1.3690430506979738e-10
pcs.V3 1.994671461643994e-07 -6.820578507550859e-08 3.4210000066939675e-09 -3.5117146949875296e-11 -8.564591546083744e-07 1.1678066038022266e-07 -3.94746944103539e-09 3.435928764561832e-11 1.1749032385304913e-06 7.987435553841896e-08 -2.6346159394916424e-08 -3.873576671715346e-09 5.8187131368061775e-09 1.6138125062548267e-08 -5.7945397130892105e-09 9.548724536000928e-09 6.158511242013512e-09 2.659136105984778e-09 -8.237116489563635e-09 9.142214178920342e-09 2.4379510858094058e-09 -1.1167469367665966e-08 -7.959572793109178e-09 -1.1738450146164657e-08 -2.418461024132673e-09 -9.22374630152328e-09 1.1084762512101772e-08 1.0665987881860694e-09 2.4292437105648226e-07
pcs.V4 2.3576778706421687e-07 2.146072428432625e-07 -4.5632613861067405e-09 3.344295195992414e-11 -7.385081576449351e-07 6.8504264612955e-08 -1.821436211018289e-09 1.6101162810969553e-11 7.98743555384192e-08 1.2432473266098688e-06 2.4552023834644403e-08 -6.091649837871721e-10 1.5475414943578786e-08 -2.143549888115627e-08 -4.09425116746022e-09 1.985365137967321e-08 -2.5771187140008205e-09 -5.520722564461199e-09 1.2630009538438397e-08 -7.217667335228495e-09 -5.655540649321397e-09 1.3386440028085251e-08 1.1896159301589582e-08 6.388459821825155e-09 5.3324405316319425e-09 -5.649359496249218e-09 -4.212328678019321e-09 3.0264283368120988e-09 -2.1113328337673202e-07
