 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
pcs.V5 1.4549005243564582e-06 5.317828213212143e-06 -1.2010980496763264e-07 8.923445495963915e-10 0.00019462092312312607 -1.3540955398969474e-05 3.059437086636135e-07 -2.2498537088378206e-09 -6.756347709983618e-08 2.2486445546661335e-07 3.932220466886868e-06 -6.747169125160797e-08 -7.893881610086099e-08 -4.055236863109337e-08 -8.796148127924276e-08 -9.104013963830971e-08 -1.054681324582963e-07 8.732832804163009e-08 2.406219610229623e-08 2.2625902015919106e-08 1.6728036982403276e-08 -2.8033410417924768e-08 -7.155778970089349e-08 -9.434958944308088e-08 1.2093952033706146e-07 9.521423970267344e-08 1.5036432251254905e-07 1.432553906245954e-08 -6.382043935078365e-07 -2.7119390457108863e-06 3.1879724215589867e-06 -7.094828852929683e-07
pcs.V6 2.358240683772026e-06 -3.0962904485335007e-06 5.006540259091571e-08 -2.2654413244669108e-10 -0.00011077880392325856 7.062199240335746e-06 -1.4177096035546716e-07 9.023396453100701e-10 -3.9339788662029357e-08 1.814687212048239e-07 -6.747169125161077e-08 4.054606478505132e-06 -5.717018992476884e-08 4.2658959938111073e-08 1.2630026905240747e-07 -1.2058378106957633e-07 1.889152212180594e-07 -1.0395392846376227e-07 7.495941137777303e-08 5.273226250002955e-09 -4.6871174600490335e-08 -1.7501824356390708e-08 -7.963428590258706e-08 3.52789097273138e-08 5.1638420478346124e-09 -1.1227475502945039e-08 -1.271907537054597e-07 8.037362054849763e-08 -5.878295837246605e-07 2.00669215016554e-06 -8.418099996889848e-07 -3.441381408430099e-06
pcs.V7 2.891284686790733e-06 -1.3439895399492254e-05 2.8277407100321066e-07 -1.9229855689193465e-09 -0.00025980516395709025 1.7713010353534732e-05 -3.9429421351710456e-07 2.8558866431894638e-09 -5.501064286945396e-09 -4.5998112229875274e-08 -7.893881610085359e-08 -5.717018992477511e-08 4.816779233158312e-06 2.7021614046823093e-08 -1.4478218469826513e-08 -1.4712478148549733e-07 5.5749492816625076e-08 -1.4052808277964095e-07 -8.731465956779638e-09 -1.5847365351272392e-07 4.727970559539893e-09 -1.5261530103593326e-07 -6.878273146864046e-08 -9.764442461143004e-08 2.079245897472529e-08 -2.0054247329409503e-08 7.48433849591726e-08 5.6155247664036004e-08 -6.275007196204645e-07 -8.772469636768876e-07 -2.102213391325743e-06 4.458156211057045e-06
pcs.V8 -1.2180136409280647e-06 -7.2503803917731935e-06 1.6773434290008633e-07 -1.2671057595150477e-09 -9.142498321306536e-05 5.713933013457787e-06 -1.1559803170056084e-07 7.884375753777803e-10 2.1533248058690135e-07 -1.0820715685174184e-08 -4.055236863109208e-08 4.26589599381108e-08 2.7021614046824658e-08 4.6201237340593736e-06 1.0515243806643874e-07 -3.13031656543847e-08 1.5459699694028045e-07 1.720631148995561e-07 6.396961866943906e-08 -3.3863182404574667e-07 -8.415120392305834e-09 1.865860673082794e-08 2.239257105471648e-09 1.118226370009477e-07 9.335905907325653e-08 2.265587448014448e-07 2.3744499866168696e-08 -2.1948137785841652e-08 3.307849896953657e-07 9.95778111509898e-07 9.756061867724617e-07 -2.3680872038501946e-06
pcs.V9 4.3839796554364755e-06 9.710321329123766e-06 -2.244523808323483e-07 1.6843096278000562e-09 0.00010526820792113225 -5.427231972675388e-06 7.879338475400971e-08 -2.382518991323952e-10 -7.404590395845821e-09 -2.1347879044342987e-08 -8.796148127923714e-08 1.2630026905240305e-07 -1.4478218469835857e-08 1.0515243806643741e-07 4.647982206833587e-06 9.24843740589308e-08 1.4200304891546479e-07 -7.822299194040973e-08 4.08152356366404e-08 -1.3338473029618736e-07 9.979310386488115e-08 -2.144397205894318e-08 2.8535211150221366e-09 -1.8551681741688883e-08 -1.467897319282104e-07 -7.091999567300035e-08 -1.3002799084136026e-07 1.0025457435645699e-07 4.992662093387778e-07 4.207991978769406e-07 1.917991967953321e-06 -2.126664424845157e-06
pcs.V10 7.438613213904119e-07 6.454792708027294e-06 -1.5049697316786502e-07 1.1248992291007294e-09 0.00014996609186224738 -1.050165793399956e-05 2.3648137781882612e-07 -1.7315927728226975e-09 1.1206667516356194e-07 6.437713509287746e-08 -9.104013963830971e-08 -1.205837810695749e-07 -1.471247814855042e-07 -3.1303165654386674e-08 9.248437405892877e-08 4.547030720493363e-06 7.197149940333169e-08 1.4349001481902995e-07 1.5142517221018142e-07 1.3840131429588428e-07 2.0827234369202776e-08 2.6563190395458288e-08 1.4707785221063188e-07 4.8746446769359836e-08 -9.270318549287513e-08 1.9312264138498004e-07 -5.899517911028842e-08 -5.950268372525939e-08 2.591596968379092e-07 -1.143086064669252e-06 -1.132591181903139e-06 1.8304150109828806e-06
pcs.V11 -2.442297977202728e-07 6.078801189313779e-06 -1.4045220466556735e-07 1.0570621476468105e-09 -0.00012721753830711123 8.891441984870815e-06 -1.9623999971816145e-07 1.3841835662726144e-09 -1.3859792744759578e-07 1.0052933908657247e-08 -1.0546813245829331e-07 1.8891522121805326e-07 5.57494928166252e-08 1.5459699694027905e-07 1.4200304891547532e-07 7.197149940333284e-08 4.687904639667735e-06 -2.998772916680394e-08 1.7769881228279546e-07 -8.510055672825822e-08 6.393217891930747e-08 -1.1431373822915622e-07 1.30506865134782e-07 1.833966878186703e-07 -2.4299940785783462e-08 6.787768284518258e-08 -9.920884479179568e-08 2.1483486082361577e-08 5.013610834374483e-07 1.1862064823619636e-06 -1.2511341360192585e-06 -6.167066897615948e-07
pcs.V12 -7.841389389435537e-07 -1.1161759307601923e-06 3.4369081931043214e-08 -2.8249382922677914e-10 0.00023370975001166087 -1.6243233222744723e-05 3.7056564022216946e-07 -2.773658659385991e-09 2.611499212694915e-08 -1.1479933207056444e-07 8.73283280416406e-08 -1.0395392846376192e-07 -1.4052808277966374e-07 1.7206311489955033e-07 -7.822299194041646e-08 1.4349001481903924e-07 -2.998772916681253e-08 4.433450531645575e-06 -1.0609822033135575e-07 -1.020583633090173e-08 1.6861023315207776e-08 -7.29594652662094e-08 -5.362522545602256e-08 -9.808944716317975e-08 -2.0950194722985536e-08 6.44019053694289e-08 -1.0516787853073435e-07 1.3491183014478676e-07 -4.2783843945926047e-07 -1.7543902408543143e-06 5.371434828619746e-06 2.8846420797184436e-07
pcs.V13 -9.947887176527435e-07 7.11051343063452e-06 -1.676874664779712e-07 1.2684434793870761e-09 -9.249584450122309e-05 5.460900356782511e-06 -1.0525234162653186e-07 6.604387533603652e-10 -3.4371360385181496e-08 7.834842317651989e-08 2.4062196102273826e-08 7.495941137778069e-08 -8.731465956748857e-09 6.396961866944647e-08 4.081523563664176e-08 1.5142517221016357e-07 1.7769881228281312e-07 -1.0609822033138224e-07 4.461337584735615e-06 3.310771727260387e-08 1.6692108961413316e-07 1.505341708814109e-07 -6.674973974534965e-08 9.100806790471095e-08 -4.924062591217629e-08 5.2830916705362516e-08 2.209218185157201e-08 -8.934218950807862e-08 3.009999900753346e-07 1.3559620619940746e-06 2.565982537575075e-06 -1.8102429919678692e-06
pcs.V14 -2.6332541244245552e-06 -2.978933433343559e-06 6.90161079456309e-08 -5.355892767619355e-10 -3.1703926760388013e-05 1.79199943563743e-06 -2.667294943583567e-08 7.912058717891347e-11 -3.4918806493657286e-09 -5.436139572063112e-08 2.262590201591767e-08 5.273226250004096e-09 -1.5847365351272165e-07 -3.386318240457467e-07 -1.3338473029618783e-07 1.3840131429588375e-07 -8.510055672825475e-08 -1.0205836330903591e-08 3.310771727260442e-08 4.750168457710303e-06 8.017591278351775e-08 -4.845966306133302e-09 1.3319273431508467e-08 -5.7326294138722187e-08 2.982340121189596e-08 -1.290106864756043e-07 -1.748335452641982e-07 2.693224069468809e-09 -1.6934913582875028e-06 2.804194900023392e-07 -3.362630642678092e-08 -6.11378427131555e-08
