 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
pcs.V5 -2.433992338916653e-07 8.78077313880081e-09 -1.122880966467414e-09 1.0039994125924958e-11 2.1528761060528795e-06 -1.6949627783837007e-07 4.105532013821468e-09 -2.9921053953999264e-11 -2.8424593368790774e-08 4.9685885255242545e-08 1.1970903956142996e-06 -8.89434414407843e-10 1.500409536577336e-09 -2.8040790348408013e-08 1.023141267412724e-08 -5.752939449673017e-09 1.5995500467405283e-08 1.7768988032088653e-08 8.97672402375196e-09 8.652659578785629e-09 1.0413309172860225e-08 1.3460608651867768e-08 -1.956541033525619e-08 -5.0848445627237705e-09 6.1716281131889824e-09 9.446874213129608e-09 4.3466253503632775e-10 4.580041646379037e-09 2.5254342932899783e-08 -3.384232101894326e-07 -2.9839748658953293e-07
pcs.V6 -2.0710457631765628e-07 2.5512091216871377e-07 -6.2905975038309065e-09 4.636772959145691e-11 1.6020264778957446e-06 -7.891083404119049e-08 1.532626108473487e-09 -1.1969620995317702e-11 -7.971084699465717e-09 3.918083763579339e-09 -8.894344144081082e-10 1.1723488701829348e-06 9.81128929627555e-09 -3.5579048738526444e-09 1.0120422965118743e-08 -1.3853680735742496e-08 2.276471659344989e-08 7.984914413081762e-10 -1.0165129950670037e-08 -5.173753007366976e-09 1.420148121764818e-11 7.35581976648918e-09 -4.529021465505037e-10 5.2136977403703695e-09 2.134047344799073e-09 6.635448531980016e-09 -2.733968429726498e-08 -1.6815235190449198e-08 -1.269627795571234e-08 -4.425559997449499e-07 -1.98152690453205e-07
pcs.V7 -3.836600459465776e-08 -1.9003952371396446e-08 3.6050772552031514e-10 -4.0779237715028846e-12 -4.496702048462162e-06 2.9119553748726806e-07 -6.091778505740942e-09 4.2679414713520587e-11 6.274067753882425e-09 1.6437685332175978e-08 1.5004095365778608e-09 9.81128929627539e-09 1.3224810170375404e-06 8.72163768320723e-09 2.799524457844769e-09 -2.9096544873013743e-08 8.868694835694846e-10 -4.504762928283373e-09 1.382268535779596e-08 -4.572084318427542e-09 -3.2532590126140503e-09 -4.6839820679900335e-09 -1.9750437585680364e-08 1.3585681828012176e-08 3.7317375295122175e-09 -2.8970922390277256e-08 -1.0979318006461266e-08 1.9462399375711043e-09 1.1705101968382511e-07 -2.464636162995728e-07 -6.727784897623154e-08
pcs.V8 5.475749858503752e-08 2.8713831871048684e-08 -1.5199399020098473e-09 1.539285442418389e-11 -1.6300193268598948e-06 5.841029467679496e-08 -5.44776352747187e-10 1.7787793762465984e-12 1.6507242296572888e-08 -3.155647766470081e-08 -2.8040790348408e-08 -3.557904873852637e-09 8.721637683207354e-09 1.3032951228214006e-06 1.4737984184378829e-08 -1.0485410822411666e-08 4.4273440116210086e-10 3.5176161774689814e-08 5.207356631123225e-09 -2.8652515736580102e-08 -1.3970289331096303e-09 1.173190795863947e-08 -6.171841950011767e-09 1.0986216954321584e-08 2.2155730549723513e-08 1.5351591725667277e-08 8.41399971876458e-09 3.322711030301952e-09 -1.282460289957494e-07 1.495112832464972e-07 -8.888155127725076e-08
pcs.V9 -7.588265745654973e-08 9.097324753948708e-09 4.983374172720216e-10 -7.569767671161769e-12 2.9145230203310843e-06 -1.2188409141124577e-07 1.4097691837680048e-09 -3.213943744730527e-12 -5.274941928355341e-09 -1.0438738380529169e-08 1.0231412674127104e-08 1.0120422965118756e-08 2.7995244578446224e-09 1.4737984184378856e-08 1.272549310844826e-06 -7.965960235055202e-09 6.286284612729086e-09 1.5738156775812745e-09 1.3910020750485328e-08 -7.2082186331228794e-09 -5.421642030636892e-09 -1.4388801635617125e-08 -3.1663085292651777e-09 -1.91364897014514e-08 -2.2059366947236323e-08 -7.684122373904396e-09 -5.242978095036797e-09 1.3833033485786567e-08 -2.9429490913845072e-08 5.7661074443547446e-08 -8.031428105931759e-08
pcs.V10 7.178943400636808e-08 1.0342466095444196e-07 -1.4193761124368068e-09 5.646954770887004e-12 6.07756242163006e-07 -8.627897030241038e-09 -7.939836252562056e-10 1.0502275147457713e-11 1.4523863593723884e-08 3.086534986629665e-08 -5.752939449673232e-09 -1.3853680735742663e-08 -2.9096544873013446e-08 -1.0485410822411628e-08 -7.965960235055276e-09 1.2975283266216823e-06 2.4076572322209234e-10 1.048562772819453e-08 1.2562489552908696e-08 8.00340122378546e-09 -2.548928291119044e-08 7.835455976760002e-09 3.6347508398602504e-09 3.680297128177567e-09 5.377314547703362e-09 2.0756227111309086e-08 -4.676942664641455e-09 -1.0467276568428446e-08 -3.808659401683236e-08 -2.143080764973956e-07 -2.624818853767155e-07
pcs.V11 1.518520306299348e-08 1.5730101961843104e-07 -3.770570748834944e-09 2.992380239066702e-11 -6.388450069070357e-07 4.898501912147263e-08 -6.94019282595891e-10 1.0255872636588198e-12 8.62641784058695e-09 -1.0712135044262223e-09 1.5995500467405217e-08 2.2764716593449856e-08 8.868694835696719e-10 4.4273440116208995e-10 6.286284612729074e-09 2.4076572322210325e-10 1.2699968403267824e-06 -1.3815263099059241e-09 2.6333458609092127e-10 -5.050037878320603e-09 -1.0026189575784649e-08 -3.467784493683782e-09 7.337101705760686e-09 5.563740954576972e-09 1.6013498577506355e-10 2.041753034993722e-09 -1.6396741991168982e-08 9.755249068852015e-09 -1.2049818686043766e-08 2.0192348801490706e-07 3.3554525773210885e-08
pcs.V12 -1.162564897425253e-07 -4.0691659015932553e-07 8.772367484810407e-09 -5.859375467535786e-11 -3.115409491080284e-06 2.412041859301737e-07 -5.157966580916456e-09 3.3172989098443844e-11 -5.010004160258618e-10 -8.802207999984073e-10 1.776898803208951e-08 7.984914413082335e-10 -4.504762928283964e-09 3.517616177468967e-08 1.573815677581488e-09 1.048562772819414e-08 -1.3815263099061088e-09 1.2865004382942239e-06 -1.9075152561248656e-08 -6.370913091910171e-09 -2.7459894669840427e-09 8.544503895198243e-09 -3.414320806346947e-09 -1.6387018480965625e-08 -1.1354951857187865e-08 3.3529099270577376e-09 -2.321187215136629e-08 1.9400921659469824e-08 5.486535586158904e-08 -2.1335185761088374e-07 2.795375708309337e-07
pcs.V13 -1.2839644862679852e-07 -1.549702691338469e-07 4.075060419333989e-09 -3.541696531656767e-11 -3.615864048161138e-06 2.578495957280769e-07 -6.19880866513273e-09 4.613254111757025e-11 -2.4086709744416916e-09 9.553362342463658e-09 8.976724023752681e-09 -1.0165129950670157e-08 1.382268535779562e-08 5.207356631123062e-09 1.3910020750485543e-08 1.2562489552908317e-08 2.633345860906633e-10 -1.907515256124827e-08 1.3093351099287292e-06 -5.016127736089042e-10 -1.066102136566616e-08 1.2659091978532247e-08 -1.7691658430656284e-08 -1.1155192450072572e-08 -2.232315543474952e-08 -4.804583343241912e-09 5.3293600137355275e-09 -7.069560409503194e-10 4.49315843623494e-08 1.7181513635773277e-08 1.883822987451524e-07
pcs.V14 -2.7440501040688912e-08 4.631254546105602e-08 -9.02993977365217e-10 5.259358463491318e-12 3.1323328655198616e-06 -2.2360639091921004e-07 4.8348395158651216e-09 -3.285405558060496e-11 1.0088789389994705e-08 -9.527847687278434e-09 8.652659578785268e-09 -5.173753007366851e-09 -4.572084318427654e-09 -2.8652515736580026e-08 -7.208218633122947e-09 8.003401223785705e-09 -5.050037878320473e-09 -6.3709130919106964e-09 -5.016127736092418e-10 1.2925765777335299e-06 -4.3086235085146124e-09 -5.779570935707328e-09 1.5147663702391056e-08 -1.775862047034634e-08 -1.973347039420555e-09 -5.4287236455770576e-09 -6.676262354241908e-09 -1.2146348640016083e-08 3.7974658398095716e-08 -3.9736174233629355e-07 -3.494712106638577e-07
