 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
intercept 0.01556932326310101 0.00734664144019489 -0.00022536657069750811 2.1987313582267023e-06 0.03651451235854765 -0.003489396012267101 0.00010472525355511068 -9.969229293472985e-07 5.146585177093877e-06 6.631588314431385e-06 -5.991925057446198e-06 7.8057406727093e-06 1.1648581600697804e-05 -9.258500919869711e-06 -1.8849820994526278e-05 -8.96601144219512e-06 2.9488074987452106e-06 3.7268442132149185e-07 -2.1351494989572703e-05 -1.2664595424062546e-05 -5.741508329606689e-07 3.453270941742185e-06 1.0391479392997348e-05 -7.573074620093171e-06 -6.425243718981013e-06 -1.875078872109995e-05 1.869581758737492e-05 -1.0204756434354203e-05 -9.003214734892503e-05 0.00010914493977262605 1.9324737913865206e-06 -3.538885056473271e-05
age 0.007346641440197883 0.010809706856283924 -0.0003034118243462763 2.686739690598773e-06 0.1168122860393158 -0.010438745624793843 0.0002925969894032045 -2.5882776140713623e-06 -1.6841834322696702e-06 -1.4360624030641437e-06 -9.681134759774297e-06 1.0525921806132143e-05 5.721517221351436e-06 1.0538505773715687e-05 -1.0815732392297046e-05 -9.896412072892401e-06 -1.0853697525824832e-06 -2.1549209304822195e-06 -7.329414909586926e-07 2.162059039537707e-06 1.0876680610067333e-05 -2.8915283884421057e-06 9.931154042761103e-07 -2.3429183253546416e-06 -1.599717137311151e-05 -1.0223109455020866e-05 -1.0098073338270566e-05 -1.1296896913018492e-06 -1.73625255162942e-05 0.00017410362615641922 -0.00014502684580596496 7.487629471947211e-05
age2 -0.00022536657069757094 -0.0003034118243463088 8.615912918579465e-06 -7.713047374264063e-08 -0.0032319020056351924 0.00029232191642036994 -8.288484321775662e-06 7.411240754815544e-08 3.3247409022848086e-08 7.848125292017452e-08 2.7276555799484565e-07 -3.003627567157283e-07 -1.8495140398260118e-07 -2.813104975465974e-07 3.1774132084955447e-07 3.0522939317379894e-07 6.083552015184412e-09 5.9364467081047025e-08 7.55859719787178e-08 -5.045513424131603e-08 -3.03197503082896e-07 6.054932081407076e-08 -4.697095855367227e-08 8.417512474554168e-08 4.299029740572772e-07 3.187302790376698e-07 2.312847026406751e-07 4.9652483643848456e-08 6.008948399336674e-07 -4.776739381544789e-06 3.1283933360020028e-06 -1.3148096571913042e-06
age3 2.198731358227087e-06 2.6867396905987293e-06 -7.71304737426346e-08 6.981638577878578e-10 2.825564773489463e-05 -2.5825681880781336e-06 7.401980746325489e-08 -6.691537954582276e-10 -6.615035806674541e-11 -9.126799782127476e-10 -2.3905377775418764e-09 2.6944943807255354e-09 1.7720127425958728e-09 2.3386018577586977e-09 -3.023820546335139e-09 -2.9116634292112837e-09 1.5935949003968426e-10 -4.963432762464638e-10 -1.121548437603281e-09 3.826669040484569e-10 2.650584404137223e-09 -4.5138709955065593e-10 5.543799039828246e-10 -9.476569253519017e-10 -3.5869341536590647e-09 -3.06000667785003e-09 -1.6150811191543625e-09 -6.080898902504204e-10 -7.520696784731943e-09 4.146241825410356e-08 -2.1744705731782606e-08 8.255745619870931e-09
sex 0.03651451235872043 0.11681228603942635 -0.0032319020056384468 2.8255647734924917e-05 2.5133147570610226 -0.2195146192984809 0.006022481093868792 -5.2191817660630435e-05 5.319287894222237e-05 1.1146659424018634e-05 9.094842316636555e-05 0.00017510100355042017 1.2800260280739139e-05 0.00024761668222003744 -0.0001566652298229992 -0.0001410994487726101 2.895196859512295e-05 0.00010728853321339502 0.00015120790667056994 0.00013587977206778863 0.00010448017944574729 -0.00013732930787371635 -3.588329523072654e-05 -0.00011357159995371583 -0.00013915305268592766 -6.418031976265647e-05 -0.00019606755602013842 8.862725026998237e-05 -0.0008096289481582277 0.0016094166428267677 -0.0017460519932330832 0.002426424313514243
agesex -0.003489396012274888 -0.010438745624803597 0.00029232191642063893 -2.5825681880804722e-06 -0.21951461929847774 0.019466381280441092 -0.0005412338040422611 4.745504807046493e-06 -4.482969716103712e-06 -8.918666259649247e-07 -7.032143483463852e-06 -1.603739238026458e-05 -1.084017635179252e-06 -2.2164234618963265e-05 1.4989434658287224e-05 1.4192668183179584e-05 -3.474237521281826e-06 -8.860289701227127e-06 -1.1937418088075012e-05 -1.329749791243305e-05 -1.0360140079361306e-05 1.0611225970622094e-05 3.0786754693491577e-06 9.750196606801145e-06 1.130056450135317e-05 5.832539975778395e-06 1.5879932799075417e-05 -8.283067481867931e-06 6.394052689537314e-05 -0.00015090463517190004 0.0001311611117216898 -0.00015667083649502345
age2sex 0.00010472525355536102 0.0002925969894034136 -8.288484321781869e-06 7.401980746331216e-08 0.0060224810938686105 -0.0005412338040422525 1.5244529609577803e-05 -1.3530943095904046e-07 1.263881637133095e-07 4.438651519091737e-09 1.7082166726577705e-07 4.540621813500677e-07 1.949177035330514e-08 6.27923941819454e-07 -4.3203404818907327e-07 -4.3476102339380093e-07 1.2140028939405842e-07 2.2544565456653942e-07 2.949462713861588e-07 4.0607882125878223e-07 3.2301358253291846e-07 -2.6091233504471744e-07 -9.642665322206391e-08 -2.723770702725196e-07 -2.961970375325385e-07 -1.6812501236547687e-07 -4.2799091256063325e-07 2.3019326359002005e-07 -1.7317249343825515e-06 4.339267752286739e-06 -3.402427947031267e-06 3.6160421503580044e-06
age3sex -9.96922929349902e-07 -2.5882776140730314e-06 7.411240754820877e-08 -6.69153795458745e-10 -5.219181766062792e-05 4.745504807046334e-06 -1.353094309590381e-07 1.2161371140892245e-09 -1.1996355564227047e-09 2.734475902991101e-10 -1.2924319068353289e-09 -4.003009974074383e-09 6.585500803138483e-12 -5.618822523661739e-09 3.8714689544168675e-09 4.117982968715773e-09 -1.2742238871714186e-09 -1.8183013742127572e-09 -2.3591614668635285e-09 -3.889610321706536e-09 -3.1895024161658543e-09 2.1890878899039104e-09 9.048795765690852e-10 2.4496251626195804e-09 2.3513248489040353e-09 1.5051945652818025e-09 3.759161496269777e-09 -1.9855773241928806e-09 1.686952192575304e-08 -3.917944505291195e-08 2.935232219352895e-08 -3.016122856714943e-08
pcs.V3 5.146585177098537e-06 -1.6841834322651426e-06 3.324740902271386e-08 -6.615035806550618e-11 5.3192878942259525e-05 -4.4829697161069616e-06 1.2638816371339927e-07 -1.199635556423493e-09 7.185684560049411e-06 9.905598748348859e-07 3.0905919497843447e-07 -7.858725791754037e-08 -2.4216744304218913e-08 1.9362907225048522e-09 -2.825578622306634e-07 2.0348714247206636e-08 -2.502223544663073e-07 6.425743732221562e-08 -2.2693673803186804e-07 -1.427789008396031e-07 2.1602870383424283e-08 2.768987767641567e-07 -7.016421997821952e-08 2.448095451834041e-07 -1.1095309460626391e-07 -2.913736740409334e-08 -4.5592211737070734e-11 1.09644054455265e-07 7.016963354636334e-07 -5.331311757936949e-06 -5.7557917495518585e-06 1.3839518426226042e-05
pcs.V4 6.631588314436587e-06 -1.4360624030532316e-06 7.848125291986636e-08 -9.126799782099986e-10 1.1146659424226434e-05 -8.918666259834139e-07 4.4386515196080036e-09 2.7344759029456045e-10 9.9055987483489e-07 7.247569826346575e-06 5.490276631765365e-07 2.391990750582301e-07 3.447736362581783e-07 -1.5021982607082194e-07 -4.2978271829331903e-07 2.2710361321681367e-08 6.108168713692941e-08 -2.335816487836586e-07 -1.8977730317592575e-08 -7.965734734016937e-08 -1.5124477425082107e-07 4.1798691290741615e-07 7.20233411468224e-08 2.5966374278402265e-07 2.4509044870680565e-07 2.557672278227308e-07 -7.636625737265382e-08 1.8834779799241227e-07 -1.1321729749273748e-06 -2.660848442927517e-06 -8.240996469574773e-07 4.557091963151187e-06
