 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 0.00011357971999267756 7.948122818805821e-06 -2.227157884776097e-07 2.1819893028840645e-09 -2.283404782690308e-05 2.0648321487860447e-06 -5.7642719121959233e-08 5.407966498747689e-10 2.4355159056782826e-07 3.066419493148639e-07 -1.9572898320800647e-07 -1.2539152805696143e-07 -7.869148053453702e-08 4.9673476874658944e-08 -8.82262589402408e-08 8.142743758775913e-08 -8.403775744328791e-10 -1.1071590414148826e-07 -1.5515532406175942e-07 -6.149563449261526e-08 -2.237692724079348e-08 1.5760795361018613e-08 -2.7295806424254586e-08 -6.848848779287969e-08 5.434024681310391e-08 -2.9760269146731292e-08 3.918111787949135e-08 -1.070396794435343e-08 8.529670864188683e-07
age 7.948122818960288e-06 0.0003103302531220148 -7.141303718802871e-06 5.101682148570212e-08 0.0038977198372429885 -0.0002951885190208877 6.779020742937146e-06 -4.830346334607386e-08 -1.0389914325904973e-07 2.3433968514759754e-07 -7.724782335757682e-08 2.471164888181335e-07 4.2684720139036466e-08 6.675344751647868e-08 1.4135995270716142e-07 1.5681861999344798e-07 1.818114600103094e-07 -3.6077932200204226e-07 -8.333960134991306e-08 5.102894064672312e-08 -1.5744459543064318e-07 -2.467874971392929e-07 -3.164620516189443e-07 2.768891700240756e-07 2.622213807833929e-07 -2.3422624929508055e-07 1.8416422411143084e-07 3.651527987849019e-07 -6.703306830590954e-07
age2 -2.2271578847791652e-07 -7.141303718804506e-06 1.6749338844160762e-07 -1.2168498306028015e-09 -8.76935615500236e-05 6.78479691724405e-06 -1.588302344278984e-07 1.1510275211302615e-09 4.821134041504241e-09 -5.075678701486004e-09 8.29286387597686e-10 -5.845995132871603e-09 -9.999434927450944e-10 -2.627094822287414e-09 -2.397286129442201e-09 -2.749415121924003e-09 -4.222071440044652e-09 8.092575514470327e-09 2.275479872536133e-09 -9.265799047613969e-10 3.1020097033177532e-09 4.6428001606829696e-09 6.0051670834227035e-09 -5.3460857840983754e-09 -6.940469313883644e-09 5.304177596190837e-09 -4.6289709098246205e-09 -8.245588187571731e-09 1.86503081508322e-08
age3 2.1819893028970235e-09 5.101682148570253e-08 -1.2168498306025418e-09 8.984077170840128e-12 6.148663423353434e-07 -4.839336869900138e-08 1.1522587198402826e-09 -8.486533414535712e-12 -4.84980804683705e-11 3.872171618655552e-11 -3.9728115797285905e-12 4.1268808567059995e-11 4.8341125479029115e-12 2.508317855141671e-11 1.2197357655289019e-11 1.5761243807842793e-11 3.2424211282424164e-11 -5.6310356773114074e-11 -2.1726293944591383e-11 4.301433185128835e-12 -2.0164524732132024e-11 -2.570986460091972e-11 -3.635008228366551e-11 3.092144253932173e-11 5.511848426154324e-11 -3.762921160197806e-11 3.537615752017457e-11 5.6979395304966505e-11 -1.5076963693246856e-10
sex -2.2834047821701472e-05 0.003897719837239733 -8.769356154994546e-05 6.148663423347784e-07 0.13472771543086276 -0.010095000358293275 0.00023068212817743778 -1.6423774757418756e-06 -2.8175809228567077e-06 -8.320456798277902e-07 2.2908867734277485e-07 1.3027201601759246e-06 -4.010993368471281e-06 -1.8478446101857244e-06 2.6739546934022505e-06 5.312068612805983e-07 -2.3997004329742354e-07 -2.8614864633261426e-06 -1.7140185851387747e-06 2.890230776410347e-06 3.174495046578846e-07 -2.208686676296247e-06 -6.430142407961915e-06 2.6039559777376715e-06 -2.712699315007847e-07 -4.3522778505523414e-06 6.061314481070383e-06 3.175545615333264e-07 1.116938099056032e-05
agesex 2.06483214885607e-06 -0.0002951885190208196 6.78479691724217e-06 -4.839336869898561e-08 -0.010095000358293188 0.0007768991285368476 -1.8120289929187377e-05 1.3114186105899468e-07 2.7458301141665633e-07 7.465116080432746e-08 -2.480564168832262e-08 -4.2645694138147704e-08 2.7191641884973423e-07 7.738020671609072e-08 -1.0336336167064095e-07 -7.562281767194016e-09 4.880101078250218e-09 2.1850198719222607e-07 1.0172285584565115e-07 -1.9841068674062395e-07 -8.992086161758526e-08 1.3796606272018626e-07 4.3714544519464406e-07 -1.0563904168642477e-07 -7.9934884007651e-08 3.498702466442795e-07 -5.011364863305688e-07 -3.510998072169614e-08 -2.829227179549066e-07
age2sex -5.7642719114845493e-08 6.779020742928293e-06 -1.5883023442768705e-07 1.1522587198387438e-09 0.00023068212817743366 -1.8120289929187218e-05 4.3058290415741724e-07 -3.1678158536486923e-09 -7.71875077339033e-09 -1.8466924808446402e-09 6.413995391145165e-10 3.6395855486201043e-10 -5.963645583751407e-09 -8.773559227876897e-10 9.492795107282785e-10 -7.897515578856958e-10 4.885080180019496e-10 -4.7900696474623365e-09 -2.5655822287088496e-09 4.246818840293523e-09 3.2510854635893966e-09 -2.1732839107845936e-09 -9.655667421021735e-09 3.9852867765007695e-10 3.2223479674171947e-09 -8.935795700381862e-09 1.22234313148192e-08 5.347943247707525e-10 -6.054698250544854e-09
age3sex 5.407966498431187e-10 -4.83034633460026e-08 1.151027521128624e-09 -8.486533414524117e-12 -1.6423774757418334e-06 1.3114186105899253e-07 -3.1678158536486675e-09 2.3671462197539294e-11 6.158514472471841e-11 1.5454413120662313e-11 -3.582275401097202e-12 -1.6295166515672122e-12 4.4268077090510304e-11 3.1553768019998824e-12 4.943132272673791e-13 1.0275733473160902e-11 -8.162989425603613e-12 3.1857088599364926e-11 2.0119965464684228e-11 -2.8787088906763618e-11 -2.949962195023479e-11 9.626896280343016e-12 6.807461850121198e-11 1.155565876346432e-11 -2.99352912149064e-11 7.081648918102432e-11 -9.190279949344132e-11 -2.294235824296007e-12 1.516793084975417e-10
pcs.V3 2.4355159056785124e-07 -1.0389914325926454e-07 4.821134041509023e-09 -4.849808046840356e-11 -2.8175809228673266e-06 2.7458301141748187e-07 -7.718750773409787e-09 6.158514472486063e-11 1.2381199088746336e-06 1.1353441072937128e-07 -2.3429695886488692e-08 -9.285264988488033e-09 1.239740541635282e-08 1.5956514836832903e-08 -6.16060852209508e-09 1.3105454325146868e-08 1.1343174935892855e-08 -1.390888308414108e-10 -1.2844602717723613e-08 1.1381505955259488e-08 4.039573815772428e-09 -1.3591515312777813e-08 -1.2124144798568349e-08 -1.317468679680653e-10 -4.149531844007162e-09 -1.4815407550870572e-08 8.680027478009616e-09 1.0437941714780695e-08 3.028594609990464e-07
pcs.V4 3.0664194931484773e-07 2.343396851477086e-07 -5.075678701488571e-09 3.8721716186573875e-11 -8.320456798245035e-07 7.465116080407547e-08 -1.846692480838803e-09 1.5454413120620392e-11 1.135344107293711e-07 1.3328498217081765e-06 4.789622067025412e-08 -6.951707484459917e-09 1.98838139866385e-08 -3.42860945792397e-08 -6.994288118957574e-09 3.385710705268404e-08 -7.256746500856544e-10 -9.142199090642396e-09 8.985030704049887e-09 -8.360355317554127e-09 -7.84713066333294e-09 1.7919725432483518e-08 1.2292423685838669e-08 2.0263092093440764e-08 5.121706572917334e-09 4.619900440663308e-09 -7.442664674037861e-09 9.299992231862092e-09 -2.6167548457795914e-07
