 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.00013273162335663847 5.956255570943997e-06 -1.6246372351383832e-07 1.60959960519117e-09 -3.038710600051974e-05 2.67329135013349e-06 -7.035615798123645e-08 5.866438387602139e-10 1.7233227531144425e-07 2.381371147537842e-07 -1.0528740222975848e-07 1.918149081859568e-08 -1.159510703237415e-07 7.220745763044675e-08 -3.7988372463527546e-08 7.338623172969131e-08 -5.6493842633193443e-08 -4.575700503075245e-08 -2.585715753979435e-08 -8.331906839273866e-08 5.4051614241478634e-08 5.6482580799024684e-08 -2.898209607239051e-08 -3.7221360081011053e-08 8.124491449444155e-09 -3.7902358904110626e-08 1.643718848346028e-08 -2.8843863912455164e-08 9.389390515690718e-07 -1.1139974812083678e-07 5.190114419943912e-07
age 5.95625557082314e-06 0.00020873063348662363 -4.789620952008989e-06 3.415597227058071e-08 0.002473911227677677 -0.0001862873411061936 4.2494872044802765e-06 -3.006854761432545e-08 -4.726846688080974e-08 2.3102629487784083e-07 -1.5961174362761884e-07 1.6466109343529874e-07 1.4782420639163714e-07 1.145178501274553e-07 1.0889760102573479e-07 7.904611789466613e-09 7.692229085803348e-08 -2.8792850337842836e-07 3.369480300847854e-08 2.4844864879892305e-08 -7.945547880898096e-08 -2.475627427206329e-07 -1.546406375562658e-07 1.9011515682775973e-07 1.5979477490139476e-07 -1.1820997502376368e-07 1.218663935814715e-07 2.873886802776756e-07 9.500556809544558e-07 9.655038927815487e-07 -4.29336726152391e-06
age2 -1.624637235127135e-07 -4.7896209520087994e-06 1.1196408266427584e-07 -8.116999402087989e-10 -5.541709663862332e-05 4.264030216863739e-06 -9.916652008484047e-08 7.137291069493658e-10 2.4866666822732736e-09 -4.748238760901005e-09 3.1638774196628773e-09 -3.821918936444658e-09 -3.6546823292005054e-09 -3.224612429036732e-09 -2.0011980071393585e-09 2.071741447035358e-10 -1.6486758522652627e-09 6.747135825872931e-09 -5.557830633848706e-10 -4.4754178510861365e-10 1.6279510459084558e-09 5.138310517025543e-09 2.5006311006632307e-09 -3.983396744062681e-09 -4.029053973594516e-09 2.3826399940516627e-09 -3.240754032442108e-09 -6.705968879047286e-09 -1.2713668114550261e-08 -2.142414386389115e-08 8.471279208803629e-08
age3 1.609599605191592e-09 3.415597227058236e-08 -8.116999402088334e-10 5.9790884361428624e-12 3.866887232982288e-07 -3.0272424148187194e-08 7.162125118462603e-10 -5.2399688248624845e-12 -2.5187957344245254e-11 3.2988271450530316e-11 -2.2483144500740367e-11 2.7109695153093133e-11 2.6051134691809008e-11 2.6660013425679844e-11 1.1810246139900838e-11 -2.186290923552626e-12 1.2673578692330329e-11 -4.84939883246102e-11 1.1676810952639275e-12 9.75570430165477e-13 -1.1031249190617597e-11 -3.2613293162213936e-11 -1.2550861782033792e-11 2.6310255357006954e-11 3.109901901563597e-11 -1.5357910077532816e-11 2.5529688257472207e-11 4.801904058494391e-11 2.7792429957735312e-11 1.5852975656609988e-10 -5.032178848133663e-10
sex -3.0387105994964456e-05 0.002473911227682192 -5.541709663872725e-05 3.8668872329898596e-07 0.08797316413462616 -0.006575216344261219 0.00014985099207262496 -1.064456234591071e-06 -2.6733844436415416e-07 -3.582073814247396e-07 1.2162521860054647e-06 1.958377243837038e-06 -1.569230928733589e-06 -7.32679882900461e-07 1.319826304307119e-06 -1.532840220858875e-06 -2.4129679772345364e-06 -2.464007316611178e-06 8.031739599779142e-07 2.2890143147501456e-06 1.2261192937052002e-06 -1.7805485006675637e-06 -3.290795945396007e-06 1.3393730523099905e-06 1.1314935783022117e-06 -1.2439650635082334e-06 3.3683863520940963e-06 6.268388984837635e-07 1.0939631360379745e-05 2.5586981862965317e-05 -3.254205709249744e-05
agesex 2.673291350354919e-06 -0.0001862873411066036 4.264030216873205e-06 -3.027242414825476e-08 -0.006575216344261494 0.0005047237262834354 -1.1738941469684083e-05 8.475217924250709e-08 5.729089988709469e-08 4.580496072190338e-08 -8.668679796705033e-08 -1.257671732920906e-07 1.0376619765226446e-07 2.848698729629311e-08 -4.2351017683511624e-08 1.296776893983578e-07 1.7692262507647516e-07 1.9624027166858123e-07 -7.389943677465053e-08 -1.716870224043544e-07 -1.1814576893023109e-07 1.2903239024268132e-07 2.0406511255619948e-07 -6.250062839621098e-08 -1.611321429201646e-07 8.776680841763572e-08 -2.894371559107359e-07 -5.767813833483019e-08 -2.1550323911925116e-07 -1.8449843548796424e-06 2.0810002052375884e-06
age2sex -7.035615798996899e-08 4.249487204486631e-06 -9.916652008499287e-08 7.162125118473744e-10 0.0001498509920726375 -1.1738941469684546e-05 2.7811111090464235e-07 -2.0408112179178633e-09 -2.1745797468971505e-09 -1.4362111677112456e-09 1.6639465916188096e-09 2.8938157271988596e-09 -2.2660960191978436e-09 -9.768903937080088e-11 1.5652377132414047e-10 -3.368276467952301e-09 -3.6240659377752034e-09 -4.4897808912607595e-09 1.507900077318182e-09 3.70161974043379e-09 3.2053519276688806e-09 -2.499603800259212e-09 -4.167041823118946e-09 5.255136762965538e-10 5.067962428414619e-09 -2.141748960982181e-09 7.091273259364287e-09 1.0745789331517838e-09 -1.2323882585542985e-08 4.397804482131113e-08 -3.301085489458707e-08
age3sex 5.866438389433656e-10 -3.0068547614394164e-08 7.137291069510124e-10 -5.239968824874315e-12 -1.0644562345912008e-06 8.475217924251336e-08 -2.0408112179179307e-09 1.520869200747337e-11 1.8901232072862887e-11 1.4292330780119054e-11 -8.20593636166669e-12 -2.3100691492452796e-11 1.785950732653095e-11 -1.977827680497647e-12 2.11119806501176e-12 2.460881975159831e-11 2.205825331071263e-11 3.088819363878859e-11 -9.088890950337274e-12 -2.4398024753164664e-11 -2.482979854447149e-11 1.4527308782445183e-11 2.7833671901438922e-11 3.155422190994388e-12 -4.391419768162285e-11 1.688642829925532e-11 -5.39270097924775e-11 -6.116255582442428e-12 2.3771435413571983e-10 -3.61447300079391e-10 1.1931421928434878e-10
pcs.V3 1.7233227531151225e-07 -4.72684668807676e-08 2.4866666822722326e-09 -2.5187957344237247e-11 -2.6733844436131517e-07 5.7290899886864596e-08 -2.174579746891541e-09 1.8901232072820555e-11 1.327801906515322e-06 6.597374516010521e-08 -3.050416331501183e-08 -2.115402931745422e-09 8.334906321212252e-09 1.7585800650020702e-08 -4.193876405303283e-09 6.735465957607069e-09 6.352445186846789e-09 1.0241496695251044e-08 -7.966471539058029e-09 6.369257114459554e-09 -3.719342559495036e-09 -1.0890565751155336e-08 -5.766803192961288e-09 -1.5694333344049585e-08 -1.6298360956807129e-09 -6.446068587839282e-09 1.016488668573416e-08 -7.023576077861643e-10 3.611634319050272e-08 1.9278947393571527e-07 4.760028671108641e-07
pcs.V4 2.3813711475386951e-07 2.3102629487768474e-07 -4.74823876089756e-09 3.2988271450506897e-11 -3.5820738142908805e-07 4.5804960722218896e-08 -1.4362111677181811e-09 1.4292330780166441e-11 6.597374516010521e-08 1.3702743644511876e-06 2.085168822944778e-08 6.624687106858419e-10 1.8606433420705483e-08 -1.6568498605671805e-08 1.9888419527643372e-09 1.8400731492187358e-08 -5.225686790297695e-09 -3.645454883018093e-09 1.1344238367302888e-08 -1.5236911667705267e-08 3.14952730326573e-09 1.3137851826249752e-08 1.055062396950919e-08 5.099122936463782e-09 8.30551912037592e-09 -7.0755413109501005e-09 -1.411197416765975e-08 -1.290502762152826e-09 -1.5676430859380495e-07 -1.7078298212857387e-07 5.973533383586943e-08
