 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
pcs.V5 1.2261034748921058e-06 1.0600151160286235e-05 -2.0522690371375497e-07 1.2842269555616987e-09 0.0006151695696248944 -4.1033478320776675e-05 8.866520254857795e-07 -6.202826451266864e-09 1.4561339052113899e-07 2.3563328427199522e-07 5.943253971959464e-06 9.572853131949089e-09 -2.333665966363552e-07 -9.298881245663196e-08 -4.3719003679988914e-07 -1.8738640617079612e-07 -3.8285864906095683e-07 4.224747384547735e-07 6.65131735937332e-08 -8.165556964256895e-08 9.196406204023268e-08 -1.383181819459412e-07 -2.538104112386602e-08 -3.653369107813502e-07 2.7471151268479414e-07 2.1321122590971925e-07 2.2006175960887667e-07 -3.8509966012961266e-08 -3.361991165000591e-06 -1.03283637313701e-05 -8.074109136510412e-06 2.1414528348467026e-05 -1.7771026132274253e-06 4.587822994809974e-06 7.150877610591995e-06
pcs.V6 -1.6380376931721698e-05 -2.4664045457428514e-06 8.627831295554304e-08 -9.938778635533783e-10 1.2139920536392701e-05 -1.8014101799088297e-06 7.42108168594654e-08 -8.333332975489068e-10 -2.013661670107068e-07 3.5270131122222165e-07 9.57285313191349e-09 5.871640537178648e-06 3.419026086233103e-08 2.519480918095925e-07 2.9209052939408994e-07 -3.962489159233566e-07 4.313740350956119e-07 -1.325105958487519e-07 1.1437269895669898e-07 -1.4491462720042058e-08 -2.118100434569511e-08 6.367566490052068e-08 -3.7855661193421065e-07 1.5831528152017872e-07 -1.644879103837083e-07 -2.4359782896605188e-08 -2.60317560983349e-07 3.0865809167610977e-07 2.5312593792188104e-07 7.96032684564321e-06 3.7891675897736677e-06 4.077040788324507e-06 -2.587425104791027e-05 -1.1192505739086452e-05 5.963964624210749e-06
pcs.V7 2.048925022963718e-05 2.7959678739093003e-06 -1.6052498857937575e-07 1.9244609023823373e-09 -0.0007288184297601281 5.0503788319378994e-05 -1.14836060219218e-06 8.53827213782206e-09 6.300486064028274e-08 -2.357613488057335e-07 -2.3336659663622936e-07 3.419026086229102e-08 7.359975278621027e-06 1.6673310512970332e-07 3.88574589943788e-08 -3.271246376250847e-07 2.2251388104008702e-07 -5.193374089498796e-07 -2.3265067156685193e-07 -4.7174296576669745e-07 2.160936999904407e-07 -2.6125784256490084e-07 -1.1348551491622266e-07 -1.0648836308475115e-07 2.047378403030075e-07 1.4067198830657742e-07 9.257656799646585e-08 -5.2941820656360544e-08 -5.964051026833767e-07 1.8753023138044684e-05 -8.935662708820055e-07 -7.416582424143976e-06 -2.4159570415838475e-05 -1.682439640232829e-05 1.416512705316946e-05
pcs.V8 -4.957475033657906e-05 -5.800315521058506e-05 1.4535778768010701e-06 -1.1985621763215059e-08 -0.0005276884733273156 3.535321102263159e-05 -7.608739826357358e-07 5.264938159609769e-09 5.238517164935572e-07 -1.6091964976218403e-07 -9.298881245693671e-08 2.519480918095486e-07 1.6673310513020956e-07 6.983219365384394e-06 7.90644813315269e-08 -7.317191645485931e-08 3.3264808375746677e-07 4.261199454806558e-07 1.9354990970008644e-07 -5.678302678846151e-07 4.714367567803396e-08 -2.1864931325810662e-07 -2.0019370289235485e-09 1.8856230711807122e-07 2.4750755823007364e-07 4.0684477508231495e-07 3.003289524960459e-08 -1.9738761436294438e-07 2.59893183816413e-07 3.506698926706252e-06 2.2318141174727624e-06 -2.8110218070678706e-05 3.167789669655298e-05 1.8662802213291257e-05 -1.9699945979478082e-05
pcs.V9 5.297619652357485e-06 1.7308536178703383e-05 -3.7086993090120827e-07 2.4770451529154696e-09 0.00018787748169449045 -1.0958913291020009e-05 1.8275635884823303e-07 -6.362207643894237e-10 -3.2722906687846126e-07 -3.768773815474023e-08 -4.371900367997712e-07 2.9209052939410175e-07 3.88574589942105e-08 7.906448133145157e-08 7.251726297975622e-06 6.137778719309151e-08 3.8909270428923747e-07 -2.1346202629753453e-07 -1.0445948083557741e-07 -4.4413093679967105e-07 1.0983700449687155e-07 4.509065079994086e-08 1.7436503629823025e-07 -1.7795179837399806e-08 -5.505417142770603e-07 -2.8775404662685433e-07 -9.332692930408342e-08 1.2584080540539429e-07 2.8750359394715725e-06 5.124579854881721e-06 2.8673246418777586e-06 9.934359275708766e-06 -2.3688306160535432e-05 3.653232446960093e-06 -3.676543759073715e-06
pcs.V10 1.2669434771133273e-05 3.3234989676823126e-05 -8.28482459328882e-07 6.771991880299166e-09 0.0011063607248972802 -8.277803301041993e-05 2.0135904430380536e-06 -1.595997348850746e-08 2.0333409070901477e-07 2.4996651395391555e-07 -1.8738640617081232e-07 -3.96248915923277e-07 -3.271246376253663e-07 -7.31719164540944e-08 6.13777871927955e-08 7.434150032134708e-06 -6.547804287639781e-08 2.2152899180862013e-07 3.5907892375941085e-07 3.621515561280968e-07 9.516716805010897e-08 6.042911249053638e-08 7.597867787769398e-07 -1.9152030414063663e-08 3.348556902921e-08 3.8445465555146835e-07 1.0902285022795917e-07 -2.848069344800086e-07 4.53593225031116e-06 -1.4091201004327663e-05 -6.677623882894129e-06 1.5616624576721272e-05 3.386295056935455e-06 1.722469323451686e-06 1.8900648714034294e-06
pcs.V11 -1.0556082222777891e-05 6.941049697110296e-06 -1.495486977032004e-07 1.0352947640650027e-09 3.863570711580983e-05 -6.009329566045768e-06 2.2720108805106378e-07 -2.436220675282184e-09 -4.2241242408946096e-07 1.856555955542097e-07 -3.828586490609657e-07 4.3137403509561875e-07 2.22513881040066e-07 3.326480837575549e-07 3.890927042892009e-07 -6.547804287640688e-08 7.388244016255953e-06 -3.876592918642997e-08 4.005558699590626e-07 -1.8452712935114636e-07 2.4711031535955217e-07 -3.504734900001911e-07 1.3222996312115667e-07 5.961212207394716e-07 -2.1949183431001432e-07 9.917793768501147e-08 -2.4079174842294093e-07 2.677214132919863e-07 -7.30430550353084e-07 -1.1393385826666387e-07 2.745068524417886e-06 4.5989107529510696e-05 -4.162420287358606e-05 -1.4408440805198097e-05 1.0819611977180499e-05
pcs.V12 -1.553668890130165e-05 -3.217267580876953e-05 7.83778666004466e-07 -6.134909193291352e-09 0.00034763479644067923 -2.5558706300642726e-05 6.216861759265295e-07 -5.023951998296889e-09 2.3212451795082603e-07 -2.922969237823032e-07 4.2247473845451114e-07 -1.325105958487358e-07 -5.193374089496427e-07 4.261199454811496e-07 -2.134620262976586e-07 2.2152899180797784e-07 -3.8765929186497476e-08 6.896267207756477e-06 -1.880235355176218e-07 1.169527650453374e-08 4.126690080546226e-08 -3.6698502298865387e-07 -5.271816447942624e-08 -3.255407336569075e-07 1.2587603015250971e-08 1.6638847124130397e-07 -1.6883984979917945e-07 2.5151223444956947e-07 -2.4087067107357144e-07 -1.534145476657005e-05 -6.495260267355804e-06 -8.115400932710792e-05 0.00010267766298693469 2.0942405067449672e-05 -1.8133768462304926e-06
pcs.V13 -5.542327088643444e-05 -1.516666135684418e-05 5.471737943376153e-07 -5.985741798612116e-09 -0.00023817055555947354 1.776980533583353e-05 -4.6873875380948644e-07 4.268584349439522e-09 2.8898087821438788e-08 1.146155843071938e-07 6.65131735937235e-08 1.143726989566768e-07 -2.326506715667408e-07 1.9354990969983614e-07 -1.0445948083547983e-07 3.590789237593853e-07 4.005558699590628e-07 -1.8802353551785887e-07 7.1185444353110475e-06 -2.0369736356320832e-08 4.928420208638813e-07 2.870092503177216e-07 -3.0966420955665063e-07 2.0615402240164853e-07 -2.203480471631302e-07 1.4078723465539537e-07 -2.005818168514618e-07 -1.0057006734391893e-07 1.3732609930082358e-06 -2.094264854240133e-06 -3.773881728561177e-06 -1.2712323919529201e-05 1.513209274794426e-05 2.0869974738352956e-05 -1.09611876723178e-05
pcs.V14 -2.241509254124405e-05 -7.546464526035253e-06 1.7113412436720933e-07 -1.327998813232023e-09 0.0002424833324644561 -2.1141164946574214e-05 6.037900259812901e-07 -5.579240422162344e-09 -4.271586458672736e-08 -1.368052244173919e-07 -8.165556964273155e-08 -1.4491462720026437e-08 -4.7174296576658136e-07 -5.678302678842321e-07 -4.441309367997857e-07 3.6215155612771656e-07 -1.8452712935118543e-07 1.1695276504610434e-08 -2.0369736356193996e-08 7.166292687608165e-06 1.6321750192639476e-07 -2.0218067379915156e-08 -2.2020128714392912e-07 -1.0549440505691915e-07 -5.1646692591658476e-08 -3.2689579537954026e-07 -5.093479266580939e-07 1.910299644669916e-07 -6.967566950982812e-07 -9.056976540926922e-06 -7.301352219546149e-07 4.564318598792055e-05 -4.153247847171417e-05 4.898171459250007e-06 -5.22295995251808e-06
