(Intercept) covarage covarsex covarpcs.V3 covarpcs.V4 proband maternal gmm gpm
(Intercept) 0.00349279055782179 0.00245687528776109 7.23912876972907e-05 -3.61529796378259e-05 0.000135611138881458 9.91053175446723e-06 -7.43972831479867e-05 4.19108609156985e-05 -3.732310663833e-05
covarage 0.00245687528776109 0.00269458973289698 8.60962871479561e-05 -1.51763695585472e-05 0.000138063274709702 6.27429986490398e-05 -0.000112980277242973 0.000124576589626776 -5.20449253228027e-05
covarsex 7.23912876972907e-05 8.60962871479561e-05 0.0010516325193708 -5.9616989134357e-06 2.02449289030835e-05 1.32257434248452e-05 4.0073777386969e-05 -2.22583455029272e-05 2.29732051831735e-05
covarpcs.V3 -3.61529796378259e-05 -1.51763695585472e-05 -5.9616989134357e-06 0.00118566241660828 9.84438781378725e-05 4.9967725205224e-06 1.59816433067653e-05 7.9830765098852e-05 -3.19988549053552e-05
covarpcs.V4 0.000135611138881458 0.000138063274709702 2.02449289030835e-05 9.84438781378725e-05 0.00107799354228967 -2.77981864161888e-05 -5.43695304689628e-05 -3.18246560886258e-07 7.76244270925282e-05
proband 9.91053175446723e-06 6.27429986490398e-05 1.32257434248452e-05 4.9967725205224e-06 -2.77981864161888e-05 0.00146949103703325 -0.000824566619832145 2.72415503538356e-05 8.67941145344443e-05
maternal -7.43972831479867e-05 -0.000112980277242973 4.0073777386969e-05 1.59816433067653e-05 -5.43695304689628e-05 -0.000824566619832145 0.0065313329841234 -0.00419481638977998 -0.00505264361762741
gmm 4.19108609156985e-05 0.000124576589626776 -2.22583455029272e-05 7.9830765098852e-05 -3.18246560886258e-07 2.72415503538356e-05 -0.00419481638977998 0.0133874737026473 -0.00542197166418189
gpm -3.732310663833e-05 -5.20449253228027e-05 2.29732051831735e-05 -3.19988549053552e-05 7.76244270925282e-05 8.67941145344443e-05 -0.00505264361762741 -0.00542197166418189 0.0149215360678536
