 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
intercept 0.0020699512688266914 0.0007880370217892003 -2.3914371660226417e-05 2.299758517867184e-07 -0.00198609573729304 0.0002056018619934959 -6.638131353824991e-06 6.70072360444145e-08 -1.911759215731655e-06 2.137298955944902e-06 2.102734370740148e-07 6.16661340734893e-07 8.305853053782526e-07 -7.163958468604113e-07 1.639669979907839e-06 5.098440187156784e-07 -2.475831980077363e-07 -1.396786225239127e-07 2.341016282911254e-09 -1.104202770230461e-06 -2.112353938537366e-07 8.656391397258743e-07 1.0288043436769117e-06 4.449252627916688e-07 -1.4562635314776835e-06 -4.7183218605127784e-07 -1.1675781089185594e-06 -1.8921060652988516e-06 -3.5586434713441863e-06 -1.3578099934530294e-05 2.1133500053231342e-05 -4.644004222106532e-06
age 0.0007880370217923884 0.0016049633268579242 -4.4150168650029064e-05 3.799301088702158e-07 0.01748292630701541 -0.0015533208164012558 4.269457138874285e-05 -3.671037375653627e-07 -1.4652540234946666e-06 7.335071139185671e-07 -7.5001070865009e-07 1.1822756321599954e-06 -2.2523258174771019e-07 -2.314138721809444e-07 6.74853404745143e-07 9.434201180051231e-07 3.9836116125168074e-08 -1.201788551951168e-06 4.406167484714503e-07 3.6462966958220923e-07 -5.468310070860517e-07 1.0774843725230323e-08 7.466294647091353e-07 5.343822743318083e-07 -1.3913934487112714e-06 -2.976168869415622e-07 -1.128653507101951e-06 6.954410674562212e-08 6.014411872995029e-06 -5.361436643583657e-06 2.3354825293851193e-05 -2.17293879026232e-05
age2 -2.3914371660301935e-05 -4.415016864996673e-05 1.2300537413448901e-06 -1.071023659811558e-08 -0.0004741461073810948 4.268953964533965e-05 -1.188421442712278e-06 1.0339382972907906e-08 4.059659944527817e-08 -1.667819965952294e-08 1.8396493490589707e-08 -3.2760182420498206e-08 4.971236858277861e-09 5.3602120715360975e-09 -1.9171958354818473e-08 -2.3622934804902532e-08 -1.5273039405006505e-09 2.8166518636176654e-08 -1.370584107766145e-08 -8.973636414830498e-09 1.3054111835661452e-08 -4.77732997519742e-09 -2.1301620039762565e-08 -8.344382357797577e-09 4.020786249092039e-08 6.1229573049050306e-09 3.414385346149539e-08 6.786286291860867e-10 -1.5155171738523486e-07 6.240577158108469e-08 -6.642178620227951e-07 6.785768417228109e-07
age3 2.2997585178728235e-07 3.799301088695215e-07 -1.0710236598111074e-08 9.436549929191319e-11 4.0310714593012356e-06 -3.6703024919735526e-07 1.0338695416695902e-08 -9.101935511847125e-11 -3.4507002891414037e-10 1.3069321191865215e-10 -1.414580318214173e-10 2.8319945370242387e-10 -3.541372601748466e-11 -4.8252574538554247e-11 1.672624239047572e-10 1.9431740496914423e-10 1.7238328361704505e-11 -1.9877722188400461e-10 1.219252112553401e-10 6.306021711498093e-11 -1.0292486368208214e-10 6.82986425612647e-11 1.8682779727445274e-10 2.8531451484761603e-11 -3.598687262892737e-10 -4.002554861028939e-11 -3.120318385216101e-10 -3.1869638393241495e-11 1.3051282598725074e-09 -1.2334190254297434e-10 5.790934223398639e-09 -6.245595868316536e-09
sex -0.0019860957372436336 0.017482926307002076 -0.00047414610738093015 4.031071459301611e-06 0.4970843205477482 -0.04397723102956575 0.0012077267117756286 -1.0403977158399226e-05 -2.3787417775841245e-06 -4.978962663234585e-07 6.608804904610671e-06 6.85301499897045e-06 -2.5358164732030734e-05 1.9450282050226848e-05 -1.2681108349150328e-05 7.371827442598313e-06 -9.727680101613066e-06 -8.529077316044591e-06 5.973508490604466e-06 2.1552045928716976e-05 9.032613292783136e-07 2.126666651428077e-06 -3.5033671054856694e-06 -1.0049644062650131e-05 4.173839826606276e-06 7.513442529448042e-06 1.7127395514452836e-07 1.8649300144886264e-05 0.00023239387299005097 0.00040180600266332073 0.00011398116472003735 -0.001014659306456836
agesex 0.0002056018619873315 -0.0015533208164044538 4.268953964544021e-05 -3.670302491983319e-07 -0.04397723102956368 0.003951370714187319 -0.00010995121016727816 9.57813425199149e-07 2.1088823362940107e-07 5.285982380929221e-08 -5.498388888811931e-07 -5.530187649067699e-07 2.1613551892863566e-06 -1.9149481648943566e-06 1.4413993426719671e-06 -5.629515174549559e-07 7.600306924521951e-07 6.144541730905006e-07 -6.019439439496562e-07 -1.986978719984717e-06 -1.7735356421553595e-07 -2.1875068937941711e-07 1.8625342670514395e-07 1.268084297867823e-06 -4.5696461851099524e-07 -7.915111181246264e-07 2.463496335806082e-08 -1.775635275236581e-06 -2.0075544782341383e-05 -4.008101568468781e-05 -4.394178201379198e-06 8.83520210695729e-05
age2sex -6.638131353622696e-06 4.269457138900457e-05 -1.188421442719596e-06 1.0338695416759619e-08 0.0012077267117755167 -0.00010995121016727335 3.0987804965510435e-06 -2.7313699740091698e-08 -4.270582247595441e-09 -2.5479643389982382e-09 1.3925873551018442e-08 1.586323818817117e-08 -5.884294404523089e-08 5.473341775694667e-08 -4.6961165755926026e-08 1.4243962489422072e-08 -1.700426595049209e-08 -1.1192193392333125e-08 1.65906009842996e-08 5.6870383461980636e-08 5.1570162190084166e-09 6.627587579607688e-09 -3.97588813482678e-09 -4.406668852137616e-08 1.3246605313355873e-08 2.4887104042444368e-08 -2.044719411537478e-09 5.0871419766534546e-08 5.623720187992869e-07 1.1951623768171607e-06 1.2035870921000603e-08 -2.382361896063499e-06
age3sex 6.700723604266428e-08 -3.67103737566416e-07 1.0339382972939326e-08 -9.101935511876505e-11 -1.0403977158397861e-05 9.578134251990719e-07 -2.7313699740090715e-08 2.43601840709041e-10 6.667839097861302e-12 4.3960545233504344e-11 -1.0949710609905174e-10 -1.47156919923465e-10 5.085809833884331e-10 -4.64673659427187e-10 4.695675961826242e-10 -1.2860366813634994e-10 1.1302743529337325e-10 4.4031677980167396e-11 -1.381573555907406e-10 -5.030865079888627e-10 -3.179997947563341e-11 -4.06596898052481e-11 2.716984647851687e-11 4.432043220559455e-10 -1.1753211354757992e-10 -2.400497898489787e-10 2.0755188395642237e-11 -4.5893012769000663e-10 -5.140268465038184e-09 -1.0628354514146181e-08 5.791912637067724e-10 2.0037974982359178e-08
pcs.V3 -1.911759215732741e-06 -1.465254023492381e-06 4.059659944521952e-08 -3.4507002891367245e-10 -2.3787417775142502e-06 2.1088823362329203e-07 -4.27058224743013e-09 6.667839096460869e-12 1.7369330758267267e-06 1.2748699638355748e-07 -5.024516826984284e-08 1.9575747330808264e-09 3.626505332033325e-08 4.103030034034586e-08 3.754878282056932e-08 5.038455960008112e-08 -1.8289386948993397e-08 2.338794861447339e-08 -2.459547921436942e-08 -1.916396470901294e-08 1.5074470034465695e-08 -1.1189694094874e-08 -3.4776085232398217e-08 2.8053934230287403e-08 1.2955937224170987e-08 -1.1925938759840981e-08 3.40726429372465e-08 -9.043928226454718e-10 1.4741455401474332e-07 2.8309694714900223e-07 1.0581142814578286e-07 4.5502814229703296e-07
pcs.V4 2.1372989559450147e-06 7.335071139173981e-07 -1.6678199659491855e-08 1.3069321191839332e-10 -4.978962663550353e-07 5.285982381206748e-08 -2.5479643390737193e-09 4.396054523414726e-11 1.2748699638355745e-07 1.7808905596876067e-06 6.874208971571904e-08 2.1865299487917626e-08 2.222131692335415e-08 -2.348207380612589e-08 -4.3830481991260934e-08 3.01815551509412e-08 1.161887554867308e-09 -1.7875568962798077e-08 3.118041292826466e-08 -6.426260272613748e-08 -4.5071333053769265e-08 3.618664520487467e-08 5.1198385266794196e-08 4.2338027012676585e-09 5.316068977238355e-08 1.5382206308750634e-08 -2.1760679436740172e-08 -1.100312868032312e-08 -4.925112207228837e-07 -7.311483228539395e-07 1.2284944087990574e-06 -3.5216472744973e-08
