 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
intercept 0.002951330554242421 0.0010342186073981066 -3.157618033278967e-05 3.0570933793136914e-07 -0.003676451507698517 0.0003730169657562104 -1.1827779557922648e-05 1.17727607732969e-07 -2.716056141641296e-06 2.7660039278260488e-06 7.923640942418541e-07 6.457486768119153e-07 1.6223390285507565e-06 -8.858203287884688e-07 2.4671379628262026e-06 -3.6884411817220455e-08 -8.673172061935393e-08 2.2718599360130332e-07 1.1770946208124923e-07 -1.8985016431313723e-06 1.2656616404171651e-07 1.4346123433650273e-06 1.2858312278918134e-06 4.70855248735705e-07 -1.9586948226754677e-06 -3.7901192243761236e-07 -1.208235477314805e-06 -2.277369828602197e-06 -9.056329086304066e-07 -3.081586898394847e-05 3.9276783705612336e-05 2.639830095118749e-06
age 0.0010342186073912826 0.0020987383479566606 -5.775156333823528e-05 4.967062816469522e-07 0.02184414051122743 -0.0019410337298582765 5.3321746478028174e-05 -4.5794008086921627e-07 -1.9624535086633756e-06 7.726994658601536e-07 -1.0407779076977608e-06 1.7631126763489525e-06 2.0476926324238824e-08 -1.72521716733103e-07 1.6460002472423149e-06 1.1071236078599343e-06 4.997892740887969e-07 -1.7130388469236884e-06 7.767152273367591e-07 3.7183619312355736e-07 -5.712705204003038e-07 4.208908152363751e-08 5.466776348312804e-07 8.661378531922745e-07 -1.542319851278884e-06 4.3558437632499106e-07 -1.0340340749342097e-06 3.271362058436952e-07 9.958363904234193e-06 -4.962834228361428e-06 4.4100671301569245e-05 -4.239330075525055e-05
age2 -3.157618033255275e-05 -5.7751563338127695e-05 1.6098026052544962e-06 -1.4011644581667665e-08 -0.0005909619696364562 5.321329073842077e-05 -1.4805951805572525e-06 1.286617227989429e-08 5.456205470331353e-08 -1.6201387092088722e-08 2.434579913013053e-08 -4.802461639913271e-08 -3.4457153092883322e-09 3.1275731807105985e-09 -4.430650683063135e-08 -2.493064434844707e-08 -1.4281759093404789e-08 4.139620400368225e-08 -2.359046671685699e-08 -8.56348690295965e-09 1.1559411916915501e-08 -8.755330918369216e-09 -1.8959660285673085e-08 -1.4819471522385021e-08 4.4527456141015255e-08 -1.2741471509018242e-08 3.280833732994439e-08 -4.719963347948046e-09 -2.74381583516452e-07 6.327438523538485e-08 -1.2790904925901156e-06 1.2657887581374911e-06
age3 3.057093379293114e-07 4.967062816458997e-07 -1.4011644581662877e-08 1.2343410101682443e-10 5.008720733743243e-06 -4.5610153480242265e-07 1.2841184620656928e-08 -1.1292055638084271e-10 -4.68257460195551e-10 1.2486133781520346e-10 -1.741971389753112e-10 4.0955714596291643e-10 5.343620491886431e-11 -2.7034633342589922e-11 3.748414663612414e-10 1.7804534481471267e-10 1.2965177265395827e-10 -3.0208799292617807e-10 2.080163282661686e-10 5.236658939036883e-11 -7.50049949651529e-11 1.2998333536806665e-10 1.8675602737037966e-10 6.406467064229767e-11 -4.001972214307174e-10 1.1406509276526659e-10 -3.0975240567892653e-10 4.490444376220162e-12 2.532781287168998e-09 -4.4963837330275185e-10 1.1312159561362604e-08 -1.1079160252132725e-08
sex -0.003676451507874343 0.021844140511026688 -0.0005909619696308132 5.008720733693929e-06 0.6461713110574436 -0.05716290762915664 0.0015691526066463682 -1.3506950258230397e-05 -7.599680491659762e-06 5.339692788352075e-06 3.79267257804247e-06 2.1098669998111824e-05 -3.531977361398234e-05 2.4601161991367193e-05 -1.3711674759516563e-05 1.0882003470417338e-05 -2.2556167568402184e-06 -1.8238539186186016e-05 1.0140059474769122e-05 2.5768764498365835e-05 -4.417258071473323e-06 7.363577403598539e-06 -1.082173076773269e-05 -1.0013407989940865e-05 5.54834630566102e-06 1.5471330606994653e-05 1.1579020738686554e-05 2.9069337036156314e-05 0.0003570582819099307 0.0005814279871127533 0.0001422663484198948 -0.0013815632505187593
agesex 0.00037301696577524016 -0.0019410337298335636 5.321329073773612e-05 -4.561015347965173e-07 -0.05716290762915446 0.005135625897701604 -0.0001428445927012285 1.2434255917644646e-06 6.432150526076803e-07 -5.301973788843602e-07 -3.4537174684962583e-07 -1.8154513732957535e-06 2.9851654419954574e-06 -2.4427355382110394e-06 1.619355871432556e-06 -8.34425422404302e-07 6.694632013883621e-08 1.4518235249327936e-06 -9.540206014797975e-07 -2.418361028158571e-06 2.3613619148492308e-07 -7.475506185850425e-07 6.394259960765541e-07 1.4117701758268724e-06 -6.857607329581293e-07 -1.5754557153447242e-06 -9.325943148412311e-07 -2.7568050152658236e-06 -3.089674427022962e-05 -5.567947932341848e-05 -6.905350651060375e-06 0.00011944461138173345
age2sex -1.1827779558506667e-05 5.332174647723243e-05 -1.4805951805353809e-06 1.2841184620469507e-08 0.001569152606646234 -0.00014284459270122194 4.024403611132792e-06 -3.544875365620942e-08 -1.5148711975345144e-08 1.51221218337765e-08 9.302348131757043e-09 5.1169834915723945e-08 -7.932408343051164e-08 7.067652057082545e-08 -5.366022861788754e-08 1.9516237097599775e-08 2.8294433734551123e-09 -3.3844166164460203e-08 2.4400120689778692e-08 7.089745236099355e-08 -5.077381193285978e-09 2.3308397247063073e-08 -1.2725549923665668e-08 -5.156945320452762e-08 2.159632448365568e-08 4.828388319946555e-08 2.2160882372155484e-08 7.961183712704718e-08 8.681828958665117e-07 1.6057274304413204e-06 7.22023797636141e-08 -3.189735289772688e-06
age3sex 1.1772760773738882e-07 -4.579400808635174e-07 1.2866172279736685e-08 -1.1292055637948444e-10 -1.3506950258228507e-05 1.2434255917643428e-06 -3.544875365620763e-08 3.1597679263473977e-10 9.189024466557124e-11 -1.1398013192401183e-10 -7.981711700749758e-11 -4.5936837063631087e-10 6.618227602034278e-10 -6.076276350514306e-10 5.383862488170132e-10 -1.5503805716425162e-10 -6.259041571763844e-11 2.376637474853377e-10 -1.8935194805353465e-10 -6.441877224261222e-10 5.010086882420067e-11 -1.9851592348956305e-10 8.045649396962311e-11 5.348041810912003e-10 -2.040666187318631e-10 -4.581702871052332e-10 -1.6844505379542885e-10 -7.230380039350194e-10 -7.948357051062606e-09 -1.3814871603239513e-08 1.4501740519788466e-10 2.6410413733878294e-08
pcs.V3 -2.716056141637538e-06 -1.962453508669674e-06 5.456205470349065e-08 -4.682574601971061e-10 -7.599680491921052e-06 6.432150526315318e-07 -1.5148711976018988e-08 9.189024467152306e-11 2.652319128771885e-06 1.8870237951662095e-07 -4.5476629886312805e-08 -1.4716312930122758e-08 6.543727675680798e-08 4.582702428045589e-08 5.4673855853022066e-08 7.453933582237431e-08 -1.972384408281168e-08 2.5131451461528222e-08 -5.9473732623739076e-08 -1.608651117476572e-08 4.192922087991723e-08 -8.388626480441317e-10 -4.541524282558748e-08 6.797062093831875e-08 1.1405022365584829e-08 -7.7727426441453e-09 3.367262356570067e-08 3.138282704911693e-08 2.492300358700342e-07 3.989383988246084e-07 -4.243907781030294e-07 1.1503433630047102e-06
pcs.V4 2.7660039278237906e-06 7.726994658590532e-07 -1.620138709205798e-08 1.2486133781493504e-10 5.339692788382455e-06 -5.301973788871442e-07 1.5122121833855547e-08 -1.139801319247141e-10 1.8870237951662322e-07 2.7131899268449524e-06 1.0408124014220929e-07 3.5243739324216066e-09 3.4738739722630407e-08 -4.835701065805514e-08 -4.5596548966466164e-08 5.684499056535457e-08 -7.029762597905958e-09 -3.781326769827754e-08 2.180196451717576e-08 -8.983680713957757e-08 -5.501055546893981e-08 5.9502196796578704e-08 5.6685403136751915e-08 5.845748157728298e-08 4.799529985622762e-08 2.439289506761086e-08 -3.4182536234377894e-08 4.428079036015857e-08 -7.116728876375332e-07 -1.123317196968056e-06 1.4677186026090928e-06 1.7171413473037767e-07
pcs.V5 7.923640942422078e-07 -1.0407779077084188e-06 2.4345799130426256e-08 -1.7419713897787327e-10 3.7926725777823667e-06 -3.453717468260233e-07 9.302348131094172e-09 -7.981711700167575e-11 -4.547662988630814e-08 1.0408124014220683e-07 2.538551310227129e-06 -1.3665395046757829e-08 1.8305824853353714e-08 -3.926985662032926e-08 1.5999816688795237e-08 -2.5377584201537656e-08 4.6193166618179086e-08 1.313787931988722e-08 -1.87145246900085e-08 -7.98196198805009e-09 -1.4577071747446625e-08 -8.64503129064154e-09 -8.103058847294774e-08 -3.9585876803521726e-08 5.272662627044499e-08 6.990207748818511e-08 7.079694369463453e-08 4.884710685641536e-08 -5.276494117480235e-07 -5.995919561434927e-07 -1.308857961655878e-07 7.997276814767844e-08
pcs.V6 6.457486768040201e-07 1.7631126763463752e-06 -4.80246163990616e-08 4.095571459623132e-10 2.1098669998292906e-05 -1.8154513733123173e-06 5.116983491619319e-08 -4.59368370640469e-10 -1.4716312930115998e-08 3.52437393242164e-09 -1.3665395046748199e-08 2.503333079986526e-06 -8.89381958104298e-09 2.6388590408485524e-08 7.2310441362680544e-09 -5.516581024154669e-08 4.414627062025082e-08 -6.480535529809318e-08 -2.033494932450999e-08 -3.21939425360595e-08 -4.959328951332831e-09 1.0108415183595712e-08 -2.589441168044036e-08 1.6923937787726962e-08 1.1357033848774302e-08 5.310651611632934e-09 -8.050401845460854e-08 1.7131772370906953e-09 -3.0881762901196784e-07 5.792028221400759e-07 -6.118788239715531e-07 -1.0925366108502465e-06
