 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gpm gmp gmm
PC.PC5 -3.5106508637320396e-06 2.0009157122038758e-08 1.2361652344474416e-05 9.28926080754467e-06 5.58570906903348e-06 1.2475557612257013e-06 6.765604105335693e-08 2.0045434887643573e-07 2.749815530013763e-07 6.822907621766216e-07 5.704779114699679e-06 6.650910279998755e-08 3.335606214869325e-07 -2.7790021029029247e-07 3.536527717324733e-08 2.909739939848793e-07 1.0520630845110693e-07 4.2565838310324773e-07 8.2358679832536e-08 1.9017375305334513e-07 8.572577732712751e-08 6.834243555836255e-08 -1.639956092374775e-08 -1.1172923089705265e-08 4.25757233153134e-07 -2.363435094179039e-08 -1.2049640877154666e-07 -3.263894484348389e-06 5.1312351485770405e-06 3.6350948995982136e-06 4.704012085405622e-08 1.687290086124293e-06 -1.2582843703959391e-05
PC.PC6 -8.394452922548882e-06 -2.2211760306651701e-07 -3.6794990108113005e-06 1.0110404592973952e-06 3.1916553838066057e-06 8.915756978835158e-07 -9.120168552844645e-08 -9.173809470195636e-07 3.7278033294318354e-07 -3.776018450127726e-07 6.650910279998734e-08 6.833814144371262e-06 2.6295190444632493e-07 3.1054608845636875e-08 -5.906347644873361e-07 2.225124889939384e-07 1.7682931193287705e-06 1.8802633974001402e-07 4.3226451803754824e-07 4.871442078126702e-07 4.694790823509148e-07 -3.617401810054074e-07 -3.6462867142394756e-07 1.9130115166982864e-07 3.034383158841483e-07 -5.153173257952861e-07 1.0803392189885878e-06 6.11336245340068e-06 1.934732221952245e-06 -4.535384013682204e-06 -6.555284476681579e-06 -3.1845750446296293e-06 -8.116251264358756e-06
PC.PC7 2.2236958315469887e-06 -8.883149911346998e-08 -1.7485703926562847e-07 -5.56972921156015e-06 -5.235827427266807e-06 -1.201384835157632e-06 -1.1559066768263315e-07 -1.3966800299484177e-07 5.5194969107642104e-08 1.5285278007601734e-07 3.33560621486933e-07 2.6295190444632377e-07 5.607296728882428e-06 5.627598114145067e-07 4.442274360772385e-08 -2.9055643996154544e-08 3.975351439684925e-07 -5.643969892907805e-07 5.5695050513378265e-08 4.989970966826224e-07 2.854950267999621e-07 9.525367011081818e-08 -7.541868274107112e-08 2.3220014215561953e-07 1.2823830431824206e-07 -6.698253159761705e-08 1.6820138415526628e-06 3.2634863975115116e-06 7.055360242684559e-06 2.9338577374400233e-06 2.311313880453233e-07 -1.2143752682327048e-06 -8.065657288593585e-06
PC.PC8 1.0260339431333428e-07 -3.886879478929111e-08 9.930750990976948e-06 1.1698466979101657e-05 8.97682872363508e-06 2.1863511734310917e-06 1.0876006164155403e-07 -1.4793516421228437e-08 -9.256803183916126e-08 -1.049968572839642e-07 -2.7790021029029263e-07 3.10546088456375e-08 5.627598114145079e-07 7.1760265092983435e-06 6.908498043840769e-08 -5.116378802940334e-07 1.1557482883199581e-07 9.20248247323446e-09 1.067069480482926e-07 -4.45673896878188e-08 2.3338977916815694e-08 1.49663073925892e-07 -1.5881679002554823e-07 -1.6739469130882997e-07 1.9972024633995843e-07 -1.42344704442301e-07 1.2381066544213884e-06 -3.4380187282760643e-06 -5.123448626724443e-06 7.28594516084209e-06 4.611875721039749e-06 1.623903650367135e-06 7.58654392767833e-06
PC.PC9 -3.314114914436873e-06 -1.393866798121203e-07 2.7687106897115763e-06 -2.6814500467576726e-06 -5.5632991619576686e-06 -2.201492896429807e-06 6.455583197623818e-08 8.389993648768681e-08 -5.5130192770605535e-08 1.778033388886983e-07 3.536527717324709e-08 -5.906347644873357e-07 4.4422743607723595e-08 6.908498043840777e-08 5.540292751659362e-06 7.129862419868169e-07 1.430488919309016e-07 4.2048498553162477e-08 -9.445401992864396e-07 2.597296281022838e-07 1.4649171559430705e-08 2.343519232807376e-08 -1.3117861485505585e-07 1.2435342005567476e-08 7.579532525808089e-07 -2.14331000457164e-07 2.5322631395350464e-07 3.1007717655298598e-06 -5.065189973060769e-06 -7.158945931667794e-06 5.546734796063538e-06 7.414071612140311e-06 8.24373274986444e-07
PC.PC10 -3.731148925016097e-06 3.0096977316518495e-08 3.6118136397911626e-06 1.2738391320077618e-05 5.983378657943919e-06 -1.6514358582147004e-08 -2.2322820928517103e-08 1.197566293254203e-07 3.131653824399678e-07 -1.4133971500197378e-09 2.9097399398487914e-07 2.225124889939385e-07 -2.9055643996154892e-08 -5.116378802940344e-07 7.129862419868162e-07 9.64906719266796e-06 -6.327213375907987e-07 -5.583275828295059e-07 5.109086820378011e-07 7.442846025231658e-08 -3.551938918538104e-08 -5.889797708391876e-09 2.0556434857636102e-07 -9.32607632132024e-07 -1.4389047963001296e-07 1.070740254471363e-07 1.850483901488951e-07 4.412011329070186e-06 1.3359444204786381e-05 -1.7871378586089791e-06 -9.78667624140169e-06 -9.660732467301172e-06 -8.806046099517383e-06
PC.PC11 -4.60018195808627e-06 -2.2880288445234937e-08 -1.3544161854009103e-06 -9.624636889981371e-06 -5.78221764023694e-06 -7.379022213551492e-07 -2.1764024644591684e-09 -7.975288410763557e-07 3.189838359878934e-07 -1.773012043026074e-07 1.0520630845110681e-07 1.7682931193287701e-06 3.9753514396849293e-07 1.1557482883199528e-07 1.4304889193090176e-07 -6.327213375907989e-07 6.515597714781378e-06 -3.8630218981269895e-07 4.096948197165381e-07 1.754108209214998e-07 4.163785363321197e-07 -2.2924047426285508e-07 -1.8157300392662738e-07 -1.6702893392296813e-07 1.845363647019192e-07 1.0532799512895068e-07 -9.929498056643502e-07 -1.4991506313055105e-06 -1.8203138783484976e-06 1.1259773681593338e-05 -8.27726630331634e-06 4.273189620463002e-06 -2.0639114196422473e-06
PC.PC12 -2.5803927963102644e-06 -3.7531350743705e-07 1.4678675051916591e-05 2.0109921048278262e-05 1.7249739611982092e-05 4.283131516514258e-06 2.2641861747764013e-07 -4.090637150986402e-07 -3.160069140079364e-07 -6.742506702681668e-08 4.2565838310324757e-07 1.8802633974001463e-07 -5.643969892907791e-07 9.202482473235812e-09 4.2048498553162576e-08 -5.583275828295064e-07 -3.863021898126981e-07 1.01545700419429e-05 -7.193110726516147e-07 3.24294863599156e-08 1.5806413254706052e-07 1.007846240452209e-06 -6.933482562511204e-07 1.7448326507921623e-08 7.188043212620681e-07 -1.0416403462399579e-07 -6.349525379437728e-07 1.1614383778528289e-05 -3.0437463136745672e-06 -8.718698370791801e-06 -3.892405290859152e-06 1.81377507380058e-05 7.355262740025464e-07
PC.PC13 -1.2463379124265782e-05 -5.725302120743574e-07 -2.510889097980556e-07 4.125186398628063e-07 4.7146165911237395e-07 1.9317728821046176e-08 -2.1712781575885653e-07 9.159333649954498e-09 1.3100665389450082e-07 -7.78971430885616e-09 8.235867983253626e-08 4.322645180375498e-07 5.56950505133776e-08 1.0670694804829217e-07 -9.4454019928644e-07 5.10908682037801e-07 4.096948197165382e-07 -7.19311072651613e-07 5.734376312010996e-06 1.7027187963656672e-07 -3.3623549739960104e-08 1.1060725284269976e-07 3.034960983098005e-08 -2.949460993659534e-07 -5.193310887081394e-07 -3.264766203538136e-07 -2.919852455529153e-07 1.116813272965672e-06 1.3801947239884035e-06 6.090107617699985e-06 -7.353447456394199e-06 6.092846255106382e-06 -8.949308323841178e-06
PC.PC14 5.71013621530622e-06 1.992526775124825e-07 1.1113371025586607e-05 8.743274467523178e-06 4.783348142042185e-06 8.922658311541525e-07 -1.0700652882593722e-07 -2.5849956469016435e-07 1.4150399788767132e-07 -2.2736257667817645e-08 1.9017375305334462e-07 4.871442078126695e-07 4.989970966826223e-07 -4.456738968781865e-08 2.597296281022843e-07 7.442846025231679e-08 1.7541082092149936e-07 3.24294863599157e-08 1.7027187963656658e-07 5.906690115679105e-06 3.9680319979853016e-07 -3.906012108716531e-08 -6.473009907225003e-08 2.702765633030445e-07 3.269479832873094e-07 -4.3704675647832527e-07 9.960561800217515e-07 2.78810006651005e-06 -6.205422111734994e-06 3.5762361770230935e-06 -1.0303117588336931e-05 1.3980906709299417e-05 -3.625318980102411e-06
PC.PC15 1.6686593508443164e-06 1.508202688320125e-07 -9.859895856473523e-07 5.227917695026565e-06 9.159964078845019e-06 2.9346606001503935e-06 2.1851252496943722e-07 -1.4400218119047846e-07 5.773289043624269e-08 -1.1888745200243994e-07 8.57257773271266e-08 4.694790823509146e-07 2.8549502679996234e-07 2.333897791681567e-08 1.4649171559431201e-08 -3.551938918538041e-08 4.1637853633212015e-07 1.5806413254705968e-07 -3.36235497399605e-08 3.96803199798531e-07 5.62788644115095e-06 2.9585851591166846e-07 6.832887767828892e-08 -2.2219190494602485e-07 3.4116093525959815e-07 2.5001842966030086e-07 3.086625271278203e-06 4.8086098899238615e-08 2.333155101925333e-06 3.884283672202931e-06 2.3462561750137192e-06 3.845187514676048e-06 -5.6068789191447155e-06
PC.PC16 2.8962048077958684e-06 7.944866545681911e-09 -7.399368819113641e-06 -1.936967416708322e-07 7.776938949053352e-06 3.6468188255815165e-06 -1.6124625985489969e-07 3.690596700925907e-08 -3.826136969010866e-08 1.8569880085580854e-07 6.834243555835914e-08 -3.617401810054085e-07 9.525367011081827e-08 1.496630739258896e-07 2.3435192328072983e-08 -5.889797708393952e-09 -2.2924047426285585e-07 1.0078462404522052e-06 1.106072528426967e-07 -3.906012108716863e-08 2.9585851591166936e-07 6.3585333029644386e-06 -3.7137979340757364e-07 -1.9236443912293205e-06 -6.896854604622552e-07 9.731065167673067e-08 -9.826242858323651e-07 -2.7573992292833924e-06 -6.5990742377135555e-06 -5.456599843956481e-07 2.2391176419514287e-06 1.066531079642593e-06 9.913255461493496e-06
PC.PC17 -4.676128008436452e-08 2.1407066795935442e-08 3.4819969633814964e-06 6.825599147069478e-06 8.340754153798448e-06 2.608272809558456e-06 -3.0095021101143724e-08 -1.1592979956697194e-07 2.294026486981759e-07 -1.1284266999495202e-07 -1.639956092374782e-08 -3.646286714239478e-07 -7.541868274107146e-08 -1.5881679002554928e-07 -1.3117861485505606e-07 2.0556434857636163e-07 -1.815730039266279e-07 -6.933482562511196e-07 3.0349609830979325e-08 -6.473009907224656e-08 6.832887767828788e-08 -3.713797934075734e-07 4.741225474129204e-06 -8.688418489311536e-08 -6.863638523701345e-07 -9.08385195110703e-08 6.0409209480955e-07 -4.254551475316125e-06 1.107804907699965e-06 -9.331262709065647e-06 1.0784691605566076e-05 -7.3144829449205715e-06 -3.0987139316119105e-06
