 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.002966580955308973 8.771917175151633e-05 0.0018864079104087177 0.00406934137744176 0.004007761372471136 0.0010755050695771564 4.062845241551699e-06 1.1325495072746027e-05 -7.531536150366015e-06 5.253294707391091e-06 -3.2087593942490365e-06 -4.105917398075371e-06 1.5178567118242606e-06 2.596029242504146e-08 -2.073566194757329e-06 -3.4726651973246513e-06 -3.560374412358034e-06 1.0052481800204857e-06 -7.128810991351364e-06 3.3277028414522664e-06 1.2673572194128653e-06 2.8802984444954656e-06 4.83587935304892e-07 5.0746377017678675e-06 2.2698684179410648e-06 3.3740703841599107e-06 -0.00011318022765205187 -0.00021605103752411195 -0.00016122888942221594 0.00040133123679917 8.115633953912931e-05 0.0003826955910441498 6.712787562982701e-05
AGE 8.771917175151612e-05 4.324340933618393e-06 1.2919910148828397e-06 1.1829375059779905e-06 3.445921758208881e-06 1.7996291486505706e-06 6.580707209904009e-08 6.09483486799161e-07 -2.391799850353647e-07 1.844438567554302e-07 -2.3888137149671472e-08 -8.785808342586241e-08 -7.458003169301193e-08 -3.758639368430018e-09 -7.597259434685092e-08 -6.348705815051849e-10 -5.869437007707882e-08 -1.722260821237228e-07 -3.0613386018038983e-07 9.000162187660315e-08 1.2565542357693777e-07 1.486437924929538e-08 1.0304749287026519e-08 8.25868381415116e-08 9.075646765566276e-08 2.0527834188367978e-08 -3.2563268414491887e-06 -6.724440445984301e-06 -4.416665667391542e-06 1.3258296956001605e-05 -5.3599534480546614e-08 1.1063658365240697e-05 8.811710642064937e-07
sex 0.001886407910408759 1.291991014883533e-06 0.017933267629272782 0.020847292194505936 0.014222737608989226 0.002952049997261802 -3.206896766956774e-06 6.472755227701451e-06 -2.3360947392599104e-06 -4.148140299975679e-06 9.425168454641678e-06 -2.2442459338411072e-06 -9.448540660280286e-07 4.3112970919675355e-06 1.5987989247945141e-06 1.28887817856975e-06 -7.53143274594483e-07 1.5648655141929083e-05 4.250594737942336e-07 8.332447085067472e-06 -8.33968999526241e-07 -1.9923298656144366e-06 2.9029765428241925e-06 -2.1718462251273865e-06 3.2956652062912902e-06 3.5374457928751984e-06 -7.986446293575613e-05 -0.00010817129211571679 -1.4376817865641737e-05 2.9612084230337424e-05 -1.4906865319565231e-05 0.00023888992627516678 5.8650176009696946e-05
age_sex 0.0040693413774418145 1.1829375059795982e-06 0.0208472921945058 0.037965632908758595 0.033185907787835735 0.00812807326468665 1.8942379865283045e-07 5.678023428778911e-06 6.260635246790649e-06 -1.6220284741120873e-06 7.121879984262722e-06 2.922533776043589e-06 -4.674126813760802e-06 5.706905299098773e-06 -2.900629354680097e-06 5.429633541578358e-06 -7.286823091700436e-06 2.2324860057710283e-05 1.2241558477650718e-06 7.477507864605918e-06 2.7218974308172436e-06 3.1389448510805417e-06 6.426014558248509e-06 -5.099934286469418e-06 -9.569472043495395e-06 -9.95976373835497e-06 -0.0002515778672662583 -8.151046356196908e-05 -0.00015701238925045367 0.00012804546544220387 -0.0001363648182052807 0.0006243747557351279 0.00017838961300010387
age2_sex 0.0040077613724711645 3.445921758210591e-06 0.01422273760898893 0.033185907787835485 0.032906841903138605 0.00873282952196101 3.5367144055878065e-07 3.245022064354648e-06 9.028639846595946e-06 -6.849084188343184e-07 4.15479469266415e-06 4.988323337868251e-06 -4.037892902032891e-06 5.159070255165224e-06 -4.348780152266848e-06 3.65067148001923e-07 -4.4479272352935825e-06 1.84787961646741e-05 1.1098595016438364e-06 4.98296527540525e-06 5.030994101327483e-06 6.816566559389801e-06 7.833014107389933e-06 -5.527990681112707e-06 -1.513989642361548e-05 -1.4128652120021991e-05 -0.0002046439209145236 -8.853478463369687e-05 -0.00016167273088291367 0.00021628268723271942 -0.00015072689575022725 0.0006365928793307133 3.891810851579882e-05
age3_sex 0.0010755050695771587 1.7996291486510523e-06 0.0029520499972617007 0.008128073264686533 0.00873282952196096 0.002446305000021064 -1.0859302083474784e-07 7.149109890430618e-07 2.5972358050162593e-06 -6.592822394489812e-08 9.5385231969358e-07 1.442299310746536e-06 -8.474649773255735e-07 1.408317853342948e-06 -1.3826225834697587e-06 -1.166191617169883e-06 -4.855049659318716e-07 4.3273680797563684e-06 1.4025260060555408e-07 1.1382538836375639e-06 1.5847534547582944e-06 2.501734696840428e-06 2.51463141049845e-06 -1.69008401146868e-06 -4.970083202273909e-06 -4.235273074307686e-06 -4.3873870001671126e-05 -4.125657407194371e-05 -3.689986256374641e-05 8.660668765753944e-05 -3.276761430568553e-05 0.00016589650241756733 -2.2482834524026956e-05
PC.PC1 4.062845241551367e-06 6.580707209903948e-08 -3.2068967669582904e-06 1.8942379864993992e-07 3.5367144055616993e-07 -1.0859302083540667e-07 1.548736049008366e-06 -9.242744322419199e-10 -1.6931454751522487e-07 -7.832775149346133e-08 6.230784156206909e-08 -6.52243828255795e-08 -8.908377738074539e-08 6.524270434941874e-08 5.2467103454787314e-08 -1.824513112871348e-08 -5.617143073803245e-09 1.7955031844995923e-07 -1.4996053004119168e-07 -8.111450639309555e-08 1.4696463368695016e-07 -1.1113636499063181e-07 -2.5171809827014744e-08 1.2123194955562377e-07 2.9690207234713715e-07 -1.6611239864537557e-07 1.149306250384678e-07 -4.284887458075708e-07 -1.1975154217005724e-06 1.6279458370978751e-06 3.7483977686393124e-06 3.5000145964273776e-06 2.6127368329970524e-06
PC.PC2 1.1325495072745844e-05 6.094834867991613e-07 6.472755227700706e-06 5.678023428777371e-06 3.245022064353179e-06 7.149109890426741e-07 -9.242744322413726e-10 2.458025584377954e-06 -1.3991842754377513e-08 -6.658136874838657e-09 1.3093944368505076e-07 -5.948781640554548e-07 -9.827873570566337e-08 5.9257452309950385e-09 8.475484083394566e-08 1.1992499606458425e-07 -5.18143202985636e-07 -3.2713981953898076e-07 -4.0307571262425165e-08 -1.931171308271055e-07 -1.1176590022906365e-07 3.45208049569627e-08 -3.322784653081987e-08 -1.0994359194274316e-07 -2.0785504763545377e-07 3.232719322915187e-08 -8.668021999710846e-07 -2.540196747860239e-06 6.79167372642821e-06 2.451361998278845e-06 5.916912864848462e-06 -2.828377567907683e-06 -6.731992239591792e-07
PC.PC3 -7.531536150365902e-06 -2.3917998503536484e-07 -2.336094739259302e-06 6.260635246791757e-06 9.028639846596953e-06 2.597235805016519e-06 -1.6931454751522434e-07 -1.3991842754377055e-08 2.8153871829112796e-06 -2.4841010103146187e-08 1.8522323551046435e-07 2.402450401590493e-07 2.215361383500679e-08 -5.8201098034523644e-08 -3.3674457114323605e-08 2.373927581200128e-07 2.0467546414486777e-07 -2.3410486329474152e-07 8.508711663464242e-08 9.339210595858491e-08 3.280990196257016e-08 -4.1367973556157404e-08 1.5686164279813897e-07 -6.931103478266199e-08 -2.2657991957162935e-07 -1.0480046701792495e-07 -8.366678748664953e-08 -1.818403467715492e-06 4.035300710431438e-07 -2.6474203737910038e-06 -2.9348985791841616e-06 -5.903100498884091e-06 -1.4250641909913327e-06
PC.PC4 5.253294707391081e-06 1.8444385675542947e-07 -4.148140299975409e-06 -1.6220284741118747e-06 -6.849084188342286e-07 -6.59282239448934e-08 -7.832775149346201e-08 -6.658136874838522e-09 -2.4841010103145657e-08 3.826411960737448e-06 4.92529303662907e-07 -2.431915546734573e-07 7.497847545941321e-08 -1.2727487192394832e-07 1.2992086247013713e-07 1.2909782087981865e-09 -1.0956706025549021e-07 -2.6482874255104922e-08 -6.2171788472705805e-09 -3.0892584329029085e-08 -8.403257974241996e-08 1.4653730297998082e-07 -7.759891698881073e-08 -5.241409018524873e-07 1.9732763384881317e-07 2.933578548397741e-07 -8.274522071046389e-07 2.436742757717827e-06 -4.586281309487995e-06 -5.275770040734819e-06 2.5118419617121694e-07 -4.987512030274394e-08 6.010563993886085e-06
