 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.0002591777438572022 2.0742629877671754e-06 -1.65339919237114e-06 -6.68393112078727e-06 2.9203217076076634e-06 4.051683313312274e-06 -8.481697193931648e-09 1.8709908924201493e-06 -1.6116224347830447e-06 6.36612780950655e-07 1.7578615700337517e-11 4.653219978250726e-07 1.4493405043746935e-08 1.8962156692704888e-07 5.328390471855252e-08 3.0702970208772466e-07 6.643229158953885e-07 8.552525955902093e-08 -8.389696848598195e-07 -1.6006098130813513e-07 -5.01536629304206e-07 2.831327858364559e-07 1.3809171123017796e-06 1.6553289520082814e-07 1.7682142826259804e-07 -8.677956300260542e-07 -3.459268852925998e-06 1.0100436487706197e-05 -9.40573382421043e-07
AGE 2.074262987767189e-06 6.018831664492217e-07 5.189442329552509e-07 5.234028806468835e-07 -6.286094666361895e-07 -4.4555371619876687e-07 -1.641661901310957e-08 5.6019896578910526e-08 -4.328127345541857e-08 2.3955859139243327e-08 5.835910252383418e-08 2.4677080050167487e-08 -4.984478025511784e-08 8.162305349125005e-09 1.8879995444172728e-08 3.997236601005573e-08 6.060953400580478e-08 -3.2253229598779885e-09 -5.956473863888219e-08 1.3667780305430452e-08 1.960457760520617e-10 -8.224766582441534e-09 1.18458593796492e-08 -1.2961620279755666e-09 1.1818250603847928e-08 -3.324847378474008e-08 -2.6409283390134437e-07 -1.1312496490866986e-07 4.4489399994471703e-07
sex -1.6533991923710857e-06 5.189442329552528e-07 0.0009006687516480458 8.066784268358015e-05 -0.00024127867553591105 -6.461102743500897e-05 2.4299190694063497e-07 2.9089612349860834e-07 -2.527259241914549e-07 1.2586781618697278e-07 9.226129857372433e-07 -6.468568658737377e-07 -2.9517890346978577e-07 9.9483535500169e-08 -4.830400214419423e-07 -5.533143319436563e-08 3.056048502743306e-07 -4.863531194936897e-07 -1.405773441991755e-07 3.8190180448075656e-07 -1.7536296014159627e-07 -6.005870232284454e-07 -4.2160846910522494e-08 -2.727956972485267e-07 -3.6048237421481035e-07 3.688089454326191e-07 -3.4952085922921555e-06 -3.2949288415156985e-06 1.0654220572662016e-05
age_sex -6.6839311207872696e-06 5.234028806468851e-07 8.066784268357994e-05 0.0004279318931651034 -6.21880544712924e-05 -0.00014793750802583812 3.787673603787752e-07 6.750468558415953e-08 1.4267602505574862e-07 2.7715883675610374e-07 -9.237398045303369e-08 4.095087827103864e-08 -4.304870190256526e-07 -5.249543629035708e-09 3.9934911039757193e-08 9.759495467095292e-07 -6.047278316005917e-07 -1.8658373905502067e-07 4.0250468556991687e-07 -1.818351708065393e-08 -4.0019718562462613e-07 -2.0543208194878449e-07 -8.754131438920303e-07 5.018938556744219e-08 1.605203956895416e-07 3.436626085900497e-07 -6.234506797317527e-06 1.088170483722905e-06 3.340060766152731e-06
age2_sex 2.9203217076076804e-06 -6.286094666361901e-07 -0.0002412786755359111 -6.218805447129238e-05 0.00014190017513878944 5.273685493539218e-05 -6.450289309118246e-08 -9.202139351606895e-08 1.8394883751505685e-07 -6.684564886413459e-08 -1.601411302828021e-07 1.1635109857443967e-07 1.6572053991275066e-07 -3.1276029314264954e-08 2.1654383968975233e-07 -1.0619343747678679e-07 1.1163372052507564e-07 2.3718299038918708e-07 7.049882228579447e-08 -2.7834398328039664e-07 8.883618943281139e-08 -1.1607949568658679e-07 1.2010846639698828e-07 -8.412502875866981e-08 5.074228922676922e-08 -1.636888679224582e-08 6.510897841709759e-06 -3.6739842194138962e-06 -5.925414089354817e-06
age3_sex 4.051683313312255e-06 -4.4555371619876766e-07 -6.461102743500889e-05 -0.00014793750802583814 5.273685493539218e-05 7.533313444172532e-05 -1.040315585065879e-07 3.8171374907179246e-08 4.912791260862043e-08 -3.412320262671178e-08 4.4337407902985366e-09 -8.877254309357783e-10 1.5177606804121583e-07 1.1967487555580934e-08 -3.690568540734216e-08 -3.2044067346983434e-07 2.5125012552705387e-07 8.621286590914993e-08 -1.723975208324515e-07 -9.83732505630457e-08 1.1417439432775355e-07 1.0064615806730184e-08 2.4205584915904856e-07 -1.5356872991078288e-07 -1.0599833493079688e-07 -5.0202022255843154e-08 4.412870309256838e-06 -2.9213846418094816e-06 -3.0523049995612453e-06
PC.PC1 -8.481697193926913e-09 -1.641661901310951e-08 2.429919069406347e-07 3.787673603787755e-07 -6.45028930911825e-08 -1.0403155850658805e-07 4.905965452026378e-07 -1.6025081390863736e-08 -3.571053102049636e-08 -2.187505476132932e-08 -4.0357897709103075e-08 7.586772761870318e-09 1.5939512876277089e-09 2.390302776016241e-08 4.652619702660347e-08 -9.947397283811623e-09 -1.754327602638134e-08 1.7535350545208235e-08 -2.7405269182272884e-09 -2.509407446744952e-08 4.0880065412254976e-08 3.5657893070281394e-09 8.297436326667815e-09 -1.395965513267553e-08 -7.903914757642629e-09 -5.444659256828266e-09 -3.892842771012694e-08 6.613956800912348e-07 4.438905723197362e-07
PC.PC2 1.8709908924201634e-06 5.6019896578910585e-08 2.9089612349860897e-07 6.750468558415774e-08 -9.202139351606884e-08 3.8171374907179855e-08 -1.6025081390863773e-08 9.76336768241411e-07 -6.608210611759255e-08 6.213114565965502e-08 1.720815555308127e-08 -1.1580551294769822e-08 5.704323158454113e-10 -3.014553712617989e-08 1.5917617407499872e-08 1.448699968373507e-08 -1.2053665844698206e-08 -1.7221480524534738e-08 -1.708845319225376e-08 -1.569396908049855e-08 -2.3318712926860597e-08 4.259432037355502e-08 4.972701526921166e-09 3.035364349002521e-09 5.3630237755825456e-09 1.0967223588158827e-08 -7.242876217461287e-08 5.17032455736979e-07 6.804331253821369e-07
PC.PC3 -1.6116224347829716e-06 -4.3281273455418004e-08 -2.52725924191456e-07 1.426760250557465e-07 1.8394883751505804e-07 4.9127912608621753e-08 -3.5710531020496405e-08 -6.608210611759207e-08 9.96496742924187e-07 1.8305238789111505e-08 6.633984966269434e-08 3.57603106637899e-09 3.099309961091903e-08 -6.163537167056997e-08 7.2262831629311166e-09 2.3557743576485154e-08 -5.927419294765762e-09 -3.115016498241686e-08 9.712575598889583e-10 3.180583046375812e-08 3.3886949985496495e-08 -4.790250619954886e-08 3.26594323933485e-09 5.4458651253757905e-08 1.631820828680548e-08 -7.114344026532904e-09 -1.7974517481753436e-07 -1.2015981976584563e-06 -1.1577561051797447e-06
PC.PC4 6.366127809506513e-07 2.3955859139243287e-08 1.2586781618697317e-07 2.7715883675610384e-07 -6.684564886413491e-08 -3.412320262671191e-08 -2.1875054761329247e-08 6.213114565965508e-08 1.8305238789111488e-08 1.355295685009555e-06 1.0601195286802135e-07 -4.563211575108878e-08 1.1347710371814268e-07 5.995787066761817e-08 1.4577423168271892e-08 -2.613248337203191e-08 -2.4222134496324478e-08 6.020631844456378e-08 -2.0211927145591877e-08 5.0704292377537834e-08 1.3377155751919155e-09 4.064832223965388e-08 -4.1121322529157875e-09 -1.4618339248873735e-09 -8.923648015968114e-09 -4.30082661752069e-08 -3.4555178736521376e-07 -3.683927052429539e-07 -3.2517668547870855e-07
