 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.00014482875192854368 1.3067221124302085e-06 -6.428276708594704e-07 -8.455532987788139e-06 3.018885967612837e-06 4.919644867750575e-06 -4.126467550844925e-08 6.623328127306521e-07 2.0802193930698126e-08 7.797063063840123e-08 1.243807125007759e-07 6.82208539350441e-08 -4.2737550361522655e-07 2.3888250819276683e-07 1.0557517319708842e-07 -7.220157624095935e-08 1.4540851411438255e-07 5.281127525899384e-08 -1.6911774877281458e-07 -1.5302030818990384e-07 -1.7621920956120058e-07 3.490127492217385e-08 2.21317794898254e-07 -5.480627906946894e-08 8.03017336954409e-08 -1.7824069600948007e-07 1.129357838060166e-07
AGE 1.3067221124302115e-06 5.039048629955363e-07 3.596297191070692e-07 4.6312566876809774e-07 -4.96736887330792e-07 -3.957848880308917e-07 -1.3561778305552777e-08 3.4418518320212683e-08 -2.9798436719630162e-08 2.2506080089719628e-08 5.584245468891469e-08 2.9666967655695748e-08 -3.072544025923536e-08 9.022181928388848e-09 1.9378158112310958e-08 2.9104653445199918e-08 4.565547873917716e-08 2.4745247210192373e-09 -4.84399625258078e-08 1.2958871522607704e-08 -3.8062727557626795e-10 -5.740815560690396e-09 1.8188424944970695e-08 -5.537982416349098e-09 5.089192859980671e-09 -3.2437999211937634e-08 -2.4527120587154256e-08
sex -6.42827670859462e-07 3.596297191070705e-07 0.0008294485390616936 5.759370374535905e-05 -0.0002192464247313215 -4.6877732050771136e-05 2.3350300385784152e-07 2.383993718119717e-07 -1.9145218082903207e-07 2.85561848026346e-07 1.0638719480911492e-06 -4.6641643308190183e-07 -4.888453213222238e-08 5.331420172401386e-08 -3.626826068630342e-07 7.373903225794974e-08 4.4845620162791263e-07 -4.6650354805067534e-07 -2.061843237466085e-07 2.614050286730303e-07 -7.374996538837226e-08 -5.285986707207416e-07 4.074475708823463e-07 -3.2456170634145405e-07 -2.168256252168062e-07 2.1987222519173165e-07 2.3764890031360293e-06
age_sex -8.455532987788195e-06 4.631256687680994e-07 5.75937037453589e-05 0.00043887606161166606 -4.456711569797067e-05 -0.00016091745321510746 2.5864358502203347e-07 7.518867559787136e-08 1.1635526905120785e-07 3.417550814958369e-07 1.1157606702700934e-07 -7.118146750215513e-08 -3.1447762560761676e-07 4.1684128207954337e-08 -7.120711503295982e-08 7.46145256096882e-07 -4.886274438966122e-07 4.758339389896297e-08 4.839025337966359e-07 8.163801163929603e-08 -6.336533024504836e-08 -2.6921605097707817e-07 -7.273774384596795e-07 -2.5003970550833176e-07 -1.2295625421907218e-08 1.0053551981141938e-07 -2.5434303669234e-06
age2_sex 3.0188859676128165e-06 -4.967368873307924e-07 -0.00021924642473132122 -4.456711569797052e-05 0.00012653239539725758 3.97683458769967e-05 4.808810823648812e-10 -4.7387757039282615e-08 1.5170860350223412e-07 -1.5457336470534777e-07 -3.774201645537702e-07 7.819041758507881e-08 9.965822841231302e-09 -9.622368667316693e-09 1.787917461321676e-07 -1.2242168000103546e-07 6.161002691155844e-08 1.6840596781696695e-07 1.0931035153759661e-07 -2.5116066055187224e-07 7.556567368736897e-08 -3.032497094930184e-08 -3.765030383010336e-09 -1.1542502755208683e-09 9.163549284101192e-08 1.8421113207985082e-08 1.4858959507611929e-06
age3_sex 4.919644867750586e-06 -3.957848880308924e-07 -4.6877732050771034e-05 -0.00016091745321510737 3.976834587699674e-05 8.286636436817938e-05 -3.560826374555299e-08 8.74425615947335e-09 6.907170198898763e-08 -1.4027289979549214e-07 -1.408677886031306e-07 5.7006874663665e-08 8.568123465500847e-08 -8.675904447225065e-09 -4.8232251641756784e-08 -2.2661654459089496e-07 1.7930456854195624e-07 -4.7839382050539754e-08 -2.1212334404353043e-07 -1.5971158493176572e-07 -1.155221930328783e-09 3.940517355788074e-08 2.2256174964648677e-07 3.4716289815105596e-08 2.0146421489836178e-08 4.848254616795939e-08 8.638158616203222e-07
PC.PC1 -4.126467550844928e-08 -1.3561778305552757e-08 2.3350300385784147e-07 2.5864358502203374e-07 4.808810823646479e-10 -3.5608263745553184e-08 2.931208044848966e-07 3.353233531904973e-09 1.1772026314493503e-08 -2.3937163621678866e-08 -2.2575873694134433e-08 -1.6521000366525348e-09 -1.5443028297279842e-08 1.623558860485754e-08 1.388369306313601e-08 -1.0697818566656193e-08 8.156510613039166e-10 1.4328023814668305e-08 -9.563835573763854e-09 -8.274748633092506e-09 1.853360269119627e-08 -6.390203954870125e-09 4.002160112127223e-09 -9.262223165894055e-09 3.1939359333462503e-10 -1.2148101981362228e-08 3.206396445987011e-07
PC.PC2 6.623328127306302e-07 3.441851832021248e-08 2.3839937181197112e-07 7.518867559787114e-08 -4.73877570392828e-08 8.744256159473238e-09 3.353233531904963e-09 4.973844947893812e-07 -2.8325607548960404e-08 3.587499836192168e-08 2.160567056253808e-08 -3.9127383103348776e-08 -2.8578695305619774e-09 -8.606026098957611e-09 -5.741073786971102e-09 1.5277840748346507e-08 -8.027923558268372e-09 -6.774893797733596e-09 2.666467761251779e-08 4.417668897481115e-09 -7.593347139240165e-09 4.5435446228081815e-09 -5.0539302118816525e-08 -1.0893025820183482e-08 -4.227617355951985e-09 1.691819780447479e-08 2.6546877181105114e-07
PC.PC3 2.0802193930696514e-08 -2.9798436719630172e-08 -1.9145218082903152e-07 1.1635526905120892e-07 1.5170860350223404e-07 6.90717019889873e-08 1.177202631449354e-08 -2.8325607548960464e-08 6.152108246503695e-07 3.85403827869582e-08 2.7730688125985945e-08 1.2611637607209098e-08 1.795198496011629e-08 -3.198805260064562e-08 4.3012410110937574e-09 3.155898510360914e-08 -3.795267933438037e-09 -1.4382310912579054e-08 -1.0841405037709443e-08 1.6147352178301592e-08 1.2185359451994772e-08 -1.4926110337341743e-08 1.1010185871549954e-08 4.348737588094248e-08 6.017605504293027e-09 -7.187579488799584e-09 -7.709811501000305e-07
PC.PC4 7.797063063840035e-08 2.250608008971964e-08 2.8556184802634606e-07 3.4175508149583647e-07 -1.545733647053479e-07 -1.4027289979549206e-07 -2.3937163621678846e-08 3.5874998361921675e-08 3.854038278695814e-08 7.514886642068992e-07 5.72578780458772e-08 -3.6908893479096485e-08 1.0717717575981741e-07 4.2425293272225075e-08 2.0663452404401894e-09 -3.359936642837224e-08 -1.2401784874650642e-08 3.4928971119769475e-08 -3.5446629190829824e-09 3.218605364689184e-08 9.83743577518583e-09 2.678138209687713e-08 -1.6276193177946387e-08 -4.6141908697394845e-10 -4.9705326000908974e-09 -1.784860274310486e-08 -4.915741137430644e-07
