 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
PC10 2.922397748228877e-07 5.780031146961225e-08 4.803488792676272e-07 1.3491677827209147e-07 2.4707825237563743e-07 -2.7609761500971327e-07 -1.729588951566605e-08 -1.7876717986057218e-07 1.5054546027065755e-07 -3.76562769992162e-07 1.12746625149199e-05 -3.91684395029527e-07 1.7142622293513197e-07 -3.577060399814119e-07 -8.085451146019696e-08 2.0171589688813755e-07 -1.7734785665457567e-07 -8.428831247835805e-08 2.157341475172131e-07 6.099424916296311e-07 -1.0859286154947027e-07 2.035272683104962e-06 -3.561583018074185e-06 -5.965840784610756e-06 2.089242595036898e-06 -3.7638420374227493e-06 5.804236878257885e-06 4.7597162677133485e-06
PC11 3.833995900368314e-06 -3.8503699603804854e-08 -5.747291868201562e-07 3.0091915349664e-07 2.0750940525440052e-07 -1.1692222941297256e-06 -3.889743080794505e-07 1.2755343818025093e-06 -7.706705934815367e-07 6.298979464290757e-08 -3.91684395029527e-07 1.0582115853094504e-05 -2.4674921479545115e-07 -7.405697426325446e-08 -4.295495935417588e-07 3.0214347748565173e-07 1.5714243596165038e-07 3.163418663394836e-07 -1.206063268801522e-08 5.897902295058706e-07 2.9274058575154106e-07 2.0564215255275575e-06 -3.823224477525909e-06 3.2718656633923495e-06 3.38959972243288e-06 1.0211306779113796e-06 -4.386735025821524e-06 -6.42819562788288e-06
PC12 -2.6570876573371635e-06 5.57132720181113e-07 -8.87726457134885e-07 1.9317418843616888e-08 -8.137498417343479e-07 4.872939554238843e-07 1.6436571269424024e-07 1.4408187760687326e-07 4.996607800511673e-08 -4.7520551590627323e-07 1.714262229351321e-07 -2.467492147954513e-07 9.355706548279464e-06 3.3572879150256943e-07 -2.3198776135047108e-08 -5.164765600954581e-07 -1.550602834636858e-07 6.594558842327208e-08 -1.323789652654639e-07 1.3513913995722064e-07 -2.6431987459084947e-07 -4.516018668175015e-07 9.791473947967415e-07 -2.726943361885437e-06 7.658204659407603e-07 -3.34934909921916e-06 1.516830430385108e-08 6.1365569848483396e-06
PC13 1.5467434407309521e-06 -1.5597933783382172e-07 5.270179514776179e-07 -5.498724027982919e-07 -4.0241177326925016e-07 -1.0625950180011879e-06 -3.6937729316444336e-07 4.896009029865136e-07 3.206103454635678e-08 -3.049380466443754e-08 -3.577060399814119e-07 -7.405697426325498e-08 3.357287915025696e-07 9.647318895490775e-06 -6.168812421081999e-07 9.444495731402893e-07 5.264870226252199e-07 4.973351101005458e-09 -2.554348519357423e-07 -1.5591680168780856e-08 2.3808434330931898e-08 5.029470319810526e-07 2.3195398165998022e-06 -6.07793426237357e-06 -7.826326803092364e-06 -2.2741063687289503e-07 7.992818064642409e-06 -3.813304616926569e-06
PC14 -1.8453269640764484e-06 -3.3695751714176665e-07 -9.24231078884806e-07 3.692056357739216e-08 -9.458819763524557e-08 5.486766738557087e-07 -2.0934062146668415e-07 -1.551697979778161e-07 -8.774291044357571e-08 -7.641283561239296e-07 -8.085451146019659e-08 -4.29549593541758e-07 -2.3198776135047015e-08 -6.168812421081997e-07 1.032321167221047e-05 -1.9184765694408067e-07 1.9534713067613071e-07 -2.431235767177888e-07 9.594915312983818e-08 -7.888252832429641e-08 -5.587679190596847e-08 1.5215340103606896e-06 -3.4226025929403643e-06 1.8856875322862425e-07 -5.7801038941733e-07 9.495076084406436e-06 -1.1908512458476654e-06 -4.64418166076766e-06
PC15 -2.3511792491404423e-06 -6.320647176836572e-07 2.4662390317298747e-07 -2.8240598137810655e-08 -1.3259255292525995e-07 -8.675171451694029e-08 -1.94485735644982e-08 -3.412660034260311e-07 -5.727348600935394e-07 2.693312420696802e-07 2.017158968881374e-07 3.0214347748565173e-07 -5.164765600954583e-07 9.444495731402898e-07 -1.918476569440808e-07 1.0072789568598465e-05 5.172956606521092e-07 -6.978177179555279e-07 -5.688637522929106e-08 -1.20706419431458e-07 6.330681608431556e-08 -2.316960353261813e-06 5.41548540053236e-06 8.673117496186946e-08 7.247474625258281e-06 -8.905481055794116e-06 7.17395127849492e-07 -6.391232063569497e-07
PC16 -1.8166895317195307e-06 -5.562154853076149e-07 1.4080495965274363e-08 1.663002647438353e-07 1.0618662353180787e-07 -1.4115608237318144e-07 -6.907507340330577e-08 -3.8467050883260555e-07 2.7779905290029263e-08 4.991632209424587e-07 -1.773478566545759e-07 1.5714243596165004e-07 -1.550602834636861e-07 5.264870226252198e-07 1.953471306761307e-07 5.172956606521089e-07 1.0013113805871145e-05 -3.7283036670159415e-07 -9.720119046000787e-08 -5.368054427920547e-07 5.548847822421859e-08 -4.099883576738085e-06 3.8093546081387364e-06 3.509735777075179e-08 -6.118403541502363e-06 1.6407927988411947e-06 -5.958184928045672e-06 1.0734214227469002e-05
PC17 -1.6418234164641026e-06 2.2636789556642276e-07 7.610193445342388e-07 -4.120351267073024e-07 6.089346899004953e-08 7.205591390004416e-07 2.636670004099278e-07 -2.0000192136492217e-07 9.273978660284662e-08 6.064986640037226e-07 -8.428831247835791e-08 3.1634186633948353e-07 6.594558842327208e-08 4.973351101005709e-09 -2.431235767177889e-07 -6.978177179555278e-07 -3.728303667015941e-07 9.301312139609803e-06 3.7685375286050484e-07 -2.547012612554666e-07 4.290928653785112e-09 -1.4155818896053947e-06 5.555969859605755e-07 -9.525011946242287e-07 9.171418663380496e-06 -1.8859030484454236e-06 3.325395343782625e-06 1.3533431328596798e-06
PC18 -6.571006050251656e-07 -9.561475821567373e-09 2.280153090154367e-07 -4.486758739498558e-07 -4.5614368894524874e-07 -3.200014039145264e-07 -2.8900017257066166e-07 1.3309019039460661e-07 -5.102276035469573e-07 -1.835562571877359e-07 2.157341475172133e-07 -1.2060632688015101e-08 -1.3237896526546383e-07 -2.554348519357422e-07 9.594915312983807e-08 -5.688637522929113e-08 -9.720119046000794e-08 3.7685375286050474e-07 8.924209685473823e-06 -1.3008697048142244e-07 -5.693971257389923e-08 -1.5883566253846093e-06 2.0594198598412632e-06 5.615390084413381e-06 -1.1768598287499444e-06 1.4217358480329783e-06 -6.1343064410483536e-06 -1.6668077463356853e-06
PC19 2.3650015909790573e-06 1.7199489990651732e-07 -4.887392817793415e-07 3.8389411303099063e-07 -1.7157132295964966e-07 2.8264375050907653e-07 -2.0257392685937355e-07 6.074052056896783e-08 -3.0877300075452806e-07 -1.0286726279554761e-07 6.099424916296307e-07 5.89790229505871e-07 1.351391399572207e-07 -1.5591680168780763e-08 -7.888252832429661e-08 -1.207064194314579e-07 -5.368054427920545e-07 -2.547012612554664e-07 -1.300869704814225e-07 9.103103788632332e-06 5.126892948985957e-07 2.760578858692839e-07 -1.151797855335548e-06 -1.1488623338349002e-06 -1.4568844401726358e-06 -7.973511181474475e-08 3.6220691624989983e-06 -1.5977635138060972e-06
PC20 -4.2483092779768836e-07 -7.859751740142168e-08 -2.6435964951476163e-07 8.743347820004996e-08 1.582968360437756e-07 1.1251486715850221e-07 -4.930808419034838e-07 -2.7204149062393283e-07 3.1670228951553497e-07 -5.27762473978132e-07 -1.0859286154947002e-07 2.9274058575154085e-07 -2.643198745908493e-07 2.380843433093209e-08 -5.587679190596824e-08 6.330681608431548e-08 5.5488478224218615e-08 4.2909286537850145e-09 -5.693971257389922e-08 5.126892948985957e-07 8.387507907041318e-06 7.047950798857571e-07 -3.9217547090320596e-06 -6.464254443627178e-06 -3.0646440946060266e-06 1.1517139442277386e-05 1.1611343296247586e-05 -1.1657157368150422e-06
proband -5.4438871676301165e-06 1.5034457015172376e-07 8.840638332081485e-07 -1.3495732164772162e-06 9.909599118754717e-07 -2.3144323829814314e-07 1.33594424585825e-06 2.68696050915413e-06 -9.269197207733784e-07 -7.129690572431985e-07 2.0352726831049604e-06 2.0564215255275583e-06 -4.516018668175014e-07 5.029470319810483e-07 1.5215340103606894e-06 -2.316960353261815e-06 -4.099883576738085e-06 -1.4155818896053942e-06 -1.5883566253846076e-06 2.7605788586928413e-07 7.047950798857526e-07 0.0008146550047471999 -0.0003899875776438609 -0.00039274913775033486 3.326480172008012e-05 -5.089781145312985e-05 -1.1043326071369311e-05 -1.597743876404663e-05
paternal 3.7585691119019287e-05 7.549361219008368e-07 6.2707412879589195e-06 -2.5236029479817384e-06 1.283381851519259e-06 5.372879902327138e-06 -3.9822482061089466e-06 3.686292191863943e-06 1.5365700638232724e-06 3.194387168466388e-06 -3.5615830180741937e-06 -3.823224477525911e-06 9.79147394796749e-07 2.3195398165997993e-06 -3.4226025929403655e-06 5.41548540053236e-06 3.809354608138737e-06 5.555969859605725e-07 2.059419859841268e-06 -1.151797855335547e-06 -3.921754709032053e-06 -0.00038998757764386086 0.0019772778371989256 0.0002155786714124634 -0.0015407531867699172 -0.0010448170013885136 1.4586402826524287e-06 -3.762253178430915e-05
maternal 3.2465902404844326e-05 2.994510682098893e-06 3.2674043220260383e-06 -1.0825786177702825e-06 -4.8810770885103116e-06 1.4784393777981487e-06 -1.604716384847283e-06 3.3855642811152623e-06 1.1218484405287552e-06 -1.4666015082208474e-06 -5.965840784610756e-06 3.2718656633923508e-06 -2.7269433618854393e-06 -6.077934262373558e-06 1.885687532286221e-07 8.6731174961872e-08 3.509735777075313e-08 -9.525011946242299e-07 5.615390084413379e-06 -1.1488623338348962e-06 -6.464254443627168e-06 -0.00039274913775033584 0.00021557867141246348 0.001810663275405059 6.169738336527583e-05 -5.18589148277497e-05 -0.0013981504255485503 -0.0009335610848496832
gpp -4.162808911060626e-05 -1.4472364933730827e-06 -1.4982095060563931e-05 -7.900018953772324e-07 -4.8397642630092635e-06 -1.773434390538593e-06 5.71943672520281e-06 -2.7695138052674467e-06 -3.854067998794794e-06 -1.1995643678491922e-05 2.0892425950369e-06 3.389599722432873e-06 7.658204659407472e-07 -7.826326803092354e-06 -5.780103894173326e-07 7.2474746252582835e-06 -6.1184035415023615e-06 9.171418663380488e-06 -1.1768598287499525e-06 -1.456884440172642e-06 -3.064644094606029e-06 3.32648017200801e-05 -0.0015407531867699172 6.169738336527567e-05 0.004309135895386738 -0.0012037946690632198 3.180059331407079e-05 7.965882184621094e-06
gmp -3.874680234671734e-05 2.9475389154199e-06 1.7180201923020188e-06 -1.4777923837922884e-06 2.751568606080669e-06 -8.799212814035828e-06 4.7164440500556515e-06 -8.004246416791995e-06 1.4118046899111122e-06 9.396203869954026e-06 -3.7638420374227383e-06 1.0211306779113878e-06 -3.3493490992191636e-06 -2.274106368728983e-07 9.495076084406438e-06 -8.90548105579411e-06 1.640792798841192e-06 -1.8859030484454128e-06 1.4217358480329778e-06 -7.973511181474065e-08 1.151713944227738e-05 -5.089781145312999e-05 -0.001044817001388514 -5.1858914827750165e-05 -0.001203794669063219 0.003334995198997547 -1.9210056063415887e-05 5.166780102295885e-05
gpm -0.00012524774527157553 -1.095102899885233e-06 5.616450947030349e-06 -5.73105469443672e-06 -5.988428921879207e-07 -7.269843597013027e-06 2.9962465135672794e-06 -6.608554542277087e-06 -2.5657533224526277e-06 2.457590302446941e-06 5.804236878257893e-06 -4.386735025821533e-06 1.516830430385383e-08 7.99281806464241e-06 -1.1908512458476633e-06 7.173951278494941e-07 -5.958184928045674e-06 3.3253953437826264e-06 -6.134306441048356e-06 3.6220691624990013e-06 1.1611343296247584e-05 -1.1043326071368307e-05 1.4586402826526242e-06 -0.0013981504255485525 3.180059331407042e-05 -1.921005606341649e-05 0.003420815025158008 -0.0006185806392783021
gmm 5.634973339993704e-05 -5.6740961611474e-07 -8.402268225435798e-06 2.8155192134402044e-06 5.507968312052261e-06 6.068728062433469e-06 1.086289365003613e-06 -1.0044133990743457e-05 2.9737847751344285e-06 -1.4792377635493922e-06 4.759716267713343e-06 -6.42819562788288e-06 6.13655698484834e-06 -3.8133046169265865e-06 -4.64418166076766e-06 -6.391232063569522e-07 1.0734214227469004e-05 1.353343132859681e-06 -1.6668077463356826e-06 -1.5977635138061046e-06 -1.1657157368150511e-06 -1.5977438764046413e-05 -3.7622531784309066e-05 -0.0009335610848496825 7.965882184621072e-06 5.166780102295863e-05 -0.000618580639278304 0.0025955061713983933
