(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband
covarPC5 -5.95584571634095e-06 -0.099547955593538 0.000715687156932935 -0.000718845543414504 0.201055180976274 -0.101528737191782 -4.15521332184154e-05 -3.87087496413263e-05 0.000147954569497749 0.000202771905033355 0.00180256128000114 1.2354177810997e-05 0.000182074802431146 1.19512100404507e-05 -1.74807067518638e-05 -2.8168278160274e-05 -0.000110863860780218 6.03842050037345e-05 -0.0001047036888518 -9.91106245216099e-06 2.03723854900227e-05 -1.84038091871192e-05 0.000104723629160578 -5.28880114111066e-05 3.82900447118432e-05 2.75277366646831e-05 -2.42214312683691e-05
covarPC6 2.53718874460291e-06 0.197564307823751 0.00791253778022954 -0.00794431223328348 -0.397928556183337 0.200409664985455 -1.08192415495216e-05 -2.85762817548289e-06 2.50410063991259e-06 -8.59732446706424e-05 1.2354177810997e-05 0.00151502867879239 1.12478731706234e-06 2.08873643972069e-05 3.74288610228823e-05 -7.89264184356585e-06 -4.30963967257017e-05 1.84729941263523e-05 -5.75445124878501e-05 -1.56940430050371e-05 -2.02375508511039e-05 -9.87829383653834e-06 7.63174204819339e-05 -1.06857937243544e-05 -1.82655951213969e-06 -2.71746918882042e-05 4.27688095949893e-05
covarPC7 -2.96554449436648e-05 -0.356211403025368 0.00348132357379613 -0.00346290237250549 0.714868916510296 -0.358721523213433 3.31407972241467e-05 9.74259335894533e-06 4.7722765103907e-05 -1.4873360971404e-05 0.000182074802431146 1.12478731706234e-06 0.00167551507624308 8.33582673964871e-05 -8.70686762422632e-06 -1.64485569882347e-05 0.000138213654617516 1.80283940700192e-05 0.000117846203904722 -1.90445620603254e-05 -6.432215948154e-05 -4.44706390066013e-05 -2.031649952565e-05 1.64255061555043e-05 -1.29885597572707e-05 -6.27393293284148e-05 -2.03743554016797e-05
covarPC8 2.72168615593458e-05 0.349447847022803 0.00814840407241151 -0.00813820642745432 -0.701557680471453 0.352162610435271 8.246666747489e-05 1.75959646474725e-05 -3.53918804431531e-05 -0.000178756585931196 1.19512100404507e-05 2.08873643972069e-05 8.33582673964871e-05 0.0016852256568696 -3.71825877951553e-06 6.22632554564703e-05 -8.39548366561669e-05 2.03525657872384e-05 -2.05965572030481e-05 3.3177596056837e-05 -5.68112501995309e-05 8.42660483087789e-06 4.56764670407038e-05 -1.77072657201833e-06 -1.42451734061592e-05 3.79397250306061e-05 6.41255207562114e-06
covarPC9 -4.51128984406232e-05 -0.438841525183467 -0.000189121987007756 0.000206043767771279 0.880815703965334 -0.442076532734806 -1.93012539060133e-05 8.84687615730695e-06 -0.00021189633628696 0.000108486116756144 -1.74807067518638e-05 3.74288610228823e-05 -8.70686762422632e-06 -3.71825877951553e-06 0.00168091347915495 -1.16947717208237e-05 -6.37834965452754e-05 -2.53113361207296e-05 -6.47007817613455e-05 -2.85899901974289e-05 1.92571538688547e-05 3.70404752101292e-05 5.94659613353219e-05 -5.868640240508e-05 -3.73611116966683e-05 -2.83243431543052e-05 4.33374333648312e-06
covarPC10 -4.43590892029398e-06 0.418902428128393 0.00345153513055499 -0.00341888390556642 -0.83577095785152 0.416937821590092 2.90615748679137e-05 3.67144715730858e-06 1.27775355405549e-05 4.9308163183531e-05 -2.8168278160274e-05 -7.89264184356585e-06 -1.64485569882347e-05 6.22632554564703e-05 -1.16947717208237e-05 0.001600643473322 -9.39968979364923e-05 4.56595984089615e-05 -8.98519757557409e-05 -5.0973574213309e-05 -1.63959933697647e-05 -5.70428695179206e-05 2.83879492313626e-05 6.74759234156445e-05 6.58433608282748e-05 3.06049028284542e-05 -1.31640457374076e-05
covarPC11 1.21003899220204e-05 -0.158676366088991 -0.00119300602428916 0.00120434670849068 0.315865061983575 -0.15717801232918 -4.43694682272957e-05 1.56911361192043e-05 9.37212688243168e-05 4.67785870294458e-05 -0.000110863860780218 -4.30963967257017e-05 0.000138213654617516 -8.39548366561669e-05 -6.37834965452754e-05 -9.39968979364923e-05 0.00166933844036564 -2.17307205747651e-05 -2.96926030925757e-05 -3.89244838757033e-05 3.18531866818048e-05 1.87006406408418e-06 8.54818289073245e-05 5.70581096953957e-06 1.96774947342367e-05 6.32059959126718e-05 -4.32119726734554e-05
covarPC12 -3.07362697969267e-06 0.174143167548635 0.00409486412547491 -0.00412576472485867 -0.345389422912874 0.171297481975473 0.000219692036268582 -3.93778909746307e-05 4.0447572151422e-05 -9.15941966270716e-05 6.03842050037345e-05 1.84729941263523e-05 1.80283940700192e-05 2.03525657872384e-05 -2.53113361207296e-05 4.56595984089615e-05 -2.17307205747651e-05 0.00159438789471328 1.42136706852792e-05 -1.79506007790508e-06 -3.14063959436503e-05 -5.61248988164608e-05 -1.48760539261763e-05 1.89702063826445e-05 -4.17462420740189e-05 -5.16738240092755e-05 -2.00672132478653e-05
covarPC13 7.85898716088686e-06 -0.148281271900455 -0.00309051791168629 0.00312008428134562 0.299372271151919 -0.151107875323073 8.68800006733825e-07 7.62172011379423e-06 -0.000111024550857511 1.19698813029043e-05 -0.0001047036888518 -5.75445124878501e-05 0.000117846203904722 -2.05965572030481e-05 -6.47007817613455e-05 -8.98519757557409e-05 -2.96926030925757e-05 1.42136706852792e-05 0.00158470562670716 -3.44716942563815e-05 7.26872431655575e-05 4.18268948019166e-05 7.15915697328897e-06 -7.40852130143492e-05 3.18239434789466e-05 -2.25591619677709e-07 -3.3175908124848e-06
covarPC14 3.91533307530137e-05 -0.185372492552985 0.00232989029962417 -0.00240117386981884 0.367983063574603 -0.182648333366173 -9.15539872300432e-05 -5.85600454186626e-05 -3.42799271046553e-06 -6.54695251536055e-05 -9.91106245216099e-06 -1.56940430050371e-05 -1.90445620603254e-05 3.3177596056837e-05 -2.85899901974289e-05 -5.0973574213309e-05 -3.89244838757033e-05 -1.79506007790508e-06 -3.44716942563815e-05 0.00161467445966716 -3.05982873267957e-05 -3.50789392310279e-05 5.10259388642035e-06 3.78941888031197e-05 4.27542249942404e-05 -1.61351987668414e-05 3.01143456281872e-05
covarPC15 -2.09175750559118e-05 -0.355290054847004 -0.0152260136038799 0.0152242359415997 0.712367445101168 -0.357107645948501 -0.000158128645766113 1.75348164068985e-06 3.20899029255542e-05 -1.77393488521428e-05 2.03723854900227e-05 -2.02375508511039e-05 -6.432215948154e-05 -5.68112501995309e-05 1.92571538688547e-05 -1.63959933697647e-05 3.18531866818048e-05 -3.14063959436503e-05 7.26872431655575e-05 -3.05982873267957e-05 0.00159234278605491 5.72483319508181e-05 -7.19933822974074e-05 -6.06542628214167e-05 4.68326536538599e-05 2.16750016836843e-05 -4.54475925304621e-06
covarPC16 -3.116962764537e-05 -0.454519436194284 -0.0148096680521725 0.0148304567516177 0.908234756635714 -0.453767819281522 -0.000163842535294504 -1.77981353410284e-05 6.34247995461217e-06 3.97285274928891e-05 -1.84038091871192e-05 -9.87829383653834e-06 -4.44706390066013e-05 8.42660483087789e-06 3.70404752101292e-05 -5.70428695179206e-05 1.87006406408418e-06 -5.61248988164608e-05 4.18268948019166e-05 -3.50789392310279e-05 5.72483319508181e-05 0.00161387699748865 -1.28140804566137e-05 -2.97784754642469e-05 -3.30857460846059e-05 -3.44741519184342e-05 -1.44251368175397e-05
covarPC17 4.59841130121523e-05 0.108545476684112 0.0109669649123713 -0.01101243425898 -0.217593500443689 0.10910263359759 3.2283319618308e-05 1.54688730452005e-05 -9.0369427268867e-05 -1.04238488290934e-06 0.000104723629160578 7.63174204819339e-05 -2.031649952565e-05 4.56764670407038e-05 5.94659613353219e-05 2.83879492313626e-05 8.54818289073245e-05 -1.48760539261763e-05 7.15915697328897e-06 5.10259388642035e-06 -7.19933822974074e-05 -1.28140804566137e-05 0.0016094703359632 -2.357206952536e-05 -2.9040932267325e-05 -8.60670043025638e-06 2.07400538539743e-05
covarPC18 -6.08048695611383e-06 -0.0474349078757643 0.00295152431831306 -0.00294859843136714 0.0936808419339508 -0.0462185453520569 5.55084881670035e-05 9.91207784939947e-07 -0.000109637858677631 -6.40795543262494e-05 -5.28880114111066e-05 -1.06857937243544e-05 1.64255061555043e-05 -1.77072657201833e-06 -5.868640240508e-05 6.74759234156445e-05 5.70581096953957e-06 1.89702063826445e-05 -7.40852130143492e-05 3.78941888031197e-05 -6.06542628214167e-05 -2.97784754642469e-05 -2.357206952536e-05 0.00153341946893636 3.02450078796679e-05 9.58579013575387e-06 3.21733203436951e-05
covarPC19 3.03410639070605e-05 0.189360111013632 0.00191225436738827 -0.00194911315211399 -0.381206552462335 0.191876761674345 1.24030815199804e-05 1.11544399505126e-05 7.28618417403274e-05 -2.62990079809406e-05 3.82900447118432e-05 -1.82655951213969e-06 -1.29885597572707e-05 -1.42451734061592e-05 -3.73611116966683e-05 6.58433608282748e-05 1.96774947342367e-05 -4.17462420740189e-05 3.18239434789466e-05 4.27542249942404e-05 4.68326536538599e-05 -3.30857460846059e-05 -2.9040932267325e-05 3.02450078796679e-05 0.00154675942335301 4.11002869882003e-05 -2.390863729613e-05
covarPC20 2.40911112649544e-05 0.232858277523743 -0.00634925479758717 0.00636729611253587 -0.465615615509832 0.23276269802957 1.73174008898765e-05 -8.97379524782918e-06 7.96680982342862e-06 -1.19499377747631e-05 2.75277366646831e-05 -2.71746918882042e-05 -6.27393293284148e-05 3.79397250306061e-05 -2.83243431543052e-05 3.06049028284542e-05 6.32059959126718e-05 -5.16738240092755e-05 -2.25591619677709e-07 -1.61351987668414e-05 2.16750016836843e-05 -3.44741519184342e-05 -8.60670043025638e-06 9.58579013575387e-06 4.11002869882003e-05 0.00153986317464218 1.08125202952696e-05
proband -1.12545616873938e-05 -0.274852054985828 -0.00164435575567011 0.00164500037977668 0.552125555109611 -0.277335677087275 3.76141287590595e-05 -1.44901206116061e-05 -0.000126142506444003 -2.22277938510355e-05 -2.42214312683691e-05 4.27688095949893e-05 -2.03743554016797e-05 6.41255207562114e-06 4.33374333648312e-06 -1.31640457374076e-05 -4.32119726734554e-05 -2.00672132478653e-05 -3.3175908124848e-06 3.01143456281872e-05 -4.54475925304621e-06 -1.44251368175397e-05 2.07400538539743e-05 3.21733203436951e-05 -2.390863729613e-05 1.08125202952696e-05 0.00141848308104496
