(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000742588895654496 0.000643713512972771 0.000183816013445764 -0.000287870707640331 -3.40743440700172e-05 2.77545764662994e-05 4.54965805218953e-06 2.17586081503226e-05 -2.98403442063716e-05 -3.51010004589584e-05
covarage 0.000643713512972771 0.00174032102377985 0.00191003795263035 -0.00279298923674529 -2.45530960884893e-05 5.36770722564221e-05 6.52345056817537e-06 -5.90720718590154e-06 1.61235725446463e-05 -6.34224215823855e-06
covarsex 0.000183816013445764 0.00191003795263035 0.00359091411935675 -0.00489196978432726 -2.17879604288091e-05 3.89453151247501e-05 -3.77658054548746e-06 2.27125712805597e-06 5.48105645676366e-06 -1.64572925411557e-05
covarage_sex -0.000287870707640331 -0.00279298923674529 -0.00489196978432726 0.00730743914457814 2.90782161123544e-05 -2.21416622617346e-05 -9.66282969593566e-06 -9.67379740582921e-06 -2.75026961830118e-06 4.10476701941725e-05
covarPC_3 -3.40743440700172e-05 -2.45530960884893e-05 -2.17879604288091e-05 2.90782161123544e-05 0.000312201905305962 -3.16722998388087e-06 -1.13004984168218e-05 1.03904610192295e-05 -1.09404513566493e-05 -3.72755989143308e-05
covarPC_4 2.77545764662994e-05 5.36770722564221e-05 3.89453151247501e-05 -2.21416622617346e-05 -3.16722998388087e-06 0.000368619381578362 -2.86990736278616e-07 3.17737498060664e-06 6.26731948593266e-06 -1.68096182406562e-05
proband 4.54965805218953e-06 6.52345056817537e-06 -3.77658054548746e-06 -9.66282969593566e-06 -1.13004984168218e-05 -2.86990736278616e-07 0.000402706868955008 -0.000201222446120599 1.79879759522655e-05 -1.94522703750045e-05
maternal 2.17586081503226e-05 -5.90720718590154e-06 2.27125712805597e-06 -9.67379740582921e-06 1.03904610192295e-05 3.17737498060664e-06 -0.000201222446120599 0.00209023427685975 -0.00156075738503351 -0.00180682508014491
gmm -2.98403442063716e-05 1.61235725446463e-05 5.48105645676366e-06 -2.75026961830118e-06 -1.09404513566493e-05 6.26731948593266e-06 1.79879759522655e-05 -0.00156075738503351 0.00562788706031484 -0.00254906989764376
gpm -3.51010004589584e-05 -6.34224215823855e-06 -1.64572925411557e-05 4.10476701941725e-05 -3.72755989143308e-05 -1.68096182406562e-05 -1.94522703750045e-05 -0.00180682508014491 -0.00254906989764376 0.0061748337513338
