 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.0005506897432660157 -1.5335980480544877e-06 7.65254541432579e-05 -2.747938288700055e-06 2.854176031747191e-08 -0.0001915371769188606 0.00011846431768483316 -0.00027408162690035484 0.000131642560111332 0.0005912490212215164 -0.0007953976623081639 0.00019097773525587943 9.083026903193976e-05 0.00015723758764328019 -0.0005464000839650214 0.0007153050883131028 0.00020360977030177622 -0.00022401554592987565 -9.140956862348756e-05 -0.0004118257240896755 -0.0007005142311975288 -4.087436932631839e-06 -0.00042323145294145977 -0.00033712141601435026 0.0013433223913609498 -1.7891786346211478e-07 5.948333159400006e-06 -4.804194124688206e-06 -8.477529901510555e-06
yob -1.5335980480534873e-06 7.169456192550729e-07 2.8914915712609335e-08 1.1300462078265836e-08 -6.784620957413787e-11 5.367875710842689e-06 0.00012363750189239723 2.1844608302584952e-05 -7.894866504896986e-05 8.782268688492835e-06 -5.7575540433662974e-05 -4.15750322006867e-06 -4.031958801181801e-05 6.010354765264589e-05 7.4441689762359655e-06 -6.987661662507211e-05 5.269336422315605e-05 -4.20515229452606e-05 -1.3324111386282176e-05 8.075340582924668e-05 3.6558793904272676e-05 -2.0527707319732602e-05 1.3797945048404296e-05 4.9608765819872595e-05 -0.00011812498935099898 -1.0219400339532897e-07 6.61218541889461e-08 -2.367770663600844e-07 -3.643420037169788e-08
age 7.652545414324534e-05 2.8914915712203107e-08 3.649618969037196e-05 -1.0623797381646157e-06 9.259238733239233e-09 -3.354148089081043e-06 3.9966806275491315e-05 -3.007033423574146e-05 -2.6973596918133534e-05 2.405565777669039e-05 -8.341995493053495e-05 -1.3479171991750304e-05 -5.159174495900408e-05 0.0001416684983507697 -7.350692154726867e-05 1.3332592039606856e-05 9.539819864134182e-05 8.67478504371606e-05 1.1687653439226312e-05 9.841423384932647e-06 1.379979959603421e-05 -4.230817714118186e-07 5.749172575784978e-05 4.998680297231883e-05 0.000209004502515743 -3.1113945213109374e-07 -1.734428675623064e-07 5.993277751142446e-07 2.592538571658896e-07
age2 -2.7479382886997512e-06 1.1300462078278888e-08 -1.0623797381646426e-06 3.258317319685737e-08 -2.9313100506431105e-10 -6.272138837003832e-08 1.8456801438347084e-06 1.6559465926858855e-06 -9.958653429256388e-07 1.2620983198361576e-06 6.760939107188633e-07 1.6679662159931574e-07 -3.8384215128205916e-07 -3.1688249893880927e-06 1.793066453416877e-06 -1.2935300062616468e-06 -2.875867210263475e-06 -2.2531062017588026e-06 -9.584371252830226e-07 1.1562424734701849e-06 6.849181613646794e-07 -1.1962571025525347e-06 -2.709660644132578e-06 -1.9334695189837245e-06 -7.198386606731737e-06 8.281747574405439e-09 -3.240927991916268e-09 -2.316172866121026e-08 9.452609420902042e-09
age3 2.8541760317469667e-08 -6.78462095742496e-11 9.259238733239739e-09 -2.931310050643189e-10 2.7112235363136637e-12 1.2751326647527413e-09 -1.1619188075910115e-08 -1.6337337297657645e-08 6.999379114163884e-09 -1.49620128299631e-08 -8.352639663898577e-09 -9.497834155195377e-10 8.371038260710656e-09 3.1035048974240794e-08 -1.3469603359996209e-08 9.730578313429046e-09 3.331938578269487e-08 1.125299191731758e-08 9.132505107159686e-09 -8.052732933990177e-09 -1.0032111583886906e-08 1.3499349154481106e-08 2.7609145123538378e-08 2.3488151265926987e-08 5.6128841682700044e-08 -7.203781549954296e-11 8.803519815648021e-11 1.767890281116472e-10 -1.7037497929270043e-10
PC_3 -0.0001915371769188451 5.367875710842635e-06 -3.354148089075007e-06 -6.272138837022329e-08 1.275132664754401e-09 0.1461870183408765 -0.005246623986312927 -0.0015472248102705419 0.007901350296845175 -0.0017914672492785036 0.01551551248343799 0.015408892352424673 -0.029705946067832847 -0.01607915486502839 -0.010164840179120593 0.02719175683596095 0.012927844428733114 0.03667523025363067 -0.0157069319037063 -0.06055767973493156 -0.016922058440694252 -0.01457053926760433 0.023096871538254793 -0.019188403857921033 0.04585716430825162 -0.00010207373583629985 5.642456004324154e-05 -7.736882341279465e-05 -0.0002014699619630355
PC_4 0.00011846431768496435 0.00012363750189239733 3.996680627554072e-05 1.8456801438331874e-06 -1.1619188075896316e-08 -0.0052466239863129096 0.506387251806683 -0.01876709319427905 0.05392331736979658 -0.023889806268445817 -0.015095862934591671 -0.005863891310148323 0.006454809544738464 -0.023833697685534914 0.0205039658329552 0.04283623072065083 -0.055960177380929225 -0.03156298464473507 0.036757913085141786 0.046904425092248764 -0.029772350898121944 0.017928931392147986 -0.02630785941307088 0.006329256411464271 0.05043816900862868 -3.6501711065216306e-05 -6.676357464345437e-05 -0.00019336112785262735 0.00017078947938330293
PC_5 -0.000274081626900325 2.184460830258549e-05 -3.007033423573596e-05 1.6559465926856839e-06 -1.6337337297655488e-08 -0.0015472248102705569 -0.01876709319427898 0.6321593515006914 0.004682013769988332 -0.0031195696231490428 -0.007713961645548982 0.012777098732839318 -0.03422927787213579 -0.028644595851821657 -0.05369036876262908 -0.015724267440891605 0.004175365515135086 -0.03177625048728392 0.02007034723678242 -0.07593107349965622 0.0008045259758918668 0.004798123442094334 -0.01536964132713873 -0.015493065018981431 0.05552480438716428 -9.196020558235005e-06 7.64658069927212e-05 -0.0002481462081370375 9.197269701951155e-05
PC_6 0.00013164256011123445 -7.894866504896976e-05 -2.6973596918169503e-05 -9.958653429245281e-07 6.999379114153809e-09 0.007901350296845142 0.053923317369796636 0.004682013769988384 0.8335873328020089 0.013690436189601024 0.05406770703989951 0.003187767847053602 0.002428532824358432 0.02721366826228132 -0.04519751296966158 -0.01117873591798928 0.04350506014558084 -0.10976627329740908 0.04128926910818655 0.0889695344611147 -0.013781664417963795 -0.006921635094109015 -0.04322817911103873 0.013660928232653576 -0.05819854478488386 -4.882829608730549e-05 2.7250205067731525e-05 -6.773167073094261e-05 -1.1056771120444444e-05
PC_7 0.0005912490212214515 8.782268688493414e-06 2.4055657776661938e-05 1.2620983198370086e-06 -1.4962012829970563e-08 -0.0017914672492785398 -0.023889806268445724 -0.0031195696231489894 0.01369043618960099 1.0635452290422707 0.014200260251697122 0.05138780942349902 -0.05668979383692287 0.08121016457766807 0.03230174300013653 0.05569658747040079 0.041206745714897776 -0.11853676441019322 -0.059099383561789 0.08439889143801944 0.010951707642179518 -0.009279037417227878 -0.05158184063988681 0.02809886198895518 -0.07529620340947163 5.261689451311865e-06 0.00023106984198874284 -0.00029798930850424827 -0.00017435803579915872
PC_8 -0.0007953976623081963 -5.757554043366244e-05 -8.341995493055556e-05 6.760939107194487e-07 -8.352639663903497e-09 0.015515512483438054 -0.015095862934591614 -0.007713961645548947 0.05406770703989942 0.01420026025169711 1.180772318477235 0.0766599621766986 0.019489354670893633 0.026316503000265352 0.012188023648648369 -0.016153851133569538 0.05522365427162394 0.0871577559579017 -0.07330349000152112 0.04693681720646591 0.08998323172025052 0.03538155611868169 -0.003128726832525142 0.015985321180869927 -0.04594613463167788 -6.0099198309775456e-05 -0.0002647432309908895 0.0003123960826131004 0.00017439863333856294
PC_9 0.00019097773525587972 -4.157503220068395e-06 -1.347917199175155e-05 1.667966215993574e-07 -9.497834155201626e-10 0.015408892352424826 -0.005863891310148203 0.012777098732839498 0.0031877678470537117 0.05138780942349938 0.07665996217669825 1.5265295233977019 0.10624034136649857 -0.006763493126599153 -0.10475552768538544 0.09295712510389002 -0.003928599796917561 -0.018597273191277325 -0.0721837072392597 -0.024802917709596767 -0.0821903878276737 -0.043796219550325546 -0.018025823002797182 -0.08157606318934632 0.09522781144811046 -4.0712983058772284e-05 7.683347039802595e-05 3.049657462804115e-05 6.683930413956193e-06
PC_10 9.083026903191373e-05 -4.03195880118178e-05 -5.159174495901393e-05 -3.8384215128174846e-07 8.371038260707826e-09 -0.029705946067832906 0.006454809544738482 -0.03422927787213576 0.0024285328243584094 -0.05668979383692281 0.019489354670893598 0.10624034136649806 1.9003613129819195 0.14854577704555372 -0.08040405238718383 -0.027467933796029336 -0.031020369364761862 0.0020938061770772037 0.037717305192044866 0.011535520255544957 0.12357369033388786 0.07211394021410374 0.0005791316312292978 -0.026072189106892782 -0.07514797503669034 3.90404881481388e-05 6.812479372660204e-05 -0.00017286350868553222 0.00020472676197678762
PC_11 0.0001572375876433236 6.0103547652644375e-05 0.00014166849835080467 -3.168824989389067e-06 3.1035048974248655e-08 -0.016079154865028412 -0.02383369768553507 -0.02864459585182172 0.027213668262281436 0.0812101645776681 0.026316503000265445 -0.006763493126599047 0.14854577704555372 1.6941451913042187 0.029376722407785164 0.08862279537090376 0.0426655440934925 0.061609111959432764 -0.013184308965802236 0.047668476820713464 -0.15244552755944585 -0.06420648049661869 0.02667628358801604 -0.07202129438707724 0.16403563590929163 5.463355502072218e-05 -6.028372480272517e-05 8.746913523928531e-06 4.879264121493421e-06
PC_12 -0.0005464000839649481 7.444168976236251e-06 -7.350692154725514e-05 1.7930664534163629e-06 -1.3469603359990971e-08 -0.010164840179120562 0.020503965832955245 -0.05369036876262925 -0.045197512969661575 0.03230174300013663 0.012188023648648327 -0.10475552768538562 -0.08040405238718386 0.02937672240778533 1.9912993343202658 0.06621342161982757 0.04446183854098878 -0.0480193760045462 0.06224606755646667 0.0641983140930046 0.093942418699099 0.028482198220328773 0.0345404654114306 0.05892272435271432 0.010180794316675075 -9.595051676462083e-05 0.0003393598060107456 2.244443725369812e-05 -0.0007549167114950797
PC_13 0.0007153050883129733 -6.9876616625072e-05 1.3332592039562281e-05 -1.293530006260254e-06 9.730578313416215e-09 0.02719175683596087 0.04283623072065086 -0.01572426744089156 -0.011178735917989313 0.0556965874704009 -0.01615385113356949 0.09295712510388997 -0.02746793379602931 0.08862279537090366 0.06621342161982777 1.9627112836573593 0.14847249584598166 -0.08652743375845892 -0.043584040203773176 0.11376914820136598 0.12901594547470585 0.03468875874394769 -0.10088925376612856 -0.025319175049739226 -0.0967140665944847 8.08441332224838e-06 -0.00011292866309391814 4.1647524503755217e-05 0.0003109344867478182
PC_14 0.00020360977030186602 5.269336422315458e-05 9.539819864139409e-05 -2.8758672102649508e-06 3.331938578270746e-08 0.012927844428733012 -0.055960177380929337 0.004175365515134983 0.04350506014558099 0.041206745714897595 0.055223654271624414 -0.003928599796917533 -0.03102036936476206 0.04266554409349273 0.04446183854098789 0.1484724958459822 1.9851478691598674 0.06757954631407048 -0.04724581086666713 0.04403131946580121 0.00574923413558141 -0.03288627526645964 -0.015802373331377156 -0.13444886516740612 0.11857470298972281 9.08218555081208e-05 -2.093800986948722e-05 0.0004422666442156969 -0.00017159622292252526
PC_15 -0.00022401554593004243 -4.205152294526084e-05 8.674785043710862e-05 -2.2531062017571535e-06 1.1252991917301812e-08 0.03667523025363094 -0.03156298464473533 -0.03177625048728399 -0.10976627329740918 -0.11853676441019308 0.08715775595790178 -0.01859727319127786 0.002093806177076983 0.061609111959432354 -0.04801937600454471 -0.08652743375845913 0.06757954631407115 2.2866163273792437 -0.05659648636217563 0.03760794239243675 0.04253360708673395 -0.02993308144037915 0.04143724610681159 0.011379761673390679 -0.09310189569046126 3.583987738535827e-05 0.00024324469184139425 -6.143335183927105e-05 -0.0006305848076830012
PC_16 -9.140956862348714e-05 -1.3324111386282564e-05 1.1687653439230058e-05 -9.584371252831173e-07 9.132505107160362e-09 -0.015706931903706315 0.03675791308514174 0.020070347236782395 0.0412892691081866 -0.05909938356178899 -0.07330349000152102 -0.07218370723925953 0.0377173051920449 -0.01318430896580225 0.062246067556466896 -0.04358404020377309 -0.04724581086666731 -0.05659648636217601 2.4435989019684676 0.017001966640865732 -0.029783698048363463 0.056542637151607573 0.05924686555629239 0.04723818144487049 -0.015606733671517492 -0.00010736366394169329 4.1899738070113944e-05 0.0002053412835165066 -0.00036961548076575826
PC_17 -0.000411825724089584 8.075340582924672e-05 9.84142338497123e-06 1.1562424734689882e-06 -8.052732933979648e-09 -0.06055767973493152 0.04690442509224874 -0.07593107349965655 0.08896953446111468 0.0843988914380192 0.04693681720646603 -0.02480291770959596 0.01153552025554455 0.04766847682071367 0.06419831409300437 0.11376914820136606 0.0440313194658016 0.03760794239243602 0.017001966640865455 2.6647183933794767 -0.023606922236585247 -0.0022960332308900053 -0.09496609554534999 -0.08488265845603982 -0.0885465122875605 1.409435426036173e-05 -0.00043031693291069854 0.0007279324395406911 -0.00019670227719451283
PC_18 -0.0007005142311975036 3.6558793904272914e-05 1.3799799596043892e-05 6.849181613643667e-07 -1.0032111583883912e-08 -0.016922058440694186 -0.029772350898122413 0.000804525975891609 -0.013781664417963973 0.01095170764217964 0.08998323172025059 -0.08219038782767381 0.12357369033388783 -0.15244552755944604 0.09394241869909876 0.12901594547470568 0.00574923413558155 0.04253360708673553 -0.029783698048363474 -0.02360692223658466 2.4417484765904867 0.162248485083841 -0.05134719962332717 -0.12339904462344681 0.06385821302981165 -7.764546706724543e-05 -2.6293026193503845e-05 0.00030746469520258595 5.203951727309327e-05
PC_19 -4.087436932615106e-06 -2.0527707319733036e-05 -4.23081771401589e-07 -1.1962571025528266e-06 1.3499349154483549e-08 -0.014570539267604338 0.017928931392147903 0.004798123442094309 -0.006921635094108977 -0.009279037417227841 0.03538155611868173 -0.043796219550325234 0.07211394021410379 -0.06420648049661874 0.0284821982203288 0.03468875874394769 -0.03288627526645995 -0.029933081440378914 0.05654263715160761 -0.0022960332308901025 0.16224848508384124 2.370555048633201 -0.008367068223052212 0.05174193503070376 0.13859440439180215 8.578248725756257e-05 -1.3140802796580031e-05 0.00016197833834900478 3.7506235721843435e-05
