 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.0005316270592673719 -1.9012034836373268e-06 7.555651677812965e-05 -2.486285696454978e-05 -1.2930250004417482e-06 -2.765460848518738e-06 2.9027680128209442e-08 1.496377706658712e-07 -2.2809902984398258e-09 -0.0002149166290063049 0.0002220082855171042 -0.0003551533459204444 -7.126096494484625e-05 0.0004136159389416252 -0.0007615037767427928 -0.000167386879630079 -8.327616701016665e-06 6.590965073861701e-05 -0.00023712168170924314 0.0001090457251297156 -0.0001983139708950257 -3.947102511640488e-05 -6.14652262666459e-05 -0.00014959652937729487 -0.0005298280732863568 -7.110444576202032e-05 -0.0008014194652053452 -6.348454184845565e-05 0.0011200618299775102 9.785785650085973e-07 5.768826742909453e-06 -6.025327782171876e-06 -7.1774914147244816e-06
yob -1.9012034836385374e-06 6.682460538759277e-07 1.582951272803693e-08 1.6089870115994365e-06 -3.267312532675699e-07 1.22796899999733e-08 -9.34555587718064e-11 8.556857665016733e-09 -6.023060967125428e-11 -7.59923643911996e-07 0.00011017167601086638 2.3400208830272634e-05 -6.236651426681027e-05 1.4893006710333899e-05 -5.4969467108708994e-05 -7.375072344852564e-06 -2.5387701386930265e-05 5.5129473051634926e-05 2.4881502812024987e-07 -5.648531871080202e-05 4.120462709751512e-05 -3.5060741281877284e-05 -1.742752909990128e-05 6.019811232826032e-05 4.02150975390343e-05 -9.548660248795623e-06 -1.25386899553426e-06 4.17273333107569e-05 -0.0001075016020483541 -9.535507643428521e-08 9.021836240035492e-08 -4.449559666802309e-08 -2.1683411683165656e-07
age 7.555651677787113e-05 1.5829512728049892e-08 7.881290427050847e-05 0.0007143714808905349 -7.785343207469686e-05 -2.3473256038011413e-06 2.060131909016084e-08 2.3223671739333073e-06 -2.039771268919134e-08 -3.041109134574319e-05 -3.520716946387658e-05 -0.00015675454778400302 -2.0970430083718535e-05 -5.593341913630858e-05 6.249952627658961e-05 -8.233139627438955e-05 3.6543830397853655e-05 -7.46684504550966e-05 3.938956313519847e-05 3.1291377539579336e-06 -0.00013897401109371767 7.55644746703992e-05 -1.2051776605372992e-05 -8.69924970914015e-05 8.503633719027771e-05 -0.00010971949056063641 -9.862526270319657e-05 0.00011699256139273412 0.00015495290088769255 3.0023165662227954e-07 1.1451512755223614e-06 -2.14979257239051e-06 1.6550075119089074e-08
sex -2.4862856968896975e-05 1.60898701159865e-06 0.0007143714808890429 0.01373312723450626 -0.0013208720210542862 -2.0090503187159558e-05 1.6993430071682185e-07 3.6879701854693284e-05 -3.1123176222890626e-07 -0.00023515066180964677 -0.0007552116214509147 -0.0007875190036656417 -4.034420547808695e-05 -0.0008099364234624776 0.00047474215044190075 -0.00021027080467359 0.000736789709978643 -0.0018421691587304004 -8.34456831258714e-05 -0.0004516026254494481 -0.0024312131662042116 -0.0015736523693171446 -0.0007165578962605077 -0.0018788674545207882 0.0011154196974823272 -0.0015660436213342777 -0.0006332969017802772 0.0010151914774165025 -0.0005131848650737781 2.1607180280945285e-06 2.366297699759342e-05 -1.8683894623377644e-05 -2.229170271870088e-05
age_sex -1.2930249999521981e-06 -3.267312532676839e-07 -7.785343207453441e-05 -0.0013208720210543376 0.00013998601299244884 2.317061222059424e-06 -2.0360547174458917e-08 -4.138623397231046e-06 3.628053185041876e-08 1.5017885276756274e-05 6.906733626346294e-05 8.396317285847928e-05 3.243065060631993e-05 7.938480561557258e-05 -4.72281628060651e-05 2.8983997194648392e-05 -4.462075330460897e-05 0.00022280385031623804 -1.1632287872897694e-05 5.479283304309434e-05 0.00023489803087662243 0.0001461462458503071 9.052469156444766e-05 0.00020706483980856025 -6.14343853313773e-05 0.00015629904281290626 0.00011209517782018747 -0.000122001701316053 7.594093361131019e-05 -3.3152746294514743e-07 -2.162487768018783e-06 1.8895671367222655e-06 1.984701256486108e-06
age2 -2.7654608485101987e-06 1.2279689999962999e-08 -2.3473256038012455e-06 -2.0090503187206806e-05 2.317061222064562e-06 7.319167818805621e-08 -6.627257358681889e-10 -7.212605083384233e-08 6.541253643120517e-10 6.368375435822379e-07 3.2121226789359625e-06 4.945303171975812e-06 -2.615895083262929e-07 3.80959878755899e-06 -3.241437179316294e-06 2.4153824734598733e-06 -1.8132584233755326e-06 2.977004254138106e-06 -1.8912020524396474e-06 -3.140013821679282e-07 4.1474219091763345e-06 -2.6611850946792463e-06 -1.3356591166116384e-07 3.7693474418614123e-06 -6.525531191093718e-07 3.1460905729994056e-06 2.4840338288287956e-06 -4.432959028262945e-06 -5.2194990636952585e-06 -9.185317318809822e-09 -4.0557791979271414e-08 5.539635171013895e-08 1.8419061463607986e-08
age3 2.9027680128133894e-08 -9.345555877195177e-11 2.060131909016245e-08 1.6993430071725767e-07 -2.0360547174506327e-08 -6.627257358682148e-10 6.16033349562247e-12 6.54108126187952e-10 -6.089026443696178e-12 -5.5609569150228205e-09 -2.0500352167926483e-08 -4.192651638733984e-08 -3.2834559072600138e-09 -3.839906661909963e-08 2.2136782168402185e-08 -2.534128423864818e-08 1.5113427721851845e-08 -1.990486485504738e-08 2.1154948565230313e-08 -4.335086259374149e-09 -3.342799877537483e-08 1.98673830379995e-08 -1.7192622165484606e-09 -2.997705922414959e-08 -7.703161059088282e-10 -2.936181277676941e-08 -2.6069359880059045e-08 4.89591083979373e-08 3.7093472967977174e-08 6.619260137591576e-11 4.054155974457317e-10 -4.4765860879209213e-10 -2.7977224996516355e-10
age2_sex 1.4963777065107893e-07 8.556857664981993e-09 2.322367173928348e-06 3.687970185469549e-05 -4.138623397231091e-06 -7.212605083368608e-08 6.541081261865087e-10 1.2757776980750935e-07 -1.1538919854498488e-09 -4.408427834850472e-07 -1.570591990357174e-06 -2.2588514749085877e-06 -1.4515982505759665e-06 -2.5216087115689203e-06 1.1997247436214666e-06 -1.0184471117974535e-06 5.149479691902262e-07 -6.565361609937807e-06 9.054169117696383e-07 -1.4074092822675837e-06 -6.932672359916321e-06 -3.7100173242318336e-06 -3.36598266128431e-06 -6.229450763579313e-06 1.0742351948692601e-06 -5.250703805524632e-06 -4.238522600680558e-06 3.995752083387117e-06 -2.5627442043942924e-06 8.681200890434667e-09 6.053902007947136e-08 -5.338452040688877e-08 -5.600951166989101e-08
age3_sex -2.2809902983072904e-09 -6.023060967089533e-11 -2.0397712689146776e-08 -3.1123176222892696e-07 3.6280531850419165e-08 6.54125364310647e-10 -6.089026443683193e-12 -1.153891985449848e-09 1.070944889725312e-11 4.710532376838183e-09 1.1728795515160491e-08 1.7996295182654654e-08 1.539377202357901e-08 2.296788382452365e-08 -7.506037654347603e-09 1.3219536365133237e-08 8.851335458488252e-10 5.588070013580598e-08 -1.2248797241704032e-08 1.3385490996057983e-08 6.459229553999418e-08 2.835467410142666e-08 3.596743401445968e-08 5.375396931187464e-08 -6.477063259739842e-09 5.026371005518481e-08 4.596876966701219e-08 -3.682055394391687e-08 2.3967239352497892e-08 -6.024750977450459e-11 -5.127716923761885e-10 4.375739591132332e-10 4.737116944633743e-10
PC_3 -0.0002149166290062382 -7.59923643912375e-07 -3.041109134576291e-05 -0.00023515066181030894 1.5017885276829212e-05 6.368375435828293e-07 -5.5609569150279225e-09 -4.408427834872905e-07 4.710532376858391e-09 0.1431588068842767 -0.0063160873845528485 0.0004305877589645636 0.011736530677104218 -0.0022776706283428316 0.016251434667639578 0.015502545516589004 -0.027609949509464847 -0.013550887497862528 -0.010297055744687924 0.02927234495318399 0.010349350407892317 0.028467126768809744 -0.014163353880150975 -0.06359967980345094 -0.016423411553896185 -0.014579400570395511 0.019705536469876227 -0.016780935508466942 0.04256084495453563 -9.005421198090364e-05 0.00010714289207137482 -0.00014740509869230758 -0.0002451187463288895
