 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 0.003191884642762026 3.5830539294532805e-06 -0.004720578937183146 -0.0875525839681034 0.0037932626265411796 6.851244663404214e-05 -3.273729350832923e-07 -5.4182764811829384e-05 2.5522126890903457e-07 -0.00016927873691853718 0.00029793708785296846 0.00020654458137125593 -0.0004346687956630778 0.00025909502050686155 -0.0003743553506905727 0.0002423731130821575 -0.00036878074156340175 0.0002918919572856647 -0.00048618351948685485 -0.00037288137501974674 0.0004788126755283614 -0.0005239816000782097 -0.0003320384264918145 -1.1557729272535089e-05 0.00047653803775504273 0.00012569949560792295 -8.545226782410508e-05 3.9412226509424906e-05 -0.0003924927701036035 -2.31345628917868e-06
yob 3.583053929504242e-06 1.9077621932236876e-07 -5.1162581651466835e-06 -0.00014539206110556187 5.984032958344022e-06 7.052593891013667e-08 -3.1282806478871383e-10 -8.167125882751666e-08 3.69578886465868e-10 6.14380119612261e-06 9.955997377968137e-06 -1.4650085703444482e-06 -1.9773828267074432e-05 -8.928634854208723e-06 -6.796540373252178e-08 3.212883570491297e-06 -4.032767704555714e-06 1.0057962537834998e-05 -5.171320406400841e-06 -1.341556324099205e-05 1.7396181393731145e-05 -1.3287245263487042e-05 -3.3095072900820955e-06 1.7158755724278916e-05 6.8514530406597195e-06 3.6224146695743323e-07 -5.6782969169340365e-06 8.373198138115897e-06 -2.4917898694435095e-05 -4.519758715512618e-08
age -0.004720578937183271 -5.116258165136673e-06 0.009030199655578055 0.20305351659969778 -0.009027086092188368 -0.000132280054822742 6.379132931954407e-07 0.0001321794249753308 -6.374902391029412e-07 0.0001321668483269766 -0.00047617916446659065 -0.00030736034173497204 0.0004642767226237825 -1.4069488570265693e-05 0.0002966968807302685 -0.0001877922803002438 0.0003138654214967767 -0.00031115895503608116 0.0005147543612874881 0.0005564847253508675 -0.0008811127464934826 0.0006088558856766386 0.0003831212260160595 -5.419281945704948e-05 -0.0010887863023394842 -5.635928987868481e-06 -0.00013246046221240788 -0.000347012322022878 0.0006647180442875936 3.968865697786656e-06
sex -0.08755258396835869 -0.00014539206110525293 0.2030535166002391 5.219228412657736 -0.2333995508679482 -0.0029646469748040526 1.4249615719145342e-05 0.003436039640610672 -1.6652408792558888e-05 -0.0003074585660026315 -0.016115408551666044 -0.010734233626502367 0.011397620150188439 0.007349920593458571 0.0038567680248795594 -0.002325140752941727 0.0045171154095744286 -0.006036964135193705 0.0092440379650865 0.013785853886909385 -0.022419825958204746 0.01586307100202139 0.00546943407227146 -0.00785793250828742 -0.030696809006740797 0.0039634152164313005 -0.003777278741466455 -0.015807091719778153 0.01892340061436268 9.345589872101503e-05
age_sex 0.003793262626550247 5.984032958328938e-06 -0.009027086092207957 -0.2333995508678437 0.010477562648544799 0.000132186864786994 -6.372254774880511e-07 -0.00015483243340982556 7.531530303725018e-07 2.4909748127800037e-05 0.0006648523396871562 0.0004385516180054484 -0.00045337508486141857 -0.0003134748369021419 -0.00015463097566834912 8.546342493385547e-05 -0.00017836271259256243 0.00021175024821699532 -0.00038062896099264694 -0.0005635236794723895 0.000932362486362495 -0.0006407962453295053 -0.00022392579435710742 0.00029979096496430174 0.0013236341826554118 -0.00019685441530758834 0.0001954251817198804 0.0006733941686297168 -0.0007581279785464409 -4.0410071053170925e-06
age2 6.85124466339803e-05 7.052593891003006e-08 -0.000132280054822642 -0.0029646469747938117 0.00013218686478660402 1.943500860129887e-06 -9.400564309030831e-09 -1.9412991196444564e-06 9.390440665773094e-09 -1.7194881385676082e-06 6.255391527429377e-06 3.7350412907829616e-06 -6.339415078836583e-06 5.56694498148932e-07 -4.240217439594569e-06 2.573249657779696e-06 -4.50686694104299e-06 4.21219520806639e-06 -7.572242138871275e-06 -7.780049028893972e-06 1.2438972924768716e-05 -8.265069717048039e-06 -5.379669195361859e-06 1.0155532005670622e-07 1.5478050988198323e-05 1.6957714587186568e-07 2.2093868673464258e-06 4.320661407819904e-06 -8.975685127124018e-06 -5.67449392128586e-08
age3 -3.273729350827815e-07 -3.128280647859412e-10 6.379132931944647e-07 1.4249615719084581e-05 -6.372254774856642e-07 -9.400564309023557e-09 4.56094000479693e-11 9.386356961373276e-09 -4.554111866962778e-11 7.148549117910608e-09 -2.6558361778078392e-08 -1.4806621876880934e-08 2.730691933055425e-08 -4.292149428923273e-09 1.9724430450913887e-08 -1.1218988317190185e-08 2.130596967950816e-08 -1.8689604071047416e-08 3.650152422421269e-08 3.5551726086425496e-08 -5.7314633643374826e-08 3.6435396793565305e-08 2.424823079277443e-08 3.2408799234514406e-09 -7.27221153196779e-08 -1.4462722248023275e-09 -1.2349022734922463e-08 -1.6918991273446337e-08 3.966688406549333e-08 2.6667064069096447e-10
age2_sex -5.41827648119302e-05 -8.167125882676428e-08 0.00013217942497554942 0.003436039640607557 -0.00015483243340975506 -1.9412991196491638e-06 9.386356961403402e-09 2.2967383224081588e-06 -1.121409228602954e-08 -5.242444517625795e-07 -9.061861785169935e-06 -5.949208462106861e-06 5.934218602033708e-06 4.393905643628514e-06 2.0778421980055665e-06 -9.689255565459868e-07 2.308916211020141e-06 -2.3528038178142883e-06 5.229861248121217e-06 7.669444105704491e-06 -1.278913776005659e-05 8.533381951280211e-06 2.954955456651537e-06 -3.746146700933035e-06 -1.8788565344092474e-05 3.148877741381112e-06 -3.2595198033744803e-06 -9.47056814250616e-06 1.0017271368548491e-05 5.747068313577761e-08
age3_sex 2.5522126890932457e-07 3.6957888646029765e-10 -6.374902391036586e-07 -1.665240879253597e-05 7.531530303718112e-07 9.39044066579087e-09 -4.554111866974935e-11 -1.1214092286024403e-08 5.496143800150653e-11 3.4049667315432826e-09 4.0854338288548416e-08 2.6890277376052936e-08 -2.5545448433873697e-08 -2.0217096709209403e-08 -9.39831165152622e-09 3.3431813673418416e-09 -9.817188755117441e-09 8.114214036027024e-09 -2.4035331837870843e-08 -3.471508095576709e-08 5.7816925970297027e-08 -3.745074676076068e-08 -1.2622157243524379e-08 1.5207881772679543e-08 8.782391073275336e-08 -1.6322159671677953e-08 1.7584208405746378e-08 4.3710755309816354e-08 -4.3678197612187056e-08 -2.6975318358918726e-10
PC_3 -0.0001692787369205605 6.143801196121146e-06 0.00013216684833144407 -0.0003074585658987295 2.4909748123085154e-05 -1.7194881386342627e-06 7.1485491182380125e-09 -5.242444516921359e-07 3.4049667311967874e-09 0.04074599520922761 0.000807033307940577 0.0012716631171133751 -0.00367598477844326 -0.00788449184850038 0.00420662556970971 0.003428998788391101 -0.007584500852992682 -0.0008169866861048672 -0.0009894641086826354 0.0009650601899694911 0.009061691592803314 0.004538738471793844 -0.0031765613831536963 -0.01468442021424855 0.0027952478356562944 -0.0017543714158152273 0.004662010834739645 -0.0017707440343162392 0.006347386350026868 -5.0782725687967525e-05
