(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.0393083347729966 0.0346428543724377 0.0107548873331478 -0.0332897867892189 -8.36541556598034e-05 0.000345688484175989 -7.16034436809589e-06 -0.000366358625756774 0.00105171911213805 -0.00029203152642499
covarage 0.0346428543724377 0.0451860769929315 0.0293684463036419 -0.0729352794866323 -0.000262071803093075 0.000224373495858823 0.000362554034864573 -0.000274866405248316 0.00113914992967482 -0.000733083180222554
covarsex 0.0107548873331478 0.0293684463036419 0.0354028663624359 -0.0737874346470834 -0.000219314324943349 4.07530588792368e-05 0.00019711743521886 -0.00052031996794678 0.00131746575485821 -0.00067534728976402
covarage_sex -0.0332897867892189 -0.0729352794866323 -0.0737874346470834 0.170419174318953 0.000486583714849195 0.000204443709686034 -0.000575581866868623 0.000999111037633555 -0.00280551523356922 0.00149989338491616
covarPC_3 -8.36541556598034e-05 -0.000262071803093075 -0.000219314324943349 0.000486583714849195 0.00357901261047873 -0.000118889971136057 -2.56613059950312e-05 4.40081899451334e-05 -0.000187966634928237 -0.000337762706089083
covarPC_4 0.000345688484175989 0.000224373495858823 4.07530588792368e-05 0.000204443709686034 -0.000118889971136057 0.00345511222449067 -1.22363184950404e-05 3.46289383099353e-05 8.79921820524446e-06 -5.80965182426305e-05
proband -7.16034436809589e-06 0.000362554034864573 0.00019711743521886 -0.000575581866868623 -2.56613059950312e-05 -1.22363184950404e-05 0.00397012078775251 -0.001800970726918 7.73623109171286e-05 -0.000254322406366756
paternal -0.000366358625756774 -0.000274866405248316 -0.00052031996794678 0.000999111037633555 4.40081899451334e-05 3.46289383099353e-05 -0.001800970726918 0.0186131200045818 -0.0146854093988977 -0.0146468843287379
gpp 0.00105171911213805 0.00113914992967482 0.00131746575485821 -0.00280551523356922 -0.000187966634928237 8.79921820524446e-06 7.73623109171286e-05 -0.0146854093988977 0.0378922507276711 -0.00914723428962985
gmp -0.00029203152642499 -0.000733083180222554 -0.00067534728976402 0.00149989338491616 -0.000337762706089083 -5.80965182426305e-05 -0.000254322406366756 -0.0146468843287379 -0.00914723428962985 0.0388019549193932
