 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.0009739758309136439 -2.5053868930008678e-06 0.00023571974477823055 -0.00027259470625666814 1.1925382929698831e-05 -7.271077700346017e-06 6.877519382398043e-08 -3.1457867442137696e-08 -1.928190861595929e-09 -0.0005488049956132423 8.342451709101499e-05 -0.000363683190252326 0.0004076000897277824 0.0005681508308731998 -0.0003182436293371408 -0.00028394265550943924 -6.377848724172598e-05 -0.0004911386513963532 -0.0009793704041941935 -0.00019638932764394246 -0.0005158943096429039 -0.00039407855328750985 0.00020042102779300758 -0.000354161486892591 -0.0002930081777488041 -3.253442274000426e-05 -0.0007854566746333565 0.000397615766932954 0.0009939258946711352 3.441331755057967e-06 -4.442763639288628e-06 1.1352135327531772e-05 -1.157263386663659e-06
yob -2.505386893000075e-06 7.040788839548641e-07 2.556296422785004e-08 -2.6573203570032276e-06 -2.1202232930156064e-08 1.2640096486039225e-08 -1.0008563830871744e-10 1.3520931505523587e-09 -5.1432149618090904e-12 6.668530886005161e-06 9.437324100734727e-05 2.6776312972000203e-05 -6.93536541581921e-05 1.9638749001568606e-05 -5.266010753795565e-05 -6.8925819946223714e-06 -3.215044537997182e-05 6.050693298911333e-05 2.039494487877759e-06 -5.51252602533068e-05 4.525555775073736e-05 -6.316636977400021e-05 -1.3255460645397365e-05 6.807350296285723e-05 4.3452841309059416e-05 5.455484103345713e-06 -1.2910985739519141e-05 3.487717399913638e-05 -9.076585050484231e-05 -4.115491998254475e-08 2.2600453642160912e-07 -5.467318106595281e-07 -5.110221794292364e-08
age 0.00023571974477723217 2.556296422267361e-08 0.0003567132755142294 0.004175441010288195 -0.00035485626050249416 -9.297141379218292e-06 7.55692599810605e-08 9.249458257457035e-06 -7.5181413993607e-08 -3.1541802490749276e-05 -6.34982836442979e-05 -0.0003176378306685999 4.3465556481227145e-05 -2.290121589205189e-05 0.0001433019625461634 -0.00010250557924063122 -1.457574507207253e-05 -2.3042224972208367e-05 8.889357591753296e-06 -0.0002969837020568606 -0.0001652261244955028 2.7479270811265376e-05 -0.0001421931459837328 -0.00015987353329549473 8.680524643814549e-05 0.0002392400391095238 -0.0004501944900307077 -0.0003404894931604375 0.00042724123734320956 2.8011138332201547e-06 1.1325508316163437e-06 8.407394307857312e-06 -1.1159458316879119e-05
sex -0.0002725947062829399 -2.657320356936095e-06 0.0041754410102705555 0.09903919648318012 -0.00805488139311871 -0.0001057488234300347 8.395879538421565e-07 0.0002033949551948077 -1.6146449473141606e-06 0.00027990572430455334 -8.820617427025021e-05 -0.004258630779231605 0.003369031145344918 -0.002660567347022298 0.001022131169560924 -0.001645537702834072 0.0005589700581863301 -0.00041553103946420937 0.00304102573661727 -0.00637383771289721 -3.720985887617346e-05 -0.0009246903685604677 -0.002664217103852854 -0.007786661982945631 -0.0018913500940448183 0.0033691602126887502 0.0006428472682805638 -0.004494899519908968 0.002486859293181043 1.3151635472314217e-05 7.131175841234538e-06 6.356286180253762e-05 -0.00010976248075937178
age_sex 1.1925382932085325e-05 -2.1202232938461268e-08 -0.0003548562605008642 -0.00805488139311701 0.000676395499916077 9.249475330417414e-06 -7.517954372814528e-08 -1.7523862416284387e-05 1.4204290964210144e-07 -2.9928576644224746e-05 1.8371354419411277e-05 0.0003352847831952251 -0.00025916598198228135 0.0002342395167189352 -9.05167224624263e-05 0.00014743776308448616 -1.5209849385699341e-05 6.181871214946594e-05 -0.00022930967511508774 0.0005401899150981399 -5.7553259322172245e-05 7.872690371511234e-05 0.00026789204268775306 0.0006790480285461769 0.00022103142932377207 -0.00011588244090023677 -3.8755702805362854e-05 0.00037646348104249274 -0.00020874264000087027 -1.584685232559619e-06 -1.500638844505352e-06 -4.857772906633738e-06 9.896122155099072e-06
age2 -7.271077700313548e-06 1.2640096485914527e-08 -9.297141379215687e-06 -0.00010574882343046252 9.249475330457143e-06 2.4893148937371654e-07 -2.0685255422122665e-09 -2.4738120320099256e-07 2.0556972483314967e-09 9.968642137959855e-07 4.063461030673196e-06 8.5298996664537e-06 -3.1716083360738198e-06 2.3455183918188684e-06 -4.9468144597358055e-06 3.1060119732760304e-06 -3.0487290055713305e-07 2.873881847963261e-06 3.665831840059141e-08 6.914560424799589e-06 4.2052122888794486e-06 -1.7694601863948285e-06 2.825837051327985e-06 6.14740342310507e-06 5.503665113234761e-07 -3.686774560971002e-06 1.0101513956006716e-05 7.734414206472897e-06 -1.1709858298565954e-05 -8.178789662332269e-08 -2.025615197393631e-08 -2.176186828391153e-07 2.709155508482049e-07
age3 6.877519382369549e-08 -1.0008563830761701e-10 7.556925998101981e-08 8.395879538453931e-07 -7.51795437284477e-08 -2.0685255422117656e-09 1.7535326423954005e-11 2.055527702877515e-09 -1.7424811287143715e-11 -1.0311895624105717e-08 -2.9709574497930855e-08 -6.831037037792172e-08 3.196052526772331e-08 -2.5391272459864146e-08 3.744993176040017e-08 -3.03772435920331e-08 3.4842867468561834e-09 -3.1301912261707673e-08 -7.575534221402807e-09 -6.26393884940324e-08 -2.717428798716762e-08 1.0364626041705504e-08 -2.1082736661655885e-08 -5.069882710514161e-08 -2.167410666876298e-08 9.272299861239698e-09 -7.615597239738085e-08 -4.9525425778837446e-08 8.244342386328148e-08 7.129333077123017e-10 1.0700602674813417e-10 1.7002831592009856e-09 -2.035193185088609e-09
age2_sex -3.145786750416422e-08 1.3520931504990507e-09 9.249458257410804e-06 0.00020339495519471515 -1.75238624162803e-05 -2.4738120319986235e-07 2.055527702868862e-09 4.6460686266595544e-07 -3.8420202125665225e-09 8.689515144472342e-07 -5.400136589092094e-07 -8.0401442042783e-06 6.646055689241647e-06 -6.656307262694247e-06 2.349976373961149e-06 -3.680694081748499e-06 -1.3052360876672612e-07 -2.497728394218183e-06 5.019141301748725e-06 -1.4211421058574758e-05 2.761947111943025e-06 -1.6088424047962085e-06 -8.132681182653357e-06 -1.7522682843891937e-05 -7.8807732503541e-06 -1.276773719909551e-06 1.030786032641692e-06 -1.031826719219842e-05 4.54861420655113e-06 4.8861306735894894e-08 5.906798640950893e-08 1.0413931500665086e-07 -2.622155043615249e-07
age3_sex -1.9281908610536455e-09 -5.1432149639354826e-12 -7.518141399320368e-08 -1.6146449473130209e-06 1.4204290964203542e-07 2.0556972483215577e-09 -1.7424811287067262e-11 -3.842020212565667e-09 3.2360159998774216e-11 -7.272430401432301e-09 4.616226125754618e-09 6.237638835994356e-08 -5.765682985441306e-08 6.094797708305296e-08 -1.741540202241977e-08 2.7522796320851444e-08 1.8227596539074715e-09 2.768954351985533e-08 -3.1646195041617565e-08 1.2021505029354085e-07 -3.089324117172917e-08 8.593223520859862e-09 7.551610802079975e-08 1.3580991543828744e-07 8.626118546546807e-08 4.3601101871043125e-08 -7.427462991991058e-09 9.002175959178579e-08 -2.5595239111221255e-08 -4.3806957034004073e-10 -6.057776162086638e-10 -6.682764377538107e-10 2.1295497543627523e-09
PC_3 -0.0005488049956134057 6.66853088600565e-06 -3.154180249094726e-05 0.00027990572430231246 -2.992857664402287e-05 9.968642138013997e-07 -1.0311895624151232e-08 8.689515144416928e-07 -7.27243040138516e-09 0.15365279259592943 -0.008794674514224065 0.0028189837852093296 0.011413328654198059 -0.003516939277959426 0.014554329985527307 0.014514915433399417 -0.03714929437800814 -0.016374502888475157 -0.01464776440474959 0.021416967439285454 0.010986590448781117 0.03234693351519539 -0.012179676119795388 -0.07616462549151443 -0.0180633312938337 -0.010259970435363851 0.02719443329898506 -0.0161410352277126 0.04823081117077701 -5.875303562273816e-05 3.286867104678726e-05 -7.214845294904845e-05 -0.00027920006873918113
