 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gp gm
intercept 0.11662909025214899 9.452731297285112e-06 -0.148572660986974 0.0025616725717283206 -1.4399404191350254e-05 -0.05047035567866752 0.002993950161747397 -0.028476282197331965 -0.0199178090987794 0.08672258030091005 -0.04002244469484376 0.028980204748128676 0.06482038957439469 0.049332562046161606 -0.0604569281969409 0.009156745070213478 -0.002818758696488998 -0.08708691411786978 -0.10856999547076464 0.0314036846254939 0.003378389875143829 -0.017245994155235516 -0.1324089024150295 -0.07889222886944655 -0.017259788095043187 0.0011985933171934611 -0.0015136939212547452 -0.00045624789562603016 0.0002905453867247246 -0.0001798473690901367
yob 9.452731297349524e-06 1.7718376330923013e-05 -5.155003889979032e-05 1.1949159275674374e-06 -7.316539083332649e-09 0.0005383880683928479 0.001550098961369985 0.0005267838517834807 -0.004087902451420068 0.001231286880376105 -0.0012016635014329088 0.0007106653214525417 -0.0006929154023622826 0.001717661318998356 -0.0006242727050671313 -0.0011717340604184042 0.005242166765157995 -0.0023994814150050748 0.0015638355445512634 0.0004537281273606454 0.002688314958799323 -0.0014828877978323594 0.0010106474597491924 -7.744596874598535e-05 -0.0015953335811703978 -6.404313288649593e-06 3.780480398623172e-05 7.8158143622673e-07 -2.3700367603369308e-05 8.240774548006217e-06
age -0.1485726609870795 -5.155003889921159e-05 0.42617785658334695 -0.0080339597962305 5.000197811952232e-05 0.007915029370795879 0.00471852552269422 -0.006734283340812423 0.13302129794005543 -0.1163270050464514 0.09891607353055129 -0.12290787964512957 -0.04607230247086304 0.06061594992441685 0.16482519016597774 -0.2015589654945946 -0.2609155186770997 0.3143726432524692 0.11316330131344209 0.07010625453953502 -0.04808014914419649 0.09979369101992125 0.11007863469997395 0.13179477766466016 -0.05281536543949661 -0.0008413677299463475 0.0003532378034991363 -0.0014016937188199336 0.0008550701935184132 0.0011396800637909947
age2 0.002561672571730471 1.19491592756898e-06 -0.008033959796230892 0.00015238693186483946 -9.542978838301056e-07 -1.498267581630872e-06 -8.38471877953973e-05 0.00025614986524141633 -0.0026551586081684734 0.002088649918797657 -0.0019484622707001476 0.002398290042123353 0.0006456489753583343 -0.0014354154028307265 -0.0032233454063808962 0.004050080432340236 0.005260750170934606 -0.006083633820890431 -0.0019237922413136818 -0.0016114206594072804 0.0009081569901572613 -0.0020073849003605084 -0.0017791478991466408 -0.00233724567642746 0.0011741013040481119 1.2458531752777155e-05 -1.2974255478576887e-06 3.083494392600684e-05 -1.851944320406371e-05 -2.32577409488817e-05
age3 -1.4399404191364371e-05 -7.31653908331682e-09 5.000197811952736e-05 -9.542978838301539e-07 6.013496417183683e-09 -8.917388499115091e-07 5.994504699985128e-07 -2.460288753899005e-06 1.716721533765868e-05 -1.2234239246139647e-05 1.2258462211430664e-05 -1.5657033027250368e-05 -2.634333530606877e-06 1.1225031183667314e-05 2.0604282578850403e-05 -2.668407160297988e-05 -3.481611860146287e-05 3.867305809284674e-05 1.0642873854364304e-05 1.198828655051157e-05 -5.488391164759769e-06 1.2958193461367608e-05 9.332840625675985e-06 1.3706786407073239e-05 -8.367041734029535e-06 -5.5372211231908534e-08 -2.382621501765497e-08 -2.1796060734874004e-07 1.277732798210962e-07 1.542587358467468e-07
PC_3 -0.05047035567864425 0.0005383880683928456 0.007915029370725442 -1.4982675802953105e-06 -8.917388499198675e-07 3.2964511790814846 -0.3037254804353821 0.05117402866973645 -1.0068903095244606 0.7868009783322105 0.47252935413783337 -0.7025619994920792 -0.7614954724960112 -0.6839866935479233 -0.7779553580209214 0.460387911062279 0.4712929277306869 -0.5052898948498636 -0.3542362265822358 -2.0211549425000395 -0.8560725407865856 0.03831543526635304 1.4515895121253954 -0.4789290770100527 1.8318558137055385 0.0027611385333994602 -0.008679464416319282 0.00323212614147655 0.0042314965877963085 -0.0061015271999234994
PC_4 0.0029939501617455675 0.0015500989613699855 0.004718525522696075 -8.384718779543602e-05 5.99450469998749e-07 -0.30372548043538755 11.54281363455228 1.047175626895795 1.341375282974691 0.9497706581074051 -0.8572053599458429 -1.980039961260098 2.7929224791446314 -2.6349993069893745 1.7651679873727002 1.764491265876872 1.6185355945832414 -1.6400431496902608 3.36917000073187 -1.9605701629234693 -2.4649996670285375 -0.27595622009519777 -2.241319077403899 2.2258755971996154 1.0275541911192028 -0.0033985398912988137 -0.01769547409160851 -0.010941550624122501 0.014183819475492769 0.014922160635813963
PC_5 -0.028476282197305715 0.0005267838517834929 -0.0067342833408831505 0.00025614986524274833 -2.460288753907258e-06 0.05117402866973368 1.047175626895794 13.629371762761902 -0.712304731493879 -0.29282561457660117 -2.7637428885538258 -0.5567535604038857 -1.4300240594538713 -0.7113674462859939 -2.9533382915572823 -2.3087556654280967 1.8892663943601657 0.438786940269907 1.2250516461143504 -3.2615037313528763 -5.943556295631696 -3.351133172494643 -1.1939286436394452 -1.5957447752921603 0.9206890166753263 -0.00985024911102814 0.006699083057829676 -0.005250989377429189 0.0036015670082817173 0.01018599800070288
PC_6 -0.019917809098827104 -0.004087902451420018 0.13302129794010184 -0.0026551586081692284 1.716721533766267e-05 -1.006890309524443 1.3413752829746886 -0.7123047314938621 22.153803860272284 0.12585983040182847 -3.460300881875195 2.0170375130283738 -1.6793535255184364 2.409307022786877 2.1968774992191435 0.6552326343165676 -1.287941715605502 -2.1281653669129263 0.027244265938044843 3.616931054334807 0.572325224992758 2.4439122482385915 -3.9615248135636767 2.0712189315221177 -0.4208531513236966 -0.003869289661365193 -0.003229209305491994 -0.021142600828569544 -0.001360522369777581 0.014445179566434102
PC_7 0.08672258030091846 0.001231286880376045 -0.11632700504638863 0.002088649918796337 -1.2234239246130814e-05 0.7868009783322041 0.9497706581073997 -0.29282561457662293 0.1258598304018536 28.530357551910125 -0.6215049347455286 3.872505413464457 -2.028786835016874 -0.6678813221279449 4.668736515133753 -2.083652020067893 4.869690440865304 -2.378531205502642 -1.5875982412036698 6.069609854709876 -1.5683237246089887 -2.851766145728435 -4.635497324741781 2.717568329709097 -2.4386150458926603 -0.0179039853529485 0.005407632018272137 0.019294992832517854 -0.004897481781645844 -0.0067489387784174255
