(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000775665941289881 0.000614295563125267 0.000171855560762442 -0.000448989005228993 -1.02487256929575e-05 3.24069750750373e-05 -3.54809774370441e-06 1.32696902332038e-05 -1.09294003687433e-05 -2.69456226379503e-05
covarage 0.000614295563125267 0.00123743836336785 0.00117896209287757 -0.00198388809137354 -1.50680071975118e-05 2.87871352321936e-05 2.16821906421879e-08 -6.29858006111195e-06 1.67738717629519e-05 1.6999328554778e-06
covarsex 0.000171855560762442 0.00117896209287757 0.00202917804309347 -0.00287922057809139 -1.08369626320668e-05 6.52002541826095e-06 -5.13235690867016e-06 1.33256870951847e-05 -1.82042900157674e-05 1.18087313946322e-06
covarage_sex -0.000448989005228993 -0.00198388809137354 -0.00287922057809139 0.00484586385082193 1.08447881488209e-05 9.33710160654716e-06 4.76594864920954e-06 -1.56735509768236e-05 1.68020358274597e-05 -4.92269563245282e-06
covarPC_3 -1.02487256929575e-05 -1.50680071975118e-05 -1.08369626320668e-05 1.08447881488209e-05 0.000305870492407207 -3.08142232659674e-06 -1.15141662423959e-05 1.20343342237648e-05 -2.73450099934589e-05 -1.59886304154053e-05
covarPC_4 3.24069750750373e-05 2.87871352321936e-05 6.52002541826095e-06 9.33710160654716e-06 -3.08142232659674e-06 0.000319958570111927 -2.1214527986466e-06 1.03953060967459e-06 7.24596497269216e-07 -9.9451202445944e-06
proband -3.54809774370441e-06 2.16821906421879e-08 -5.13235690867016e-06 4.76594864920954e-06 -1.15141662423959e-05 -2.1214527986466e-06 0.000356759489069922 -0.000187681326648123 3.96949343577047e-06 8.09373446252644e-06
maternal 1.32696902332038e-05 -6.29858006111195e-06 1.33256870951847e-05 -1.56735509768236e-05 1.20343342237648e-05 1.03953060967459e-06 -0.000187681326648123 0.00171793348274831 -0.00133669838815482 -0.00136242790776977
gmm -1.09294003687433e-05 1.67738717629519e-05 -1.82042900157674e-05 1.68020358274597e-05 -2.73450099934589e-05 7.24596497269216e-07 3.96949343577047e-06 -0.00133669838815482 0.00346332833374035 -0.000816523966838811
gpm -2.69456226379503e-05 1.6999328554778e-06 1.18087313946322e-06 -4.92269563245282e-06 -1.59886304154053e-05 -9.9451202445944e-06 8.09373446252644e-06 -0.00136242790776977 -0.000816523966838811 0.00353786254275829
