 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
PC_4 8.615352281053415e-05 0.00010511360077461881 -6.819928410163884e-05 0.0005809516073332976 -3.5106979970495335e-05 4.347779559133835e-06 -3.093345030027036e-08 8.319573891816126e-07 -6.462844759573974e-09 -0.010485825806258535 0.5566177683088067 0.0021791755891669208 0.0958650669020708 -0.03335916681961619 -0.019419208579198738 -0.006968754494042555 0.010598578370191274 -0.027946657728222992 0.018117785970199474 0.050440080160863425 -0.06107186732322532 -0.046704351128417206 0.05843557719300758 0.025129374909954153 -0.01117500454439076 0.012698350535384676 -0.04667678767650686 -0.007858640658842803 0.07007171953333607 -5.9384818269980155e-05 5.919743057186176e-05 -6.496176733890254e-06 -0.00012218339308437778
PC_5 -0.0003356255035067898 2.664638274016864e-05 -0.00012592592459820766 -0.0014007885153921665 0.00011821104291793304 3.9123874823533425e-06 -3.325165629041362e-08 -2.7866737910331434e-06 2.208154201789119e-08 0.0028496146132213247 0.002179175589166318 0.713738471298896 -0.006397691230617736 -0.03647143227103945 -0.04521521833839207 0.042050420968113546 -0.050160544318731105 -0.0565851466573795 -0.06605910870966225 0.0033333131153975223 -0.03337334202368214 -0.03323485656359942 0.03227993900051952 -0.10529468887969905 0.002093493328296171 0.003915519169758348 -0.02681932122838496 -0.03754865982427278 0.07353276631965006 -3.2579073772590285e-05 9.297019992818569e-06 -0.00015952144393166273 5.1905479066416384e-05
PC_6 0.0004605024838777362 -7.862042640401502e-05 -0.00010545544173013451 7.561897429195914e-05 -4.765499668147392e-06 1.848948146786936e-07 6.707571324579048e-09 4.6527688946617796e-07 -1.0198280023200067e-08 0.013348819575477917 0.09586506690207079 -0.006397691230617788 0.9496779281934845 0.03634597485168174 0.0641677395418778 -0.014336213750238217 0.035585413165533306 0.030864349457478443 -0.059426262538396 -0.005351329232692141 0.09479454287256957 -0.12637455663917735 0.04008294471695869 0.10469871724109758 -0.025600678025101718 0.0034574074578292363 -0.06666094022302448 0.012300177943037869 -0.04968101825393835 -3.4479487875047964e-05 -0.0002277034917254488 -0.00011562443510991595 0.0005951140649451635
PC_7 0.0005124959051642944 2.418848326706937e-05 -0.00015197545463791284 -0.0043426240991872676 0.00037633756606373703 5.982272768962964e-06 -5.586274942639963e-08 -1.0437793229256033e-05 9.25743888548042e-08 -0.003970374021774821 -0.03335916681961788 -0.036471432271040105 0.03634597485168206 1.2454921772891394 0.0007291433074755427 0.10431741345151184 -0.07297040817881466 0.09885405850774763 0.07905063310848705 0.0666077061674339 0.002118719698770705 -0.1383893777771504 -0.06866424433394065 0.11037719129545598 0.001466205455003608 0.0015159386967680908 -0.023850704563099838 0.054923491870794525 -0.11866927789668465 3.1495450028186777e-05 0.00024558451669092456 -0.0002989689189536221 -0.00015841196578447492
PC_8 -0.0005363171520156446 -5.976026398599711e-05 -3.9244820258309225e-05 0.00017846034157456583 -2.043796721631333e-05 -4.774508370974062e-07 1.669667096301912e-09 5.74715937030801e-07 -3.2474512954793694e-09 0.01618114672984744 -0.019419208579198783 -0.045215218338392045 0.06416773954187759 0.0007291433074755125 1.3818062598329766 0.12277850843027875 -0.01489446642820107 0.033974602972424786 0.031404171339930266 -0.00787639169087187 0.0209170123377259 0.11465394070663103 -0.11053607655468306 0.06587636686306894 0.11779399870019443 0.012015120037870945 0.03849379188190044 0.027299845075140113 -0.07238689452954533 -7.94492199473068e-06 0.00015036745312375604 -0.000651764296925206 1.688529763929141e-05
PC_9 -0.00041553610991470417 -9.772569092774904e-06 -5.368914536129526e-05 0.0012023192863414198 -8.702930814617116e-05 1.9007234918915543e-06 -2.120019488103641e-08 2.4223902063898623e-06 -2.279600129021851e-08 0.015611377789820635 -0.006968754494042549 0.0420504209681138 -0.014336213750238335 0.1043174134515127 0.12277850843027911 1.7563954525589738 0.1346787453747195 -0.01568945663019274 -0.11811358176430432 0.06401422076928355 -0.003696934423049733 -0.032182859005797725 -0.09553668500886045 -0.003920640676614543 -0.10315774960444828 -0.057638749378118775 0.01254946467471226 -0.06420870627676749 0.0882225607579218 -5.47958375435349e-05 0.00012187865248657704 0.0003638327499798206 -0.0002390383546285002
PC_10 -9.863926220971804e-06 -3.7418387229931056e-05 -0.00014895385223367044 -0.0017355532949999194 0.00013519853887303048 2.250109949619083e-06 -1.1885583592067895e-08 -3.1805720381123734e-06 2.113216672250548e-08 -0.04112975618538802 0.010598578370190742 -0.05016054431873137 0.03558541316553349 -0.07297040817881453 -0.014894466428201253 0.13467874537471927 2.2640913272629763 0.21209882881747846 -0.12155602562025808 -0.04746595077310336 -0.026841079238747286 -0.010081952412635903 0.07464254495869471 0.03358772702320706 0.10793575794101157 0.04098908797515207 0.0075339470027180645 -0.06245534019073761 -0.12823891979260787 -5.87005792618535e-05 0.0001940478749821889 9.80383002276963e-06 -0.000209301477641126
PC_11 -0.0005273564191686267 6.806779801803964e-05 -2.983434225759532e-05 -0.002025774472569751 0.00018849853942084566 3.4396807898728128e-06 -3.770824953930133e-08 -5.68462190714055e-06 5.340543565331471e-08 -0.017952006699101675 -0.02794665772822418 -0.05658514665737996 0.03086434945747924 0.09885405850774724 0.033974602972424946 -0.015689456630193284 0.21209882881747774 2.01582349663923 0.07919321166974588 0.15145879522583397 0.0404881952058387 0.07789945329989015 -0.004942227612063413 0.017097834929898085 -0.09563433640365122 -0.042720975528504616 0.002464452674531213 -0.06319743384615939 0.21759410752867087 -0.00016149379218116408 0.0002186956912208484 -8.100318232115035e-05 -7.89872211309204e-05
PC_12 -0.0011049139957932837 5.097236542691517e-06 -0.00019938563004511957 -0.002564999814082166 0.00021603951073844436 5.349182622517715e-06 -5.004980021621582e-08 -5.9761771421633875e-06 5.390815906219656e-08 -0.014106047147876274 0.018117785970198242 -0.06605910870966246 -0.05942626253839585 0.07905063310848744 0.03140417133993046 -0.11811358176430492 -0.12155602562025816 0.07919321166974568 2.345535978684053 0.0905327129186274 0.08668381376374752 -0.02585045198148489 0.08357248070607967 0.11706579569806218 0.07707496855780879 0.05985083075566973 0.09253167615405672 0.11558287755760165 0.011687896951873744 4.433694866725747e-05 -0.0002019356448779792 0.00013894519643281383 -3.2051759019194605e-05
PC_13 -0.0003319248049465789 -5.993379026966866e-05 -0.00015081110342584167 -0.0022292696472675077 0.0002275705087004893 3.5509314512140414e-06 -3.897841030947242e-08 -6.762375113192141e-06 6.379884344301312e-08 0.024219943408550024 0.05044008016086206 0.003333313115396941 -0.005351329232691959 0.06660770616743353 -0.007876391690871534 0.06401422076928288 -0.04746595077310371 0.1514587952258329 0.09053271291862675 2.2859753015116144 0.20600314613178677 -0.07837382556492083 -0.03946988563556221 0.15939051523418446 0.12212551265375149 0.030331789760149375 -0.15747211270512065 0.001864910827284302 -0.16319469958534094 0.0001534905414150491 -0.0002829663045034577 -9.88689426173481e-05 0.0005474576438193342
PC_14 -0.00035022380580027144 5.365892546891694e-05 -4.4741762980188514e-05 -0.002933083366298875 0.00015022285016475816 1.2335259947775013e-06 -2.8723689148248804e-09 -1.923590012731836e-06 2.5372129119341374e-09 0.012818663461488524 -0.061071867323225414 -0.03337334202368205 0.09479454287256964 0.0021187196987706206 0.020917012337726432 -0.003696934423049643 -0.026841079238747317 0.040488195205837144 0.0866838137637474 0.20600314613178666 2.366303784551119 0.0470228584462728 -0.10226676205466628 0.053532861809981167 -0.004253026976431028 -0.030767396180353377 0.07926090606634131 -0.19240163615307312 0.11218363836895158 0.0001061442211259895 -0.0005755351588243707 -2.7580666284260576e-05 0.0008516403297645264
PC_15 -0.0003238240053459418 -7.124863240620475e-05 -3.566359540597608e-05 -0.0037933252461313824 0.00029324067199081505 -5.40768083825673e-07 2.0785361230242875e-09 -6.582326847396551e-06 4.5294366598507504e-08 0.03847057345651451 -0.04670435112841808 -0.033234856563600416 -0.12637455663917704 -0.13838937777715218 0.11465394070663099 -0.03218285900579826 -0.010081952412636468 0.07789945329989006 -0.025850451981486403 -0.07837382556492203 0.04702285844627243 2.644647105234386 -0.09350935322019525 -0.0035541917946872686 0.11666306049413798 0.0036982411375142974 0.11848622917001296 -0.04027363381570095 -0.20707451020911943 -9.59909740466182e-07 0.0004054990578431317 -0.0003687548283255643 -0.00023684237660923573
PC_16 0.00024533662738807744 -1.1800676732139028e-05 -6.907913287871538e-05 -0.001920023292557129 0.000200101360149298 9.132189893781782e-07 -5.867673660263225e-09 -6.429677133403833e-06 6.297012229147119e-08 -0.01356500419258137 0.058435577193006835 0.0322799390005189 0.04008294471695885 -0.06866424433394155 -0.11053607655468317 -0.09553668500886077 0.0746425449586944 -0.004942227612063512 0.08357248070607885 -0.03946988563556277 -0.10226676205466638 -0.09350935322019488 2.8562761051272356 -0.0013488883641660872 -0.004277204316530388 0.08532552964751021 0.04138504188624718 0.012840745027951872 0.030400400581707624 0.00010916121615175134 0.00025687448648027906 -0.00022724430433367326 -0.00035225662515140125
PC_17 -0.0004210649701831519 7.101453995688185e-05 -0.0002523929006325693 -0.007352906180677367 0.0006600845151994748 8.335289169292063e-06 -6.619101376353156e-08 -1.7223317374896747e-05 1.3358702195065497e-07 -0.08646882057833088 0.025129374909951513 -0.10529468887969984 0.10469871724109858 0.11037719129545552 0.06587636686306902 -0.00392064067661621 0.033587727023206275 0.01709783492989835 0.11706579569806123 0.1593905152341853 0.05353286180998194 -0.0035541917946845096 -0.0013488883641655266 3.158269307244479 0.04405250266959351 0.004846306778837401 -0.14421577169842226 -0.11633320469095657 -0.10559712459481524 0.00016948900525689232 0.000194651194728929 -0.0005031311663527359 0.00011066801373091969
PC_18 -0.0006162614532765321 4.7407984458488974e-05 -0.00024571179999746836 -0.0019902881134232445 0.00023199039994207442 8.719669057417227e-06 -8.5408408553339e-08 -8.330164863598066e-06 9.213056333886021e-08 -0.019647230067485352 -0.011175004544392504 0.0020934933282959487 -0.0256006780251017 0.0014662054550048263 0.11779399870019473 -0.10315774960444918 0.10793575794101194 -0.09563433640365027 0.07707496855780922 0.12212551265375259 -0.00425302697643102 0.11666306049414056 -0.00427720431652892 0.044052502669595976 2.8254681086682805 0.1540270067336682 0.0074081729416245355 -0.13396652237346712 0.10339001543647924 3.966464978780183e-05 0.0001293283338291008 7.682440146325966e-05 -0.00013248482342618394
PC_19 -0.000107138232081447 4.0759716864653925e-06 0.00012415322194553397 0.0016337705757149131 5.626083787761598e-05 -3.366061619738148e-07 -2.0984490249630008e-08 -6.326114223678107e-06 8.907507072419689e-08 -0.011091279017689791 0.012698350535383728 0.0039155191697572995 0.003457407457829121 0.0015159386967660798 0.012015120037870662 -0.05763874937811915 0.04098908797515135 -0.042720975528505074 0.059850830755668265 0.030331789760147877 -0.030767396180353422 0.003698241137514067 0.08532552964750964 0.004846306778835145 0.15402700673366557 2.87007428055772 0.01025095686229511 0.06654038512587925 0.11861229990838816 0.00023065770718848664 6.234173665540488e-05 0.00029523904667646834 -0.0004308091815811185
PC_20 -0.0005006486718683666 -1.2690528779957931e-05 -7.228031557865711e-05 0.0012813949082672745 -5.50342397397909e-05 1.3346174424537412e-06 -1.1325073075766441e-08 7.704922432692401e-07 -1.1155522479053537e-09 0.031913529102336066 -0.0466767876765069 -0.026819321228384856 -0.06666094022302455 -0.023850704563099543 0.03849379188190062 0.01254946467471225 0.0075339470027181565 0.0024644526745314214 0.09253167615405704 -0.15747211270512035 0.07926090606634137 0.11848622917001313 0.041385041886247316 -0.14421577169842173 0.0074081729416248686 0.010250956862295284 3.3154694051957283 0.16842880888559847 -0.05551205916255007 0.00011418065853996542 9.907583500574237e-06 0.0004654418198590322 -0.0003980594054884449
PC_21 0.000794484501891852 3.669468840454194e-05 -1.6018740980846296e-05 -0.0008763103802595254 0.00011039082105954283 -5.521363505838012e-07 1.79832415727193e-08 -4.124610623308486e-06 4.386317745349866e-08 -0.017359212152764092 -0.007858640658842985 -0.0375486598242731 0.012300177943037878 0.05492349187079344 0.02729984507513979 -0.06420870627676742 -0.062455340190737875 -0.06319743384616021 0.11558287755760144 0.001864910827284103 -0.19240163615307251 -0.04027363381570149 0.01284074502795171 -0.11633320469095855 -0.13396652237346807 0.06654038512587912 0.16842880888559855 3.5143507797420264 0.1537790126097711 0.00020235491100307882 0.00013350470090607764 -0.0005134500742670813 0.0001711699997501271
PC_22 0.0009144357274136417 -0.00010146953981015956 0.00024739300876523614 4.84683973754813e-06 -1.8442185780896096e-05 -7.513633357230181e-06 4.926773842645481e-08 1.8246354500667752e-08 8.610088584740653e-09 0.05414722917618091 0.07007171953333625 0.07353276631964968 -0.04968101825393834 -0.11866927789668556 -0.07238689452954564 0.08822256075792154 -0.12823891979260812 0.2175941075286697 0.011687896951873255 -0.16319469958534163 0.11218363836895234 -0.2070745102091201 0.030400400581707253 -0.10559712459481534 0.10339001543647823 0.11861229990838713 -0.05551205916255018 0.15377901260977128 3.176428930821548 -5.784552133118335e-05 -0.0001311748821391203 0.0007816348986987758 -0.0006563493822057857
proband 2.8504104014131448e-06 -4.677825737134632e-08 1.2640299878135158e-06 -1.095037443810845e-05 2.4969498906353123e-07 -4.514752088005003e-08 4.365796619965907e-10 5.0948675803015195e-09 -1.0747979374566406e-10 -6.631118456709843e-05 -5.9384818269976556e-05 -3.257907377258688e-05 -3.447948787505297e-05 3.149545002817434e-05 -7.944921994758375e-06 -5.479583754353429e-05 -5.870057926186e-05 -0.00016149379218119417 4.4336948667241114e-05 0.00015349054141502292 0.00010614422112596742 -9.599097404957062e-07 0.00010916121615175555 0.00016948900525667592 3.966464978777124e-05 0.00023065770718847835 0.00011418065853998947 0.00020235491100331084 -5.784552133119361e-05 7.186894865926467e-05 -3.3297684927031395e-05 -1.1361372106263473e-06 -2.903185971413968e-06
paternal -4.994849249836711e-06 2.5349814892199816e-07 3.322546496755816e-06 4.810820362646122e-05 -4.856443198034559e-06 -7.37521855007787e-08 5.20918323635023e-10 1.4542918454139435e-07 -1.3070355018981682e-09 4.013714249096617e-05 5.919743057188121e-05 9.297019992815711e-06 -0.0002277034917254446 0.00024558451669094196 0.00015036745312343175 0.00012187865248655224 0.00019404787498217033 0.00021869569122102668 -0.00020193564487795432 -0.000282966304503446 -0.000575535158824395 0.0004054990578430729 0.0002568744864802447 0.00019465119472911473 0.0001293283338290598 6.234173665538179e-05 9.907583500612621e-06 0.00013350470090679208 -0.00013117488213890664 -3.329768492703159e-05 0.00038497254500680187 -0.00031333304196900266 -0.00031215288582830595
gpp 1.3642869035313176e-05 -5.814974361469192e-07 8.471221150466633e-06 6.0362215311029845e-05 -5.395280431447812e-06 -2.3470102784634253e-07 1.9222894508256295e-09 1.3012171408035772e-07 -9.37501065922233e-10 -0.00011876991221834195 -6.496176733848416e-06 -0.00015952144393170412 -0.00011562443510986959 -0.0002989689189536172 -0.0006517642969249959 0.0003638327499798264 9.80383002278367e-06 -8.100318232118764e-05 0.00013894519643283538 -9.886894261730648e-05 -2.7580666284226478e-05 -0.00036875482832557794 -0.00022724430433372191 -0.0005031311663516407 7.682440146322692e-05 0.0002952390466764187 0.00046544181985893045 -0.0005134500742674391 0.0007816348986985737 -1.1361372106258907e-06 -0.0003133330419690021 0.0011411340474441211 -0.0005194718190664934
gmp -2.135273940664324e-06 -8.100733338347422e-08 -1.2536406222219133e-05 -0.00012941514951245861 1.2251829557936348e-05 3.1812854217042653e-07 -2.48238380194547e-09 -3.3586512559524955e-07 2.799535009722594e-09 -0.0002768443410234536 -0.00012218339308443134 5.190547906643271e-05 0.000595114064945139 -0.00015841196578448845 1.6885297639797098e-05 -0.00023903835462842077 -0.00020930147764115867 -7.898722113150549e-05 -3.205175901921266e-05 0.0005474576438192789 0.0008516403297645016 -0.00023684237660915317 -0.0003522566251513559 0.00011066801373035387 -0.0001324848234261215 -0.0004308091815809999 -0.0003980594054883986 0.0001711699997502548 -0.0006563493822057638 -2.903185971413984e-06 -0.00031215288582830654 -0.0005194718190664917 0.0011435167232008484
