 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 9.696269373094062e-06 3.42205616063741e-08 -1.3577232424916753e-06 -6.5480355388960675e-06 4.329101266042907e-07 2.6966627577222056e-08 -1.544231988921979e-10 -9.47447155376858e-09 6.378327497822113e-11 4.010068627856112e-06 -1.5981642740157343e-06 2.608555043388791e-06 -3.742970164744085e-05 4.722397676255951e-05 -6.555992542760076e-05 4.5778100829187604e-05 -3.785070350067252e-05 -3.885401583512567e-06 -7.280488534855614e-05 -5.941073289289171e-06 -1.7355910706258584e-05 -4.917064061505756e-05 1.3721366047251707e-09 -3.313905072551812e-05 -1.4592428930920776e-06 2.90666407165246e-06 -4.139943390341024e-05 -4.5053429663250234e-05 6.017979980266534e-05 -6.156706220956248e-09
yob 3.422056160630025e-08 9.5820074866476e-08 1.3802670644133843e-07 6.376271877040605e-07 -5.89429496502059e-08 -4.0166361319480566e-10 -1.9336051481988953e-12 9.052294067580515e-10 -3.0833548661087194e-12 8.253750651008491e-07 6.942869708022272e-06 5.244486005149231e-07 -6.689566655430309e-06 -1.5260024121464267e-06 -2.977667500813548e-06 7.112491739032357e-08 -2.4600458807019834e-06 4.541435616026328e-06 -1.5924316049146256e-06 -4.113899920563453e-06 5.814057629955606e-06 -5.3231203180736395e-06 -2.5407208606173874e-06 8.219101681528933e-06 2.5366283252366696e-06 -5.0876335019973344e-08 -2.1056549776411185e-06 2.999687193457283e-06 -1.0992777912106693e-05 -2.159666999091232e-08
age -1.3577232424985002e-06 1.3802670644116963e-07 2.4468944762110534e-05 0.0003496080615154365 -2.4295185950435233e-05 -5.02877843134159e-07 3.2006129242042774e-09 5.023469918425537e-07 -3.1996615572393372e-09 7.093755074587667e-07 -7.71132052837353e-06 -9.254020900643471e-06 -2.0288370153267473e-05 -1.2095567056552187e-07 9.587240142167688e-06 6.289396559404891e-06 -4.730293280135653e-06 -8.684058597154623e-08 4.110162948412716e-06 8.633934843256772e-07 -1.8354221172704827e-06 -8.857444922229744e-07 -2.174949927263683e-05 -4.3862118533375135e-08 -1.3436565141221734e-05 -2.369371003515878e-06 -1.4579991488589385e-05 -1.1813030478740202e-05 9.853321303231856e-06 1.6036057739925327e-08
sex -6.548035539226343e-06 6.37627187702903e-07 0.000349608061516082 0.009477745730655962 -0.0006243923850888667 -6.942005361115188e-06 4.2985055451408546e-08 1.248243047414165e-05 -7.760097128617863e-08 4.263141307600178e-05 3.227159587510247e-05 -0.00014599237822329693 3.677166648466498e-05 -0.000172679420794281 0.00020029407220711258 0.0001575154930766577 1.3255574278852004e-05 0.00014212182140292638 -6.0726905234424645e-05 -0.0001920004764056032 -8.048516682597926e-05 -5.606177592275331e-06 1.552999264294957e-05 -0.00015880861572344513 -3.2106539751748905e-05 0.00021776341810852452 -5.477605679198954e-05 -4.279803569476777e-05 -0.00015879690359843382 -5.686350079387469e-07
age_sex 4.329101266160108e-07 -5.89429496500257e-08 -2.4295185950478973e-05 -0.00062439238508879 4.329767330844294e-05 5.012783231360458e-07 -3.193825595921974e-09 -8.967442426763415e-07 5.723597314240152e-09 -3.7596957493583334e-06 4.015301922452069e-06 1.6474702631964772e-05 -1.6504979299615005e-06 1.0197160879153103e-05 -1.8838122449012753e-05 -9.97231226409923e-06 -4.002818025168735e-06 -4.923032709719645e-06 3.491194535932907e-07 1.0418027952497948e-05 4.495904764259682e-06 2.2693394942527689e-07 1.022703454539519e-06 1.416659617034723e-05 3.8904048701078274e-06 -1.5048779747704953e-05 8.27696597886551e-06 5.167325506737748e-06 6.3855811099171955e-06 2.5845018568480296e-08
age2 2.6966627577432117e-08 -4.0166361318892017e-10 -5.028778431341181e-07 -6.942005361100564e-06 5.012783231350516e-07 1.0716054014496265e-08 -6.999113567296696e-11 -1.0689805245586717e-08 6.982002676248152e-11 6.352676083417108e-08 4.786366487527128e-07 3.0554881565305395e-07 2.743059730140642e-07 3.226284177256051e-08 -3.1930138452410486e-07 -1.553365567019217e-07 -5.84966135886897e-08 1.8920631865043866e-07 -2.2910216231099173e-07 -2.1311314177902763e-07 1.6149945324567099e-07 -1.5285387215596678e-07 4.7590548996544977e-07 2.6464449519874725e-07 4.201213613770923e-07 8.456859227410137e-08 2.5094040824633104e-07 2.8229759550780747e-07 -6.158797585414044e-07 -7.508196402609124e-10
age3 -1.5442319889248308e-10 -1.9336051482589923e-12 3.2006129242038336e-09 4.2985055451309086e-08 -3.193825595915205e-09 -6.999113567296338e-11 4.668891956018348e-13 6.978495479948606e-11 -4.654129873342367e-13 -9.126662093970782e-10 -3.8067857594898545e-09 -2.4431740358799e-09 -1.8534890359244334e-09 -1.8654052393213648e-10 2.111477279008597e-09 1.1226468905148954e-09 8.557055366016529e-10 -1.7813334783437252e-09 1.8162623671456918e-09 1.968406281541478e-09 -1.18592028098903e-09 1.3146769315353494e-09 -3.5642449763845093e-09 -2.3862117223501198e-09 -3.2805487601179825e-09 -7.691313486266707e-10 -1.581576503229314e-09 -1.6478892161022127e-09 5.296904405210541e-09 5.90869692870506e-12
age2_sex -9.474471554228739e-09 9.0522940675345e-10 5.023469918434478e-07 1.2482430474138993e-05 -8.967442426762654e-07 -1.0689805245607128e-08 6.978495479962519e-11 1.9107843487627723e-08 -1.2481163627599922e-10 7.952870027949989e-08 -1.659705773639351e-07 -4.321288999209086e-07 2.3622225837738822e-08 -2.0106552738468296e-07 4.7197551841327353e-07 1.9920995815770642e-07 1.1464532851556724e-07 3.583701735956798e-08 8.06133655406118e-08 -1.1326275443802526e-07 -7.795344957278884e-08 1.832143694538423e-08 -8.525075579600018e-08 -3.6501283171574454e-07 -8.690807410501229e-08 2.7685506417392836e-07 -2.1253849774591783e-07 -1.1332642255023604e-07 -4.602330357338163e-08 -4.438571414939445e-10
age3_sex 6.37832749821871e-11 -3.0833548661449655e-12 -3.1996615572450613e-09 -7.760097128615609e-08 5.723597314239297e-09 6.982002676261132e-11 -4.654129873351226e-13 -1.2481163627599165e-10 8.318494542458992e-13 -3.794622863593226e-10 1.4483703317453176e-09 3.2259479767749143e-09 -9.758049405318496e-11 1.2916039382074303e-09 -3.428370330374595e-09 -1.164456734371362e-09 -8.401679749424772e-10 4.620826089773969e-11 -1.0481319751357412e-09 1.4276663529680845e-10 4.053644713234901e-10 -2.236021848423443e-10 9.223561822358909e-10 2.64895072838515e-09 5.199386296722736e-10 -1.5267148099411437e-09 1.4977153462977435e-09 4.92797664596905e-10 -1.0128333976289502e-10 2.329925442615731e-12
PC_3 4.010068627853545e-06 8.25375065100872e-07 7.093755074825938e-07 4.2631413076418495e-05 -3.7596957493890277e-06 6.352676083365893e-08 -9.126662093937118e-10 7.952870028016563e-08 -3.7946228636372955e-10 0.024963386704513386 0.0007616519113432124 0.001685354030097284 -0.00030395485403814673 -0.004261811975189058 0.0018121697389109413 0.0036090727495082303 -0.003912821953225202 -0.0002069569428791228 -0.0012049826367751366 0.0005440424948861267 0.004865612717835077 0.0024987572045434177 -0.0015628465513159782 -0.00902250307721921 0.0010124433570521808 -0.0009291522005097396 0.002929584232449376 -0.0005982832162563115 0.004520279003406828 -3.029658546546177e-05
