 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 2.0305169299614922e-05 -1.2313004144607736e-07 -5.615031899646953e-07 9.416001213256896e-09 -3.551997961713398e-11 1.771246516272596e-05 -3.528978574969581e-05 -1.284046029081313e-05 -7.66492604356801e-05 0.00010412298008560559 -0.00012587893880495996 9.769810721702619e-05 -7.306695670376061e-05 -2.188915718580588e-05 -0.0001418455010559424 5.293249317921232e-05 -6.510129463046849e-05 -8.242357390379214e-05 -4.402552563401539e-05 -8.711095209778256e-05 -2.858449857973323e-05 -1.6108820375532672e-05 -7.01158807537349e-05 -0.00014809271819627847 0.000144435498717119 -9.748365483223654e-08 -2.0437914752019394e-07 -5.671918214358287e-07
yob -1.2313004144606733e-07 2.2367551794605998e-07 3.9950999710490536e-08 3.6299843677887656e-09 -2.52115881497892e-11 3.009226344454267e-09 2.3069186016213394e-05 8.851150881651495e-06 -1.5927066994067945e-05 -5.88075163643582e-06 -6.967227911826469e-06 -1.4952541795527062e-07 -9.854970687190918e-06 1.2994777200094417e-05 -5.22731835639521e-06 -1.399971076461834e-05 1.621384004704024e-05 -1.2042476681151653e-05 -6.701707409040614e-06 2.180455969580127e-05 7.800597330036786e-06 -2.3876656045024864e-06 -2.1400123381922023e-06 1.2786669664019826e-05 -2.8089526904840622e-05 -2.204298331797344e-08 -3.254394432851974e-08 -5.665279356935582e-08
age -5.615031899647731e-07 3.995099971059028e-08 1.045298018633163e-05 -2.2660967873598382e-07 1.498338514977653e-09 -1.0706349551302803e-05 1.8153693011507383e-05 1.0168218122777766e-05 -2.0608407166595832e-05 3.48175101029406e-05 -2.4976454933932088e-05 -8.032862385444055e-06 -2.489681431453069e-05 1.3203081240610163e-05 4.0094666021465165e-06 1.71608751258331e-05 -6.206722821576199e-06 1.8782611352122772e-05 -2.153076791437014e-05 1.0226926632603797e-05 -1.2047468187370841e-06 -2.0165097185457958e-05 -1.0557084339989974e-05 -4.050852542922894e-06 3.3936423099070585e-05 -3.832163776128717e-08 1.440217441693729e-07 -1.2297025398133848e-07
age2 9.416001213237443e-09 3.6299843677865806e-09 -2.2660967873599234e-07 5.204438712596707e-09 -3.548847285412345e-11 2.9900411831313307e-07 2.8044488715785346e-07 -2.5735963078103897e-08 1.2502111338753603e-07 -6.367610660081337e-07 3.784368741365064e-07 6.503171249174795e-08 2.0234509023116216e-07 1.3749198689247059e-08 -2.2535166963554048e-07 -5.882885687223194e-07 3.627599566552944e-07 -5.745686234947393e-07 3.8753852680175505e-07 2.060565407673699e-07 3.436981428830117e-07 3.854023356168476e-07 1.4405415088673864e-07 2.1718368992190937e-07 -1.3307222712837442e-06 4.88953328716456e-10 -3.5353003008902123e-09 1.3737344502328647e-09
age3 -3.5519979617336916e-11 -2.5211588149775023e-11 1.4983385149777473e-09 -3.548847285412427e-11 2.480753112790824e-13 -2.4094279914013477e-09 -2.656565272177978e-09 1.7218440466337642e-10 -1.0657043543293418e-09 3.8107665243997785e-09 -2.8081021718109306e-09 2.176878414209282e-10 -6.589784603582601e-10 -4.672240286715182e-10 1.0971658040745064e-09 3.572994702523985e-09 -2.185359898299755e-09 3.384114988962732e-09 -3.023108536040277e-09 -1.7633235314275e-09 -3.3216735527534147e-09 -2.5345234008539464e-09 -9.273306808925458e-10 -1.1428554696883417e-09 9.611352465903477e-09 -4.3570761819534414e-12 2.399821028936822e-11 -4.267447221188777e-12
PC_3 1.7712465162725937e-05 3.009226344326562e-09 -1.0706349551305214e-05 2.990041183131757e-07 -2.409427991401596e-09 0.05193708565740591 0.0017942023848278902 0.0024200424892923517 0.0010091399222671308 -0.0073113919051050694 0.0035833903896893946 0.008343415771803983 -0.006378355652814435 -0.0021387871973051233 -0.0017344143405656086 0.0037318969549801186 0.008289794833109463 0.0063038929835553936 -0.004279551632397337 -0.017548668497423578 -0.0005823879402911218 -0.0018808328814967875 0.004712498237759128 -0.0033423269774163398 0.011159186735411945 1.358469306465295e-06 -6.889031144174223e-05 -5.798461890435864e-05
PC_4 -3.528978574969427e-05 2.3069186016213496e-05 1.8153693011490825e-05 2.804448871582264e-07 -2.656565272180496e-09 0.0017942023848279089 0.17835542957844197 -0.00826124533160006 0.009172192850427549 -0.010187771225956325 -0.00037395166568116744 -0.00539942850684714 -0.0013547112650593703 -0.014332245841267478 0.004226210414567773 0.009886381205567495 -0.019583532271517587 -0.011613616310468857 0.013190515385697144 0.010993431827019602 -0.005056920445791246 0.005604342500531707 -0.006069206543382553 -0.0005398491648089113 0.0076496034883524605 2.6792204097231306e-06 -2.765293097381871e-05 -3.844544040277358e-05
PC_5 -1.284046029081307e-05 8.851150881651576e-06 1.016821812277345e-05 -2.5735963078002772e-08 1.7218440466267016e-10 0.002420042489292364 -0.008261245331600053 0.2332210684653786 -0.0038594236385742805 -0.007228950485279574 0.0006307479903900483 0.005378244655104776 -0.015748882591334654 -0.0016703701945415513 -0.018313924540742082 -0.013291459228989734 0.0004540618708886343 -0.01710014368205747 0.01399638900328612 -0.026576928435691642 0.006950068486926806 0.004571860809142246 0.00043458122798035266 -0.004707665256793078 0.017594015251443593 1.84581566347756e-06 -9.777167331737526e-06 -7.90163672638338e-06
PC_6 -7.664926043568009e-05 -1.5927066994068118e-05 -2.060840716658954e-05 1.2502111338738496e-07 -1.0657043543282797e-09 0.0010091399222671238 0.00917219285042753 -0.003859423638574287 0.2902049490725083 0.0036027669278058294 0.014461461717567342 -0.014284247962803911 -0.009353041905155717 0.00738391113408681 -0.014680849056346056 -0.0009100901225195896 -0.0003960772727731806 -0.025083887800758677 0.014316527341035529 0.029905799041137292 -0.007919926338435797 -0.00022534133693238723 -0.009154834407471304 -0.0027161782390182267 -0.013850305902186232 -1.54665069310845e-05 1.1587529307410433e-05 2.0351246738443393e-05
PC_7 0.00010412298008560712 -5.880751636435557e-06 3.481751010293773e-05 -6.367610660080473e-07 3.8107665243991135e-09 -0.00731139190510506 -0.010187771225956287 -0.007228950485279558 0.0036027669278058242 0.3626867761384211 0.015038775244800065 -0.0010458824896149945 -0.01673485302036971 0.019921397083618078 0.004994205316941855 0.033015180850778356 0.011194161628250808 -0.03806106386077231 -0.025800172615760973 0.029085415226670488 -0.010028857247346814 -0.01179626541208248 0.0005773843352900028 0.010214367248767314 -0.016973289636252283 -2.0841004079144538e-06 1.2516410885127773e-05 1.8462529380459127e-05
