 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
intercept 0.007750421789918096 -5.107190706128013e-07 0.00061622900507665 -2.4963397159862863e-05 2.916018378772126e-07 -0.0026467488044780016 0.0003531620684247979 -0.0018803295018883122 0.0007359824917405465 0.002365184054306381 -0.003552201849712646 -0.0002221955900355153 0.0027997755116835636 0.00148898453220181 -0.004686606568772765 0.002696808839960841 -0.004277938390643676 -0.003532767023082901 -0.006071057660467454 -0.0024602726358927255 -0.005443135995010566 -0.0001717036789234207 0.00013280673297962658 0.00459147342402385 -0.000977546663008542 -1.3264570936473151e-05 -3.335786215441529e-06 2.1025256407012104e-05 1.6379858769205223e-05 -1.494114369975675e-05 4.163181145548541e-06 -4.718747176430056e-05
yob -5.107190706139718e-07 2.3504604995716466e-06 1.1176824281813249e-06 7.007056325205032e-09 5.239051202927823e-12 2.6606311455075362e-05 0.00031834947182965564 2.9085080905180752e-05 -0.0002498635437887077 0.00011264159873154546 -0.0002617050269905742 -5.1390294622828454e-05 -0.00017060674466414742 0.0002651032605542699 -1.9077577321003697e-05 -0.0002297524444057996 0.00019177992729862875 -0.00013800686831680884 -2.5892285309795167e-05 0.00012936406819546954 0.00012953926219786674 -0.00013108048961002212 -6.752242037285258e-05 6.102801126964403e-05 -0.00035520837382425506 -4.1697879015965245e-07 1.3457103881891804e-06 -1.0208823626106309e-07 -1.8836195686390371e-06 -7.447563816805734e-07 -7.938674188633891e-08 5.042317436945264e-07
age 0.0006162290050766614 1.117682428181527e-06 0.00011808108875106189 -3.968890825174791e-06 3.9526806060491836e-08 -0.00013288697317242288 -1.1242701607599255e-05 -0.00045858988039607074 0.00026706623070586337 0.0002536285344955474 -0.0005122525277444404 -0.00043454250737438876 0.00018926052806015153 0.0009644193881164538 -0.000143670923375706 0.00035550347414605577 -0.0002020059082642172 0.0002373969336311472 -0.00019096908150307464 0.0009991395659263427 -0.00013865263623947312 5.333355169224684e-05 4.923636044080661e-05 0.0008268773478380967 7.565190541995819e-05 -4.968136145764371e-06 3.9359395386966907e-07 -3.849571182815447e-07 4.62399592630234e-06 -1.4330354789358706e-06 7.307404945252984e-06 4.993041454300477e-07
age2 -2.4963397159863358e-05 7.007056325201117e-09 -3.968890825174783e-06 1.4070191851422005e-07 -1.4495749198074036e-09 4.0549107491021994e-06 6.734952045897322e-06 1.582412736611065e-05 -1.3948882881201122e-05 4.241533329050385e-08 1.186219674104064e-05 1.3403135939101549e-05 -1.612327089083889e-05 -2.5414990198901482e-05 3.227544654586982e-06 -1.5955308894840566e-05 1.2150650108311357e-05 -4.405865791824927e-06 8.919092464577762e-06 -2.625785796389194e-05 1.2979861878610435e-05 -4.17768062168441e-06 -8.366612975291244e-06 -3.350185662818834e-05 1.3684361954899992e-06 1.5896337999282068e-07 3.698997645686576e-08 -3.7750159180732815e-08 -2.0187798578742398e-07 4.924343125261379e-08 -2.453065353299956e-07 9.168712154110905e-08
age3 2.916018378772151e-07 5.239051203004468e-12 3.9526806060491644e-08 -1.4495749198073997e-09 1.5378778786791307e-11 -4.529257267783068e-08 -4.165091033971412e-08 -1.5518218776915407e-07 1.1483680697726683e-07 -8.859509148365014e-09 -1.315444678525847e-07 -1.274511255069354e-07 1.9242955475381955e-07 2.45878241233052e-07 -3.8741152978902e-08 1.5552697151660475e-07 -1.3139740518642124e-07 -1.0449108473317717e-08 -1.3643684984482383e-07 2.1006387615928165e-07 -1.6468502211117675e-07 2.7637636135296658e-08 1.0254616655982683e-07 3.5741946728929474e-07 -8.845767934381345e-08 -1.506859621413878e-09 -4.713621638395368e-10 6.358939409832674e-10 1.918464555145969e-09 -5.976980991928195e-10 2.249193931768839e-09 -1.4165987580102858e-09
PC_3 -0.002646748804477919 2.6606311455075156e-05 -0.0001328869731724056 4.054910749101642e-06 -4.5292572677824745e-08 0.511183937756235 -0.08325409257952252 0.023553526331617326 0.06798567512634475 0.04286544736935151 0.04055486872122041 0.018650663931102505 -0.0903523536455781 -0.05046673423288331 -0.03248730073603435 0.10154484142051419 0.028868596987980454 0.15711977371435587 0.006315340920039268 -0.19705000432424874 -0.05688129059402654 0.0033972468336127375 0.053098517949062965 -0.13278636725127155 0.1741999130700687 4.889329997958432e-05 0.00015749627019653268 0.0001083370638417348 -0.0005284236616021979 -0.0008508297065084929 -0.00045015167911362247 -0.0006061036850244252
PC_4 0.000353162068424691 0.000318349471829655 -1.1242701607619015e-05 6.73495204589799e-06 -4.1650910339723036e-08 -0.08325409257952243 1.5016233780328214 -0.01320038452043291 0.32886838272780416 -0.12716758848732607 -0.12477380306860875 -0.012952669125439237 0.047162912569381585 0.0695437932962627 0.1034578734721451 0.16904365288418668 -0.07560147224913136 -0.19073457248371245 0.13370329973625697 0.07517203773737079 -0.08976655008194531 0.05450944698389453 -0.09502667658586367 0.07355557511262537 0.22908296206874626 -0.00010821650624010254 0.0005533415147579434 -2.1278274768241256e-05 -0.000669970936308725 -0.0008898889830879435 -0.0009016043004540672 0.0003683080170299337
PC_5 -0.0018803295018883228 2.9085080905179187e-05 -0.00045858988039606537 1.5824127366110537e-05 -1.5518218776915114e-07 0.02355352633161731 -0.013200384520434668 2.063063877639571 -0.10110502830085226 -0.270540144814011 -0.2254732384759181 0.2797519914979008 -0.13713499996736142 -0.3472994139838107 -0.15446390320911713 0.005859541344920404 -0.15790296576171098 -0.09663270516423081 0.06224100326382429 -0.43578191039747777 -0.13854138325692048 -0.07503978760786556 -0.047048650247681116 -0.11531741573544987 0.30175832723095153 -0.00022339558237042138 -0.0011258847163068172 -0.0005704508895752373 0.000739178404646766 0.0013388062325280412 0.00019866443264766656 0.0015859104147818597
PC_6 0.0007359824917404265 -0.0002498635437887068 0.0002670662307058649 -1.3948882881200935e-05 1.1483680697726377e-07 0.06798567512634414 0.32886838272780483 -0.10110502830085155 2.6984408475426034 0.16116557918374944 0.24867038695701218 -0.1359427129969614 0.25887789466057876 0.13632499454998181 -0.1111403430284414 0.13849646803704743 0.38939242784679756 -0.4464081795438164 0.11475832017019767 0.31354862205412015 -0.0764210058228317 0.011052301605699559 -0.2791599276386415 0.18050906556542348 -0.2149131867361194 5.7926907273535814e-05 -0.0013290268518020639 -0.0003301049504315797 0.0003815919097485316 0.0021553260916662457 -1.3721421462625228e-05 0.0007705161690195735
PC_7 0.002365184054306414 0.00011264159873154535 0.00025362853449554504 4.241533329087565e-08 -8.859509148366735e-09 0.04286544736935054 -0.1271675884873225 -0.27054014481400895 0.16116557918375268 3.715100313218429 -0.032271542770474955 0.4193277836195222 -0.1969532776647139 0.37765029934716654 0.2759514651611232 0.19108913630259233 0.06977472136272755 -0.4092629544225898 -0.2088285227372739 0.6332038590355886 0.20069725387719903 0.06673444052797989 -0.49236719548905344 0.0723939151455683 -0.5851300389206958 0.00022482431198479552 0.002076056356659842 0.0011077202306586469 -0.0020075526744417044 -0.0020798661422602813 -0.000333305838637323 -0.0023322472490664584
