 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
PC_4 -2.0314137111605077e-06 7.038694024922093e-06 -2.365100606410175e-06 9.853573082780956e-05 1.285640791489892e-07 3.8471126446996923e-07 -3.2699333666763995e-09 -9.393496162531644e-08 1.0246454423096844e-09 0.0008065021166632564 0.08759233594656674 -0.0024046511610081958 0.005198111038798643 -0.0033164343018787868 -0.0005605377939239597 -0.0032519304113124477 -0.0007260894443631249 -0.006075012331562227 0.0016437734567755348 0.004370085494431609 -0.008471018545937924 -0.005962668890793874 0.0062802676159572635 0.005121315048414746 -0.0028050723859601233 0.00223158974848705 -0.0040089087388392045 -0.00034546038191167006 0.0032229400730400416 2.8631081003728206e-06 -1.5155077345529639e-05 -1.794276339662521e-05
PC_5 4.1745779620522544e-06 5.480649937531354e-07 -6.046461116462651e-06 -4.1761034212580653e-05 9.887335880325342e-06 2.4673674087637187e-07 -2.1031395931117545e-09 -3.049271548999909e-07 2.4623045902556758e-09 0.0018095373099319423 -0.0024046511610082335 0.11532237914767934 -0.0028818546475837155 -0.004462080769307964 -0.0010176746217574286 0.0049437169328122275 -0.008338644997901547 -0.0013496252269219473 -0.008889025665298336 -0.0065291521047431385 -0.0004757892733825591 -0.008057204263740875 0.006889982022449572 -0.014136617594341962 0.005100246686679577 0.0031743210521206866 -0.0013788141177276181 -0.001444834749350571 0.008563109875750055 1.2236850691606559e-06 -3.5435161475379746e-06 -2.707512245612508e-06
PC_6 -3.866455822855704e-05 -6.826572822956387e-06 -1.69509201439055e-05 0.00010671210146407926 -5.300798040921207e-06 2.140509645255092e-07 -1.5202507162083975e-09 8.620128913701934e-08 -4.4559364803552833e-10 -0.00036395599095710024 0.005198111038798627 -0.002881854647583692 0.14565103568279567 0.003004939156621525 0.004568959579462612 -0.006573812807591507 -0.004506564611300143 0.0028957396517799035 -0.0066829510655328165 0.0010945502415192444 0.0002841597155147187 -0.01171118846843805 0.007357676580039406 0.013280849866925579 -0.003925871537898659 -0.0005433167528677772 -0.006398060966702007 -0.0018911905956686046 -0.004940775723728958 3.5532000986863775e-07 2.0808410135378097e-06 5.786299720400045e-06
PC_7 4.825248729894451e-05 -1.6427264755136486e-06 7.310169603697878e-06 -3.436928704445216e-05 1.540965039554657e-06 -1.1471357997553245e-07 7.228816792010322e-10 -3.3509401084318296e-08 2.733239770627217e-10 -0.004454932577392868 -0.003316434301878786 -0.004462080769308015 0.0030049391566215346 0.18248874124042497 0.006584003125506963 -0.00122940015931135 -0.007826595561508906 0.007130264727481579 0.005439015507318339 0.01759098884007135 0.005279955409337322 -0.017565643775130837 -0.01277876376956319 0.015347885092894253 -0.007574488686128735 -0.005520689782281946 -0.0014806468853331377 0.00645809159165173 -0.007851525131829358 -1.4317333508270227e-06 3.0080200507107703e-06 1.2271977027511538e-05
PC_8 -6.910502119461319e-05 -3.0748794562983064e-06 1.4839602341075314e-05 0.00017661286240598095 -1.764083680960514e-05 -4.28180811127372e-07 2.785793046658139e-09 4.5102229233091664e-07 -3.3004225860989093e-09 0.0019208795326486248 -0.0005605377939238861 -0.0010176746217574102 0.004568959579462644 0.006584003125506883 0.1955868147801286 0.008016879563849501 0.007940871531624885 -0.0031368526483961236 -0.002856414786001824 -0.008825684015408196 0.006091295936456852 0.017020427326896247 -0.01066532367910047 0.006331262013876345 0.012515761215240541 0.002611241364004093 -0.00016866387583096474 0.0008171213539154001 -0.008646417557073242 -7.520583372334699e-06 -9.734455054987534e-06 -1.2940422075094149e-06
PC_9 4.6978703284387076e-05 1.57997227623011e-07 1.0843470449981683e-05 0.00020895936496848888 -1.3183275087967046e-05 -2.421355422829555e-07 1.6505297718373153e-09 2.59980684094344e-07 -1.516207506305078e-09 0.003710901032015331 -0.0032519304113124018 0.004943716932812226 -0.006573812807591469 -0.0012294001593114129 0.008016879563849534 0.2620854982040955 0.00815793476514459 0.0011316996554668229 -0.014549678261547797 0.00676923469055677 -0.002138630776043049 -0.002402038931569028 -0.010292670005579024 -0.005700525200524298 -0.0047163525846291455 -0.0006325436534557055 -0.0001976327390548916 -0.006612504477220817 0.012518170517123233 -1.2724905485526676e-05 1.0728215376323441e-05 3.1891287661398714e-06
PC_10 -4.12658420395333e-05 -2.506584281772175e-06 2.7254060338118535e-06 8.622346581128336e-05 -8.416602048819348e-06 -1.991357933197204e-07 1.6876378574477803e-09 1.9700472744011903e-07 -1.3225953405392309e-09 -0.00401893213046402 -0.0007260894443631055 -0.008338644997901542 -0.004506564611300144 -0.00782659556150894 0.007940871531624902 0.008157934765144571 0.31844943703246303 0.01648968764597032 -0.007984942103574826 -0.003614334017187797 -0.0006776251918363958 0.010239716925467525 0.002542197688353363 -0.0029342483354982325 0.00990339181761422 0.0035329276993117317 -0.001947678219248156 -0.002080903859185922 -0.008517801500893032 -5.720107066239098e-06 1.2924681370817041e-05 1.6234179820031045e-05
PC_11 -5.076587837875314e-06 4.635133324415407e-06 3.0913522197557725e-06 0.0002607216569089796 -1.22613244541069e-05 1.3114851394558813e-07 -1.4369058102850786e-09 1.7660652293919971e-07 -8.111057149498391e-10 -0.00024392613598124037 -0.006075012331562188 -0.0013496252269218998 0.002895739651779943 0.0071302647274815185 -0.0031368526483961903 0.0011316996554667637 0.01648968764597032 0.2977117975686705 0.0032269941561349977 -0.002224384937759945 0.011651202341551876 0.014829162203158547 -0.0038454591540066896 0.009369216361504834 -0.009261026826701062 -0.004473871523308492 1.647909658127987e-05 -0.002122505625727751 0.019385053582444984 -1.0839383177737411e-05 7.384182549377421e-06 -2.2215179061651708e-06
PC_12 -7.378616946967572e-05 -1.6297412003470133e-06 1.3419215650106799e-05 0.00017962749045727112 -1.508321302461473e-05 -4.177721450609487e-07 2.993963524362513e-09 3.8211717308770147e-07 -2.8891087894098657e-09 -0.001205784220812048 0.0016437734567756191 -0.008889025665298242 -0.006682951065532815 0.005439015507318288 -0.002856414786001924 -0.014549678261547867 -0.007984942103574864 0.0032269941561350202 0.33349223137699663 0.015108409125404282 -0.0010069201833906942 -0.010144432378649702 0.005738830745139174 0.01748141292589565 0.0101894268766463 0.009517488393687063 0.008546435340666224 0.01077150393144096 0.004066898221263172 -6.948118493575498e-06 -1.765526545355039e-05 -5.4692541727790514e-06
PC_13 -5.714933364018594e-06 -4.260576783945502e-06 -6.890829859309439e-06 -0.00040125228840446795 2.335591960283352e-05 -7.059737800727893e-08 1.1318005732884472e-09 -3.56827870745361e-07 1.5756467804540733e-09 0.0005549015103211512 0.004370085494431548 -0.006529152104743192 0.0010945502415191674 0.01759098884007142 -0.008825684015408149 0.006769234690556849 -0.003614334017187781 -0.0022243849377599676 0.015108409125404237 0.34845099283734304 0.014190658842705426 -0.00035239318346293126 -0.0070083550874508165 0.016871135306095502 0.00956975193217258 0.002487260777097868 -0.01774253250315696 -0.013503870706959369 -0.005484198479088142 5.760481696249016e-07 4.072416950698012e-06 5.830398111255589e-06
PC_14 -1.4570277941840356e-05 5.744799225567105e-06 -1.5866835292155197e-05 1.3653741421409632e-05 -1.3191758309372902e-06 4.346513787161613e-07 -2.8501588272716014e-09 3.600036727138157e-08 -3.0418852578023093e-10 0.004938939566855556 -0.008471018545937946 -0.0004757892733825142 0.0002841597155147229 0.005279955409337325 0.006091295936456781 -0.0021386307760431107 -0.0006776251918364101 0.011651202341551831 -0.0010069201833907504 0.01419065884270552 0.33926368839824744 -0.0015246899520119032 -0.0013222340407562292 0.00615014602760449 -0.0027640560122059337 -0.002187309106559195 -0.002382817701297943 -0.025426481309408253 0.0070718895477940484 1.17594368687297e-05 -1.2738689450594869e-05 3.4152321014029274e-06
PC_15 -4.913338841812647e-05 -5.465768032212335e-06 -1.0050627251604952e-05 -3.5395177454422666e-05 1.968497383709748e-06 1.873872275198367e-08 2.8508526866151477e-10 -1.2733040802427663e-08 -4.7939562417046555e-11 0.002543208863059022 -0.0059626688907939 -0.00805720426374088 -0.011711188468438084 -0.01756564377513083 0.017020427326896254 -0.0024020389315690207 0.01023971692546751 0.014829162203158528 -0.010144432378649683 -0.00035239318346290703 -0.0015246899520119444 0.3940777346305091 -0.00992011201741988 0.004781741463444747 0.0050194852227788325 0.00014456497338485717 0.0027827566848319324 0.0005409104796708224 -0.013469656566803425 1.0783132555329887e-05 1.1642274098720375e-05 -1.063788223940993e-05
PC_16 2.2942477547278823e-06 -2.7257006556632217e-06 -3.625455888540953e-05 -9.641394060433941e-05 8.756439333033027e-06 7.594819326841551e-07 -5.31290582247976e-09 -2.447496669732435e-07 1.9349263027117583e-09 -0.0015296538262663953 0.00628026761595718 0.00688998202244959 0.007357676580039394 -0.012778763769563146 -0.010665323679100511 -0.010292670005579074 0.0025421976883533725 -0.0038454591540067868 0.00573883074513908 -0.007008355087450679 -0.001322234040756276 -0.00992011201741983 0.4097927525907851 0.008084968190947648 0.004484179406794261 0.002262009124901553 0.009954917834724393 0.014200869228462783 0.008656199028018388 1.4015913298795226e-05 -9.427729215524144e-06 -1.1501822337974258e-05
PC_17 -3.523346458165682e-05 8.532534894893725e-06 9.308459257255214e-06 -7.272451965678074e-05 8.863321562587165e-06 9.533647301013771e-08 -1.4024798270254796e-09 -2.6512595742044623e-07 2.0526859745398277e-09 -0.009338056224331676 0.005121315048414759 -0.01413661759434193 0.01328084986692557 0.0153478850928943 0.006331262013876268 -0.005700525200524332 -0.002934248335498267 0.009369216361504824 0.01748141292589553 0.016871135306095575 0.006150146027604489 0.004781741463444747 0.00808496819094769 0.4466479299978089 -0.0141006813231348 -0.010718047770857525 -0.016155594008674588 -0.00857972572827894 -0.031501863119836486 1.6912062774200223e-05 1.8835587968525483e-06 -7.681721776161064e-06
PC_18 -5.678224845805125e-06 2.687024687280619e-06 8.19290098209818e-06 0.0003023868931974797 -1.6928947041047893e-05 1.3344443197229591e-08 -8.58399821342493e-10 3.114565815408667e-07 -1.8768728160002253e-09 0.0010263246074795483 -0.002805072385960066 0.005100246686679615 -0.003925871537898607 -0.007574488686128799 0.012515761215240494 -0.004716352584629199 0.009903391817614208 -0.009261026826701043 0.010189426876646326 0.009569751932172571 -0.002764056012205852 0.005019485222778861 0.004484179406794371 -0.014100681323134754 0.4509138322753965 -0.00019375916605617228 -0.010649593161058202 -0.004136447738977318 0.006955250210977003 -1.862147834670237e-05 1.6265200462997558e-05 2.0916862844670104e-05
PC_19 4.933570970905872e-06 -4.2033992399457974e-08 -4.904424718133095e-06 0.00031769444490674706 -2.2061128667265838e-05 1.283719166621369e-07 -1.0136222382027496e-09 4.1871464816057664e-07 -2.406138262316979e-09 -0.0009905356498447404 0.0022315897484871017 0.003174321052120719 -0.0005433167528677102 -0.005520689782282038 0.0026112413640040654 -0.0006325436534557806 0.0035329276993117287 -0.004473871523308462 0.009517488393687096 0.002487260777097873 -0.0021873091065591 0.0001445649733848907 0.002262009124901657 -0.010718047770857452 -0.0001937591660562372 0.4699723255221823 -0.00042166729748873956 0.003770954005735953 -0.0007942742169554462 4.024533822360557e-05 6.269006184287348e-06 8.611505122297786e-06
PC_20 -3.884590612554609e-05 -2.329137050375776e-06 -4.087297640833336e-05 -0.00040774844467338653 2.9918471159906125e-05 7.450824584062221e-07 -4.518460785398512e-09 -6.223722956625305e-07 3.9393480829549185e-09 0.0029777057577169094 -0.004008908738839361 -0.0013788141177276541 -0.006398060966702103 -0.0014806468853329946 -0.00016866387583096447 -0.00019763273905486325 -0.0019476782192481485 1.647909658114194e-05 0.008546435340666111 -0.017742532503156792 -0.0023828177012981 0.002782756684831958 0.009954917834724264 -0.0161555940086747 -0.010649593161058337 -0.0004216672974888585 0.4523097849706854 0.02157858824507609 -0.0012456729124031651 1.886954911099327e-05 1.2458768574986633e-05 1.0170717812158728e-05
PC_21 -4.527571987635777e-05 2.8860253175405817e-06 -2.0080957572601037e-05 -0.00021534506653999309 1.5447220949278875e-05 4.341204245907577e-07 -2.5380195799104677e-09 -3.0257239822456475e-07 1.592907935894355e-09 -0.0007151706303303963 -0.0003454603819117405 -0.0014448347493505632 -0.001891190595668654 0.006458091591651805 0.0008171213539153534 -0.006612504477220817 -0.0020809038591859345 -0.0021225056257278213 0.010771503931440886 -0.013503870706959254 -0.025426481309408337 0.0005409104796708447 0.014200869228462752 -0.008579725728278979 -0.004136447738977416 0.003770954005735846 0.02157858824507615 0.4951348695493367 0.004267027666790524 -4.8875503444343135e-06 6.0979901771403205e-06 1.7825012796672267e-05
PC_22 6.355015648430522e-05 -1.1404743967350424e-05 1.1237394635072123e-05 -4.8032690362014934e-05 -1.1494209924452023e-06 -6.588571399665416e-07 5.615394972963925e-09 1.0894230881616313e-07 -1.0869920297130706e-09 0.004656768071572728 0.003222940073040064 0.008563109875749984 -0.00494077572372897 -0.007851525131829374 -0.008646417557073108 0.012518170517123324 -0.008517801500892996 0.019385053582445067 0.004066898221263322 -0.005484198479088272 0.007071889547794041 -0.013469656566803495 0.008656199028018284 -0.03150186311983646 0.006955250210977162 -0.0007942742169553204 -0.0012456729124034444 0.004267027666790386 0.4827710557362544 -4.4167593841412926e-06 -1.1048036780947826e-05 1.9909955155273375e-05
proband 2.4880018324302856e-07 3.0163264774826115e-11 -1.6645165818781883e-07 -2.3484071353247893e-06 1.380548132275319e-07 2.8594717739704534e-09 -1.5701360274750113e-11 -2.4862717438674034e-09 1.3281351693898123e-11 2.8353114319751952e-06 2.86310810037248e-06 1.2236850691607791e-06 3.55320009868282e-07 -1.431733350828395e-06 -7.5205833723335555e-06 -1.272490548552505e-05 -5.720107066239619e-06 -1.0839383177737833e-05 -6.948118493575064e-06 5.760481696250485e-07 1.1759436868729425e-05 1.078313255533124e-05 1.4015913298794246e-05 1.691206277419713e-05 -1.862147834670205e-05 4.024533822363128e-05 1.886954911099248e-05 -4.887550344435184e-06 -4.416759384138515e-06 2.4105565693189507e-05 -1.599968702961299e-05 -1.4817849775000637e-05
paternal -1.3628859418911662e-07 -2.2938490671056718e-08 8.879342204429731e-08 -2.1023198536537566e-06 1.1271169494670916e-07 -2.2058635991932338e-09 1.4424302717527663e-11 -2.005076485866215e-09 1.2128446086453621e-11 -3.770279490675028e-05 -1.5155077345529918e-05 -3.54351614753863e-06 2.080841013537481e-06 3.008020050712675e-06 -9.73445505498803e-06 1.0728215376322845e-05 1.2924681370817455e-05 7.384182549377604e-06 -1.7655265453551162e-05 4.0724169506978154e-06 -1.2738689450595804e-05 1.1642274098719135e-05 -9.427729215524485e-06 1.8835587968544596e-06 1.6265200462997277e-05 6.26900618426038e-06 1.2458768574986125e-05 6.0979901771400765e-06 -1.1048036780948431e-05 -1.5999687029613014e-05 3.3838850770453493e-05 -6.011443988446243e-07
maternal -3.4809164661456516e-07 -2.3591580888439705e-08 1.359764305524643e-07 3.4662321151396474e-06 -1.986342663726711e-07 -2.3639952493185747e-09 1.281519462334914e-11 3.4054619722149066e-09 -1.772536902187281e-11 -3.3241269419726474e-05 -1.7942763396624403e-05 -2.7075122456118472e-06 5.786299720400392e-06 1.2271977027510963e-05 -1.2940422075102045e-06 3.18912876613901e-06 1.6234179820030408e-05 -2.2215179061650996e-06 -5.469254172779189e-06 5.830398111255714e-06 3.41523210140394e-06 -1.0637882239409986e-05 -1.1501822337973258e-05 -7.681721776160893e-06 2.0916862844669772e-05 8.611505122300154e-06 1.0170717812160654e-05 1.7825012796673602e-05 1.99099551552712e-05 -1.4817849775000604e-05 -6.011443988446611e-07 3.142108827752094e-05
