 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
PC_10 -0.00038791015843907164 -2.383455831885192e-05 -0.00016123878096297467 3.749802728740082e-06 -3.290974105379979e-08 -0.04900552595450787 0.03369200398850391 -0.010801272012690927 0.06565803356964608 -0.1430270417535419 -0.11179975691814627 0.12968609399575637 4.053693223950737 0.35833804659184315 -0.020285073172184358 -0.09763160906913294 -0.06527208172306487 -0.024430050825418152 0.0486672901814982 0.10491253833426092 0.2504471400724455 0.05371244113048298 0.08310408717909402 -0.0427071180459925 -0.19978001534153994 -3.451421430023671e-05
PC_11 -0.0011392623899579622 0.00016895163332431018 -7.138470670232975e-05 6.835849241547702e-06 -6.364600429191756e-08 -0.06035700680712321 -0.06078451120653109 -0.08862821668090934 0.10915081297764981 0.2143052905188268 -0.003766021193732561 -0.07956926353376186 0.35833804659184304 3.7257606489451347 0.14318000892002825 0.23301666956915995 0.20471391897554272 0.21346855772733841 -0.07178247816877667 -0.08014844459551039 -0.3210811691302984 -0.1592640886696119 0.004839488568173151 -0.1399973123521746 0.6006330011666982 0.0002874043060894983
PC_12 -0.0002881083268113828 -1.941542793637881e-05 -8.347102903314966e-05 -1.1245647501383948e-06 2.668178937700031e-08 -0.027288271335681628 0.06965533433814376 -0.022901359543994044 -0.11608545747822045 -0.01330529595665581 0.0955792088445547 -0.28097208739612406 -0.020285073172184424 0.1431800089200274 4.502082723379926 0.14247918384414693 -0.07954549278470519 -0.13147200558974337 0.14899878479053347 0.2723172508277598 0.11439247384777576 0.06679302622920598 0.16231340065847044 0.0993937225721378 0.10839411643845971 -0.00016163841744931172
PC_13 -0.0006323095286175595 -0.00014430089573576197 -0.00018551506359663412 3.7480060530179484e-06 -4.257374673248098e-08 0.08537686048846245 0.12703777531803642 0.06623343667980047 -0.07048613757497735 0.012204206673684567 -0.11440784296337599 0.21645478222089395 -0.09763160906913283 0.23301666956916084 0.1424791838441469 4.255298633338203 0.5422489841372032 -0.1065828239227704 0.0078076503695064725 0.2821269226537031 0.29222653032053103 0.07970384036003272 -0.294910730635898 0.09454476073680713 -0.5314882690304016 -4.718377119729164e-05
PC_14 -0.0014456395087755103 8.509300091878942e-05 8.138935223970201e-05 -1.810828343791021e-06 1.657720170282698e-08 0.024323385461316696 -0.09161787957885566 -0.11897094226953879 0.2150795095792008 0.03268450381201533 0.015383939731444711 -0.08798316628926683 -0.06527208172306471 0.20471391897554309 -0.07954549278470475 0.542248984137203 4.3138706277245005 0.11833642563537353 0.04813223628793899 -0.019748433969750935 0.030426057305941664 -0.005126189601152512 0.060233051795583005 -0.4008398881758396 0.37042662467898635 0.00033681090622656395
PC_15 -0.0006984749377805012 -9.412029686126541e-05 -0.000309253243144381 8.157736400238279e-06 -7.572720278422473e-08 0.08490705355020522 -0.06045209939497831 0.0029470520804573434 -0.22380814038218358 -0.2692376574204915 0.1188328236903892 -0.013732729316065496 -0.024430050825417663 0.2134685577273409 -0.13147200558974367 -0.10658282392277042 0.11833642563537362 4.6263419669752 0.09333111631130168 0.13538271922671583 0.15037882508819866 0.11468153380111235 0.06629385403345363 1.4488543521771108e-05 -0.43871843290272755 0.00039390663951454
PC_16 -0.0007476927121430979 4.959438197755559e-06 5.284229882910959e-05 -1.687868569579165e-06 8.618735321315506e-09 -0.04458920272149555 0.12739330972089943 0.017110282269986423 0.05895112797819157 -0.24892999860677992 -0.19529164485929904 -0.26804439240271855 0.048667290181498256 -0.07178247816877692 0.14899878479053352 0.007807650369506756 0.04813223628793937 0.09333111631130205 5.816444956406984 -0.021515430345406508 0.1120435690399892 0.1682306012250026 0.17330975875654503 0.06468366049572594 0.17481076317463806 0.00030196442269962205
PC_17 -0.0004888010372707003 0.00014209774633713862 -8.081822428155115e-06 1.4216549188924746e-06 2.1110933969212865e-09 -0.16819470058004585 -0.010926193605277754 -0.1378672685358855 0.14321662909703134 0.2576543580466952 0.13241910685730937 0.09004463912859548 0.10491253833426073 -0.08014844459551054 0.27231725082775965 0.28212692265370315 -0.01974843396975099 0.13538271922671563 -0.021515430345406546 5.994855690478612 0.021021981389601825 -0.06417716226545835 -0.26062785006271705 -0.06442593839762933 -0.27062160591308093 4.376597908320969e-05
PC_18 -0.0008500295974254487 0.00011701022742044832 0.00031657760429698654 -7.2455050385033385e-06 6.235471462629177e-08 -0.04178018173590694 -0.03147162711586505 -0.1010444315300677 0.018907734077940972 0.09788501425926469 0.2460115658044254 -0.23093759061559013 0.2504471400724458 -0.32108116913029827 0.1143924738477758 0.29222653032053125 0.03042605730594208 0.1503788250881988 0.11204356903998927 0.02102198138960168 5.108022800316409 0.24730183413951976 -0.0799670677839449 -0.23762566689717957 0.30139993672221915 0.0001852148159379188
PC_19 -0.00032350455119539533 -4.5318038173455494e-05 -0.00037599469760262805 1.0095760002478164e-05 -8.805426920142868e-08 -0.02810924237700349 0.020652518356363867 -0.029537004428593416 -0.03154313846803661 0.027707350008289697 0.004664229966400674 -0.13429062493415894 0.05371244113048328 -0.15926408866960975 0.06679302622920606 0.07970384036003239 -0.005126189601151719 0.1146815338011152 0.16823060122500283 -0.06417716226545793 0.24730183413951964 5.3069371871202415 0.04469243071437461 0.2156586390595854 0.2590376393043555 0.0007791965185878775
PC_20 -0.0013659547823843205 -5.571049207065746e-05 -0.0003613118621973677 7.920634293396265e-06 -6.574058671454559e-08 0.05082352221798214 -0.06172447663911515 -0.009376288064477933 -0.09604772390104517 0.01120397268621111 0.062072971667192695 0.13342982242460355 0.08310408717909412 0.004839488568173358 0.16231340065847025 -0.29491073063589823 0.06023305179558333 0.06629385403345339 0.17330975875654497 -0.2606278500627168 -0.07996706778394501 0.04469243071437502 5.859547194053158 0.5661706539026576 -0.023787636867705547 0.00015640515604169625
PC_21 -9.773812779752902e-05 0.00010916480126938675 -1.106956312444788e-06 -1.972852672729581e-06 4.357021334712717e-08 -0.04682907425084082 -0.06513788490225635 -0.12460471662071225 0.051655185898416285 0.21466265904024195 0.12816957996253173 -0.06173340008681224 -0.04270711804599238 -0.13999731235217436 0.09939372257213774 0.09454476073680705 -0.40083988817583993 1.4488543522269956e-05 0.06468366049572602 -0.06442593839762932 -0.23762566689717968 0.21565863905958577 0.5661706539026576 6.575609747457757 0.16656961399941128 0.0003108238927019455
PC_22 0.0015681679632304447 -0.00025557660365234803 0.00014480405977967893 -6.061583360133837e-06 3.022680524678041e-08 0.16007866922273759 0.17872601313328013 0.18230906428252644 -0.15369657111643512 -0.3451198314614959 -0.143270599489563 0.23919243557364564 -0.19978001534153986 0.6006330011666978 0.10839411643846 -0.531488269030401 0.3704266246789854 -0.43871843290272705 0.17481076317463812 -0.2706216059130809 0.30139993672221893 0.2590376393043555 -0.02378763686770508 0.16656961399941148 5.987656974068056 0.000190673834342805
proband 2.7893377624564936e-07 -3.00165939472974e-08 6.522132885365223e-07 -1.9576555242426948e-08 1.5611420937569296e-10 -0.0002441802763325201 -4.76855710122752e-05 -9.343660148029578e-05 -0.0002162264304001712 0.00026239823377890005 -9.377724703701071e-05 -0.00010719034384085105 -3.451421430023245e-05 0.00028740430608946893 -0.00016163841744929852 -4.718377119728391e-05 0.0003368109062267307 0.0003939066395145629 0.0003019644226996122 4.3765979083244965e-05 0.0001852148159379322 0.0007791965185878731 0.00015640515604168915 0.0003108238927019406 0.00019067383434282024 9.96017087527927e-05
