(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.00113981778337858 0.000932614084554827 0.000269604932021367 -0.000704997117514698 -2.13100828232346e-05 3.53083437143858e-05 -7.73572079520754e-06 2.4072871701211e-05 -4.01094351019831e-05 -1.58046506611988e-05
covarage 0.000932614084554827 0.00179871475545921 0.00166366525832908 -0.00287596202614928 -2.91306260340643e-05 4.90979680995396e-05 -8.28049680926498e-06 -1.43689408157362e-05 -3.88442513952527e-05 6.94825530255537e-05
covarsex 0.000269604932021367 0.00166366525832908 0.00282436564709783 -0.00410786312587949 -1.06122122121135e-05 9.33020994456972e-06 -1.26416553930378e-05 -5.22802744138553e-06 -5.24592044002733e-05 5.08114056308771e-05
covarage_sex -0.000704997117514698 -0.00287596202614928 -0.00410786312587949 0.00704403009853163 1.0067966590028e-05 2.19347693324353e-06 1.65720816553619e-05 1.7376329290261e-05 4.24871402653763e-05 -5.53639664387075e-05
covarPC_3 -2.13100828232346e-05 -2.91306260340643e-05 -1.06122122121135e-05 1.0067966590028e-05 0.000413827130742676 -1.15475646944841e-05 -8.62901125648242e-06 1.05009530088448e-05 -2.162519649277e-05 -4.23963772153389e-05
covarPC_4 3.53083437143858e-05 4.90979680995396e-05 9.33020994456972e-06 2.19347693324353e-06 -1.15475646944841e-05 0.000409185933057691 -3.54132024826266e-06 1.37866735397266e-05 -8.8994504544539e-06 -1.60375197678292e-05
proband -7.73572079520754e-06 -8.28049680926498e-06 -1.26416553930378e-05 1.65720816553619e-05 -8.62901125648242e-06 -3.54132024826266e-06 0.000487227981996831 -0.000222386741011865 -1.51767447026324e-05 -1.91875273313672e-05
paternal 2.4072871701211e-05 -1.43689408157362e-05 -5.22802744138553e-06 1.7376329290261e-05 1.05009530088448e-05 1.37866735397266e-05 -0.000222386741011865 0.00254177319683052 -0.0021049113550623 -0.00200128637845136
gpp -4.01094351019831e-05 -3.88442513952527e-05 -5.24592044002733e-05 4.24871402653763e-05 -2.162519649277e-05 -8.8994504544539e-06 -1.51767447026324e-05 -0.0021049113550623 0.00683279978876032 -0.00268435572998777
gmp -1.58046506611988e-05 6.94825530255537e-05 5.08114056308771e-05 -5.53639664387075e-05 -4.23963772153389e-05 -1.60375197678292e-05 -1.91875273313672e-05 -0.00200128637845136 -0.00268435572998777 0.00671757009679074
