(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband
covarPC5 -5.49989208381314e-05 -0.253561734944106 0.000656981993404644 -0.00065566256485679 0.509787718308715 -0.256259191649223 -5.23607437743265e-05 -2.91234595677616e-05 0.00017153137344721 0.00021829629685691 0.00191692268385524 8.51523044973706e-06 0.000222275229657136 -4.29970473222176e-06 -2.89951273686311e-05 -3.24042174241928e-05 -0.000115046976777767 5.27547734257152e-05 -0.000106960194423708 -4.75301166624988e-06 2.73875689580379e-05 -3.40155662794788e-05 0.00012165469467198 -5.23187537488241e-05 3.66774088721113e-05 3.4082424924298e-05 -5.09705114565512e-05
covarPC6 4.59511151832958e-05 0.294878060611089 0.0105128094401821 -0.0105796080729664 -0.592990121738646 0.298181455087933 1.05562993477076e-05 -3.5179349449199e-05 9.66859604423151e-06 -0.000101207982109068 8.51523044973706e-06 0.00161741949229851 3.26065014314049e-06 -1.75655396283405e-05 3.34612586184882e-05 -8.13512317288512e-06 -4.77780145064597e-05 2.06300688578262e-05 -8.94645239879307e-05 -7.83994752520184e-06 -2.77745120026347e-05 -1.57863974348422e-05 9.41279605021771e-05 -1.47046546982567e-05 -5.07936784826703e-06 -2.28937823280326e-05 2.27383392698585e-05
covarPC7 -4.52648959920448e-05 -0.37368045981982 -0.00171148135750809 0.0017320881425686 0.749113115502297 -0.375489463554057 3.95238060246668e-05 5.85063740353981e-06 6.7378020941559e-05 1.65667407500067e-05 0.000222275229657136 3.26065014314049e-06 0.00178747219811616 9.23010381669935e-05 -1.93949965137363e-05 -9.75431045379218e-06 0.000159036624103181 2.38236268830821e-05 0.000142475167615061 -3.12682074442625e-05 -6.56585307862061e-05 -6.02268691507885e-05 -1.06523745366731e-05 1.71237081033101e-05 -2.46033500722652e-05 -5.11386083925491e-05 -2.7671004867151e-06
covarPC8 -4.40848675686722e-05 0.0779153253887452 0.00553819477148429 -0.00552685871733172 -0.156802077467764 0.078905776604986 9.42525653565331e-05 1.39510448069752e-05 -3.83627020894072e-05 -0.000210320887246508 -4.29970473222176e-06 -1.75655396283405e-05 9.23010381669935e-05 0.00181024719781801 1.60810132059018e-05 6.08660032318719e-05 -0.000113245831565419 3.00282702518743e-05 -1.64065563690956e-05 1.64049574348916e-05 -6.40692985423815e-05 1.42034993699216e-05 5.63889353440603e-05 -2.66612195488368e-05 -1.37002089955383e-05 5.27972265980972e-05 1.62923013147577e-05
covarPC9 -9.4747594687384e-06 -0.370555020787403 -0.000592547375577428 0.000655546604463215 0.744299726292265 -0.373813744780592 -2.24295823766074e-05 -4.27606130095277e-06 -0.000209461982365972 0.000109241374654347 -2.89951273686311e-05 3.34612586184882e-05 -1.93949965137363e-05 1.60810132059018e-05 0.00178792447585559 -3.60506119658815e-05 -5.6151879607801e-05 -2.45659965966991e-05 -5.78694867323233e-05 -2.96198497935527e-05 4.65680451486672e-06 4.01967060829498e-05 6.42826169182964e-05 -5.46214744134491e-05 -2.7127080788385e-05 -4.21255071029899e-05 -3.8834747829645e-05
covarPC10 5.35772195732368e-05 0.423414195563721 0.00387429332679637 -0.00383585416536139 -0.842712981582766 0.419378102489066 3.31703871636131e-05 -3.0195855062024e-06 3.07458285967857e-05 3.37122294912493e-05 -3.24042174241928e-05 -8.13512317288512e-06 -9.75431045379218e-06 6.08660032318719e-05 -3.60506119658815e-05 0.00178087676952602 -9.50929350261385e-05 7.40432191422797e-05 -8.73182266808528e-05 -4.91362836444151e-05 -8.80050983153929e-06 -5.68767356050782e-05 1.97316227972252e-05 8.57299655516638e-05 5.68402081527861e-05 3.32909941092223e-05 3.50536997270651e-05
covarPC11 1.04116610561298e-05 0.0676610623214269 0.00544966889638444 -0.00542676514940275 -0.136207738734592 0.0685918847939404 -4.9177014537149e-05 2.41221318126639e-05 9.35199676253608e-05 3.76439286627832e-05 -0.000115046976777767 -4.77780145064597e-05 0.000159036624103181 -0.000113245831565419 -5.6151879607801e-05 -9.50929350261385e-05 0.00175424995911351 -9.1369252666906e-06 -3.19825741702747e-05 -5.53098291926393e-05 3.85512431346362e-05 8.02003111508737e-06 7.90375974275379e-05 7.91507944223643e-06 4.23689337894179e-05 7.49309720619141e-05 -3.34413551571018e-05
covarPC12 4.915577019714e-05 0.202486723865995 0.0055033101279217 -0.00552455075881967 -0.40169159527213 0.199254270133707 0.00024876847422329 -6.03394514028819e-05 3.10598136475749e-05 -0.000114028748960457 5.27547734257152e-05 2.06300688578262e-05 2.38236268830821e-05 3.00282702518743e-05 -2.45659965966991e-05 7.40432191422797e-05 -9.1369252666906e-06 0.00167525416971589 2.70783404334368e-05 8.66996022870585e-07 -3.06441185211511e-05 -4.67051280152906e-05 -2.07689654624294e-05 3.86387914330217e-05 -4.9330001912201e-05 -4.83386079364201e-05 4.61663463365854e-05
covarPC13 3.43638002211459e-05 -0.167421985868981 -0.00178768378252485 0.00182063615699736 0.3375334916572 -0.170127161280253 -5.69109695165242e-06 -1.09791759137398e-05 -0.000126723532140727 1.07918423300058e-05 -0.000106960194423708 -8.94645239879307e-05 0.000142475167615061 -1.64065563690956e-05 -5.78694867323233e-05 -8.73182266808528e-05 -3.19825741702747e-05 2.70783404334368e-05 0.00166725619912032 -8.50369269563736e-06 9.49420549769367e-05 2.60858468987823e-05 2.47262586011338e-05 -8.2422540221883e-05 3.78692156148179e-05 1.28896217536993e-05 -4.21512196614419e-05
covarPC14 8.40587407412412e-05 -0.421406564120511 -0.00211641706945343 0.00202094821195017 0.839653596796831 -0.418330761504652 -0.000107760710992782 -3.6713951989754e-05 -3.01366662369824e-05 -6.76970535017102e-05 -4.75301166624988e-06 -7.83994752520184e-06 -3.12682074442625e-05 1.64049574348916e-05 -2.96198497935527e-05 -4.91362836444151e-05 -5.53098291926393e-05 8.66996022870585e-07 -8.50369269563736e-06 0.00169469596987085 -7.70483356121519e-06 -2.94765905614809e-05 -2.16590874082676e-07 5.00809066090613e-05 3.65567786922112e-05 -2.59160673251518e-05 5.55747119797024e-06
covarPC15 4.40793782316757e-05 -0.364898763110069 -0.0161712625382095 0.0161586817282984 0.730044312175519 -0.365180216120447 -0.000174062583964288 6.094108035762e-06 -1.17251217912966e-05 1.05530867823798e-06 2.73875689580379e-05 -2.77745120026347e-05 -6.56585307862061e-05 -6.40692985423815e-05 4.65680451486672e-06 -8.80050983153929e-06 3.85512431346362e-05 -3.06441185211511e-05 9.49420549769367e-05 -7.70483356121519e-06 0.00170583598148986 8.19195480283931e-05 -8.39447041662889e-05 -5.49174372760136e-05 5.3030500208399e-05 1.47993305338654e-05 4.25939425274553e-05
covarPC16 3.54475711281763e-05 -0.412362442017171 -0.0179831416924079 0.0180088948019948 0.822919075383661 -0.410607090801736 -0.000188599028930135 -3.2653836600999e-05 6.63675598240264e-06 6.00882083640889e-05 -3.40155662794788e-05 -1.57863974348422e-05 -6.02268691507885e-05 1.42034993699216e-05 4.01967060829498e-05 -5.68767356050782e-05 8.02003111508737e-06 -4.67051280152906e-05 2.60858468987823e-05 -2.94765905614809e-05 8.19195480283931e-05 0.00169460107479885 -6.92368477599337e-06 -2.70157298765533e-05 -4.97045950725551e-05 -3.36876586255088e-05 -6.34362676372607e-06
covarPC17 -2.69816621254061e-05 0.0737405041365228 0.00916980754849162 -0.00921191110972842 -0.146571739623346 0.0728845844771376 3.32627533632474e-05 5.52900420189989e-05 -9.95912153807882e-05 1.75918515198915e-05 0.00012165469467198 9.41279605021771e-05 -1.06523745366731e-05 5.63889353440603e-05 6.42826169182964e-05 1.97316227972252e-05 7.90375974275379e-05 -2.07689654624294e-05 2.47262586011338e-05 -2.16590874082676e-07 -8.39447041662889e-05 -6.92368477599337e-06 0.00168983249401157 -1.13572202872442e-06 -2.18124494609791e-05 -1.03204864167128e-05 1.30538971243105e-05
covarPC18 5.8831362340017e-05 -0.141756652461379 0.00501320629938635 -0.00501224655098002 0.281839775925883 -0.140080309274242 7.01727603391597e-05 6.26498038575004e-08 -0.000114790145214915 -6.763280657256e-05 -5.23187537488241e-05 -1.47046546982567e-05 1.71237081033101e-05 -2.66612195488368e-05 -5.46214744134491e-05 8.57299655516638e-05 7.91507944223643e-06 3.86387914330217e-05 -8.2422540221883e-05 5.00809066090613e-05 -5.49174372760136e-05 -2.70157298765533e-05 -1.13572202872442e-06 0.00163890706849012 3.43487056159762e-05 2.27176124031951e-05 2.12707144977496e-05
covarPC19 3.92574192154379e-05 0.212722930074633 0.00374874513604422 -0.00379563111538098 -0.428093597604935 0.215404809422216 2.49826296620283e-05 -1.25203639805295e-05 7.65293163730569e-05 -3.91902212978396e-05 3.66774088721113e-05 -5.07936784826703e-06 -2.46033500722652e-05 -1.37002089955383e-05 -2.7127080788385e-05 5.68402081527861e-05 4.23689337894179e-05 -4.9330001912201e-05 3.78692156148179e-05 3.65567786922112e-05 5.3030500208399e-05 -4.97045950725551e-05 -2.18124494609791e-05 3.43487056159762e-05 0.00167052590429407 5.31000448226151e-05 -2.07478774795031e-05
covarPC20 -2.41195769115993e-05 0.361186446272696 -0.00179613970260326 0.00182472827593476 -0.722501891580923 0.361331125743868 3.74980610404969e-05 9.1499028701372e-06 1.54314267593216e-05 1.21666962860963e-05 3.4082424924298e-05 -2.28937823280326e-05 -5.11386083925491e-05 5.27972265980972e-05 -4.21255071029899e-05 3.32909941092223e-05 7.49309720619141e-05 -4.83386079364201e-05 1.28896217536993e-05 -2.59160673251518e-05 1.47993305338654e-05 -3.36876586255088e-05 -1.03204864167128e-05 2.27176124031951e-05 5.31000448226151e-05 0.0016546690925527 5.43183077388837e-05
proband -1.75845579338371e-05 0.364127052286296 -0.000135140615057938 0.000162481282857552 -0.725355980573606 0.36126611696419 0.000227317728323268 5.73691525387164e-06 -0.000140010139908701 8.97310335192783e-05 -5.09705114565512e-05 2.27383392698585e-05 -2.7671004867151e-06 1.62923013147577e-05 -3.8834747829645e-05 3.50536997270651e-05 -3.34413551571018e-05 4.61663463365854e-05 -4.21512196614419e-05 5.55747119797024e-06 4.25939425274553e-05 -6.34362676372607e-06 1.30538971243105e-05 2.12707144977496e-05 -2.07478774795031e-05 5.43183077388837e-05 0.00157111506715612
