(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband maternal gmm gpm
(Intercept) 0.00547870923457006 -3.99208256201762 -0.896596584486959 0.891635445638196 7.89132921582481 -3.89988546404289 6.55628906732778e-05 3.46619856045696e-06 -0.000238289743346933 0.000134688355697824 -0.000126430324901776 7.50600083880714e-06 4.0258508346242e-05 6.93242935424196e-05 -0.000174324290081918 -0.000105378256921514 1.13314489306552e-05 -6.86725087542976e-05 0.00012492345295616 0.000101376886751449 -1.11054883096064e-05 -3.27559294166697e-05 0.000100554410684966 0.000139203121353099 0.000136359623506002 9.23389844353073e-05 1.82082628327432e-05 0.000206673783638645 0.00023015302969973 -0.000517890556329351
covarSEX -3.99208256201762 1241458.42194952 20161.4299863063 -20098.0061949494 -2478648.46807065 1237405.77146154 -0.448603989654171 -0.958914360609475 -0.400840298065443 -1.14697373163124 0.0503775124378639 0.00524209298270029 -0.291850568769124 1.90951517265681 -0.953445641899428 -0.0580528771761257 -0.115587490399225 0.560107347731009 1.09223278002278 -0.770944353659786 0.887763866936368 -0.630554118533276 -1.68150906156028 -0.147254737514969 0.312830613663092 -0.522180305114009 -0.957945953953613 1.99745702605036 -0.917479669999116 -1.57946224746722
covarYOB -0.896596584486959 20161.4299863063 693.846785659554 -691.670905109 -40227.7769903138 20069.926177649 0.00775291510921447 -0.017581690489884 0.0105763698638261 -0.0779014405870671 0.0327714049378443 0.0258729134369373 -0.0109173416593452 0.0355918236751668 -0.0055001079973075 -0.0058222441840396 -0.0122851777005861 0.0630517417051252 0.00822340489592957 -0.00892450587010677 -0.00688759870744126 -0.0361839769023892 -0.0265966507227175 -0.0218124991275247 -0.0141217989332781 -0.0406649778923839 -0.02616453128776 0.0299525815760147 -0.0324410419243317 -0.0292030049869454
covarYOBsq 0.891635445638196 -20098.0061949494 -691.670905109 689.511439890795 40101.7762241788 -20007.3362405786 -0.00822992431577035 0.0176532889547656 -0.010474341020315 0.0774957524375242 -0.0327567504333449 -0.0258694326918294 0.0107484297383991 -0.0354598805934562 0.00549856502816043 0.00597491665880415 0.0123158024297512 -0.0629254433578071 -0.00810260913620895 0.00875500007717355 0.00695267123236231 0.0362423575209419 0.0263130494381535 0.0216626848168102 0.0139231457965878 0.0405807845832275 0.0259337210473641 -0.0297248649943999 0.0327437140091729 0.0283906910015347
covarSEX_YOB 7.89132921582481 -2478648.46807065 -40227.7769903138 40101.7762241788 4948848.96273057 -2470631.00692394 0.875313088528331 1.91279735641555 0.797585766775748 2.28293100539795 -0.0927674709848288 -0.0127217680972632 0.58552322928291 -3.81616018457644 1.9055958784773 0.119164871207433 0.227681731574683 -1.10826673333871 -2.16835986399197 1.53089140152731 -1.75621091026851 1.27003438889896 3.34316768926032 0.284624933670537 -0.631576845235098 1.04009457697792 1.9091711216437 -3.98655264145657 1.8229486078183 3.15967277302461
covarSEX_YOBsq -3.89988546404289 1237405.77146154 20069.926177649 -20007.3362405786 -2470631.00692394 1233440.06260996 -0.426992480855465 -0.954115742450301 -0.396842411974853 -1.1361899859005 0.0423590769794111 0.00754118963061275 -0.293800186321754 1.90696443196222 -0.952376846730459 -0.0611071833965792 -0.112090591212407 0.548336037798007 1.07636596571362 -0.760097830569128 0.86872554186562 -0.6394793288871 -1.6619377128005 -0.137371460626925 0.318789622497674 -0.518058314579421 -0.951529995801997 1.98951320045957 -0.90547516449185 -1.58064281972511
covarPC1 6.55628906732778e-05 -0.448603989654171 0.00775291510921447 -0.00822992431577035 0.875313088528331 -0.426992480855465 0.0035202535160923 -0.000605693413920949 0.000171542049699909 -6.61620408870077e-05 -0.000213563132766318 -2.54218473924297e-05 0.000162816166329877 0.000138969416770904 -7.2263338996363e-05 0.000119879681783254 -0.00011785264735177 0.000364188517431062 -0.000101537374136724 -0.000139997578422176 -0.0003187188445696 -0.000322349647758563 4.75325138372125e-06 -5.72384559827788e-05 7.58296164148179e-05 4.68538127204904e-05 0.000375497623859251 -0.000414867149540832 0.000267133903891298 0.000874081824812502
covarPC2 3.46619856045696e-06 -0.958914360609475 -0.017581690489884 0.0176532889547656 1.91279735641555 -0.954115742450301 -0.000605693413920949 0.00295468769004913 0.000123934221509703 0.000282100059032619 -2.22951932576756e-06 1.06606935258843e-05 -5.95412448561546e-05 3.46312677808329e-05 6.82662757469178e-06 1.04164307470652e-05 1.04830609460897e-05 -7.96027109113079e-05 5.87833434834002e-05 -0.000129432023092609 1.37316754294966e-05 -8.37157534979796e-06 0.000133632432887036 2.73388655298891e-05 -6.02625681902753e-05 2.15597935259451e-05 2.28647870263935e-05 -0.000108761599010941 7.66073549495624e-05 0.000156254122583833
covarPC3 -0.000238289743346933 -0.400840298065443 0.0105763698638261 -0.010474341020315 0.797585766775748 -0.396842411974853 0.000171542049699909 0.000123934221509703 0.00334667523984435 4.73901091376315e-05 0.00038315335515683 -1.4135078192852e-05 9.31098518030892e-05 -9.07664271695114e-05 -0.000375450377926858 -1.0596114869018e-05 0.000140011198062228 6.71282759033586e-05 -0.000320921862201735 -1.76558257359659e-05 4.16485892303473e-05 3.84178345624927e-05 -0.000130903839476802 -0.000318270322015439 0.000135787258068861 6.99832385294184e-06 -0.000170227099113459 2.96247804836547e-05 -3.13525628387319e-05 -0.00043952544014218
covarPC4 0.000134688355697824 -1.14697373163124 -0.0779014405870671 0.0774957524375242 2.28293100539795 -1.1361899859005 -6.61620408870077e-05 0.000282100059032619 4.73901091376315e-05 0.00335689951175556 0.000626742668797211 -0.000167344238660499 4.83815711438949e-05 -0.000487305636197012 8.64761926623064e-05 9.85405284731931e-05 -1.86505730359943e-05 -0.000187639633012803 -0.000132314566483396 -5.9467692656214e-05 -1.6695470654446e-05 7.12067155279181e-05 8.66994766001433e-05 -0.000143200885192598 -3.87167534944247e-05 1.61146483477374e-05 0.000142375186947907 -6.22182363405146e-05 2.96768028425603e-05 0.000176305711028215
