 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 1.2826188571628406e-05 4.5079464173408633e-08 -3.678659515640047e-06 -2.8393161261642532e-05 1.8186524075502562e-06 7.444059961027253e-08 -4.459916303673062e-10 -3.733932779308941e-08 2.365629942977893e-10 -1.7315855891487023e-07 5.565319125761321e-06 3.5331186123365057e-06 -3.588703131641432e-05 5.659645963890216e-05 -8.117199512667351e-05 4.328886965066235e-05 -4.606798572679592e-05 -1.515483276206895e-05 -9.114226552881081e-05 -1.1229705970717644e-05 -2.91067348475299e-05 -6.190640928364966e-05 8.657779682258496e-06 -5.223701127359678e-05 -1.3573239693534201e-05 1.1277770064714774e-05 -5.151697587046231e-05 -5.137333381675382e-05 7.678434678582276e-05 -1.4262149402343881e-07
yob 4.50794641732998e-08 1.1836296582001216e-07 1.686321069690243e-07 8.805378200199235e-07 -7.042729691901749e-08 -2.7362460845355394e-10 -4.557798958496857e-12 9.165472014575729e-10 -1.8642912956326854e-12 8.996000529849859e-07 8.892613691914603e-06 6.775168573731456e-07 -7.468415860504253e-06 -1.9126961879904426e-06 -4.231196987618877e-06 1.9430320536652036e-08 -3.212037204171479e-06 5.872470192547174e-06 -2.4572106731246977e-06 -6.013291119025379e-06 7.347207039723943e-06 -6.198609515301603e-06 -2.7589619170107946e-06 9.895915028407285e-06 3.206454057112469e-06 4.078925181409528e-07 -2.3949705762374533e-06 4.136655586458088e-06 -1.442299273821913e-05 1.2883618618092447e-08
age -3.6786595156522965e-06 1.686321069673085e-07 4.811718334834954e-05 0.0007062016925803796 -4.7766820761337255e-05 -9.752358649507848e-07 6.139982184991178e-09 9.719175986109315e-07 -6.122366013766895e-09 -3.355434317840077e-06 -5.6379891409367296e-06 -1.4587744443358306e-05 -3.486571471456809e-05 3.6785194305409567e-06 1.1574613778814787e-05 2.3621478848005735e-05 1.1205083941248079e-05 4.349422171899488e-06 1.564727564059519e-05 -4.006522111016968e-06 -1.6858500034732228e-05 6.424918105658739e-06 -3.552671888822761e-05 1.5390527288011224e-05 1.6397800503374903e-05 -2.6619200401502515e-05 -5.955882081824436e-06 -2.343905860118558e-05 -6.229206515594209e-06 -2.6212154923327467e-08
sex -2.8393161262061346e-05 8.805378199946516e-07 0.0007062016925831415 0.016949301074749828 -0.001113161718603753 -1.3998579295489162e-05 8.65387354620226e-08 2.222447322731891e-05 -1.380692582120312e-07 1.9901294905511083e-06 3.6754411165685965e-05 -0.00013865887295446368 -0.0001838938724130735 -0.00012410362457847022 0.00024812970035442347 0.00041934421847842875 0.00021867066330949418 0.00033452080317668644 8.229167698279045e-05 -0.0003782926409470345 -0.00011570402768977726 9.932712305054112e-05 -0.00015523905091003787 2.5764882704108916e-05 0.0005526472499496488 3.700111367181828e-05 -9.146623512989083e-05 -0.00024134273698843113 -0.0006245717046562568 3.943638644200897e-07
age_sex 1.8186524075831975e-06 -7.042729691712617e-08 -4.776682076152249e-05 -0.001113161718603685 7.569466394989068e-05 9.707919900244757e-07 -6.117157360417188e-09 -1.5496020289868532e-06 9.81314934235044e-09 -2.0577820617603903e-07 5.794823119137177e-06 1.8258570218756907e-05 1.3675214808757135e-05 6.715473843122342e-06 -2.270501148216838e-05 -2.8040508445915473e-05 -1.918586051087539e-05 -1.5012134567887886e-05 -8.692623754131707e-06 2.0479106181080924e-05 8.944762637177096e-06 -6.5775643802031425e-06 1.2582478140577376e-05 3.5701080283910415e-06 -3.234424983389863e-05 -2.954710620385011e-06 1.0612818949618294e-05 1.8899760324654094e-05 3.497670900217505e-05 6.9182838310071e-08
age2 7.444059961052028e-08 -2.736246084208152e-10 -9.752358649505885e-07 -1.3998579295428988e-05 9.70791990020431e-07 2.0272130721368932e-08 -1.300713456194534e-10 -2.0186029922224107e-08 1.2951985801928692e-10 1.7338997637050458e-07 5.543599165932064e-07 4.4051110704102113e-07 5.748733562475745e-07 -2.3254435323754823e-08 -3.8426503302146193e-07 -5.332442258583031e-07 -4.051334436660657e-07 1.6498500550207717e-07 -4.925858055435313e-07 -2.152896267189174e-07 4.905000543644661e-07 -3.5573231679075444e-07 7.939476196961769e-07 2.427489575958779e-08 -1.1762083936778908e-07 5.771709982665514e-07 5.2935434174351194e-08 5.718238706653721e-07 -4.379229431801926e-07 1.5942115536336461e-09
age3 -4.459916303699394e-10 -4.5577989586817905e-12 6.139982184989024e-09 8.653873546162483e-08 -6.117157360390421e-09 -1.3007134561943474e-10 8.482475112443181e-13 1.2947956703648923e-10 -8.44251092674565e-13 -1.7863879333906125e-09 -4.674499198224289e-09 -3.3614723575270726e-09 -3.917081292544461e-09 2.9179241841017216e-11 2.4729714209600177e-09 3.6466893668056206e-09 3.0514893023030242e-09 -1.8604191950753898e-09 3.5020703628384347e-09 2.281713250519186e-09 -3.2256338795295022e-09 2.824918311386445e-09 -5.856499066077773e-09 -1.0886518689359236e-09 -2.4959989478660864e-10 -3.788281998251961e-09 -3.2848085068198053e-10 -3.5813775462125703e-09 4.719540288313989e-09 -1.5567083167552158e-11
age2_sex -3.733932779392851e-08 9.165472014208345e-10 9.719175986146957e-07 2.222447322731676e-05 -1.549602028986798e-06 -2.018602992230637e-08 1.2947956703703403e-10 3.240967400479329e-08 -2.08979897707781e-10 -2.2038715942738594e-09 -2.380050312898875e-07 -4.870585967679623e-07 -3.038068772598713e-07 -1.4280403432222862e-07 5.560359975878659e-07 5.805898465807872e-07 4.272742805589418e-07 2.1286986528581828e-07 2.5737408950237306e-07 -2.687642616228993e-07 -1.728587273601284e-07 1.6672716600715312e-07 -3.448517310688888e-07 -1.6097494773468667e-07 5.770407885048357e-07 6.204160420959875e-08 -2.703713349949837e-07 -4.0130057156497614e-07 -5.615351009006419e-07 -2.2693192746159214e-09
age3_sex 2.365629943033065e-10 -1.864291295455468e-12 -6.122366013790675e-09 -1.3806925821201362e-07 9.813149342349868e-09 1.2951985801980598e-10 -8.442510926780039e-13 -2.0897989770777657e-10 1.3697680541751095e-12 1.998814312791667e-10 2.0865147068095807e-09 3.6133243001925497e-09 2.086117085263373e-09 1.0912204969023484e-09 -3.967095037005213e-09 -3.6539261173316217e-09 -2.812370935239786e-09 -9.697832361688047e-10 -2.152159187378272e-09 9.075730218335664e-10 8.513482785915006e-10 -1.2616504596512562e-09 2.708296189501171e-09 1.328524601281522e-09 -3.2255625619445966e-09 -4.1445077606677414e-10 1.981801593035274e-09 2.272750815120717e-09 2.7765878263924547e-09 1.7948410999925864e-11
PC_3 -1.7315855892007462e-07 8.996000529851878e-07 -3.355434317742131e-06 1.9901294925000023e-06 -2.0577820630967152e-07 1.7338997636850593e-07 -1.7863879333779744e-09 -2.203871591520299e-09 1.9988143126163316e-10 0.03199182628118685 0.0006391202726717686 0.001840573668579051 0.0001085939263874486 -0.005003276668839001 0.002080157757584493 0.00379010846089235 -0.004573638689474986 -0.0008316127282472085 -0.0016147080499824844 0.000598357131214722 0.0055644071557095515 0.003752205428219546 -0.0018553786973374957 -0.011428880886355856 -8.050543634909609e-05 0.00010952330132161954 0.004102422960085371 -0.0008621088660897053 0.0063591515807881645 5.089335986358119e-05
PC_4 5.565319125749998e-06 8.8926136919154e-06 -5.637989140658676e-06 3.675441117171933e-05 5.7948231187226e-06 5.543599165875394e-07 -4.674499198188458e-09 -2.380050312813222e-07 2.0865147067549028e-09 0.0006391202726717797 0.10651858453746708 -0.0032081902584284914 0.006286602870135061 -0.0035478461093442883 -0.0008344972062454453 -0.0033555098555476293 -0.00043808315588278734 -0.0063586222292317815 0.001799466788379749 0.005652588945944002 -0.009910703176980586 -0.006940548516927327 0.006946674345617383 0.006075525655988252 -0.004642971989488047 0.0030290664397365423 -0.005201600940253404 -0.0008486877787821894 0.00465497272639238 1.230573202988309e-05
PC_5 3.5331186123395716e-06 6.775168573737834e-07 -1.4587744443319455e-05 -0.0001386588729526129 1.8258570218631207e-05 4.405111070402998e-07 -3.361472357522837e-09 -4.870585967653841e-07 3.61332430017617e-09 0.0018405736685790952 -0.003208190258428381 0.14086895742214314 -0.0035963715320319863 -0.005470071172797947 -0.0015424557600899728 0.006265893624261956 -0.009183282487188025 -0.002727204253330595 -0.010029986144648378 -0.0073786122246147934 -0.0016575757276650306 -0.009191698606714111 0.007840220114447717 -0.017161493492602285 0.004764160948760363 0.00327449804726348 -0.0011833312164148627 -0.0017812994607158408 0.010782158575099385 2.227704165710152e-05
PC_6 -3.5887031316407337e-05 -7.4684158605035355e-06 -3.48657147145842e-05 -0.0001838938724123886 1.3675214808714892e-05 5.74873356248031e-07 -3.917081292547977e-09 -3.0380687725908236e-07 2.086117085258789e-09 0.00010859392638749136 0.006286602870135186 -0.003596371532031957 0.17805073507833794 0.003680026052943473 0.005699778763407347 -0.007836790984666052 -0.0038846266058856754 0.0054011876190461945 -0.008180238432172932 0.0007480233612554368 0.0018116149201355817 -0.015249788519976716 0.008462756975833827 0.015355240362063828 -0.004162233470853313 0.000282733243342531 -0.008153146619658089 -0.0025536627399820543 -0.0059767967748105355 3.751185689178404e-05
PC_7 5.659645963890658e-05 -1.912696187990425e-06 3.6785194304834733e-06 -0.00012410362457946218 6.715473843190691e-06 -2.325443532256781e-08 2.917924183345198e-11 -1.4280403432363943e-07 1.0912204969113291e-09 -0.005003276668839004 -0.003547846109344263 -0.005470071172797922 0.003680026052943485 0.22322847561939163 0.007632373827685833 -0.0010902880416810323 -0.008989233117548161 0.008615674529269613 0.0062341130267534964 0.020047623498685847 0.006043718650525506 -0.02160322040937688 -0.014215014716790356 0.019253134876644082 -0.006793010461157379 -0.005728516466439293 -0.0024765328949776207 0.008743176560698462 -0.010463565911641442 -4.6095079304012005e-05
PC_8 -8.117199512667869e-05 -4.231196987619607e-06 1.1574613778774983e-05 0.00024812970035226325 -2.2705011482020304e-05 -3.842650330207119e-07 2.4729714209555335e-09 5.560359975848038e-07 -3.9670950369856206e-09 0.0020801577575844518 -0.0008344972062455621 -0.001542455760089968 0.005699778763407374 0.007632373827685868 0.2399105958087854 0.00953021961479182 0.009303816032478955 -0.002609813563965344 -0.0014657454552980732 -0.008470505735263898 0.009004114423331532 0.0200746953452165 -0.013545118872852655 0.00784347041129226 0.016660635262821966 0.0036680785843006066 0.00038172444709927726 0.0016584105059779962 -0.01092116069618201 -1.4729159679351392e-05
PC_9 4.328886965064975e-05 1.9430320535908143e-08 2.3621478848014805e-05 0.0004193442184772285 -2.8040508445835648e-05 -5.332442258585971e-07 3.646689366807984e-09 5.805898465791762e-07 -3.653926117321517e-09 0.0037901084608923013 -0.00335550985554778 0.006265893624261926 -0.007836790984666034 -0.0010902880416810065 0.00953021961479185 0.3200657765127133 0.011036601261476379 0.00093377474638641 -0.016890443985865082 0.009368144113880867 -0.003690379767498853 -0.002882500191408112 -0.009742660327801486 -0.005825671394658676 -0.007033907156759253 -0.0009566439119434887 0.0003798974062555439 -0.006384848571929814 0.014845277791040884 6.511891739296104e-06
PC_10 -4.606798572679721e-05 -3.212037204172111e-06 1.1205083941176447e-05 0.00021867066330700637 -1.9185860510704878e-05 -4.0513344366465534e-07 3.051489302294331e-09 4.272742805554211e-07 -2.812370935217304e-09 -0.004573638689475007 -0.0004380831558828723 -0.009183282487188015 -0.0038846266058856233 -0.008989233117548135 0.009303816032478934 0.01103660126147634 0.38981211031974816 0.02083648500150114 -0.010173339280766658 -0.0040674071407317694 -0.001499235818749228 0.009054348862489098 0.004009314769087266 -0.0008933540298991045 0.012729096300702365 0.004302266073106298 -0.0035526961625652023 -0.0036037913897154863 -0.01091957413867106 7.407670756275697e-06
PC_11 -1.5154832762085885e-05 5.8724701925473065e-06 4.34942217212809e-06 0.00033452080318072813 -1.501213456816605e-05 1.649850054973668e-07 -1.8604191950453914e-09 2.1286986529156599e-07 -9.697832362054755e-10 -0.0008316127282472265 -0.006358622229231878 -0.0027272042533306976 0.005401187619046103 0.008615674529269613 -0.0026098135639652407 0.000933774746386522 0.020836485001501225 0.3639445443488425 0.005477548330929535 -8.109584342825365e-05 0.014103113379047266 0.017717489301466438 -0.003972896851384926 0.011156994266934415 -0.012373903135990108 -0.005854220009817249 -0.00029083763615277196 -0.004333569522083722 0.023671073553994053 -2.156377720792641e-05
PC_12 -9.11422655288065e-05 -2.457210673125545e-06 1.5647275640433897e-05 8.229167697880358e-05 -8.692623753859459e-06 -4.925858055402915e-07 3.502070362818169e-09 2.573740894967779e-07 -2.1521591873427055e-09 -0.001614708049982516 0.0017994667883796992 -0.010029986144648312 -0.008180238432172861 0.006234113026753515 -0.0014657454552981215 -0.016890443985865165 -0.0101733392807667 0.0054775483309294475 0.41205782492483617 0.019218693402015655 0.0001588587494899973 -0.011436688561148926 0.003820431391896647 0.022046189431430475 0.014212600651466139 0.009987174114824473 0.009392478203137414 0.010776533404021443 0.005077751647714912 -3.393698092756024e-05
PC_13 -1.1229705970698328e-05 -6.013291119025471e-06 -4.00652211129564e-06 -0.0003782926409518927 2.0479106181415e-05 -2.1528962671317573e-07 2.2817132504826253e-09 -2.687642616297974e-07 9.075730218775526e-10 0.0005983571312147463 0.00565258894594412 -0.0073786122246146685 0.0007480233612555476 0.020047623498685857 -0.008470505735264028 0.009368144113880724 -0.004067407140731893 -8.109584342825247e-05 0.019218693402015534 0.4240369158308624 0.018940596481412934 -0.0007927652724859111 -0.006010799568170146 0.022120241421195053 0.013525604643613106 0.0025114441763913376 -0.02126982001679643 -0.01366070672917561 -0.009922787914764098 -3.875016851327973e-05
PC_14 -2.9106734847537555e-05 7.3472070397246294e-06 -1.685850003454964e-05 -0.00011570402768536995 8.944762636874817e-06 4.905000543607716e-07 -3.2256338795062857e-09 -1.7285872735389335e-07 8.513482785517555e-10 0.005564407155709581 -0.009910703176980552 -0.0016575757276650965 0.0018116149201355001 0.006043718650525474 0.009004114423331608 -0.0036903797674987513 -0.0014992358187491813 0.014103113379047355 0.0001588587494900057 0.01894059648141283 0.41663498019755707 -0.0002816808936902069 -0.0006509733070223509 0.009612034995656606 -0.0023665414721814894 -0.0016095436428170443 -0.0013099078921970824 -0.029568674806351763 0.010315315594303244 1.6202861639809258e-05
