(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.00262207506465573 0.00129558987559295 -0.00066959195201376 0.00155158227767473 0.00013982063812148 5.56942966200853e-05 0.00013405650815637 -0.000127443871196819 0.000210274440274382 0.000223713635914146
covarage 0.00129558987559295 0.00306210682206671 0.00317504147897733 -0.00492061575344959 -7.34882511196646e-06 9.14515003410436e-05 2.01867302722366e-05 -2.66875616847882e-09 -8.20341984397802e-05 5.41385454892057e-05
covarsex -0.00066959195201376 0.00317504147897733 0.00827446693565785 -0.0120248092708878 -2.07185036463299e-05 7.3269412517599e-05 3.46986715319063e-05 6.72604024802578e-05 -6.98104049044365e-05 -5.29302262426872e-05
covarage_sex 0.00155158227767473 -0.00492061575344959 -0.0120248092708878 0.0194051894548389 4.08213147972096e-05 -3.33119178626238e-05 -6.26044622408016e-06 -7.88430765044066e-05 0.000105355112729431 7.12631090826544e-05
covarPC_3 0.00013982063812148 -7.34882511196646e-06 -2.07185036463299e-05 4.08213147972096e-05 0.000920642332148226 1.09278797333015e-05 5.20751805599818e-05 -5.35067840085518e-05 0.000120635427852463 5.99825594028966e-05
covarPC_4 5.56942966200853e-05 9.14515003410436e-05 7.3269412517599e-05 -3.33119178626238e-05 1.09278797333015e-05 0.0010049828844386 6.99325490397885e-07 2.05055135610758e-05 -2.73331554068669e-05 1.39685182893924e-05
proband 0.00013405650815637 2.01867302722366e-05 3.46986715319063e-05 -6.26044622408016e-06 5.20751805599818e-05 6.99325490397885e-07 0.00112566900970433 -0.000566959501647007 -3.43300760628372e-05 -1.52377378403478e-05
maternal -0.000127443871196819 -2.66875616847882e-09 6.72604024802578e-05 -7.88430765044066e-05 -5.35067840085518e-05 2.05055135610758e-05 -0.000566959501647007 0.00570662255954436 -0.00419494034649811 -0.00462582245030486
gmm 0.000210274440274382 -8.20341984397802e-05 -6.98104049044365e-05 0.000105355112729431 0.000120635427852463 -2.73331554068669e-05 -3.43300760628372e-05 -0.00419494034649811 0.0126314354808791 -0.00437990368870986
gpm 0.000223713635914146 5.41385454892057e-05 -5.29302262426872e-05 7.12631090826544e-05 5.99825594028966e-05 1.39685182893924e-05 -1.52377378403478e-05 -0.00462582245030486 -0.00437990368870986 0.0132420164206834
