(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal maternal gpp gpm gmp gmm
(Intercept) 0.0313040234073821 0.0124102972331447 -0.00909569212748829 0.0216265507936384 -0.000144642341471692 -1.68756795050378e-05 0.000334937750005308 0.000616951588396172 -0.00107159469924282 -0.000794634756171606 -0.00046461822339975 0.00142712526167975 0.000914557542456595
covarage 0.0124102972331447 0.0187884531897754 0.0143907786983862 -0.0302151355945414 -0.000104425688978677 0.000134913924590199 8.25285320975482e-05 1.89878972808862e-05 -7.50465178820299e-05 -0.00123053247215942 0.000919902714335965 0.000173442570169347 -0.000488748432615629
covarsex -0.00909569212748829 0.0143907786983862 0.0342053998456529 -0.0653698763180346 0.000245101322243411 -3.42749252300295e-05 0.000346877510594516 0.000369479765839903 0.000174510963344192 -0.00117787827875872 0.000341351537009815 -0.000485073930165322 -0.000484973381785471
covarage_sex 0.0216265507936384 -0.0302151355945414 -0.0653698763180346 0.138333621467642 -0.000411504439646471 0.000366250021046437 -0.000344708446584529 -0.000864017313104612 -0.00050388353401157 0.00258616805916029 -0.000715737971200748 0.00104916979830688 0.00101185764499702
covarPC_3 -0.000144642341471692 -0.000104425688978677 0.000245101322243411 -0.000411504439646471 0.00367959042560436 -0.000305638620741248 3.72441848566375e-05 0.000175294900778361 -0.000370271279132057 0.000107301714396612 9.50077764345148e-05 0.000429110292206983 0.000582739196042608
covarPC_4 -1.68756795050378e-05 0.000134913924590199 -3.42749252300295e-05 0.000366250021046437 -0.000305638620741248 0.0033219468915259 2.17054631858623e-05 -0.000191750244186951 -0.000118815046631644 4.91122492079519e-05 0.000128898265687688 0.000360079361021781 -6.8232700195633e-05
proband 0.000334937750005308 8.25285320975482e-05 0.000346877510594516 -0.000344708446584529 3.72441848566375e-05 2.17054631858623e-05 0.00659200897355307 -0.00357519491683761 -0.00320552721155622 -3.74983111437075e-05 0.000535851152537237 6.2719758269526e-06 -0.000274688308154677
paternal 0.000616951588396172 1.89878972808862e-05 0.000369479765839903 -0.000864017313104612 0.000175294900778361 -0.000191750244186951 -0.00357519491683761 0.0220969780018875 0.00112846657826063 -0.0168103289008602 -0.0153172833861568 -0.000208752479628273 0.000980624051853868
maternal -0.00107159469924282 -7.50465178820299e-05 0.000174510963344192 -0.00050388353401157 -0.000370271279132057 -0.000118815046631644 -0.00320552721155622 0.00112846657826063 0.0196425545249513 0.000684984529994055 -0.000331714514030132 -0.0152869739667754 -0.0132839369206452
gpp -0.000794634756171606 -0.00123053247215942 -0.00117787827875872 0.00258616805916029 0.000107301714396612 4.91122492079519e-05 -3.74983111437075e-05 -0.0168103289008602 0.000684984529994055 0.0574520463453409 -0.0253494377987375 -0.000696341619801894 -0.000619149717203116
gpm -0.00046461822339975 0.000919902714335965 0.000341351537009815 -0.000715737971200748 9.50077764345148e-05 0.000128898265687688 0.000535851152537237 -0.0153172833861568 -0.000331714514030132 -0.0253494377987375 0.0541185861528046 0.000941838692800831 -0.000675375388974059
gmp 0.00142712526167975 0.000173442570169347 -0.000485073930165322 0.00104916979830688 0.000429110292206983 0.000360079361021781 6.2719758269526e-06 -0.000208752479628273 -0.0152869739667754 -0.000696341619801894 0.000941838692800831 0.0369455461094072 -0.00760564838865364
gmm 0.000914557542456595 -0.000488748432615629 -0.000484973381785471 0.00101185764499702 0.000582739196042608 -6.8232700195633e-05 -0.000274688308154677 0.000980624051853868 -0.0132839369206452 -0.000619149717203116 -0.000675375388974059 -0.00760564838865364 0.0343530510759129
