 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
PC_8 -0.00014512632329657534 -5.050586286039747e-06 -1.4287350199634534e-05 2.720370457463894e-07 -2.802088718981177e-09 0.0033212160312616388 -0.0032749267897465295 0.00012859511049633776 0.02479848847271818 0.02429603989046972 0.4951183139318803 0.029054886131263166 0.014318482032450864 -0.015638396759295455 -0.0031585166984526196 -0.03288244227693653 0.022020840107553882 0.043365222277060717 -0.026194148563833255 0.021014145434519585 0.035550293381001685 0.011241977001315177 -0.006824858013183681 0.008770562919233393 -0.0232715696843402 1.64280535656012e-05 7.986571005049573e-06 9.88843769163196e-06 -0.00010371727096971685
PC_9 0.00020205670265338347 4.387633979437942e-06 -2.128281822040111e-06 -7.675289775483942e-08 1.456323151794049e-09 0.012872876495777686 -0.007235414653348092 0.015314526095713056 -0.03554313632920154 -0.001011683551395075 0.02905488613126317 0.6852171245117801 0.00614188014961687 -0.0015290500235746022 -0.04678457689907231 0.03557774326703704 -0.005007832755683767 -0.0027201062125492303 -0.02653503139888369 -0.016945730362301355 -0.015397515222811452 -0.003538398727098425 -0.0017662588208342878 -0.016282249891981175 0.047187665944988584 -3.8388777615148155e-06 -1.2532099703146155e-05 1.8785280857967448e-05 3.81279611550327e-05
PC_10 -0.00012596669230983476 -1.354252499476687e-05 -3.461560544621868e-05 3.057321827515815e-07 -1.0965935184325721e-09 -0.006947518751592897 -0.0026839116416114877 -0.021484051195936046 -0.008164752076509105 -0.024594838758101326 0.014318482032450832 0.006141880149616864 0.7827100848303012 0.03406067973706046 0.004012832873752537 0.0014805941237216508 -0.00932492548566359 0.02746919342919056 -6.82574816560491e-05 -0.008037612015930227 0.028089154758692038 0.009765901976686621 -0.020531105852510372 0.00906332896043933 -0.01656091762408971 5.868105161084519e-05 6.0931081519829166e-05 -7.77529515855806e-05 -5.2775649768129596e-05
PC_11 -1.834730284925103e-05 1.7586118283972048e-05 1.9013893461113534e-05 1.47457148192653e-08 -7.696292997811821e-10 -0.0024684245797034453 -0.018617287923361724 -0.0019422557663798666 0.009957253540882607 0.028337692622968636 -0.015638396759295438 -0.0015290500235745938 0.03406067973706038 0.7507831722502377 0.0076009886832943815 -0.0166570238162968 0.05732457016618236 0.034838539052561575 -0.012925316682965099 0.027122855838574086 -0.03903314259288824 -0.027127410789886126 -0.0019760841110356086 -0.014627111813375282 0.06363453028487352 -2.5537230272050088e-05 7.298003169807431e-05 -3.7203767593182866e-05 -6.980750329942348e-05
PC_12 -0.0002117780207396477 -1.1671134388617753e-05 2.5165836415278625e-05 -8.292652208332713e-07 4.941794124099348e-09 -0.0013095789380665316 0.006687975704852149 -0.02087976556823159 -0.021279681036822363 0.0015662259564263555 -0.003158516698452589 -0.046784576899072366 0.004012832873752585 0.00760098868329432 0.8536598174712513 0.04482921230014904 -0.036775344330763786 -0.03919762584177159 0.004051824632467191 0.053315717231256436 0.03065628577972478 0.024233043994494906 0.03519944038294037 0.026999421041624345 0.01579179873366738 -1.1629145139841846e-05 1.5781176188685166e-05 -1.091253285197817e-05 -9.38870456909122e-05
PC_13 3.4889277360092546e-05 -2.088910338724024e-05 2.478407724462814e-05 -8.668535907163412e-07 5.461891006399784e-09 0.004222213941637747 0.014370613946340084 -0.01991430035615884 -0.0007443611619806934 0.0465280696924997 -0.03288244227693652 0.03557774326703704 0.0014805941237216972 -0.016657023816296912 0.044829212300149066 0.8954882970691439 0.05503314929662322 0.013509668273690413 -0.014002277283362001 0.0395774987175778 0.03423030244083169 0.010961585189862351 -0.049711383996927226 -0.03963774158828794 -0.01784466557941823 -7.616547331187537e-05 -6.628980213557224e-05 7.613307185511817e-05 3.078672264077526e-08
PC_14 -4.065460766170174e-05 2.6529877831807322e-05 -7.179579766365669e-07 4.345615797941936e-07 -2.9371903548403164e-09 0.012615745680029 -0.029489928628378376 -0.0013787968590097714 -0.00030507881396166215 0.012486900061143412 0.02202084010755382 -0.005007832755683764 -0.0093249254856636 0.05732457016618244 -0.03677534433076375 0.055033149296623216 0.8551292052673548 -0.003365346340774516 0.0027445765437369555 0.018644488806082854 -0.0045431729808946 0.003672541375395999 -0.005256823175031213 -0.07953664758758856 0.027000240002670307 9.190084527447071e-05 8.462641403521899e-05 -0.000158399583557004 -1.2528443365642923e-05
PC_15 -0.00015504066281552735 -2.0002539857512026e-05 2.448892892660607e-05 -7.293353248473635e-07 4.063154025689354e-09 0.008208869416982227 -0.016496922999886646 -0.026969303849980378 -0.032903688815752244 -0.051180542075246534 0.04336522227706074 -0.0027201062125492706 0.02746919342919059 0.03483853905256164 -0.039197625841771576 0.013509668273690344 -0.003365346340774594 0.9686310425628216 0.001048113369237952 0.026301753539852042 -0.001046937916230543 -0.009292001368676224 0.006673775719877382 0.0022994217411938756 -0.03502211805046973 2.594631118311569e-05 -2.6429043460712487e-05 4.534011214266481e-05 -3.892432723921064e-05
PC_16 -4.191437195457014e-05 -8.825887576270787e-06 -2.228578735973273e-05 4.205409333293275e-07 -3.7808409120687536e-09 -0.004623257217907351 0.015864354772193962 0.022837674079642354 0.021587269124906276 -0.04176353753205574 -0.026194148563833262 -0.02653503139888366 -6.825748165606476e-05 -0.0129253166829652 0.004051824632467162 -0.014002277283362024 0.0027445765437369755 0.0010481133692379187 1.0844901432967922 0.028708367165166566 0.023345195907717737 0.008272642879107877 0.03686524939684689 0.05906579166668065 0.028485802150444547 -4.5676890948039894e-05 3.709013679946852e-05 -7.09781961691408e-05 0.00010179874599759547
PC_17 -8.389319257236946e-05 3.0428882883112082e-05 3.082155152493407e-05 -9.020958993450894e-08 -6.373938057579065e-11 -0.025186719110865348 0.012062804914115363 -0.038292373354649925 0.03987376706166349 0.04269358916047373 0.02101414543451961 -0.016945730362301358 -0.00803761201593023 0.027122855838574107 0.05331571723125652 0.039577498717577826 0.01864448880608281 0.02630175353985205 0.02870836716516658 1.1462308674580342 -0.053875230947340605 -0.036514163563307896 -0.035842264857873334 -0.013523603943380078 -0.09366906062656002 -1.3180587638462602e-05 -2.192193589922682e-06 -5.5366940203474407e-05 -6.18593178762324e-05
PC_18 -1.2201052508924608e-05 1.1561491617665351e-05 1.0679144822755875e-05 3.0616564322388216e-07 -3.954771369210236e-09 -4.461715272352198e-05 -0.0047220248328534425 0.008766418292186228 -0.015005633551461879 -0.012622623572245266 0.0355502933810017 -0.015397515222811433 0.028089154758692034 -0.039033142592889605 0.030656285779724738 0.03423030244083181 -0.004543172980894476 -0.0010469379162305235 0.023345195907717626 -0.05387523094734064 1.1665525126844574 -0.0007030436320729301 -0.047125852585088945 -0.006700512934608176 0.024391628574262112 -0.0002761246085206583 -4.08410212786443e-05 -4.5049834984838204e-05 0.00012361710282156994
PC_19 1.1829092760340516e-05 8.746099446455459e-07 -3.422471792262039e-05 7.652027362937447e-07 -5.222951196115701e-09 0.0016779619317127974 0.009209199398714016 0.009479573134994134 -0.0026556179346017878 -0.020216951822187256 0.011241977001315224 -0.0035383987270984044 0.009765901976686588 -0.027127410789886314 0.024233043994494875 0.010961585189862512 0.0036725413753962953 -0.009292001368676089 0.008272642879107825 -0.03651416356330789 -0.0007030436320726944 1.1937003269841655 -0.00048252794965349756 0.01276625224589393 0.007626976101847039 0.00045519423774763513 0.00017415856698666443 -0.00020977543009134716 -0.00014400859079778796
PC_20 -9.309891417919423e-05 -4.848301179262121e-06 2.114344226999039e-05 -5.153726367758147e-07 2.8977678437755273e-09 0.006496013049118316 -0.007718226804712087 0.002756612586891949 -0.013464439545533129 -0.000790048693839793 -0.006824858013183657 -0.0017662588208343117 -0.020531105852510365 -0.001976084111035536 0.0351994403829404 -0.04971138399692723 -0.005256823175031274 0.006673775719877384 0.03686524939684692 -0.035842264857873354 -0.047125852585088994 -0.00048252794965340996 1.0780024529927092 0.09060154878876639 0.01202362434584449 5.292795004457848e-05 -6.306091012209174e-06 -4.37713546023047e-05 8.33098262026412e-05
PC_21 -0.00015142368303753848 1.852325781186149e-05 1.915655779433829e-05 -3.1623235168211375e-07 2.516335914416968e-09 -0.005149237683122111 -0.0019913481481775687 -0.006960689908714494 -0.0034688392252678834 0.017819836722377667 0.008770562919233418 -0.016282249891981182 0.009063328960439336 -0.014627111813375296 0.02699942104162438 -0.03963774158828796 -0.07953664758758862 0.0022994217411938687 0.059065791666680634 -0.013523603943380107 -0.006700512934608029 0.01276625224589425 0.0906015487887664 1.2507064242849317 -0.006489933652133203 -3.040653508215683e-05 6.598490480671682e-06 -0.0001537226364899552 4.221834721277608e-05
PC_22 0.0001503965449403218 -4.007164192603102e-05 3.698710880111887e-05 -1.6526283653696782e-06 1.2351424880161612e-08 0.017525290447892295 0.010168666291142011 0.03035893533947538 -0.019778993459472358 -0.028209016823873893 -0.02327156968434017 0.04718766594498853 -0.01656091762408963 0.06363453028487333 0.015791798733667435 -0.017844665579418256 0.02700024000267033 -0.035022118050469724 0.028485802150444564 -0.09366906062656011 0.02439162857426196 0.007626976101846872 0.012023624345844537 -0.006489933652133174 1.2244411852835695 -0.0001373683240030762 -9.050324595066454e-05 0.0002800335974234862 0.0001350465807299752
proband -1.202738273477447e-06 7.0027736699707e-08 -1.4093505793012554e-07 4.385167810717603e-09 -3.071238686985054e-11 -2.1481119284983167e-05 -3.80665803303387e-05 2.3852042215911317e-05 5.904249534717614e-06 1.7486594779628613e-05 1.642805356560306e-05 -3.83887776151544e-06 5.868105161084981e-05 -2.5537230272001963e-05 -1.1629145139839036e-05 -7.616547331187614e-05 9.190084527448596e-05 2.5946311183120083e-05 -4.567689094803916e-05 -1.3180587638460613e-05 -0.00027612460852060206 0.0004551942377476787 5.292795004457435e-05 -3.0406535082160854e-05 -0.0001373683240030725 6.965307527087141e-05 3.531849560995004e-05 -6.842737391694344e-05 -6.198891441613843e-05
sibling -2.26856752758102e-06 5.5521084892758656e-08 -7.550206768967536e-08 4.1479706631423985e-09 -3.50870744908503e-11 -1.6940380893320343e-05 -4.834086349769824e-05 1.4523541385935898e-05 1.7341879545537475e-05 4.8848221074593043e-05 7.986571005048018e-06 -1.253209970314877e-05 6.0931081519837176e-05 7.298003169819917e-05 1.578117618868944e-05 -6.62898021355736e-05 8.462641403523183e-05 -2.6429043460715387e-05 3.7090136799471076e-05 -2.1921935899203075e-06 -4.08410212786484e-05 0.0001741585669868102 -6.306091012219877e-06 6.598490480668093e-06 -9.050324595065566e-05 3.531849560995019e-05 8.608684624884804e-05 -7.812533573470279e-05 -7.279692332011752e-05
paternal 3.2562211082278406e-06 -3.306046962621121e-08 7.02843939784029e-07 -1.573127620013339e-08 1.0330368887571967e-10 0.00015507919668784748 8.489976861175321e-05 1.8620310125040687e-05 8.358010443987104e-05 -0.00013707571802550555 9.888437691633724e-06 1.878528085796905e-05 -7.775295158558299e-05 -3.720376759325293e-05 -1.0912532851975729e-05 7.613307185511769e-05 -0.00015839958355708475 4.534011214266696e-05 -7.09781961691427e-05 -5.536694020349135e-05 -4.5049834984718576e-05 -0.00020977543009150981 -4.377135460231019e-05 -0.00015372263648996101 0.0002800335974234858 -6.842737391694343e-05 -7.812533573470245e-05 0.0002074788049266847 6.21193928784396e-06
maternal 3.9477302206451565e-06 4.3396872503572714e-08 2.3129314252777648e-07 -5.24939313528638e-09 3.5150969876067756e-11 0.0001315452870999684 0.00012541568862250811 2.0126970706553116e-05 7.75185776019102e-05 -0.00015080982981233686 -0.00010371727096971025 3.8127961155031646e-05 -5.277564976813024e-05 -6.980750329952672e-05 -9.388704569090729e-05 3.078672264936696e-08 -1.2528443365644817e-05 -3.892432723920996e-05 0.00010179874599759718 -6.18593178762509e-05 0.00012361710282169245 -0.00014400859079765843 8.330982620264116e-05 4.221834721278029e-05 0.00013504658072997577 -6.198891441613856e-05 -7.279692332011753e-05 6.211939287844354e-06 0.00019466963407808874
