 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 1.4669947281576588e-05 2.470794802978732e-07 -2.6660688727852537e-06 -5.474790506791295e-06 4.8789343483869e-07 4.918980310341563e-08 -2.761156140948722e-10 -1.2364135190421086e-08 9.018522985480774e-11 3.0905666763924756e-05 -4.590655576018353e-05 4.1388676281041e-06 -5.661560781654858e-05 6.898661206275125e-06 -7.326261785920522e-05 8.931359512695422e-05 -6.473656370394211e-05 -1.8586375221736147e-06 -0.00010171872082104199 -2.3941294168489054e-05 -2.4707618227142774e-06 -8.660701818918794e-05 1.229547727673608e-05 -3.780155552218062e-05 6.805936876925812e-06 1.3283316421037712e-05 -4.8971632753826687e-05 -4.291850511513172e-05 5.557163657859342e-05 -1.1358717067480557e-06 -1.3113692817247522e-06 1.7959287177409888e-06 1.957047520513537e-06
yob 2.4707948029800163e-07 1.2982909651278972e-07 3.6138525116105184e-07 1.3041266044695767e-06 -1.174378225118543e-07 -4.191397668734162e-09 1.963302665417505e-11 2.009892655967719e-09 -8.958715282359821e-12 2.9231203173013035e-06 5.3832447600495965e-06 -7.081604219857142e-07 -9.853045605630213e-06 -5.230411509404591e-06 -1.9487494169242033e-06 2.1080879362667993e-06 -2.929924061779703e-06 5.6001657852398756e-06 -3.1711835487359978e-06 -6.057005786836107e-06 9.05725696856085e-06 -7.191862902924548e-06 -2.7298035564829954e-06 1.071675559052148e-05 3.3134613179216475e-06 7.645911129119901e-07 -2.8828436831789348e-06 3.637453794609145e-06 -1.5034608879566792e-05 5.467125240595974e-09 7.227722165410935e-09 1.999751435932002e-09 3.698353264972693e-08
age -2.666068872678008e-06 3.613852511609633e-07 5.7304813532120595e-05 0.0008522888960078977 -5.625576232390324e-05 -1.1292881288810357e-06 6.944913664855991e-09 1.116078477648462e-06 -6.872634398503905e-09 1.7985088891740527e-05 -4.133328951638211e-06 -1.8435457029961967e-06 -4.09294258070601e-05 -1.8915375667063376e-05 2.91541845539227e-05 3.8718058534766766e-05 -5.916377096260829e-06 -1.7302141975269284e-05 3.6966246415297846e-05 8.024016634980924e-06 1.0612118498813257e-06 -2.312355934309659e-05 -2.736356947932006e-05 2.282315245334789e-05 1.629240870109762e-05 -1.915992166660526e-05 -3.714161760919467e-05 -5.046046739562473e-06 -1.3592802562971553e-05 1.8463680038020758e-07 9.978567748448463e-08 -5.684864911589007e-07 5.493183001940337e-07
sex -5.474790505147049e-06 1.3041266044854728e-06 0.0008522888960056816 0.024782004714629383 -0.0015712543513226047 -1.6433789563788096e-05 9.924934781644727e-08 3.038455828673126e-05 -1.836413719686365e-07 -3.1324873037934325e-05 0.00038956440453176655 0.00016192719329488934 0.00010909863524900464 -0.00021587223658637696 -1.7134198724908693e-05 0.0008054315218642832 -0.000294739177773073 -0.00015841328868568738 0.0005654572374840555 3.6045833055594564e-05 -1.896408225664986e-05 -0.000533638901591192 -0.00016541565167255235 6.150622463760198e-05 0.0002978178680369935 0.0002900873060325598 -0.00041795642647997306 -1.512446791316693e-06 -0.00038930352976592316 2.031397293978258e-06 -1.0917364490485746e-06 -5.428420748259106e-06 1.8331023511583465e-06
age_sex 4.878934347416513e-07 -1.1743782251157784e-07 -5.6255762323742396e-05 -0.0015712543513223464 0.00010334950946197791 1.114259849009737e-06 -6.865462545657287e-09 -2.049109955945624e-06 1.2616978372907728e-08 1.3177471963268308e-06 -1.947971852323472e-05 -1.965244562803446e-06 -1.961373516100616e-06 1.055246213929082e-05 -9.961096225757358e-06 -4.897011691304687e-05 1.7527881659715375e-05 1.6418904460830525e-05 -3.840527637496374e-05 3.9485610516240844e-07 -8.075725022047368e-07 3.1351606855548654e-05 1.4927725668311014e-05 -9.457970903529278e-07 -1.7344053400466068e-05 -1.9011234835468466e-05 3.1503428271036276e-05 3.5904284695562184e-06 2.6593272652079426e-05 -1.1534340787467794e-07 1.4861941789931355e-09 5.211075104278008e-07 -4.345257684009462e-08
age2 4.9189803102231833e-08 -4.191397668740837e-09 -1.1292881288808544e-06 -1.6433789563828845e-05 1.1142598490126998e-06 2.279433336254068e-08 -1.4272516526038775e-10 -2.258145671509492e-08 1.4151100204397947e-10 -2.0121250648512202e-07 4.808301026346788e-07 1.7644153213207063e-07 6.221472724919962e-07 3.660591638437666e-07 -6.911714673448462e-07 -7.494537071599938e-07 -4.446371076818647e-08 5.8375892177499e-07 -9.461970008578931e-07 -4.040974489032562e-07 1.6527651892105458e-07 2.6115390967681805e-07 6.418000560622565e-07 -1.4038620943389846e-07 -7.005302055021583e-08 4.3648562807183155e-07 6.758291436170031e-07 1.0320460660959041e-07 -2.4892957208648294e-07 -2.6117138400061567e-09 -2.108892729552215e-09 1.2005474237394443e-08 -9.960501215442374e-09
age3 -2.76115614086082e-10 1.9633026654185316e-11 6.944913664853856e-09 9.924934781668004e-08 -6.865462545674344e-09 -1.427251652603681e-10 9.072827821637635e-13 1.4152603706954866e-10 -9.002493403954795e-13 3.194406393027138e-10 -4.088808696545455e-09 -1.87755621996027e-09 -3.9777658350869335e-09 -2.0159641695834566e-09 4.2440066392483075e-09 4.580089431201939e-09 8.424196465427822e-10 -4.4072918058672125e-09 6.356117734369387e-09 3.3712261512351595e-09 -1.3796516872712883e-09 -1.1802926005809052e-09 -5.007619105376528e-09 -1.9254760265566455e-11 -7.429002428653199e-10 -3.0513838556966165e-09 -4.22928285761575e-09 -3.6387430115133675e-10 3.477124776841355e-09 9.458274453491813e-12 1.4539747794171823e-11 -7.658108534132289e-11 5.781812005958861e-11
age2_sex -1.236413518872247e-08 2.0098926559612735e-09 1.116078477645018e-06 3.038455828672129e-05 -2.0491099559453042e-06 -2.2581456715031077e-08 1.4152603706917898e-10 4.14378324949544e-08 -2.593277077214282e-10 -2.3542873259426743e-08 2.8995814073916204e-07 -1.1279443431409494e-07 -1.236952537799665e-08 -1.7755906848596598e-07 3.6176719812875064e-07 9.033286865271708e-07 -3.1057765748247573e-07 -4.016960428387105e-07 8.299715850762076e-07 5.085151261201475e-08 3.048817939706274e-08 -5.478830136169838e-07 -3.912476895287451e-07 -6.18276516025177e-08 3.317127959778655e-07 3.396803303719548e-07 -6.664979085830231e-07 -8.098882631945203e-08 -4.906199572398789e-07 1.8887068732126066e-09 1.1224877876063459e-09 -1.2217139412133326e-08 -9.864302460906881e-11
age3_sex 9.018522984424073e-11 -8.958715282348262e-12 -6.872634398481238e-09 -1.8364137196854553e-07 1.261697837290387e-08 1.4151100204355712e-10 -9.002493403930247e-13 -2.593277077213911e-10 1.64652992365906e-12 3.0496121881944685e-10 -1.2809517382338181e-09 1.5635288876246945e-09 2.7735968432988403e-10 1.0096021701136276e-09 -3.051909601424176e-09 -5.0992612480549034e-09 1.7193579640037311e-09 2.787075402152809e-09 -5.627842170125562e-09 -8.102553222670174e-10 -2.5382894403538064e-10 3.0404284723746792e-09 2.9351924190030626e-09 7.631546394738647e-10 -2.0967800292947522e-09 -1.8164630987124596e-09 4.259158171095034e-09 1.6100573797644756e-10 2.7807663822168363e-09 -8.006213025641069e-12 -1.3086403747031285e-11 8.269379816527603e-11 4.814077750781074e-12
PC_3 3.090566676392343e-05 2.923120317301227e-06 1.7985088891705996e-05 -3.132487303926008e-05 1.317747196415324e-06 -2.0121250648443445e-07 3.194406392984567e-10 -2.3542873261202472e-08 3.049612188305081e-10 0.03322545060334192 0.0008413512075963923 0.0034094885814665216 -6.546654457085143e-05 -0.007290101314160745 0.0017429628646072888 0.005723151345487583 -0.0043814366507314816 0.00019240887775376128 -0.0016720024437079468 -0.0003603375523199561 0.007228515037891383 0.003012162773382962 -0.0011851274187241105 -0.012397925226203688 0.002037294914533288 0.0003923520562482416 0.0037519510467074455 -0.0008545793307083054 0.006275403340751614 -9.545281583032005e-06 -1.2070211543053324e-05 8.360748276723763e-05 6.22833587186429e-05
