 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.0002542847548199449 -8.964308771107157e-07 6.19420544294759e-05 -9.492360017598687e-05 4.960574516468536e-06 -1.92296030228162e-06 1.8148358620407105e-08 -5.5175190069420104e-08 -1.2201192708029686e-10 -8.224663323155341e-05 6.111867787314373e-05 -0.00015762175350698837 4.240898063464024e-05 0.00019594559461180136 -0.0003541401995694844 -5.522826620572604e-05 -5.636941116089774e-05 -1.833241224874434e-05 -9.32956282712119e-05 4.453744707188104e-05 -7.391190039200494e-05 -5.956916524741065e-05 -1.842266983954532e-05 -0.00012642182019858628 -0.00024778624992259646 -3.5102691508841124e-06 -0.0003405181886726555 1.5828711294601103e-06 0.000511972498493293 -8.177372399488029e-08 -4.682137343249399e-06 3.2961941723704985e-06 6.6698548676880645e-06
yob -8.964308771113719e-07 2.97061174444464e-07 -1.9583973260529333e-09 -1.2478060947481059e-06 -3.4794208376649696e-09 5.912600930145823e-09 -4.605332047902593e-11 6.508897894742195e-10 -4.573691551793111e-12 8.364885933815902e-07 5.199627235963377e-05 1.1920472661333929e-05 -3.100399261540623e-05 6.114021351613829e-06 -2.6854091552535044e-05 -3.6626162287324776e-06 -1.1934691255761988e-05 2.356456971911786e-05 -1.1571704580476919e-06 -2.3824189755482568e-05 2.0194200186332175e-05 -1.7929285983604257e-05 -7.786718181845076e-06 2.8216920511811966e-05 1.697138686581005e-05 -5.595694811459006e-06 -9.368421241614713e-07 1.846079761335218e-05 -4.609630283283129e-05 1.8008171299355684e-08 -1.2632381965702329e-08 6.831767857409596e-08 1.7179458962486613e-08
age 6.194205442927775e-05 -1.9583973267968714e-09 0.00012389243955416437 0.0014668483942109549 -0.00012341221237960716 -3.175535247087451e-06 2.5254266115596923e-08 3.1632948582360046e-06 -2.5158662748320735e-08 -1.0485107949149323e-05 -5.6710252152680054e-05 -0.00013929049076926833 -1.4865482924172268e-05 -0.00014198158799066945 3.976107663233567e-05 1.4430989850005622e-05 9.220535474715722e-06 -2.8903196890457796e-05 -9.88673441964722e-07 2.059172564102639e-06 -0.00012220395481251395 3.3030988074168e-05 -1.5418300712663257e-05 -0.00015310169698311938 0.0001471752991997256 -5.1165416752355216e-05 -1.611397950033243e-05 0.0001029341528111577 6.909954711244377e-05 -3.9954253670839364e-07 -1.1095390692656915e-06 -5.496579529098145e-08 1.2974016083840536e-06
sex -9.492360018014733e-05 -1.2478060947601121e-06 0.001466848394207318 0.034513202109514016 -0.0027738228466267895 -3.64365586085557e-05 2.8258124820787973e-07 6.885999438256942e-05 -5.352235862877249e-07 -0.00046906120753954664 -0.0003496612777183565 -0.001306485800916403 -0.0005140647651190194 -0.00145967502783645 0.00047746308918723726 0.0010689743221819284 0.0010819401354642594 0.0002564320532926528 -0.00012660497881157787 0.0007293963630352165 -0.00267254166455167 0.0006724254213525335 -0.0008835996978892515 -0.0030824535271046496 0.002354696691620851 -0.0008584914670743285 0.0002907414521126927 -9.30096179296334e-05 0.000154082857341887 -5.7192404417301245e-06 5.620914502406347e-07 6.598169192052782e-06 -1.087001615962891e-05
age_sex 4.960574516789816e-06 -3.4794208335366803e-09 -0.00012341221237933497 -0.0027738228466273546 0.00023100326475767672 3.16325372233141e-06 -2.515756180923354e-08 -5.897380393549966e-06 4.687012556153007e-08 3.4960911868325285e-05 3.030966312780499e-05 0.00010853769641814362 4.953942268836246e-05 0.00011424544213220119 -2.8794317714207034e-05 -8.446290443529153e-05 -7.690322215486095e-05 8.011910885557907e-06 -4.453326432552209e-06 -5.295773275469452e-05 0.00020638085023828487 -4.078404669853285e-05 8.027703901493243e-05 0.00024804517567210557 -0.0001542639159536206 0.00010453399293813084 3.6026481753527964e-06 -8.267339042480996e-06 4.043199949350837e-06 6.694405476066811e-07 -5.4674853464741026e-08 -5.109212257879089e-07 6.5637513636764e-07
age2 -1.922960302276276e-06 5.912600930135168e-09 -3.1755352470880664e-06 -3.6436558608657894e-05 3.1632537223390803e-06 8.381337349227673e-08 -6.822672314285792e-10 -8.335540252118057e-08 6.785854697751067e-10 2.7424008459203186e-07 2.470975047698538e-06 3.7970334792946766e-06 -2.1946307247330367e-07 4.222522422816595e-06 -1.5348086649209753e-06 -3.2251755449511254e-07 -5.55403643039121e-07 1.1526444816105173e-06 -5.040890673727397e-07 -1.897930026620163e-07 3.0285417580438585e-06 -1.286067564235205e-06 1.801497824151066e-07 4.329658417971951e-06 -2.621472929790818e-06 1.6698562991462697e-06 2.3812110815861397e-07 -3.0387552771501615e-06 -2.3682221848300606e-06 1.3552631700767856e-08 2.4858268906816747e-08 7.761197176690486e-09 -3.779151176742755e-08
age3 1.814835862037087e-08 -4.6053320479677703e-11 2.5254266115605665e-08 2.8258124820875954e-07 -2.5157561809300003e-08 -6.822672314286895e-10 5.670432074112712e-12 6.785562114877706e-10 -5.6397114735553695e-12 -2.7413678114490053e-09 -1.6907609558699778e-08 -2.9959182549304045e-08 3.6576394485023314e-10 -3.4473594769573867e-08 9.09369556982715e-09 1.3300928318837888e-10 4.342091385211933e-09 -7.347684361707806e-09 7.390743195054019e-09 -1.2349593361991977e-09 -2.2078493152283864e-08 1.0056034846040364e-08 -2.462214922278487e-09 -3.27689161240493e-08 1.5192383817607328e-08 -1.6275752288657357e-08 -3.785145062670953e-09 2.873197492177076e-08 1.7498724578699724e-08 -1.2426134904834921e-10 -1.764874421728927e-10 -8.536017047479596e-11 3.21178213925854e-10
age2_sex -5.517519007775551e-08 6.5088978941778e-10 3.163294858229862e-06 6.885999438259681e-05 -5.89738039355105e-06 -8.335540252100477e-08 6.785562114862339e-10 1.5434536949266653e-07 -1.2528816025636943e-09 -8.891299075041983e-07 -6.534459341254379e-07 -2.652933409568609e-06 -1.418081732276337e-06 -2.8982853513380426e-06 4.6891065222420027e-07 2.001271542675724e-06 1.6341122140018967e-06 -5.451490248140763e-07 5.015787733765986e-07 1.2648172129646548e-06 -5.166622105292871e-06 8.993719556334796e-07 -2.364810507922118e-06 -6.1863845177518055e-06 3.1330495331143845e-06 -3.55717784865982e-06 -6.490542377217001e-07 5.812295074395815e-07 -3.915950852054286e-07 -2.004742030248633e-08 4.972982993479781e-09 1.0170459911772738e-08 -1.4914477299520045e-08
age3_sex -1.2201192701167936e-10 -4.573691551922914e-12 -2.5158662748277755e-08 -5.352235862880313e-07 4.687012556154633e-08 6.785854697738532e-10 -5.639711473544307e-12 -1.2528816025638916e-09 1.0366582204344487e-11 7.49996692229182e-09 4.6237763429910336e-09 1.9985536460073614e-08 1.2383807917194564e-08 2.3072396941479884e-08 -1.2806359484764106e-09 -1.3290405862073063e-08 -1.0621741683049868e-08 5.588259235702939e-09 -6.9424734493509145e-09 -8.425760759841627e-09 4.242400823220941e-08 -6.702821786374295e-09 2.1799786477308884e-08 4.798526324115137e-08 -2.0501134959530668e-08 3.368104649730865e-08 1.0013887120693238e-08 -6.798669047374797e-09 4.47027999825701e-09 1.8092428001473968e-10 -7.926304169271e-11 -5.1183021154166456e-11 1.2578344182922126e-10
PC_3 -8.22466332315139e-05 8.36488593382313e-07 -1.0485107949034076e-05 -0.00046906120753792776 3.496091186818173e-05 2.7424008458896905e-07 -2.74136781142375e-09 -8.891299075003295e-07 7.499966922259644e-09 0.06433447540905138 -0.0024101328307409393 -0.0008769543490886094 0.0035078599156424706 -0.003206913758626985 0.008718292402235995 0.0058921745571625115 -0.014082983349815956 -0.006234068273356376 -0.0050795100102068265 0.013279110391148688 0.006149890118280243 0.013411103739747363 -0.008243821335236112 -0.02897308346168011 -0.007072961628332509 -0.005210076043992383 0.010889309977791719 -0.007927749918805979 0.020938155792287354 6.594664973457252e-05 -7.431122378113091e-05 8.881368008993817e-05 0.000148349510984133
