(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.317850549535288 0.0261258745817599 -0.00627200784588998 0.0174155341184921 -0.000819239225269654 -0.00791932893829786 0.00516178881586004 -0.000648619695567305 -0.00367975110846071 -0.00286344991474331
covarage 0.0261258745817599 0.0440131425352149 0.0338158085186311 -0.0590969821553444 0.000498342717918745 0.000836505881096771 9.86059626845365e-05 -0.000272350263743088 0.000282852886987248 0.000940692089871009
covarsex -0.00627200784588998 0.0338158085186311 0.0691905904549294 -0.107198647405554 -9.40520175695001e-05 0.000571673720604264 -0.000229142568248489 -7.19054132185943e-05 0.000782156683158976 0.000749733007714266
covarage_sex 0.0174155341184921 -0.0590969821553444 -0.107198647405554 0.188375250854416 0.000198101416504506 -0.000716764009820297 0.000708936399748923 0.00021540342648377 -0.00112203311267133 -0.00114850088434476
covarPC_3 -0.000819239225269654 0.000498342717918745 -9.40520175695001e-05 0.000198101416504506 0.0139430820081438 -0.000953039643343269 -0.000212868759421792 -5.78514153401245e-05 0.00176364954509969 0.000703868039820244
covarPC_4 -0.00791932893829786 0.000836505881096771 0.000571673720604264 -0.000716764009820297 -0.000953039643343269 0.0119881576725935 -0.000126509992951646 -0.000112021089944727 -0.000156399032025952 0.000389925466182039
proband 0.00516178881586004 9.86059626845365e-05 -0.000229142568248489 0.000708936399748923 -0.000212868759421792 -0.000126509992951646 0.0267542526611134 0.0152018610802516 -0.0255828008783661 -0.0243435337119925
sibling -0.000648619695567305 -0.000272350263743088 -7.19054132185943e-05 0.00021540342648377 -5.78514153401245e-05 -0.000112021089944727 0.0152018610802516 0.0318037034218761 -0.0284346022534029 -0.0274421586257118
paternal -0.00367975110846071 0.000282852886987248 0.000782156683158976 -0.00112203311267133 0.00176364954509969 -0.000156399032025952 -0.0255828008783661 -0.0284346022534029 0.0602743643970935 0.0186284015729652
maternal -0.00286344991474331 0.000940692089871009 0.000749733007714266 -0.00114850088434476 0.000703868039820244 0.000389925466182039 -0.0243435337119925 -0.0274421586257118 0.0186284015729652 0.0572525403738742
