 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.0011920864457431709 -2.6941494410730636e-06 0.0001532256443291362 -5.57766228538113e-06 5.885726442579538e-08 -0.000738539481046 7.11903467595347e-05 -0.0005316158757554747 0.0001193145273277505 0.0011692899564341918 -0.0005749942505099197 -0.00042454779466211297 -0.00015301228837289363 -0.0002889899578925213 -0.0007744654901405687 0.00036512067599056824 -0.0007052762339280526 -0.0005972745075702395 0.00042298365303494815 -0.0009540037228856849 0.00013427645573288105 0.0006276023427219865 0.00017212897754154157 0.0010036622017631344 0.001610471334772632 4.553090071715542e-06 -5.994843486136921e-06 1.2507518358163708e-06 2.9811946849435775e-06
yob -2.694149441072523e-06 1.050705957071563e-06 -8.567184160839982e-08 1.7628248095095145e-08 -1.0150858391448798e-10 1.6347057759014817e-05 0.00012562214255910873 4.341988866809942e-05 -9.904259951226042e-05 1.29683359672437e-05 -8.322183550046697e-05 5.5646204756677534e-08 -4.5638335749762816e-05 9.191872220225019e-05 5.901404154151475e-06 -9.396895434417941e-05 8.662718029354688e-05 -8.037379994816489e-05 -9.997530891948657e-06 9.022319749359066e-05 4.830149493284218e-05 -2.1107606677559355e-05 1.5302662320631483e-06 4.2723835881314134e-05 -0.00015480851925174467 9.409369557463615e-08 -3.2919438622626847e-07 -7.884880293303009e-08 6.848715539415419e-07
age 0.0001532256443290763 -8.567184160838207e-08 5.7234922376109256e-05 -1.7087916976192557e-06 1.5284873954285126e-08 -5.566783411246743e-05 -6.80469557153133e-05 -0.00015504313217136074 -2.2607419123317997e-05 0.00020215700433166646 -0.00011099354309199264 -6.869675225683885e-05 -9.905876213860151e-05 0.00023450609563282574 -3.089266998799572e-06 0.0001796475641203321 -8.263180143183997e-05 0.00018825838539970047 1.032814622115913e-05 0.000253671350396001 0.000123492022480846 0.00013375987145045778 -1.9121920900751945e-05 5.007808330356755e-05 0.0002496145676806426 7.115427499115484e-07 2.2649195244260555e-07 -1.8297389639109719e-06 1.4804190594083495e-06
age2 -5.5776622853795405e-06 1.762824809509512e-08 -1.7087916976193633e-06 5.3585180524203833e-08 -4.94708467794109e-10 1.652290676469772e-06 4.9124076040519e-06 5.659195058135732e-06 -1.4883498080854227e-06 -3.508266031707737e-06 1.0113290354309061e-06 1.685182197168254e-06 7.15585499107794e-07 -4.235705209414601e-06 -1.276029584086449e-07 -5.7789692095311105e-06 3.64083093822967e-06 -4.761274403913402e-06 -2.1129984077935705e-06 -4.824062027886824e-06 -2.1796782665289117e-06 -4.950020715822579e-06 -8.040685919232834e-07 -3.807409391050238e-06 -8.036529580671922e-06 -1.4481736672232175e-08 -2.0510520671633616e-08 5.942465541092418e-08 -2.3479179696713533e-08
age3 5.885726442578398e-08 -1.0150858391451323e-10 1.5284873954286946e-08 -4.947084677941351e-10 4.696426128925631e-12 -1.5516025891461936e-08 -3.523386832463404e-08 -5.036380528421267e-08 9.810689810967523e-09 2.7187123165460366e-08 -9.37723672359648e-09 -1.7529116307981347e-08 -5.742520153753678e-10 3.4084611533650525e-08 1.3229330609919468e-09 4.0943329370742e-08 -2.830659436888221e-08 2.3420492613091538e-08 2.8200098454259577e-08 3.453926291446148e-08 2.0380629774297715e-08 4.6732445568283607e-08 1.583285644256891e-08 5.689417251846209e-08 5.707125352119558e-08 1.1397638902460685e-10 2.0287386553660235e-10 -5.278960754958339e-10 1.409567010220907e-10
PC_3 -0.0007385394810459769 1.6347057759014972e-05 -5.566783411247842e-05 1.6522906764700217e-06 -1.5516025891463395e-08 0.20841713218553937 -0.012594813146468282 0.00801633038283948 0.018007397831778325 0.0015926711216147184 0.02029454072930093 0.027742256419891646 -0.04323242025161023 -0.021330839454514514 -0.022148879902493476 0.03169616868476843 0.010999403966837221 0.043185976883923324 -0.012530735172835884 -0.0894339003742468 -0.023403829391298456 -0.012505167501922956 0.02706695295667418 -0.03331425157211646 0.06082008643433926 0.00014043524613126495 -3.867574258889307e-05 0.00012945355527454902 0.00035152791618823386
PC_4 7.119034675972621e-05 0.0001256221425591086 -6.804695571530149e-05 4.912407604051261e-06 -3.523386832462607e-08 -0.012594813146468356 0.6651722306204044 -0.0021161452593683938 0.11130008847318158 -0.04022364524228254 -0.021060666580219836 -0.0016132686069257145 0.004066409271363196 -0.03541948338995507 0.031566500047519416 0.051905124376615576 -0.054950845642150296 -0.06750475221794355 0.06649869742841047 0.044617509171409754 -0.023467956538270086 0.025297594865146378 -0.04076071518715422 0.005569117808093612 0.09134993854110786 2.683886249270443e-05 -0.00019212205621592913 0.0001733437514536138 0.0001754494818365438
PC_5 -0.0005316158757553298 4.341988866809977e-05 -0.00015504313217137703 5.659195058135889e-06 -5.036380528421139e-08 0.008016330382839545 -0.0021161452593681566 0.8645653367333342 -0.00715772290852811 -0.055478060807020675 -0.05186111351148972 0.05225882392127902 -0.07566796302315065 -0.0850646464891338 -0.08633460129721418 -0.010802115235432062 -0.03488582439131795 -0.044794839429012315 0.04028335197981442 -0.14917469245780896 -0.019379055537123872 0.0026886704740154426 -0.015209719324676201 -0.045850039594379645 0.09331414653238218 0.00017774393497612596 -0.0002404671969197528 1.957117654549795e-06 0.0003650552129470444
PC_6 0.00011931452732774776 -9.904259951226037e-05 -2.2607419123305847e-05 -1.488349808085723e-06 9.810689810969763e-09 0.018007397831778335 0.11130008847318154 -0.0071577229085282145 1.1390147692754689 0.04514403939360944 0.08788399439964549 -0.009239872675610786 0.024668391840275205 0.030233028719436148 -0.060362682593907056 0.01643565266426236 0.10621774958683879 -0.15554831543671052 0.03392351034232364 0.14074890220268682 -0.030391350664856095 0.021640646432163013 -0.08136493560852387 0.02356754764586797 -0.05413870353982382 5.5647197182502474e-05 -3.8077538822118164e-05 0.00038808764104239084 4.761145574274788e-05
PC_7 0.0011692899564339303 1.2968335967243926e-05 0.00020215700433162573 -3.508266031706231e-06 2.7187123165444682e-08 0.0015926711216148047 -0.040223645242282516 -0.05547806080702041 0.045144039393609406 1.5236203137765576 -0.008023328054600265 0.10299420753329103 -0.08065597724493517 0.125048274422544 0.11571832000518092 0.10535446855695421 0.030155620403079536 -0.18896286262540593 -0.07397976656722076 0.16494712474847598 0.01353024859448809 -0.014001473146988252 -0.06416657775698607 0.04918395826601071 -0.15124090651944483 -0.000197305769123148 -4.355588590617433e-05 3.9538570167684184e-05 -0.00023669423568243206
