 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
PC_4 -0.00010480939508638587 0.0003344778045499679 0.0002097694460403085 0.007739755175155327 -0.0008441148739933499 -1.8507567743058338e-06 5.3156691453724363e-08 2.79216161619926e-05 -2.753531503343327e-07 -0.0648020289407696 1.3587045472194172 -0.018680605804657673 0.30194374529968443 -0.11013941815223621 -0.12365948273490956 -0.037634662785768 0.013500904784956047 0.04005204547274498 0.10094433531125163 0.1567445422160365 -0.12478944898986237 -0.13085069261671126 0.13099551232018947 0.10235111724269923 -0.07912497745356839 0.01828759491434522 -0.0695393793854706 0.060392759149307 0.1966894207278722 5.42990285580136e-05 -0.0004556403898137166 -0.0005775647742121411 4.007528749081275e-05 0.000579243730302228 0.0012071281900034973 0.00021249353183527324
PC_5 -0.0008446724792393653 6.355152400877938e-05 -0.0006465534250755887 -0.007309275589415998 0.0004334844551350278 1.6420141745428155e-05 -1.2782420535885535e-07 -7.604695668496807e-06 4.381611909223548e-08 0.0198554152255022 -0.018680605804664765 1.8075845111977178 -0.10393787084177074 -0.19607704839363188 -0.2332612189723416 0.22623680610391783 -0.12774243198430377 -0.26371378834247966 -0.161901866639386 0.06838485541666951 -0.11691378118644098 -0.09814802444423272 0.10334361031180328 -0.35693025233540937 -0.05277386519973412 -0.026656010973253708 -0.06269420057599133 -0.08981115618079508 0.2717025334304394 0.0008032461932530188 -0.000389217586846489 0.0007035202378453595 -0.0003710496618211087 0.00048059848843824297 -0.0006522961048708118 -0.0018521483043719292
PC_6 0.000708315612489365 -0.00024292023690139324 0.0005458245034186926 0.005646109049550806 -0.0003139434341310495 -1.9695537700786518e-05 1.6200502753129514e-07 6.368784323699536e-06 -5.463890164178229e-08 0.06920967379717877 0.30194374529969076 -0.10393787084177077 2.380090806745872 0.13634707244987518 0.23531468227520755 -0.19420879614202333 0.1899005398544252 0.07163878362596264 -0.09376141911969779 0.09388354006489041 0.41194167085159544 -0.4059569120327249 0.17263376082457862 0.307779876582075 -0.07204565789304627 -0.006961322652633702 -0.14258677119277807 0.13608679645573196 -0.2587920680743904 -0.000291703082660027 0.00013622087568558784 -0.0008047007286052468 -0.00013165967393212303 0.00044482728833267654 0.0011757381012843327 0.001289636286651899
PC_7 0.00021790391240029218 0.00011685749483156339 -3.80374263348518e-05 -0.0017607752531218037 0.00025264580120132546 1.0611306321875674e-05 -1.3189330284776215e-07 -1.0349163805830284e-05 1.2496718289770697e-07 0.02203833245367591 -0.11013941815223946 -0.19607704839363316 0.13634707244987782 3.2306898481478763 0.008469433929807892 0.3828148421640162 -0.2960273046044888 0.33882132361555156 0.2562434563052014 0.14200765018878028 0.010369406220585931 -0.3646074933177079 -0.2147871776938887 0.44603553283002917 0.18335572889305876 0.07528649188538848 -0.27625469899298355 0.05158380417273959 -0.5050723469297148 0.000498391870157557 -0.00034562169623333726 -0.0007426593730900713 0.00037526569599510655 -0.0016992053901404057 -0.00012987011798874014 -1.5173024796028915e-05
PC_8 0.000724923727666971 -0.00028896204502860224 0.001012794427607928 0.0032523075191416575 -0.0003870044115750076 -3.5716396305269866e-05 3.1493917341976545e-07 1.4321607766123909e-05 -1.5470989677869764e-07 0.013339851253812587 -0.12365948273489803 -0.23326121897234028 0.23531468227520447 0.008469433929803474 3.5780100136483313 0.44350939098981196 0.003431795545961576 0.2770261430619307 0.2990647619888385 0.010993290921406792 0.11698110967051852 0.30024593471848043 -0.2185909400696705 0.24913561199842213 0.5040574805206127 0.08338944240989818 0.189710950346492 0.1859971397677958 -0.19122815106442795 -0.0005892111826362439 -0.00023837203067818207 -0.0005122606708967453 -0.0020964320291010797 0.0023446490671270503 0.0005562055681949283 0.00020349453365158896
PC_9 0.0060038167190831875 -4.853470039508445e-05 0.0009788714475962156 0.00488643760490288 -0.0005947092646972966 -3.293225513459708e-05 3.351347276173811e-07 2.0771521705151493e-05 -2.0937683917528326e-07 0.03501977649924789 -0.03763466278575762 0.22623680610391886 -0.1942087961420269 0.38281484216401523 0.44350939098980563 4.4898173062744915 0.3184012615361468 0.029577322201375673 -0.33086165853468225 0.2974820258121519 0.03502670294470329 -0.008713388662122177 -0.2129433558068565 0.01728460413641808 -0.31204989799942434 -0.20116602503261766 0.10178450885696558 -0.3080756678520738 0.424040107750051 0.00020020219782599071 0.0007909715481867328 0.0009238820607124958 -0.0020755664837723373 -0.00040374860863951617 -0.00203589516067097 -9.941719508426085e-05
PC_10 -0.0006267212492867787 -0.00012473837398117833 -0.0009632414477414701 -0.014393919773796246 0.0014183491908831474 2.1084445694018428e-05 -1.5671818454777893e-07 -4.0057629813958743e-05 3.381177385785274e-07 -0.08754547581312493 0.013500904784944699 -0.12774243198430807 0.18990053985443314 -0.296027304604491 0.00343179554597777 0.3184012615361573 5.873921421904978 0.7837815551301508 -0.37351270069025366 -0.07451337032549779 -0.11824108649680376 0.22068784241329933 0.15097781810509156 0.21980498253787936 0.4532700233231404 0.31721780571455627 0.10274114381598133 -0.14640765730702365 -0.585924427752932 0.0005071376387121705 -0.0004363951665600766 -0.00043510789527250864 -4.487286112236216e-05 0.0007725465742813545 -0.0002372888457113888 0.0009409005207792523
PC_11 -0.0011293882073296223 0.00024656982850366485 -0.00016248514128088781 0.00026952166691049726 0.00018387354552247342 8.786137095152413e-06 -6.007432915036544e-08 -7.20694334250184e-06 5.877293411102806e-08 -0.049604042855525714 0.04005204547274045 -0.2637137883424798 0.0716387836259648 0.3388213236155506 0.27702614306193774 0.029577322201374375 0.7837815551301565 4.982532588920385 0.3663269382071132 0.6173097687124791 0.3630847614289493 0.15054084880820678 0.0023635410623734214 0.06350358105478647 -0.3855119426305413 -0.1498272506501777 0.06120587573009692 -0.6127313345407391 0.48784161708545315 0.0002815631211954982 0.0008602371317682588 -0.0007216133016241027 -0.003771150432085243 0.001298669546171051 0.0010068398963156598 9.80052445246583e-05
PC_12 -0.002989878999106407 -8.019653685979353e-05 0.0013554468697838196 0.02580133004602876 -0.0022859163331252334 -4.138626468095813e-05 3.6140735626808015e-07 6.352299478911123e-05 -5.59057653667615e-07 -0.0374950052802061 0.1009443353112693 -0.16190186663937903 -0.0937614191197091 0.25624345630520423 0.29906476198882087 -0.3308616585346963 -0.37351270069025244 0.36632693820711903 6.217683383422294 0.25110527973264574 0.1819859981241203 -0.1445089670592124 0.33871369923773675 0.5203048607652878 0.22304264745586286 0.06372748925191575 0.22951074686899048 0.18588558076402653 0.06525994806065168 0.000672610748446548 -0.0011633143984806549 -0.0017482916986602478 -0.0009667755945397847 0.0017838175021608494 0.0020898680119695793 5.211107948228554e-05
PC_13 0.0004515391238486865 -0.00019786507142473286 -0.0007640160028361885 -0.019098027793246142 0.00166284307438308 1.5998843668249982e-05 -1.3545273269647802e-07 -4.5027728843483004e-05 3.9005796684884456e-07 0.09296380314787228 0.1567445422160226 0.06838485541666448 0.09388354006489848 0.14200765018877554 0.010993290921424953 0.29748202581216304 -0.07451337032549935 0.6173097687124721 0.25110527973264385 5.784822317136775 0.9691075738417909 -0.2580860206595996 -0.08054249461253694 0.6949120005051781 0.3186594712560626 0.09225597664236046 -0.4941259834410565 -0.14090014245719096 -0.45524355306159864 -0.0001625028253574862 -0.0010369795362725948 8.309492648067884e-05 0.0006891689440389591 0.00030662663004670703 0.00033340213004460107 -0.0012221863948183112
