 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gp gm
intercept 0.016820752197199515 -1.5530513378201765e-05 0.002829772558003341 0.0015641226004093054 -0.000258047483578256 -9.456091266719153e-05 9.586236036724093e-07 1.0080231963327278e-05 -1.1037541894914052e-07 -0.007384509569805727 -0.0016249233911488886 -0.0008263115190679791 -0.0037265815884098374 0.010181342395981346 0.00031554314388193046 0.005112868804995946 -0.008601307582105021 -0.0008823034538474705 -0.0027541278768292736 0.01034264027065262 -0.0034809815344911026 -0.005552974064290916 -0.01490001054511458 -0.00814029997199655 0.0020725102572158377 0.00043738155176223316 -0.00397950430376881 -0.006125097388317897 0.02072867755325743 -3.4631474018383025e-05 5.464414187630731e-05 -0.00021264973656021416 -5.2816177736590816e-05 0.00011564542087289881
yob -1.5530513378234948e-05 4.361196161477056e-06 8.871698572154603e-06 1.772954978791149e-05 -2.265976655358302e-06 -1.0712735714526562e-07 5.732309163484706e-10 4.9408556897391485e-08 -2.467658550801464e-10 9.376986949301054e-06 0.0012473963573403006 0.0002366608849486961 -0.0005326384094333712 5.728678773469824e-05 -0.0009837900785085415 -0.00014141627052219184 -0.0002723673624314037 0.000537987434892525 -6.668374975955767e-05 -0.0006956317973001177 0.00030709722434668456 -0.0004364298390570763 0.0003293883274659701 0.0005269032303764884 0.000179885513174982 -1.8231329379930466e-07 3.129760074832805e-05 0.0002810213513757578 -0.0005470713330363915 7.758192015459991e-07 -2.9515803583953763e-06 -8.302699651317128e-08 2.3551841945855577e-06 -7.977465216778094e-07
age 0.002829772558019811 8.871698572199482e-06 0.001873817642794112 0.01882829044565258 -0.0018223258586605223 -5.460776748269298e-05 4.938546997154611e-07 5.333091851510989e-05 -4.826363520625989e-07 -0.0008301241561660723 0.0037376509565853846 0.001994055200722521 -0.0017149221111948008 0.00038774473777011126 -0.005327990790712016 0.0008012896382384237 -0.003421399237630036 -0.0011043224122441644 0.007127884349295351 0.001402465932239249 0.004007929340226615 -0.00028809160948046586 0.0015715233648233152 0.0001503478321288452 -0.001433170547081527 -0.0013016479496924744 -7.37786763930622e-05 -8.569200159042631e-05 0.0034663328356034327 -8.144818340955215e-06 1.1870968026371455e-06 -1.6821119961648244e-05 -2.573062767490931e-06 -1.1753439623918585e-05
sex 0.0015641226007324703 1.7729549788028982e-05 0.01882829044574596 0.3701503171154972 -0.03398992811827593 -0.0005328631296288339 4.706118584237984e-06 0.0009605632593026785 -8.481608604130097e-06 -0.001535721422272819 0.00802961828902828 0.005498057176626125 -0.017510937331191866 -0.016391059901283884 -0.03453160475945401 0.02260759634781855 -0.04923193406871566 -0.02662803679063016 0.08011394981689936 0.004921431562654757 0.034704046009302665 0.005385478570909879 0.01703634349152342 -0.046809090001563136 -0.06230185566448365 -0.016161923082484573 0.0152911963332387 0.02829278339545456 0.025764366493233194 -0.00015242694157751395 0.00021644552972125604 0.00045329605142170186 -0.00023323362025198306 -0.000622198829089122
age_sex -0.00025804748361132234 -2.2659766554249794e-06 -0.001822325858670196 -0.033989928118278626 0.0032558344432508626 5.324584851941151e-05 -4.816511950822911e-07 -9.488115792144184e-05 8.574564058833698e-07 0.0002982841338279699 -0.0011988663826515466 -0.0008099043483774269 0.001844763199132187 0.0016914707203295506 0.003113685622822764 -0.0024781348580710555 0.003425835662993927 0.0019822530490082395 -0.007910802562248334 -0.0008270870393105754 -0.002798061988496559 -0.0005060065259581785 -0.0014161782615209851 0.004108715844395421 0.005504598014258424 0.002649430094021227 -0.0005244735189867292 -0.002189142117289599 -0.003609024126498308 9.000673084427624e-06 -6.977563713673388e-06 -3.737079078045036e-05 1.6417454975572614e-05 5.628819527835849e-05
age2 -9.456091266770347e-05 -1.0712735714573835e-07 -5.460776748270223e-05 -0.000532863129626129 5.324584851913175e-05 1.6392802513270387e-06 -1.5154013990102763e-08 -1.5994900555482797e-06 1.4784664181783053e-08 2.917108555395614e-05 -6.743780017243418e-05 -4.7484874705823636e-05 3.562647564275186e-05 3.3915104454265943e-06 9.728442026005705e-05 -3.3990476458392906e-05 6.920130260089065e-05 3.299571560983021e-05 -0.00020797592420989451 -7.563480622320585e-05 -8.475484334254941e-05 -1.33267682648381e-05 -1.8170240900101703e-05 5.065614574210438e-06 4.774089478304239e-05 5.820788531201281e-05 1.6955316953697554e-05 8.402946552141548e-06 -0.00012800715241133065 2.5827095753660096e-07 1.728136419151804e-07 6.584312193913998e-07 -8.156378425040407e-08 2.777761380244106e-07
age3 9.586236036772458e-07 5.732309163498825e-10 4.938546997156128e-07 4.706118584213729e-06 -4.816511950797752e-07 -1.5154013990104828e-08 1.4267312544611344e-10 1.4772462984303528e-08 -1.3902064772668855e-10 -3.0803635010085843e-07 5.655852680051513e-07 4.164472711254113e-07 -3.356229768750005e-07 -7.689488014510422e-08 -6.437610149666913e-07 3.7064976346042486e-07 -5.042885286883167e-07 -2.5020994732961544e-07 1.8361212632897344e-06 7.684034449857421e-07 5.591872488045555e-07 1.4753908795956234e-07 -4.489467648972004e-08 -8.563023781011556e-08 -4.236145441899189e-07 -6.313599053221188e-07 -2.3037183185310402e-07 -4.607108810247216e-08 1.29380148745976e-06 -2.438952454934315e-09 -3.0996034380461162e-09 -6.6624023777941566e-09 1.9470374708059196e-09 -2.617094125031872e-09
age2_sex 1.0080231964325974e-05 4.9408556898468725e-08 5.333091851540683e-05 0.0009605632593028531 -9.488115792145112e-05 -1.5994900555568946e-06 1.4772462984381029e-08 2.8351496841362745e-06 -2.6148240793124644e-08 -1.3510959096379858e-05 4.301010013478984e-05 3.138270658316115e-05 -5.415006403595551e-05 -5.2173528526581086e-05 -7.74616230609807e-05 7.819082097543653e-05 -7.580573896865964e-05 -5.429679126292042e-05 0.00022958578751874103 3.325466511176859e-05 6.497761465077198e-05 1.7615075822518562e-05 2.7084663527698962e-05 -0.00010734387195818799 -0.0001505726244806173 -0.00010033532666553937 -6.5338101446512645e-06 5.402572313518518e-05 0.00012096140501707692 -1.778804754449853e-07 -1.326444134983449e-07 1.1352336758142797e-06 -2.755421143521883e-07 -1.7120896031488984e-06
age3_sex -1.1037541895852333e-07 -2.4676585508918006e-10 -4.82636352065425e-07 -8.481608604132587e-06 8.574564058835389e-07 1.478466418186515e-08 -1.3902064772742774e-10 -2.6148240793127106e-08 2.454709359976573e-10 1.509787062777148e-07 -4.2772228966517626e-07 -3.583621721660659e-07 4.827099537148235e-07 5.171080413405313e-07 5.674330021008186e-07 -7.339123217739618e-07 5.416476296675625e-07 4.80338350242469e-07 -2.0753157917394907e-06 -3.1483352096206063e-07 -4.2047203127788707e-07 -1.9571594526295062e-07 -1.2641390892929273e-07 9.226260518373892e-07 1.2819578541474748e-06 1.0633682513265958e-06 1.9588742612128982e-07 -4.77543478800665e-07 -1.2285485866024122e-06 1.1842687195838303e-09 3.6282632308896933e-09 -1.145203525971344e-08 7.269449211098727e-10 1.6737429632757816e-08
PC_3 -0.007384509569809362 9.376986949281728e-06 -0.0008301241561637833 -0.001535721422206596 0.00029828413382125877 2.917108555388262e-05 -3.0803635010014734e-07 -1.3510959096174499e-05 1.5097870627578107e-07 1.0015786086265117 -0.13953458378546235 -0.057871035480109446 0.28146931918303586 0.07657418122544792 -0.009243533808990503 0.1431567947397886 -0.26874334074965883 -0.2113619136311539 -0.2924324724970162 0.22827977410443068 0.19450236232944618 0.3466436733510322 -0.20257683458860212 -0.7615026267421295 -0.24220884404626278 -0.05345310678272927 0.18430804166189 -0.34349528550733305 0.5052011975789811 0.0001826873781611283 0.0003211272449839656 -0.0013735886399897095 0.0009336387826647054 0.002188762823335911
PC_4 -0.001624923391146364 0.0012473963573403212 0.003737650956587612 0.008029618289044659 -0.0011988663826527604 -6.743780017248968e-05 5.655852680055746e-07 4.301010013481628e-05 -4.277222896653428e-07 -0.13953458378546127 3.5602238578429777 0.037660495236335634 0.9242466705030399 -0.6673303822482739 -0.2526044725470081 -0.10401551538493005 -0.09805540734250673 -0.1590861550211216 0.42780399583057094 0.28283265201927515 -0.6868206334108088 -0.32689852457706636 0.8840407505895902 0.3386173415607505 -0.12688301273313363 0.211430594015739 -0.17348691371872274 -0.06169100349144211 0.6391898719107117 0.00016373851711231548 7.909836651623803e-05 -0.002162403627950408 -0.0004262830550722573 0.0017464567050583133
PC_5 -0.0008263115190600602 0.00023666088494871026 0.001994055200719639 0.005498057176523377 -0.0008099043483670558 -4.7484874705730754e-05 4.1644727112450394e-07 3.138270658284511e-05 -3.5836217216310544e-07 -0.057871035480109495 0.03766049523633269 4.179179295489319 -0.19087983511379214 -0.4281912067396609 -0.509950736511886 0.5768564580170602 -0.5355881836943701 -0.5774837273677443 -0.3826633951229128 0.43853151400820545 -0.2632623684386299 -0.3299019829851774 0.10719222644189613 -0.8089578938600184 0.07236946800774478 -0.11025114718676032 -0.4063814413424507 -0.6667393246917861 0.5484997515920734 0.0019404519646765445 -0.0015452898194696345 -0.0008859118684133844 -6.643322161264424e-05 -0.001264190782212784
