 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gp gm
PC_6 -0.0037265815884206395 -0.0005326384094333967 -0.0017149221111941143 -0.01751093733111655 0.0018447631991247253 3.562647564272679e-05 -3.356229768747668e-07 -5.41500640357295e-05 4.827099537127041e-07 0.2814693191830387 0.9242466705030438 -0.19087983511379655 5.573302557298214 0.21181324299186632 1.0890666867405394 -0.5610033072151175 0.25087186803151873 0.1138216000232171 -0.92075523353499 -0.1057347510516366 1.2112574165537195 -1.115126563725732 0.3890917406533668 0.6687606653778116 -0.21429589057102705 -0.17956355389913045 -0.6755284814719885 0.3625367044364521 -0.7141802032008727 -0.0005567204776412764 0.0011269692860341935 -0.0011985530678725342 0.00039545006354512613 0.0026262068533838426
PC_7 0.01018134239595646 5.7286787734688426e-05 0.000387744737754248 -0.01639105990145441 0.0016914707203464822 3.391510445902355e-06 -7.68948801494905e-08 -5.217352852708669e-05 5.171080413452008e-07 0.07657418122545441 -0.6673303822482789 -0.4281912067396733 0.2118132429918756 7.2699959015326945 0.16220835284771537 1.1679955562627997 -0.9395471521072803 1.016087498933414 0.5363155706693503 0.41506327690044414 -0.3019674779044667 -1.1657986235396989 -0.8448457663765749 1.3062030297786837 0.5717592430379723 -0.16867372485480855 -0.5120132946289034 0.8606897469913131 -1.0439377110143746 -0.00028492588415690036 -0.0008044402239532167 -0.0018205935972364013 -0.0006243974945416155 0.00046567907854527894
PC_8 0.000315543143874887 -0.0009837900785085658 -0.0053279907907009885 -0.034531604759191765 0.003113685622796416 9.728442025971148e-05 -6.437610149634135e-07 -7.746162306018054e-05 5.674330020933175e-07 -0.009243533808993308 -0.25260447254699603 -0.509950736511886 1.08906668674053 0.1622083528476902 8.649390399891132 1.56829690160744 -0.15247164344649336 0.3450287569051025 0.33281541937833575 -0.45512269689322904 -0.15453274560918587 1.0317621955636163 -0.47315540277014834 0.5474135476440471 1.2437029990378596 0.3942875192631352 -0.08123513607226882 -0.13854835716562988 -0.7532446791080502 -0.0013651374644926791 -0.0018928187193296602 -0.0015829406814678564 0.002100159828004558 0.0012760798583409856
PC_9 0.005112868805026821 -0.00014141627052216126 0.0008012896382498071 0.022607596347870424 -0.002478134858076032 -3.399047645873064e-05 3.70649763463491e-07 7.819082097558067e-05 -7.339123217752598e-07 0.14315679473978518 -0.10401551538492584 0.5768564580170668 -0.5610033072151243 1.167995556262817 1.5682969016074135 10.696335480922194 1.0589445336855758 -0.24301699833520038 -1.2512625325422144 0.8891592825728452 -0.10749571511981364 -0.4016303357690903 -1.5329589716395693 0.37780927875571046 -1.1958486248932554 -1.0709215186841516 -0.008060804879078233 -0.9713470628179546 0.9846527645310417 0.0008454001177648411 -0.00025459409689246754 -0.00020453588307593385 -0.000916619736942739 -0.0002563390347906431
PC_10 -0.008601307582120906 -0.00027236736243142323 -0.0034213992376280655 -0.049231934068586884 0.0034258356629806386 6.920130260081778e-05 -5.04288528687556e-07 -7.580573896824942e-05 5.416476296636553e-07 -0.26874334074965806 -0.09805540734249771 -0.5355881836943706 0.25087186803152073 -0.9395471521073053 -0.1524716434464805 1.0589445336855927 13.424165410196792 2.0566845312074595 -0.811274191189913 -0.05965807796960807 0.07339665739838754 0.327207675743872 0.42772132266601853 0.34828421282072236 1.3504399246903305 1.0983901658547466 0.041855082501416105 -0.06888990247292372 -1.2172141970376122 0.0025719150477888993 -0.002625044286254965 -0.00022442912210537993 0.003988319091423225 3.240307271161342e-06
PC_11 -0.00088230345386838 0.0005379874348925332 -0.0011043224122483358 -0.02662803679059877 0.00198225304900476 3.2995715609947566e-05 -2.502099473306419e-07 -5.429679126280611e-05 4.80338350241324e-07 -0.21136191363114976 -0.15908615502112092 -0.5774837273677508 0.1138216000232183 1.0160874989334026 0.34502875690511503 -0.24301699833519858 2.0566845312074706 12.279707659744979 1.1634983935126495 1.8767310995786597 0.7769375618987772 1.2826101357051956 0.19657926217937893 0.07888822080125038 -1.155037135120128 -0.47892034121543287 -0.11905700461015778 -0.9554319633102822 2.2415062557214527 -0.0005095642983236361 0.001743969154851039 -0.0011087163114225297 -0.0026322679761382624 0.0012467980086692725
PC_12 -0.0027541278767565466 -6.668374975942075e-05 0.007127884349305567 0.08011394981668223 -0.007910802562225537 -0.00020797592421016136 1.8361212632919232e-06 0.00022958578751802074 -2.0753157917325074e-06 -0.29243247249702947 0.4278039958305639 -0.382663395122889 -0.9207552335350088 0.5363155706694069 0.3328154193782781 -1.251262532542247 -0.8112741911899362 1.1634983935126546 14.097661936284105 1.0846047983493465 0.5264985024192075 -0.4537028501944988 1.77095873411803 1.1445357482194534 0.7064416429369278 0.4798359643319321 1.0012106361063795 0.09511806098489466 0.3233843527244406 -0.001049234869952306 -0.003570964354691511 -0.0019175139708397983 0.0031293197275230767 0.0018047666417897196
PC_13 0.010342640270667489 -0.0006956317973000767 0.001402465932231894 0.004921431562427228 -0.0008270870392879363 -7.563480622297673e-05 7.6840344498357e-07 3.32546651110862e-05 -3.1483352095569603e-07 0.22827977410443137 0.28283265201927854 0.4385315140082081 -0.10573475105162608 0.41506327690046113 -0.4551226968932248 0.8891592825728165 -0.059658077969594894 1.8767310995786715 1.0846047983493068 13.48137518981974 2.847179314785409 -0.7564946482868437 -0.917390451313392 1.499447327988079 1.4031384935551168 0.2964349739825779 -1.6987802290067109 -0.608411968770102 -1.5861545883965407 0.0002542163218534561 -0.000546739267464774 -0.0034351002854378344 -0.0025609772517570166 0.0020820934531633065
PC_14 -0.003480981534481045 0.00030709722434670846 0.004007929340217728 0.034704046009070864 -0.0027980619884732136 -8.475484334227017e-05 5.591872488018877e-07 6.497761465006192e-05 -4.2047203127124193e-07 0.19450236232944745 -0.6868206334108173 -0.26326236843863077 1.211257416553726 -0.3019674779044425 -0.154532745609185 -0.10749571511983816 0.07339665739839787 0.7769375618987894 0.526498502419162 2.847179314785413 13.711692158385045 -0.08260280707576562 -1.3185822256502158 0.6779641077833164 0.5077019511723212 0.04215990626772708 0.4118586784618863 -2.2277911131845243 1.3065996930948482 -0.0007179214477783725 0.0011388149632567067 0.0003926133595325641 -0.0005594987090190208 0.0011131392669742354
PC_15 -0.005552974064283932 -0.0004364298390570775 -0.0002880916094853603 0.005385478570780901 -0.000506006525945141 -1.3326768264685404e-05 1.4753908795811293e-07 1.7615075822121297e-05 -1.957159452592147e-07 0.3466436733510319 -0.32689852457707463 -0.32990198298518186 -1.1151265637257313 -1.1657986235396827 1.0317621955636134 -0.40163033576910057 0.3272076757438729 1.2826101357052007 -0.45370285019452444 -0.7564946482868393 -0.08260280707576524 15.155819051454941 -0.8231104591247019 0.4048462637943582 1.0916944412773748 0.3446779362178001 1.1624763367440778 -0.641949099179155 -1.9104955352400566 0.00014327503284290534 0.0010955516072677892 0.0028649993589591367 -0.0017133530497711606 -0.001348290950684529
PC_16 -0.014900010545114594 0.00032938832746597487 0.0015715233648239022 0.017036343491531356 -0.001416178261521637 -1.817024090011757e-05 -4.489467648961891e-08 2.7084663527712874e-05 -1.2641390892940062e-07 -0.2025768345886022 0.8840407505895881 0.10719222644189674 0.389091740653367 -0.8448457663765757 -0.47315540277014734 -1.5329589716395482 0.42772132266601753 0.1965792621793741 1.7709587341180335 -0.9173904513133975 -1.3185822256502102 -0.8231104591246992 16.83118099400447 -0.49045590055119737 0.09697094952493596 0.7901389058260414 -0.012843083983500854 -0.350516576214409 0.2944706842663549 -0.0024692970835303307 0.0008669690516265289 0.0057903234942401 -0.00011509842051005508 -0.002551691426946194
PC_17 -0.008140299972041114 0.0005269032303764616 0.00015034783210631793 -0.04680909000175547 0.0041087158444145224 5.06561457488351e-06 -8.563023781632248e-08 -0.00010734387195875728 9.226260518426283e-07 -0.7615026267421193 0.33861734156074946 -0.8089578938600331 0.6687606653778289 1.306203029778667 0.5474135476440928 0.37780927875571296 0.3482842128207513 0.07888822080126213 1.144535748219379 1.4994473279880371 0.6779641077832792 0.4048462637943361 -0.4904559005512056 19.438220596207493 0.4516375925247274 0.10208940846047854 -1.3051012434050961 -0.244231558405977 -0.6133001685380588 -0.0007153829084087032 -0.0003829855632445764 0.005159280438974122 0.0009621088049199721 -0.00628545539401687
PC_18 0.002072510257158081 0.0001798855131749232 -0.0014331705471087096 -0.06230185566468901 0.005504598014278578 4.7740894783848924e-05 -4.2361454419730255e-07 -0.00015057262448121212 1.2819578541528892e-06 -0.24220884404624896 -0.12688301273313266 0.07236946800772469 -0.2142958905710058 0.5717592430379519 1.2437029990379023 -1.195848624893267 1.350439924690369 -1.155037135120114 0.706441642936846 1.403138493555066 0.5077019511722701 1.0916944412773508 0.09697094952493598 0.4516375925247179 15.649520719243547 1.2109037297423215 -0.524886108340097 -1.2898284465750536 1.1759606659220205 -0.0026236974572454025 -0.0016231344496350335 0.008618408845823955 0.0018473630909578947 -0.007878851349191498
PC_19 0.0004373815517208834 -1.8231329383454986e-07 -0.001301647949704989 -0.016161923082497656 0.002649430094022247 5.820788531237862e-05 -6.313599053254166e-07 -0.00010033532666555965 1.0633682513267012e-06 -0.05345310678272047 0.21143059401573214 -0.1102511471867733 -0.17956355389913004 -0.16867372485482884 0.3942875192631625 -1.070921518684142 1.0983901658547581 -0.47892034121542815 0.4798359643319021 0.29643497398254715 0.04215990626769884 0.3446779362177814 0.7901389058260374 0.10208940846045628 1.210903729742292 15.726791723247624 -0.05608666716856196 0.5095344432139517 1.602783548807516 0.0031974460643528543 -0.0013475508010792772 0.00699321900143172 0.0019310976501826598 -0.005942760098903003
PC_20 -0.003979504303774536 3.129760074832044e-05 -7.377867639368393e-05 0.015291196333260287 -0.0005244735189887885 1.6955316953715816e-05 -2.3037183185326797e-07 -6.5338101445915885e-06 1.9588742612074163e-07 0.18430804166189402 -0.17348691371872735 -0.4063814413424559 -0.6755284814719988 -0.5120132946288981 -0.08123513607227516 -0.008060804879061651 0.041855082501419054 -0.11905700461015459 1.00121063610637 -1.6987802290067027 0.4118586784618878 1.1624763367440756 -0.012843083983513052 -1.3051012434051068 -0.5248861083401106 -0.05608666716857156 17.091500791494813 1.8289621810283279 -0.20035387201590604 8.746549359681581e-05 -0.006098071363321055 0.006750565197744921 0.0040604804471199765 -0.002915318102095925
PC_21 -0.006125097388291409 0.0002810213513757635 -8.569200157403662e-05 0.028292783395626887 -0.0021891421173067483 8.40294655164891e-06 -4.60710880979216e-08 5.4025723135698916e-05 -4.775434788054115e-07 -0.34349528550734065 -0.06169100349143805 -0.6667393246917747 0.3625367044364337 0.860689746991313 -0.13854835716565833 -0.971347062817938 -0.06888990247294118 -0.9554319633102938 0.09511806098495532 -0.608411968770074 -2.227791113184501 -0.6419490991791427 -0.35051657621441074 -0.24423155840598754 -1.289828446575071 0.5095344432139297 1.8289621810283252 20.806681238687823 0.9209578639821582 -0.0009148708508966166 -0.0005935320439853878 0.0014961836495211431 0.0007836632034191344 -0.002175060297059663
PC_22 0.020728677553308806 -0.000547071333036316 0.003466332835618329 0.02576436649323095 -0.0036090241264974776 -0.0001280071524117573 1.2938014874635665e-06 0.000120961405017033 -1.228548586601839e-06 0.5052011975789702 0.6391898719107217 0.5484997515920893 -0.7141802032008862 -1.0439377110143457 -0.7532446791081028 0.984652764531021 -1.2172141970376396 2.2415062557214513 0.3233843527244825 -1.5861545883965122 1.3065996930948895 -1.9104955352400361 0.2944706842663586 -0.6133001685380309 1.1759606659220565 1.6027835488075175 -0.20035387201591182 0.9209578639821232 17.93435463902374 1.1243725571381345e-05 0.002177327002843842 0.0010635046184941756 -0.00034470705448918414 -0.002320651772947591
proband -3.463147401843664e-05 7.758192015456703e-07 -8.144818340939206e-06 -0.0001524269415768989 9.000673084365025e-06 2.5827095753606314e-07 -2.438952454928971e-09 -1.7788047544306004e-07 1.1842687195656057e-09 0.00018268737816117556 0.00016373851711229734 0.0019404519646771228 -0.0005567204776404036 -0.0002849258841577387 -0.001365137464491841 0.000845400117764544 0.0025719150477886516 -0.0005095642983238237 -0.0010492348699528014 0.0002542163218529303 -0.0007179214477783804 0.00014327503284300658 -0.0024692970835304214 -0.0007153829084088548 -0.0026236974572455968 0.0031974460643527844 8.746549359687473e-05 -0.0009148708508965723 1.1243725571344369e-05 0.0004960876168103964 -0.0002629713490440959 -0.00025266206524933053 1.3073010539469073e-05 -5.797953807365304e-06
paternal 5.464414187617992e-05 -2.9515803583953848e-06 1.1870968025952463e-06 0.00021644552972113735 -6.9775637136633775e-06 1.7281364191639332e-07 -3.09960343805702e-09 -1.3264441349860152e-07 3.628263230891727e-09 0.0003211272449841979 7.909836651623905e-05 -0.001545289819469923 0.0011269692860344863 -0.0008044402239526607 -0.0018928187193287167 -0.0002545940968922373 -0.0026250442862545825 0.0017439691548517364 -0.003570964354688342 -0.0005467392674637214 0.0011388149632567855 0.001095551607266462 0.0008669690516309245 -0.00038298556324460457 -0.001623134449635142 -0.0013475508010799375 -0.006098071363321821 -0.00059353204398528 0.0021773270028431647 -0.00026297134904409666 0.0020498581422333786 0.00011503338257221613 -0.0015357189640292565 1.2802704337378469e-05
maternal -0.0002126497365597375 -8.302699651352804e-08 -1.6821119961224247e-05 0.000453296051427378 -3.737079078101124e-05 6.584312193786491e-07 -6.662402377676196e-09 1.1352336758310348e-06 -1.1452035259868001e-08 -0.0013735886399899111 -0.0021624036279517113 -0.0008859118684136886 -0.0011985530678738122 -0.0018205935972346874 -0.0015829406814710336 -0.0002045358830751226 -0.00022442912210497194 -0.0011087163114229667 -0.0019175139708380836 -0.003435100285436598 0.00039261335953349655 0.002864999358958522 0.00579032349424057 0.005159280438973881 0.008618408845824026 0.0069932190014313205 0.006750565197745569 0.0014961836495220747 0.0010635046184959134 -0.00025266206524933194 0.00011503338257221454 0.0021176217292294577 1.8349847632014542e-05 -0.0016112483182782638
gp -5.281617773663222e-05 2.3551841945858253e-06 -2.5730627675263887e-06 -0.00023323362025244154 1.6417454975620095e-05 -8.156378424929883e-08 1.94703747079548e-09 -2.755421143536529e-07 7.269449211236783e-10 0.0009336387826647202 -0.0004262830550724603 -6.643322161222384e-05 0.0003954500635443206 -0.0006243974945414153 0.0021001598280059926 -0.0009166197369401331 0.003988319091422051 -0.002632267976138707 0.0031293197275217835 -0.002560977251759048 -0.0005594987090197813 -0.0017133530497701508 -0.00011509842051260467 0.0009621088049200965 0.0018473630909576193 0.0019310976501834343 0.004060480447118804 0.0007836632034190513 -0.0003447070544886341 1.3073010539469332e-05 -0.0015357189640292559 1.834984763201431e-05 0.0014698574908592913 -2.9262179554269973e-05
gm 0.00011564542087224712 -7.977465216776455e-07 -1.1753439624280451e-05 -0.0006221988290925637 5.628819527869361e-05 2.777761380351546e-07 -2.6170941251302696e-09 -1.7120896031587646e-06 1.6737429632847637e-08 0.002188762823335952 0.0017464567050580197 -0.0012641907822130217 0.002626206853384174 0.00046567907854496804 0.0012760798583420923 -0.00025633903479618976 3.2403072712575306e-06 0.0012467980086699926 0.0018047666417880365 0.0020820934531633984 0.0011131392669735253 -0.0013482909506841532 -0.00255169142694468 -0.0062854553940167755 -0.00787885134919007 -0.005942760098902666 -0.002915318102096743 -0.002175060297059973 -0.0023206517729491855 -5.797953807364445e-06 1.2802704337378269e-05 -0.0016112483182782562 -2.9262179554269977e-05 0.0015668284467789688
