(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000613727572239782 0.00047860452516062 0.000126137697354969 -0.000168552572768381 -1.43060157007502e-05 -1.43996524527514e-06 2.71235940493872e-05 -4.54666085709453e-05 5.36614272369704e-05 6.64059468281759e-05
covarage 0.00047860452516062 0.00151658181680502 0.00174262199636845 -0.00242104896254236 -1.92364310192193e-05 6.0640386853031e-05 2.78471915565146e-07 -1.68915390643597e-05 8.88403353832005e-06 6.14727519745954e-06
covarsex 0.000126137697354969 0.00174262199636845 0.00437114562991224 -0.0055189598815636 -9.53292658405033e-06 2.4953758683784e-05 1.14401187272984e-05 3.57166167220151e-05 -4.60178780280452e-05 -1.87545931056633e-05
covarage_sex -0.000168552572768381 -0.00242104896254236 -0.0055189598815636 0.00757576216645999 1.41165317616642e-05 -1.1759287350878e-05 4.94563828472935e-07 -4.09956749161217e-05 5.84136851557509e-05 2.32857364414894e-05
covarPC_3 -1.43060157007502e-05 -1.92364310192193e-05 -9.53292658405033e-06 1.41165317616642e-05 0.000370197224819564 -2.18034850375514e-05 2.0502526954675e-05 -1.89744034948236e-05 4.50866262682434e-05 2.22729532096489e-05
covarPC_4 -1.43996524527514e-06 6.0640386853031e-05 2.4953758683784e-05 -1.1759287350878e-05 -2.18034850375514e-05 0.000398638047757985 -4.41796201355346e-06 7.14186033336717e-06 -9.91571097617483e-06 -8.99505678959728e-07
proband 2.71235940493872e-05 2.78471915565146e-07 1.14401187272984e-05 4.94563828472935e-07 2.0502526954675e-05 -4.41796201355346e-06 0.000485076109566978 -0.000245689045955555 -1.97467354819381e-05 7.36287862077844e-07
maternal -4.54666085709453e-05 -1.68915390643597e-05 3.57166167220151e-05 -4.09956749161217e-05 -1.89744034948236e-05 7.14186033336717e-06 -0.000245689045955555 0.00261534175319032 -0.00190914607260427 -0.00218612341861107
gmm 5.36614272369704e-05 8.88403353832005e-06 -4.60178780280452e-05 5.84136851557509e-05 4.50866262682434e-05 -9.91571097617483e-06 -1.97467354819381e-05 -0.00190914607260427 0.00801405681318119 -0.00425193339322269
gpm 6.64059468281759e-05 6.14727519745954e-06 -1.87545931056633e-05 2.32857364414894e-05 2.22729532096489e-05 -8.99505678959728e-07 7.36287862077844e-07 -0.00218612341861107 -0.00425193339322269 0.008434377840332
