 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.0005348388343497293 -1.4638564708680029e-06 7.445158737081882e-05 -2.6712342365183584e-06 2.77360096439442e-08 -0.00016406179496540724 0.00011767893349180958 -0.00026489825251224566 0.00015371523724627939 0.0005453737174626986 -0.0007846542594666394 0.0001662926570062821 7.126192470397441e-05 0.00015039731387962572 -0.0005442766013306401 0.0006912316767681778 0.0002032851433818506 -0.00024400938026791736 -7.715772410596075e-05 -0.00041756514951086154 -0.0007157138374421861 2.2063116105957018e-05 -0.0003877063867923398 -0.00034862794317887903 0.001306230842739629 2.3099526135890206e-06 -1.0949814093796759e-05 1.2809778176966142e-05 1.0363886342581658e-05
yob -1.463856470867238e-06 6.931957959680224e-07 2.4731483307487333e-08 1.1007676059605602e-08 -6.615564587063764e-11 5.368976419975097e-06 0.0001193186224198634 2.117119137187962e-05 -7.612406564745506e-05 7.987856289188439e-06 -5.643367150534269e-05 -4.313744053763383e-06 -3.909049098154501e-05 5.780061435183441e-05 6.450311738732116e-06 -6.766708528630828e-05 5.204761670458703e-05 -4.100690326640402e-05 -1.2775269562519855e-05 7.743959267443076e-05 3.442032196772403e-05 -1.797336594485333e-05 1.4321736196960399e-05 4.754489398617565e-05 -0.00011392124488426258 1.0847485485230114e-07 -1.0768728823043845e-07 -2.671166758358009e-08 2.6551438585986743e-07
age 7.44515873707989e-05 2.473148330727769e-08 3.544259796502042e-05 -1.0319387994228976e-06 8.994935976194521e-09 -9.163913472369433e-07 3.8654439978368144e-05 -2.8546146036183953e-05 -2.3526998554879718e-05 2.2626876426881417e-05 -8.294935329364268e-05 -1.4836582948266544e-05 -5.130789331509163e-05 0.00013837815232239887 -7.026569249574223e-05 1.3253291070525006e-05 9.185796020812136e-05 8.467418282681653e-05 1.3284645060340884e-05 6.666194128307088e-06 7.593023624291333e-06 3.3750804949945626e-06 5.87155960057319e-05 4.410099832160662e-05 0.00020452928484795174 2.732322237463457e-07 -5.548003698865306e-07 1.263832441694237e-06 8.053402115451117e-08
age2 -2.6712342365178273e-06 1.100767605961094e-08 -1.0319387994229336e-06 3.16508824233943e-08 -2.847513449952206e-10 -1.0606553454388937e-07 1.7781746796796897e-06 1.5929653207351304e-06 -1.0167012968646796e-06 1.2384201521358521e-06 6.976159965550621e-07 2.0151786142173947e-07 -3.3597749611891034e-07 -3.1161288141136013e-06 1.724908868137124e-06 -1.2701323287911829e-06 -2.746068648557547e-06 -2.1832005295809166e-06 -9.466303506833008e-07 1.1691132824660302e-06 8.029794831892628e-07 -1.2054009525541215e-06 -2.6813614954782577e-06 -1.7802180382615827e-06 -7.015114708414852e-06 -6.075038018494368e-09 1.9325946206121504e-08 -3.075348214779237e-08 -5.921374421382437e-09
age3 2.7736009643940166e-08 -6.615564587069391e-11 8.994935976195151e-09 -2.8475134499523013e-10 2.6336455880259205e-12 1.6067270805640901e-09 -1.1139687973122375e-08 -1.5763337311534432e-08 7.203927570996781e-09 -1.4740806900447201e-08 -8.46850995235718e-09 -1.3116442265127704e-09 7.745886289227708e-09 3.050424759878937e-08 -1.3099776480953819e-08 9.616554897373552e-09 3.1924754579950804e-08 1.0731719343704651e-08 8.853849761469056e-09 -8.190666726863079e-09 -1.0991724600302885e-08 1.3404709117887986e-08 2.7211753940321152e-08 2.198099047195435e-08 5.464888610642561e-08 6.583996530547276e-11 -2.3613184748812127e-10 2.802728752843929e-10 1.182770175024459e-10
PC_3 -0.00016406179496540412 5.368976419975047e-06 -9.163913472350452e-07 -1.0606553454394732e-07 1.6067270805645875e-09 0.14219824210843313 -0.005347149075792247 -0.0010076343840642813 0.008863450641141383 -0.002767802849215618 0.01386580852178638 0.014355711501948193 -0.02883006763344275 -0.016081441974599542 -0.01055651057968183 0.026208092442172072 0.013417149394502064 0.03509779202768037 -0.014332207939079845 -0.06021362080215713 -0.01836146747883322 -0.01100202522349576 0.023847575164209177 -0.019823839975230708 0.04520339605630234 0.00015595117746535606 -0.00017281072947488704 0.00024463135767172853 0.0002855205146563043
PC_4 0.00011767893349191111 0.00011931862241986352 3.8654439978396225e-05 1.7781746796787744e-06 -1.1139687973113658e-08 -0.005347149075792222 0.4892166953879895 -0.018340180443342492 0.05234066572381481 -0.023463095086048512 -0.015170080436088085 -0.005572126967518164 0.0062934613644788995 -0.02263508736317333 0.019964048442064175 0.04166146485327588 -0.05364356985016093 -0.03108642291338373 0.03557665176877381 0.04492918943203508 -0.028863586872486 0.017645250648668384 -0.025186995998507072 0.006027445289952006 0.049596068070895116 -7.552163132675354e-06 -4.1690006769190855e-05 0.00030840224737452266 -0.00017347624499119675
PC_5 -0.00026489825251221335 2.1171191371880166e-05 -2.8546146036187548e-05 1.5929653207351778e-06 -1.5763337311534395e-08 -0.001007634384064038 -0.01834018044334247 0.6116490920516685 0.004777324150398577 -0.003848898567533688 -0.00786520808991883 0.012838580828900431 -0.03281700933037973 -0.028244125200768497 -0.0516051124312416 -0.014933752990865733 0.004584771862236632 -0.03074464183142059 0.02020585858846536 -0.07396420953975452 -0.00033667913767803113 0.006818268173343374 -0.014778632623722102 -0.015558181092641161 0.05378348794635312 0.0001240903225113458 0.0001289462208941017 -0.00011682378008242497 -0.00012220301245580308
PC_6 0.00015371523724622713 -7.612406564745525e-05 -2.3526998554888853e-05 -1.0167012968643783e-06 7.203927570993648e-09 0.008863450641141168 0.05234066572381474 0.004777324150398554 0.8070760795479217 0.012732395379870476 0.05184217661404946 0.0021000912507572974 0.0024725901382141196 0.025383970829384695 -0.044198550416513965 -0.011240097156421889 0.042896026555556986 -0.10671535012214849 0.041092244905702346 0.08525368655140109 -0.015221377512779265 -0.004525076454461578 -0.041337606379551785 0.012517787860781776 -0.056006381954198124 8.699687709408247e-05 -8.575834070232833e-05 2.948305560810403e-05 0.0004383778119125781
PC_7 0.0005453737174626877 7.987856289188515e-06 2.2626876426875914e-05 1.2384201521359921e-06 -1.4740806900448253e-08 -0.0027678028492161473 -0.023463095086048505 -0.0038488985675329867 0.012732395379869853 1.0289310748348075 0.01449912591819857 0.0508507058763076 -0.05480170015282104 0.0785467309395747 0.030579618862556623 0.053898228058498296 0.039497138264615164 -0.11499814177684245 -0.058005812653445746 0.08315449505842051 0.012770413976015745 -0.010621802869812234 -0.051133629493515756 0.02849637059655843 -0.07320661450048649 -0.00017358988609955233 0.0002566447291909473 -0.0002973715002986671 -0.00012190088407822433
PC_8 -0.000784654259466682 -5.643367150534232e-05 -8.294935329366615e-05 6.976159965557462e-07 -8.46850995236305e-09 0.013865808521786269 -0.015170080436088045 -0.007865208089918566 0.05184217661404951 0.01449912591819835 1.1422569737090427 0.07527534386401044 0.01891694698324223 0.025668457638169714 0.01212343627895227 -0.015627795612272715 0.0532303060702792 0.08460574029734248 -0.07230965935816303 0.04604665299753823 0.08881798330982889 0.032775774045249645 -0.002837630223177722 0.01638617147941398 -0.04413148299730443 -0.00014340803408408409 0.0001781227405928087 -0.00035650642056437416 -2.4337772618918666e-05
PC_9 0.0001662926570062945 -4.313744053763394e-06 -1.483658294826313e-05 2.015178614216231e-07 -1.311644226511655e-09 0.014355711501948098 -0.005572126967518203 0.012838580828900797 0.0021000912507571326 0.05085070587630712 0.07527534386401048 1.4771232507607286 0.102997923840661 -0.006392356640992746 -0.10213148643600417 0.09002856796415906 -0.003914033722863378 -0.01705959514049977 -0.0701198554243417 -0.02281688199486378 -0.07921135109837178 -0.04301111438877479 -0.01830267223789802 -0.0785665559508809 0.09194791718710071 -5.2611784555675534e-05 0.0003738476109418301 -0.0006407799265895722 -0.00010206216004198811
PC_10 7.126192470397829e-05 -3.909049098154539e-05 -5.1307893315082424e-05 -3.359774961191938e-07 7.745886289230132e-09 -0.02883006763344305 0.006293461364478875 -0.032817009330378934 0.002472590138213744 -0.05480170015282101 0.018916946983242266 0.10299792384066103 1.8386554282215983 0.14471024431398338 -0.07760438052699044 -0.026060773590638003 -0.030867629177593194 0.002687290019861835 0.036871454732554036 0.012403497713860652 0.11974386961453512 0.07031783071151455 5.1187310615667827e-05 -0.02523619157189376 -0.07388748942782909 3.078005501524194e-05 0.0003087077812296865 -0.00023881883080228834 -0.0004648827298056446
PC_11 0.00015039731387961187 5.780061435183362e-05 0.0001383781523224185 -3.116128814114093e-06 3.050424759879279e-08 -0.016081441974599563 -0.02263508736317345 -0.02824412520076849 0.025383970829384882 0.0785467309395748 0.025668457638169866 -0.00639235664099265 0.14471024431398347 1.6380583800639843 0.028785973416590456 0.0867456554610111 0.04147228650940989 0.05857710575422998 -0.013157625090946801 0.045158158192132675 -0.1469283834103637 -0.0628440762616635 0.02597449973982125 -0.0701554069362236 0.15923960517625696 -3.182491691713209e-06 -3.735881033760748e-05 0.000331743376589508 -0.0004566848019739795
PC_12 -0.0005442766013305916 6.450311738732367e-06 -7.0265692495738e-05 1.7249088681369243e-06 -1.3099776480951422e-08 -0.01055651057968182 0.019964048442064175 -0.051605112431241475 -0.044198550416514035 0.030579618862556595 0.012123436278952283 -0.10213148643600405 -0.07760438052699016 0.028785973416590508 1.926007610548091 0.0644043748251824 0.04284863833671805 -0.047070437415962896 0.059572073844204036 0.061515630356905535 0.09077187847418432 0.027699948562260865 0.03436588054611177 0.057089894578406956 0.01127145325760555 1.8776450355794687e-05 -1.317471382911041e-05 0.0003118282419717344 -0.0003487219050204602
PC_13 0.0006912316767681234 -6.766708528630828e-05 1.3253291070514101e-05 -1.2701323287908038e-06 9.616554897369752e-09 0.026208092442172117 0.04166146485327584 -0.014933752990865379 -0.011240097156421968 0.05389822805849805 -0.01562779561227273 0.09002856796415909 -0.02606077359063795 0.08674565546101103 0.0644043748251824 1.8986477203628935 0.1441422220926843 -0.08298666349308603 -0.04215060944564721 0.11022613187779325 0.12476655016834241 0.0327001059365771 -0.09763728008698666 -0.024666145889102625 -0.09381622666428548 8.095015279791582e-06 4.4128833141385595e-05 0.0003841861641577181 -0.0006149598027691315
PC_14 0.0002032851433819121 5.2047616704586105e-05 9.185796020816577e-05 -2.7460686485588165e-06 3.19247545799614e-08 0.013417149394501964 -0.0536435698501611 0.004584771862236781 0.0428960265555569 0.03949713826461517 0.0532303060702792 -0.003914033722863324 -0.030867629177593198 0.04147228650940987 0.04284863833671797 0.14414222209268437 1.9197330562546946 0.06692745701192324 -0.045363155319653486 0.0419683490856483 0.004239434601257099 -0.029847411045662676 -0.016046896384917665 -0.13067077696232682 0.11397998902752139 0.00013606232512333746 0.00011067442478742932 -0.0003032643168122663 2.145509034849039e-05
PC_15 -0.0002440093802680599 -4.100690326640391e-05 8.46741828267786e-05 -2.183200529579664e-06 1.0731719343692704e-08 0.03509779202768036 -0.031086422913383784 -0.030744641831419735 -0.10671535012214879 -0.11499814177684292 0.08460574029734264 -0.01705959514049971 0.002687290019861763 0.05857710575422977 -0.04707043741596282 -0.08298666349308623 0.0669274570119229 2.210192113463676 -0.05432952796732155 0.036581468504913874 0.04109811603099059 -0.027815569156871403 0.04030814717246708 0.01108892175073292 -0.09035094545886514 3.39449554851862e-05 0.0003804427576319597 -0.0004388106971669156 -0.000244828248508205
PC_16 -7.715772410598647e-05 -1.2775269562520082e-05 1.3284645060340767e-05 -9.466303506832455e-07 8.853849761468327e-09 -0.01433220793907991 0.035576651768773844 0.02020585858846582 0.041092244905702034 -0.058005812653445815 -0.07230965935816286 -0.0701198554243416 0.036871454732553634 -0.013157625090946768 0.05957207384420414 -0.04215060944564694 -0.04536315531965383 -0.05432952796732078 2.3670012516657906 0.014587577568283343 -0.030185170573256825 0.05796201361254655 0.05917398896549036 0.04455417758523404 -0.013827192055441494 0.0001526848777137878 0.00014391396253588727 0.0001325924589658007 -9.21840523923723e-05
PC_17 -0.00041756514951080565 7.743959267443087e-05 6.666194128322304e-06 1.1691132824655349e-06 -8.190666726858257e-09 -0.060213620802157204 0.04492918943203501 -0.0739642095397542 0.0852536865514009 0.08315449505842008 0.046046652997538476 -0.022816881994863553 0.012403497713860586 0.045158158192132494 0.06151563035690552 0.11022613187779337 0.04196834908564842 0.03658146850491459 0.01458757756828275 2.5793328693064415 -0.020092326940383588 -0.004360354729916102 -0.09255037253048691 -0.08032129030306452 -0.08461868829457878 -0.00026241007784389233 0.00034905078623865616 -0.0008505939754520351 0.0003293813448160757
PC_18 -0.0007157138374422452 3.4420321967724304e-05 7.593023624268917e-06 8.029794831898869e-07 -1.0991724600308355e-08 -0.018361467478833746 -0.02886358687248595 -0.00033667913767753874 -0.015221377512779025 0.012770413976015364 0.08881798330982849 -0.0792113510983716 0.11974386961453647 -0.14692838341036332 0.09077187847418446 0.1247665501683429 0.004239434601256776 0.041098116030990145 -0.030185170573257678 -0.02009232694038489 2.3676461827187323 0.14807787710586193 -0.05143050684110835 -0.11733574500323068 0.06358471384371779 -0.00045113530665182836 0.0003772226842333664 -0.00024406752274916646 -0.00036248050248212664
PC_19 2.2063116105939687e-05 -1.7973365944853547e-05 3.3750804949975548e-06 -1.2054009525541738e-06 1.3404709117887956e-08 -0.01100202522349588 0.017645250648668336 0.00681826817334421 -0.0045250764544617515 -0.010621802869811596 0.03277577404524969 -0.04301111438877475 0.07031783071151511 -0.06284407626166341 0.02769994856226075 0.032700105936577455 -0.029847411045662714 -0.02781556915687287 0.05796201361254693 -0.004360354729916466 0.14807787710586162 2.306160142540999 -0.00635573802569727 0.04652615438210726 0.13181247940911775 0.0006001889085586794 0.0002770674946337913 -0.00043083978836555624 -0.00013547511182491237
PC_20 -0.00038770638679235957 1.4321736196959808e-05 5.871559600574347e-05 -2.681361495478519e-06 2.721175394032276e-08 0.023847575164209222 -0.025186995998507128 -0.014778632623722233 -0.041337606379551556 -0.05113362949351575 -0.002837630223177689 -0.018302672237898047 5.1187310615830416e-05 0.025974499739821282 0.034365880546111734 -0.09763728008698662 -0.016046896384917703 0.04030814717246719 0.05917398896549052 -0.09255037253048667 -0.05143050684110824 -0.006355738025697198 2.6041769328975537 0.12096154862510429 -0.053379822804905656 0.00011449183694901634 -0.00011073357514621378 0.0003145846830469754 8.94550340618237e-06
PC_21 -0.00034862794317885317 4.7544893986174894e-05 4.410099832163259e-05 -1.7802180382622775e-06 2.1980990471959843e-08 -0.019823839975230656 0.006027445289952087 -0.015558181092641222 0.012517787860781672 0.02849637059655771 0.01638617147941421 -0.07856655595088156 -0.025236191571894166 -0.07015540693622285 0.057089894578407054 -0.024666145889102223 -0.130670776962327 0.011088921750733319 0.04455417758523424 -0.08032129030306641 -0.11733574500323037 0.046526154382107124 0.12096154862510487 2.8710692405670946 0.10040192554765816 -0.00019587485057458281 0.00012749903439743566 -0.0005386875690560288 0.00021472851412358298
PC_22 0.0013062308427394273 -0.00011392124488426384 0.00020452928484792835 -7.015114708413904e-06 5.4648886106414356e-08 0.04520339605630227 0.049596068070894984 0.05378348794635338 -0.05600638195419812 -0.07320661450048667 -0.04413148299730393 0.09194791718710082 -0.07388748942782936 0.159239605176257 0.011271453257605759 -0.09381622666428527 0.11397998902752135 -0.09035094545886425 -0.013827192055441606 -0.08461868829457782 0.0635847138437175 0.1318124794091184 -0.05337982280490572 0.10040192554765716 2.626665623547705 -0.00010910707776202036 5.161028645461538e-06 0.0005115353774754666 -0.000323877060137792
proband 2.309952613589115e-06 1.0847485485229973e-07 2.732322237464482e-07 -6.075038018497509e-09 6.583996530549984e-11 0.00015595117746534397 -7.552163132673285e-06 0.00012409032251134287 8.699687709407602e-05 -0.0001735898860996483 -0.00014340803408408138 -5.261178455568066e-05 3.0780055015334146e-05 -3.1824916917126788e-06 1.8776450355786915e-05 8.095015279781839e-06 0.00013606232512333835 3.394495548529829e-05 0.0001526848777138385 -0.0002624100778437856 -0.0004511353066518362 0.0006001889085586846 0.00011449183694901423 -0.00019587485057454603 -0.00010910707776205325 5.743660788402623e-05 -3.0093417178520788e-05 3.035514746423691e-07 -5.820258653612046e-07
maternal -1.0949814093798334e-05 -1.0768728823037598e-07 -5.548003698870698e-07 1.932594620613758e-08 -2.3613184748825786e-10 -0.00017281072947490954 -4.1690006769209544e-05 0.00012894622089445996 -8.57583407026906e-05 0.0002566447291902394 0.00017812274059274578 0.0003738476109418086 0.00030870778122960886 -3.7358810337669074e-05 -1.3174713829193417e-05 4.412883314135527e-05 0.00011067442478735627 0.0003804427576318286 0.0001439139625358877 0.00034905078623847526 0.00037722268423281616 0.0002770674946335217 -0.00011073357514617923 0.00012749903439722383 5.161028645111716e-06 -3.0093417178520547e-05 0.00030263842505308673 -0.00025211494426687433 -0.00021518348907947706
gpm 1.2809778176967636e-05 -2.6711667583621663e-08 1.2638324416947334e-06 -3.0753482147805653e-08 2.802728752845004e-10 0.0002446313576718042 0.0003084022473745248 -0.00011682378008248812 2.948305560810889e-05 -0.0002973715002980541 -0.00035650642056440327 -0.0006407799265895032 -0.0002388188308023337 0.0003317433765896361 0.0003118282419717895 0.00038418616415770296 -0.00030326431681215586 -0.0004388106971670031 0.00013259245896602708 -0.0008505939754518331 -0.00024406752274944998 -0.00043083978836593273 0.0003145846830469238 -0.0005386875690570243 0.000511535377475986 3.0355147464245865e-07 -0.00025211494426687466 0.0007256629779630642 -0.00023774900337469976
gmm 1.0363886342582612e-05 2.6551438585985594e-07 8.05340211548918e-08 -5.921374421392701e-09 1.182770175025319e-10 0.00028552051465631354 -0.0001734762449911928 -0.00012220301245614623 0.00043837781191266454 -0.00012190088407749414 -2.4337772618890138e-05 -0.00010206216004207337 -0.0004648827298059962 -0.00045668480197395454 -0.0003487219050203785 -0.0006149598027690885 2.1455090348532865e-05 -0.000244828248507962 -9.218405239173742e-05 0.0003293813448163428 -0.0003624805024812624 -0.00013547511182473312 8.945503406137688e-06 0.00021472851412419918 -0.00032387706013741965 -5.82025865361723e-07 -0.00021518348907947668 -0.0002377490033747001 0.0006564427210704091
