 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
intercept 0.007551314265016218 -4.5630262591285966e-07 0.0006010640326015575 -2.4339848826388272e-05 2.842674870418528e-07 -0.0026757923818304294 0.0003676964291030077 -0.0018963907870123368 0.0007724545127863662 0.002401114302112021 -0.003379805378202382 -0.0002865137402986411 0.0028058351946504538 0.0014976264643218277 -0.004532865639692347 0.0025946271038885384 -0.00437227864658518 -0.003546677843054427 -0.006345086208918147 -0.0024384486824130924 -0.005372817979855433 -0.00034886748382995423 -0.00018876536934285098 0.00441624897627996 -0.0010165854582580634 1.0022355900850649e-05 1.7178850961705175e-05 -7.81219066881516e-05 -2.3889403122016e-05 -3.983344796944604e-06 1.8267857804831256e-05 6.088052180907296e-05
yob -4.5630262591673176e-07 2.2805839463051646e-06 1.0788391044043675e-06 7.02018454420106e-09 2.9213741626146353e-12 2.5364799571214485e-05 0.00030756447723072306 2.9317612651964205e-05 -0.00024069301995430738 0.00010665713432634161 -0.00025980634772088145 -5.191958426703571e-05 -0.00016065276039290381 0.0002523049640543474 -1.872116420250028e-05 -0.00022675003964328947 0.0001903799096863345 -0.00013699759829810992 -2.4942504195877458e-05 0.0001225010324246127 0.00012590598440128146 -0.0001248298401876626 -6.596986633063182e-05 5.947378843078694e-05 -0.00033812430658595446 5.100901047060995e-08 -1.4493419087655217e-06 3.228934080147245e-07 2.2220113636590652e-06 6.587152418178497e-07 -3.836633064456619e-07 -3.3488553251359853e-07
age 0.0006010640326017314 1.0788391044046185e-06 0.00011501898914810347 -3.866855910492768e-06 3.851775515035642e-08 -0.00011725220196134621 -3.6559948895228965e-06 -0.0004614746410347023 0.0002626697513480641 0.00025737023659832045 -0.0005157770231099151 -0.000442180434369765 0.00020177281056530023 0.0009334864485916411 -0.00013517540626410576 0.0003318129905805114 -0.00020759544917389993 0.00021919506983824632 -0.00019621232100786777 0.0009737769646431327 -0.00018449810258435457 7.525996956580148e-05 3.06738464460661e-05 0.0007737847394796445 8.161627853342085e-05 2.0158103169904718e-07 6.864022560357426e-07 -2.7518049356347727e-06 -4.4427276704651606e-07 3.867800618044363e-06 -2.8126838602381692e-06 4.80173155237718e-06
age2 -2.4339848826393226e-05 7.0201845441858396e-09 -3.866855910492571e-06 1.3709667906442324e-07 -1.4125986875752516e-09 3.787760916147754e-06 6.375563608598056e-06 1.5911006985862305e-05 -1.3586682723120622e-05 -3.9319661875327393e-07 1.1991472126472172e-05 1.3420815583141984e-05 -1.619326113678905e-05 -2.4737685201523908e-05 3.241102670893417e-06 -1.495022827906393e-05 1.2723425984886005e-05 -3.828914511958984e-06 9.290180869485866e-06 -2.5542385440008263e-05 1.3941321037325986e-05 -4.25576168657954e-06 -7.127042430953371e-06 -3.168581616400619e-05 1.3856411707150861e-06 -2.234463362354597e-09 -1.142911563497695e-07 1.1038539038119944e-07 1.1862076380897876e-07 -7.896411319531238e-08 1.380572939333295e-07 -1.7885820964621847e-07
age3 2.8426748704189285e-07 2.9213741627482326e-12 3.8517755150352655e-08 -1.4125986875751879e-09 1.498753717286092e-11 -4.4411916033111134e-08 -3.9427646061917864e-08 -1.559843852751084e-07 1.1187442379827443e-07 -3.86576487971354e-09 -1.3179301259953073e-07 -1.2654662669290656e-07 1.9243064140535734e-07 2.399348163108945e-07 -3.9387292647834496e-08 1.4490449763457232e-07 -1.398773882242359e-07 -1.5175515300666803e-08 -1.4149906985931363e-07 2.0367262827481388e-07 -1.710588167770303e-07 2.498428818508119e-08 8.604930551708516e-08 3.397836356288164e-07 -8.804987058574753e-08 7.051776092100424e-11 1.51894065822532e-09 -1.4484192528424236e-09 -1.4917160262469413e-09 4.2858791729899097e-10 -1.449913834244263e-09 1.8955115222604687e-09
PC_3 -0.0026757923818304273 2.5364799571213285e-05 -0.00011725220196131713 3.787760916146967e-06 -4.441191603310406e-08 0.49628459704190603 -0.08083977896152565 0.025581308569684606 0.06972677288066186 0.03192972677168633 0.0338221018079068 0.015462419742440423 -0.08166357284862563 -0.05252530454066907 -0.03580989538524582 0.09195501018086608 0.028925298974895815 0.14747506944425307 0.0036505275161286253 -0.2029041413348585 -0.05938822151590582 0.006887507682153592 0.058486874239061924 -0.13036438173107384 0.1778714776044071 1.5213321375432944e-05 4.8219205462346945e-05 -0.00018684468137145682 0.0006462514569001774 0.0004247267797992235 0.0007959876076535834 0.00042493795740751087
PC_4 0.00036769642910220433 0.0003075644772307231 -3.655994889592829e-06 6.375563608600956e-06 -3.942764606195179e-08 -0.08083977896152546 1.4540363331448514 -0.013341319386367744 0.3223308170841078 -0.12856664390019262 -0.122482665804259 -0.01687531788264561 0.048985681158704504 0.06609514909900778 0.10241358444222515 0.1625405107809909 -0.06974903309257825 -0.18937544181995822 0.12554257986054418 0.06613194418551309 -0.08942392183696939 0.05210489284323769 -0.08906841621806871 0.07232910642753568 0.22998522972239002 -2.5227062528724387e-05 -0.00057739275051619 -0.0011132544833734731 0.0006603664719160859 0.0008151412635514029 0.0020419763754362117 0.00010655043925489156
PC_5 -0.0018963907870133039 2.9317612651963507e-05 -0.0004614746410347391 1.5911006985864345e-05 -1.5598438527513575e-07 0.025581308569685636 -0.013341319386368351 2.001156829890273 -0.10321515700496582 -0.26053915828394636 -0.22027014139929532 0.2685840853942521 -0.1333540984787749 -0.3403300445953015 -0.1432845361936827 0.006034891102635732 -0.15013727917097963 -0.09031190282214058 0.06441706299652007 -0.4177881780054992 -0.1421362731956829 -0.06133321426713903 -0.03991618600760322 -0.11427076189542086 0.2924208109646881 0.0008874383102894367 -0.0005295867962220116 0.001044371076587844 -0.0007403466210953686 0.0011346840714007813 -0.0006304051771458496 -0.001652873527616391
PC_6 0.000772454512787577 -0.00024069301995430667 0.00026266975134814683 -1.3586682723124349e-05 1.1187442379831992e-07 0.0697267728806612 0.3223308170841083 -0.1032151570049682 2.611570949591146 0.1589921630633055 0.24381378046147495 -0.1394275221341808 0.2503327713145108 0.13185661659998762 -0.10531793913257166 0.13619139989694162 0.3762449101574183 -0.43034364324961977 0.10995331689986398 0.3069376664865359 -0.07663171278916592 0.016124262286505566 -0.2640358731743883 0.17249031466616208 -0.20802625339332217 -0.00015279315359792545 1.9775415673634485e-06 -0.0010088355207483297 0.0002418599939144055 9.601365708637487e-05 0.0011397184183862686 0.0011880934406599002
PC_7 0.0024011143021122174 0.00010665713432634123 0.00025737023659836675 -3.9319661875449556e-07 -3.865764879701112e-09 0.03192972677168616 -0.12856664390019168 -0.26053915828394963 0.15899216306330827 3.6011672006299675 -0.02610989736034672 0.41806702918982236 -0.18826597987929397 0.3666761288405413 0.26350499416486894 0.18783953721910052 0.06787551336690711 -0.39955349626204345 -0.21078324266865037 0.610673717836952 0.20565688648309524 0.05140196427283468 -0.49427107086995076 0.07722147846484556 -0.5760922500292422 0.00033340733901347433 -0.0006553507579139628 -0.0009815685851456708 -0.0001759806758905296 -0.0007746771860791643 -0.0011242825701089233 0.0011921578569488486
