 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 9.690350284018603e-06 3.421862806298105e-08 -1.3572408907139831e-06 -6.545291050356865e-06 4.326376375702591e-07 2.6956670952559152e-08 -1.5436210506315957e-10 -9.46810354477236e-09 6.373912261075465e-11 3.944709093817453e-06 -1.6437519390739717e-06 2.577906221716255e-06 -3.74515781068015e-05 4.7237552001146095e-05 -6.552561346248969e-05 4.576908467878563e-05 -3.783702240003977e-05 -3.8684558859782945e-06 -7.276967846532046e-05 -5.904717525398245e-06 -1.7363369680064924e-05 -4.915050477672554e-05 9.221154920091959e-09 -3.306821033432332e-05 -1.3267155472391292e-06 2.7680521847389066e-06 -4.1409549893472977e-05 -4.5004015921504856e-05 6.0147684353438575e-05 -1.06488238919718e-08
yob 3.4218628062965634e-08 9.575804969868867e-08 1.380060798008464e-07 6.352896830204316e-07 -5.86770432037592e-08 -4.013069825371939e-10 -1.9409910000179726e-12 8.987292605969797e-10 -3.037708136851212e-12 8.249218385168535e-07 6.931155852428474e-06 5.539465728139096e-07 -6.624048103207017e-06 -1.5725046884945915e-06 -3.0350017029086467e-06 5.53223746129733e-08 -2.4265392738478106e-06 4.490785974610185e-06 -1.6839441351450315e-06 -4.1563890670578786e-06 5.85605568142948e-06 -5.2789429018583485e-06 -2.5372099796087727e-06 8.172578688567157e-06 2.339941514665557e-06 3.1493076107363356e-07 -1.986172662820682e-06 2.9622840318289532e-06 -1.096650329967761e-05 1.620863595286682e-08
age -1.3572408907186954e-06 1.3800607980054862e-07 2.446249446912944e-05 0.0003495156187417757 -2.4288738835720216e-05 -5.027452940115042e-07 3.1997678665488997e-09 5.022136712378888e-07 -3.1988126148606765e-09 7.592506595374057e-07 -7.689266633215253e-06 -9.249869382375112e-06 -2.0291800822652213e-05 -1.265824524649518e-07 9.612563055852379e-06 6.297188640455811e-06 -4.750276333040347e-06 -6.928885419771663e-08 4.141723162266349e-06 8.559248889115981e-07 -1.8441833443948294e-06 -9.109810651720044e-07 -2.174977704768595e-05 -6.588085118910017e-08 -1.3423027222760159e-05 -2.463485531884954e-06 -1.463214629028735e-05 -1.1820947467904255e-05 9.841421634767505e-06 -8.772758515752732e-10
sex -6.545291050361741e-06 6.352896830146543e-07 0.0003495156187416205 0.009475212123221707 -0.0006242291753113266 -6.940246006186912e-06 4.2974482725997855e-08 1.2479205770607342e-05 -7.758112124343134e-08 3.9075272124773617e-05 3.0997509831939946e-05 -0.00014692747790411603 3.575136267950625e-05 -0.00017076323480878712 0.00020000798723912572 0.0001570969040054935 1.3401257635302263e-05 0.00014222892029197063 -6.067800761116921e-05 -0.00019034284035520597 -8.068729978941485e-05 -5.279941434606301e-06 1.568080001448845e-05 -0.00015631315057579645 -2.7620625591214194e-05 0.0002150252444144524 -5.412106301259692e-05 -4.127442369727531e-05 -0.00015943262684696598 -3.6492992578598164e-07
age_sex 4.3263763758222244e-07 -5.86770432033945e-08 -2.428873883570574e-05 -0.0006242291753112366 4.3287226509479814e-05 5.011590780646185e-07 -3.1931305921577218e-09 -8.965366152016651e-07 5.7223141362651274e-09 -3.2213601689280225e-06 4.176060998014452e-06 1.670003320568441e-05 -1.3167458917646005e-06 9.779753109474076e-06 -1.8962136210079188e-05 -9.956203833935273e-06 -3.940193729493497e-06 -5.080453181456506e-06 8.74667624407279e-08 1.0054181812263525e-05 4.650856332038795e-06 2.9585426677164596e-07 9.882128216269307e-07 1.366366820829636e-05 2.658179425873399e-06 -1.360954494034195e-05 8.504966991408313e-06 4.831924333640777e-06 6.545937589291067e-06 1.0091828204730242e-07
age2 2.6956670952635316e-08 -4.013069825305074e-10 -5.02745294011447e-07 -6.940246006189008e-06 5.011590780648411e-07 1.0713334192484654e-08 -6.997391854649822e-11 -1.0687339731307473e-08 6.980427469932914e-11 6.601651297362052e-08 4.788942604879063e-07 3.077650745405926e-07 2.7835191393668244e-07 2.8379521568083957e-08 -3.2222613503511185e-07 -1.5583506364337055e-07 -5.679110326967704e-08 1.8641409073253265e-07 -2.339410256131862e-07 -2.1646192684673124e-07 1.6387806063464824e-07 -1.5068088924247477e-07 4.7567837711362446e-07 2.6050397127172816e-07 4.06323757283917e-07 1.0599161418214213e-07 2.5679692281356273e-07 2.792142818553481e-07 -6.138669849250545e-07 1.1275527343686167e-09
age3 -1.543621050640172e-10 -1.940991000059724e-12 3.1997678665482715e-09 4.297448272600672e-08 -3.1931305921588083e-09 -6.997391854649285e-11 4.66780665617878e-13 6.977058274303951e-11 -4.653206080830886e-13 -9.489247318865794e-10 -3.813430815160868e-09 -2.4688989328169454e-09 -1.8982728465870644e-09 -1.4142836400296462e-10 2.1407285711836913e-09 1.1267825167479015e-09 8.394725916694784e-10 -1.752529378181745e-09 1.8658938555785628e-09 2.0075656568849574e-09 -1.2113518871175923e-09 1.293974100513339e-09 -3.5611780255167162e-09 -2.3360889806091424e-09 -3.126140630919869e-09 -9.964138462225623e-10 -1.6393775769727344e-09 -1.6117578905987414e-09 5.2755660282648775e-09 -1.2637510202774152e-11
age2_sex -9.468103544685378e-09 8.987292605828766e-10 5.022136712375263e-07 1.2479205770604014e-05 -8.96536615201565e-07 -1.0687339731301635e-08 6.977058274300932e-11 1.9103645258503897e-08 -1.2478525243147022e-10 6.529176824103824e-08 -1.700905724778358e-07 -4.3842459232679824e-07 1.4080922490875168e-08 -1.8952066752700683e-07 4.759226242904357e-07 1.989712270196568e-07 1.1265836318583264e-07 4.056234064505398e-08 8.85321034496183e-08 -1.0322894162716104e-07 -8.2549660443887e-08 1.602069426810677e-08 -8.425583697346913e-08 -3.511987639927986e-07 -5.210475561729038e-08 2.3469989965402734e-07 -2.1988272595147046e-07 -1.040244320776965e-07 -5.0543327077781374e-08 -2.8517620441468653e-09
age3_sex 6.373912261002438e-11 -3.037708136764839e-12 -3.198812614858054e-09 -7.758112124340286e-08 5.722314136263981e-09 6.980427469928553e-11 -4.653206080828561e-13 -1.2478525243145972e-10 8.316805882438199e-13 -2.743138729324898e-10 1.4783117985330427e-09 3.273804468822452e-09 -2.4216553139923984e-11 1.204266251605503e-09 -3.4601888670475616e-09 -1.1634193389174868e-09 -8.241505060986267e-10 9.073412894739304e-12 -1.11054114311787e-09 6.703762041198673e-11 4.41308891311989e-10 -2.0465105367414958e-10 9.146945444367358e-10 2.5448400427974548e-09 2.5397619271126713e-10 -1.1989821175400245e-09 1.5572787903318603e-09 4.2235098055603367e-10 -6.674776537426898e-11 2.179792882584378e-11
PC_3 3.944709093816863e-06 8.249218385169382e-07 7.592506595477546e-07 3.9075272124867034e-05 -3.221360168935379e-06 6.601651297340017e-08 -9.48924731885138e-10 6.529176824120349e-08 -2.743138729336029e-10 0.02502719787706129 0.0007686112537737649 0.0017652617320569068 -0.00015151898584905377 -0.0043967213889808884 0.0017003953588546185 0.0035853994645920827 -0.0038510203728742125 -0.00030890743086075146 -0.0013873889789294226 0.0004229050653322487 0.004955924196762623 0.0025774412625026717 -0.0015653070107091748 -0.009163367516190207 0.000518834119771974 -0.00013868982515855357 0.003149897985385815 -0.0007056666134190506 0.004578122147261734 4.058420694796342e-05
