(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.00108502464955831 0.000991070338889898 0.000284858101649549 -0.000448599092097485 -7.63241197548568e-05 4.32720560210974e-05 2.2938875290572e-05 -7.42297157296802e-05 5.30421638279388e-05 4.68498138716119e-05
covarage 0.000991070338889898 0.00258771065172161 0.00279536739610681 -0.00414048101254365 -3.12790998376827e-05 9.21547234746261e-05 1.94481048327927e-05 -5.29985677484681e-05 9.54711989546693e-05 -3.9089711204004e-05
covarsex 0.000284858101649549 0.00279536739610681 0.00530583252314806 -0.00734704130981615 7.61143319437956e-07 4.64566978943958e-05 4.51669039273715e-05 -4.58535554262042e-05 6.66575469828132e-05 -2.95360817188745e-05
covarage_sex -0.000448599092097485 -0.00414048101254365 -0.00734704130981615 0.0110301756568712 1.22539483495367e-05 -3.92733923052442e-05 -3.14983737789779e-05 6.20880248841061e-05 -8.97140212662092e-05 3.66922537944954e-05
covarPC_3 -7.63241197548568e-05 -3.12790998376827e-05 7.61143319437956e-07 1.22539483495367e-05 0.000422776237062349 -1.92416620794397e-05 1.85139800452378e-05 -2.41062028809924e-06 3.13190860301871e-05 2.62398769586953e-05
covarPC_4 4.32720560210974e-05 9.21547234746261e-05 4.64566978943958e-05 -3.92733923052442e-05 -1.92416620794397e-05 0.000443338653248609 4.3401159991526e-06 -1.11732415653485e-06 1.07286228696979e-05 -2.11730907654357e-05
proband 2.2938875290572e-05 1.94481048327927e-05 4.51669039273715e-05 -3.14983737789779e-05 1.85139800452378e-05 4.3401159991526e-06 0.000553306365888353 -0.000292713792469674 -3.93571019179857e-06 1.1068309789939e-05
paternal -7.42297157296802e-05 -5.29985677484681e-05 -4.58535554262042e-05 6.20880248841061e-05 -2.41062028809924e-06 -1.11732415653485e-06 -0.000292713792469674 0.00312376195416579 -0.00247294177750684 -0.00243971131568119
gpp 5.30421638279388e-05 9.54711989546693e-05 6.66575469828132e-05 -8.97140212662092e-05 3.13190860301871e-05 1.07286228696979e-05 -3.93571019179857e-06 -0.00247294177750684 0.0108897845403012 -0.00611306927621015
gmp 4.68498138716119e-05 -3.9089711204004e-05 -2.95360817188745e-05 3.66922537944954e-05 2.62398769586953e-05 -2.11730907654357e-05 1.1068309789939e-05 -0.00243971131568119 -0.00611306927621015 0.0107324981828337
